"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"169","161","      Household utilities","DUTLRX0",209923,218038,225028,221246,229894,227675,219747,225465,221562,224084,223236,232397,225973,234157,235558,224280,229711,234178,240060,230580,228639,238471,240546,252330,246974,234974,235520,233123,234716,242274,243823,250494,249070,249089,244365,247755,249177,249725,245702,250759,250039,253895,258468,252317,239691,251846,258091,250233,252105,254464,257176,250671,256213,251727,242021,251640,251284,249778,251789,253940,254562,255274,264004,261206,254472,256017,265332
"170","162","        Water supply and sanitation (25)","DWRSRX0",54886,55270,55607,55948,56452,57020,57511,57938,58142,58364,58610,58853,59021,59230,59542,59933,60724,61219,61578,61766,61835,61847,61949,62126,62263,62438,62607,62761,62814,62984,63231,63539,64118,64228,64012,63586,63256,63515,63635,63606,63493,63369,63622,64410,65245,65868,66031,66066,66075,66161,66195,66044,66100,66403,66416,66400,66178,65790,65359,65150,64939,64938,65012,65013,64997,64869,65091
"171","163","          Water supply and sewage maintenance","DWSMRX0",45894,46123,46275,46399,46675,47038,47322,47535,47629,47671,47684,47645,47551,47563,47731,48036,48420,48731,48958,49068,49065,49095,49200,49366,49567,49788,50037,50304,50576,50813,51039,51238,51358,51350,51269,51048,50621,50329,50147,50068,50063,50167,50394,50727,51100,51442,51716,51908,52004,52039,52045,52001,51987,52013,52068,52136,52188,52171,52089,51932,51699,51521,51451,51478,51429,51323,51232
"172","164","          Garbage and trash collection","DREFRX0",9167,9313,9486,9687,9903,10101,10299,10501,10606,10776,10994,11261,11508,11695,11833,11920,12310,12489,12617,12692,12761,12744,12742,12755,12697,12656,12582,12478,12270,12209,12231,12338,12782,12896,12764,12562,12650,13186,13482,13534,13429,13202,13229,13684,14144,14426,14314,14157,14070,14122,14149,14042,14112,14390,14348,14265,13989,13609,13248,13193,13215,13405,13559,13529,13566,13545,13893
"173","165","        Electricity and gas","DELGRX0",155008,162682,169301,165208,173343,170568,162172,167440,163350,165636,164549,173485,166872,174943,176039,164121,168796,172825,178467,168600,166585,176611,178572,190189,184619,172515,172823,170218,171751,179225,180518,186967,184906,184805,180280,184132,185914,186197,182000,187145,186536,190541,194836,187911,174670,186010,192020,184176,186065,188345,191020,184668,190124,185359,175789,185284,185135,184004,186519,188954,189825,190558,199526,196610,189585,191356,200865
"174","166","          Electricity (27)","DELCRX0",97198,101363,106368,102461,105409,105014,100463,103174,102061,100104,101830,108831,106863,113541,114980,106848,109327,111378,116177,109655,109959,117078,115498,119341,118639,113611,109918,111099,113670,119020,120681,120892,121245,121034,118470,121709,123773,123414,119369,125533,124585,126440,135214,128641,119171,127209,130252,126370,124531,125980,130942,128135,130046,125903,121089,124948,124356,120151,121553,125744,129608,129765,134766,131158,130698,131682,133671
"175","167","          Natural gas (28)","DGHERX0",60496,64612,65624,66445,73510,69975,65428,68513,64527,71083,66606,67815,61699,62226,61406,57762,60254,62616,62913,59783,56819,59591,64219,72860,67144,59506,64387,59513,58005,60125,59462,67319,64177,64198,62099,62580,62186,62945,62965,61682,62031,64245,59546,59123,55401,58740,61867,57701,61835,62657,59966,56164,59995,59423,54652,60443,60947,65269,66503,63590,59231,59984,64425,65893,57183,58073,67729
"176","168","    Health care","DHLCRX0",940372,944718,950403,954888,955314,964714,968297,980432,985708,991032,1001313,1010819,1023439,1028306,1033019,1033692,1035916,1040026,1048463,1058390,1064562,1078623,1085962,1097414,1113241,1125858,1142462,1160708,1183589,1200448,1209719,1216036,1220887,1223646,1230887,1237906,1246884,1260332,1276382,1286159,1302458,1306263,1312837,1314004,1327991,1332289,1329842,1341707,1356339,1360860,1364949,1373991,1385725,1395698,1401943,1402525,1409109,1421574,1429062,1432828,1424063,1438150,1446910,1462284,1464348,1474526,1472284
"177","169","      Outpatient services","DOUTRX0",418822,421652,424779,427022,430989,433762,435974,438138,439597,442332,446435,451603,455894,458635,460909,461651,462480,465449,469803,474927,480634,487490,492961,499953,506326,513662,521871,530207,540027,548844,556929,563919,568504,574092,581006,587549,594906,601778,609035,613692,619381,624011,628389,631971,635405,639676,642988,645869,646418,650063,655523,661860,668083,673774,677216,678775,676710,678044,679805,681722,678561,679468,678851,680721,684130,687945,689121
"178","170","        Physician services (44)","DPHYRX0",208160,208750,209463,210209,213259,213977,214534,214942,216401,218743,221124,223505,225562,227336,228819,229906,230686,232232,234882,238534,242896,247031,250775,254040,256883,260346,264709,269906,275837,281513,286945,292034,295780,299488,303638,307847,311661,315706,319732,323642,326994,329831,331998,333372,336798,340213,342212,342624,340815,340632,342661,346964,351294,355299,357919,358894,356847,355802,356316,357237,352921,352171,350466,351239,351245,353026,354032
"179","171","        Dental services (45)","DDENRX0",71070,71256,71078,70762,70942,71396,71706,72016,72220,72520,72969,73589,74160,74720,75211,75600,75883,76271,76844,77560,78367,79211,80094,80995,81890,82874,83985,85206,86441,87230,87527,87295,86646,86266,86430,87038,87825,88595,89133,89413,89410,89282,89083,88777,88519,88477,88638,88973,89368,89678,89929,90097,90201,90020,89677,89149,88075,87162,86716,86637,87540,86338,85711,84726,86614,86348,85975
"180","172","        Paramedical services (46)","DPMSRX0",140832,142900,145437,147166,147750,149407,150784,152265,152006,152029,153257,155409,157069,157484,157790,157060,156827,157850,158950,159646,160111,161943,162754,165581,168229,171119,173833,175712,178316,180602,182873,184901,186296,188481,191032,192736,195484,197531,200207,200658,202980,204894,207304,209827,210115,211042,212206,214328,216270,219810,223018,224922,226761,228710,229952,231129,232245,235626,237386,238495,238606,241600,243380,245603,246964,249357,249964
"181","173","          Home health care","DHHCRX0",50240,51323,52965,53721,54019,54499,54959,55074,53996,53117,53143,53540,53386,52146,51093,49876,49239,49031,48866,48023,46741,47002,46246,46502,47333,48293,48880,48360,48471,48540,48621,49639,50030,51080,52203,52478,53385,54235,55336,55527,55693,56475,58032,59438,60015,60300,60702,61659,62809,64387,65704,66149,66626,67453,68429,69101,69498,71298,72984,74353,74849,76227,77511,78368,78469,78811,78515
"182","174","          Medical laboratories","DMLBRX0",11210,11004,10752,10924,11055,11501,11878,11979,12317,12744,13228,13763,14325,14835,15277,15642,15944,16304,16754,17287,17888,18524,19193,19888,20576,21135,21537,21776,21885,22059,22351,22758,23364,23964,24571,25152,25649,26116,26513,26831,27073,27345,27674,28049,28585,29052,29345,29447,29223,29251,29588,30208,30749,31329,31828,32171,32363,32734,33111,33284,33017,33089,32853,32686,32850,32784,32380
"183","175","          Other professional medical services","DOMDRX0",79112,80323,81496,82283,82425,83119,83628,84906,85393,85872,86576,87780,89037,90228,91183,91335,91450,92331,93150,94186,95393,96325,97260,99154,100263,101619,103350,105563,107983,110057,111979,112554,112939,113456,114266,115115,116458,117186,118359,118301,120215,121071,121597,122342,121532,121716,122191,123259,124278,126217,127780,128621,129450,130019,129840,130032,130563,131815,131592,131224,131116,132666,133410,134915,135988,138036,139255
"184","176","            Specialty outpatient care facilities and health and allied services","DOMSRX0",58938,59783,60645,61273,61429,61922,61322,59489,58723,58740,58926,59519,60118,60683,61057,60693,60357,60735,60957,61310,61779,62037,62391,63810,64524,65301,66187,67259,68283,69109,70045,69953,70552,71216,72003,72717,73847,74233,74951,74347,75786,76400,77015,78183,78381,79425,80246,81182,81911,83334,84235,84350,84854,85397,85407,85940,86745,88127,87946,87538,87673,88849,89626,90956,91970,93541,94520
"185","177","            All other professional medical services","DOMORX0",20178,20543,20855,21014,20999,21200,22309,25420,26672,27133,27651,28261,28919,29545,30127,30642,31093,31596,32194,32876,33614,34288,34870,35344,35740,36318,37163,38304,39700,40947,41934,42601,42387,42240,42262,42398,42611,42952,43408,43954,44429,44671,44582,44159,43150,42291,41945,42077,42366,42883,43544,44271,44595,44622,44433,44091,43818,43688,43646,43685,43443,43817,43784,43959,44018,44495,44736
"186","178","      Hospital and nursing home services","DHPNRX0",523471,524915,527430,529660,525812,532566,533900,544153,548060,550635,556880,561148,569632,571709,574139,574025,575442,576474,580514,585265,585440,592615,594289,598602,608152,613295,621646,631564,644688,652649,653568,652647,652790,649793,650007,650402,651974,658559,667364,672481,683092,682245,684436,682037,692555,692628,686973,695888,709835,710739,709442,712200,717732,722044,724858,723914,732397,743370,749030,750889,745335,758259,767426,780700,779461,785774,782468
"187","179","        Hospitals (51)","DHSPRX0",424008,424464,425846,426974,423016,429230,429816,439791,442527,443883,448984,452078,460091,461179,463958,464098,466612,468457,472248,476972,477469,483529,485894,490335,499372,504617,513471,522656,535079,543250,543725,541443,540519,536668,536820,537723,539396,545357,553169,559429,568480,567535,569241,566442,576400,576709,572152,581345,593293,593233,591015,593115,597531,601944,605779,605243,613417,623012,628260,629630,624455,636881,645680,657208,657265,663076,659082
"188","180","          Nonprofit hospitals' services to households","DNPHRX0",283221,282685,283059,283343,280424,284194,284571,291730,294135,296327,300913,302998,308904,308930,311175,311814,314482,316444,319581,322956,322255,325954,326207,327901,332609,334544,340421,347078,356269,362604,362535,360433,360136,357482,358053,359231,361624,367370,374670,380734,387450,386289,386713,383098,390563,392043,388206,393681,404528,406377,400179,399351,401632,404424,406795,404522,409614,415346,417599,418123,412819,422684,430854,440882,437985,440744,435873
"189","181","          Proprietary hospitals","DFPHRX0",46185,46738,47479,48363,49030,50464,50964,52168,52287,52328,52955,53357,54349,54450,54312,53477,53277,52883,52873,53221,53114,53813,53870,54170,55849,56933,58235,59678,62428,64338,65437,66344,67291,67398,67686,67660,67000,67057,67396,67432,69673,69736,70763,71261,73462,71896,70695,73870,74370,71632,74455,75940,77633,79041,79798,80357,81913,84304,85927,85523,84590,86300,86230,87222,89609,91985,92148
"190","182","          Government hospitals","DGVHRX0",94606,95045,95312,95272,93566,94576,94284,95897,96108,95231,95119,95726,96842,97802,98475,98810,98856,99134,99797,100798,102103,103765,105821,108267,110918,113143,114819,115903,116386,116310,115756,114668,113093,111790,111082,110834,110772,110930,111103,111263,111357,111510,111766,112083,112376,112769,113251,113795,114394,115223,116381,117828,118266,118477,119188,120365,121890,123363,124734,125985,127046,127898,128597,129104,129672,130348,131062
"191","183","        Nursing homes (52)","DNRSRX0",99241,100350,101583,102780,103001,103431,104238,104322,105551,106850,107991,109191,109576,110596,110199,109932,108779,107927,108160,108165,107840,108954,108256,108130,108656,108571,108121,108884,109635,109479,109906,111227,112275,113114,113176,112671,112576,113201,114195,113053,114612,114709,115194,115598,116151,115915,114820,114521,116524,117494,118418,119073,120185,120080,119072,118664,118986,120368,120787,121276,120899,121401,121768,123517,122230,122738,123416
"192","184","          Nonprofit nursing homes' services to households","DNPNRX0",33354,33457,33694,34027,33974,34215,34573,34614,35519,36280,36884,37390,37481,38268,38294,38226,38207,37988,38185,38312,37987,38448,38272,38336,38797,38886,38818,39157,39380,39340,39499,39992,40337,40531,40399,40084,39822,39939,40213,40304,40609,41057,41465,41023,41026,40725,40576,40746,40911,41262,40840,41226,40898,40779,40224,39927,40016,41250,41323,41329,41235,40748,40671,41708,41565,41617,40784
"193","185","          Proprietary and government nursing homes","DFPNRX0",65887,66892,67889,68753,69027,69216,69666,69708,70033,70570,71108,71801,72095,72328,71905,71706,70571,69940,69976,69853,69853,70506,69984,69795,69858,69685,69303,69727,70255,70139,70407,71235,71938,72582,72777,72587,72754,73263,73982,72749,74003,73651,73729,74574,75124,75190,74244,73775,75612,76232,77578,77847,79287,79301,78848,78737,78970,79118,79465,79947,79664,80653,81097,81809,80665,81121,82632
"194","186","    Transportation services","DTRSRX0",208708,211043,215529,220166,225642,229181,233028,237699,244466,247441,251212,252250,254539,257684,260611,263964,267645,270883,276239,279297,282932,285929,287667,288480,288562,287143,281765,276990,277758,275372,275081,275267,276231,274925,277455,278930,281672,284108,283925,285348,285595,286384,286883,284982,283681,285234,284941,287968,289227,288997,287760,285608,281617,276552,270120,259709,251846,248460,246186,245894,247624,249904,251557,251643,251353,251241,251423
"195","187","      Motor vehicle services","DMVSRX0",155801,158492,163084,166118,169826,172732,175708,179551,184866,188298,191764,193027,193220,194394,195957,198042,201227,204544,207850,209748,211836,213189,213884,214531,214375,213981,212001,209840,206477,204221,202684,202024,202274,202081,203044,203663,204001,205166,206356,207719,209093,209578,209722,210070,210115,209315,209473,210630,211376,212068,211620,209007,206132,202910,198117,191345,183983,179441,177364,176577,178574,180087,180788,179976,180623,180166,180221
"196","188","        Motor vehicle maintenance and repair (60)","DVMRRX0",122492,123695,125277,126983,128646,129605,130678,131666,132858,134060,135294,136590,137705,138849,140080,141338,142547,143727,144942,146108,147159,148171,149187,150164,150961,151282,151089,150334,149180,148472,148500,149228,150441,151450,152307,152812,152754,153055,153621,154419,155239,155567,155310,154395,152212,150496,149955,150525,151572,151866,151099,149180,146058,142643,139255,135773,132075,129243,127158,125829,127534,128000,128042,127211,127863,127883,127021
"197","189","        Other motor vehicle services (61)","DOVSRX0",35094,36423,39070,40294,42130,43853,45547,48068,51733,53749,55779,55806,55037,55112,55456,56242,58059,60029,61968,62673,63657,64003,63739,63467,62622,61978,60332,59014,56940,55481,54015,52716,51815,50673,50783,50894,51275,52120,52738,53300,53854,54011,54412,55676,57929,58869,59585,60183,59865,60273,60618,59924,60227,60484,59078,55704,51981,50266,50283,50849,51129,52212,52902,52941,52921,52412,53415
"198","190","          Motor vehicle leasing","DMVLRX0",18884,19938,22059,22873,24005,25166,26319,28207,31119,32610,34171,34010,33222,33131,33233,33686,35053,36587,38127,38578,39336,39528,39169,38824,37987,37395,36270,34974,33469,32242,30931,29716,28745,27446,27235,26948,26903,27379,27766,28247,28864,29080,29500,30756,32936,33811,34530,35214,35090,35583,35859,35305,35622,35990,34719,32069,29236,28000,28120,28738,28731,29445,30022,30243,29950,29260,29719
"199","191","            Auto leasing","DALERX0",13293,13824,15248,15632,15771,16221,16564,17569,19553,20460,21328,20918,19991,19467,19234,19284,19856,20549,21088,20987,20985,20924,20858,21225,21441,21626,21127,20364,19274,18469,17831,17273,17054,16285,15809,14926,13946,13513,13183,13240,13505,13751,14333,15435,16994,17944,18660,19307,19504,19983,20313,20297,20819,21411,20875,19409,17758,17134,17402,17991,18167,18842,19456,19719,19630,19291,19732
"200","192","            Truck leasing","DTLERX0",5590,6113,6810,7240,8233,8943,9754,10636,11565,12149,12841,13090,13229,13663,13997,14400,15196,16036,17037,17588,18349,18602,18309,17597,16544,15767,15140,14608,14194,13771,13098,12441,11689,11159,11424,12022,12957,13866,14583,15008,15359,15329,15167,15322,15943,15867,15871,15908,15587,15601,15548,15009,14804,14580,13846,12661,11479,10868,10719,10748,10566,10605,10568,10527,10322,9972,9990
"201","193","          Motor vehicle rental","DMVRRX0",5577,5604,5700,5876,6288,6528,6739,6920,7025,7133,7226,7301,7321,7401,7512,7661,7831,7982,8110,8205,8269,8325,8380,8432,8476,8518,8193,8472,8237,8252,8251,8232,8211,8279,8471,8782,9186,9529,9764,9876,9878,9881,9904,9945,10065,10165,10201,10168,10031,10014,10131,10019,10079,10098,10061,9463,8747,8434,8461,8496,8777,9168,9294,9108,9331,9441,9982
"202","194","          Parking fees and tolls","DPFTRX0",11470,11592,11736,11905,12108,12339,12582,12838,13173,13490,13745,13929,14045,14168,14318,14489,14670,14842,15006,15152,15274,15374,15455,15512,15531,15480,15355,15153,14898,14709,14623,14633,14804,14988,15136,15230,15242,15247,15229,15186,15113,15050,15006,14976,14945,14916,14882,14841,14789,14738,14697,14663,14604,14497,14348,14151,13918,13729,13605,13547,13541,13548,13567,13592,13607,13617,13630
"203","195","      Public transportation","DPUBRX0",52798,52559,52630,54172,55891,56545,57422,58285,59763,59451,59839,59689,61571,63389,64679,65903,66451,66470,68438,69545,71008,72551,73544,73751,74023,73070,69746,67093,71212,71035,72297,73173,73926,72794,74394,75266,77705,78998,77586,77639,76493,76799,77159,74929,73620,75906,75470,77327,77840,76925,76145,76595,75489,73661,71998,68363,67810,69029,68834,69335,69065,69831,70776,71663,70755,71078,71202
