"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"325","317","          Other social assistance, not elsewere classified","DSIARX0",3041,3075,3103,3145,3161,3224,3305,3377,3431,3478,3523,3569,3629,3705,3757,3845,3916,3993,4107,4187,4276,4389,4524,4655,4860,5001,5162,5317,5467,5620,5721,5793,5759,5761,5770,5766,5791,5789,5813,5789,5828,5879,5802,5812,5841,5800,5814,5833,5837,5868,5882,5835,5834,5764,5711,5650,5528,5442,5365,5414,5488,5439
"326","318","        Social advocacy and civic and social organizations","DSADRX0",14108,14175,14214,14225,14209,14375,14347,14384,14153,14093,14141,14261,14611,14808,14801,14743,14616,14365,14328,14238,14103,14076,13970,13846,13791,13670,13595,13317,13134,13092,13097,13356,13561,13781,13968,14158,14075,14000,14190,14044,14019,14183,14127,14470,14828,15015,15230,15353,15577,15746,15746,15495,15441,15506,15656,15952,15724,15800,15662,15479,15288,15440
"327","319","        Religious organizations' services to households","DRELRX0",5561,5580,5629,5715,5894,5949,6016,6089,6034,5981,5960,5969,5997,6017,6024,6013,5985,5949,5908,5861,5805,5756,5719,5691,5668,5639,5602,5558,5507,5463,5434,5416,5407,5409,5428,5459,5486,5505,5503,5480,5438,5410,5404,5418,5407,5394,5404,5435,5517,5583,5606,5581,5515,5450,5396,5352,5316,5291,5279,5280,5271,5256
"328","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1220,1205,1167,1139,1103,1084,1102,1133,1204,1264,1284,1263,1207,1153,1108,1071,1040,1010,980,948,915,875,828,775,719,663,612,562,518,488,471,466,470,478,488,501,513,522,524,521,513,512,519,534,555,576,596,616,632,643,643,633,612,594,582,573,555,538,523,508,506,507
"329","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",46944,47486,48006,47893,47514,47867,48131,48134,49268,50167,51216,52371,53925,55245,55954,56115,55363,54662,54568,54915,56647,56662,56305,55552,54865,54073,52985,51681,51274,51382,51380,51377,52056,52334,52858,53579,54544,55411,56025,56573,56635,56826,57179,57406,57620,57886,58435,58777,59612,60221,60762,61472,61723,61274,60145,59011,57127,55424,54219,53768,54117,54299
"330","322","        Domestic services","DDMSRX0",20501,20739,20858,20877,20870,20742,20481,20204,20714,21146,21696,22338,23359,24229,24551,24399,23425,22509,22171,22267,23767,23749,23562,23193,23064,22803,22175,21267,21191,21580,21811,22005,22828,23059,23269,23439,23711,23912,23984,24133,23940,23879,23957,23902,24193,24533,24911,24853,25337,25803,26356,26718,26767,26717,26323,25695,24815,24162,23792,23690,23819,23988
"331","323","        Moving, storage, and freight services","DMSERX0",11749,11948,12229,12226,12055,12381,12756,13023,13562,13960,14280,14507,14711,14836,14974,15120,15268,15443,15659,15908,16154,16247,16155,15871,15422,14964,14531,14118,13732,13431,13230,13123,13112,13251,13572,14067,14682,15252,15712,16045,16261,16483,16736,17010,17017,16997,17126,17399,17693,17781,17730,18080,18323,18012,17419,17147,16447,15621,14922,14648,14935,15028
"332","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2729,2685,2636,2581,2534,2492,2446,2399,2354,2338,2347,2379,2427,2457,2460,2436,2387,2337,2293,2254,2214,2161,2092,2005,1908,1820,1743,1676,1620,1579,1552,1539,1535,1523,1501,1469,1426,1398,1384,1384,1394,1402,1404,1400,1387,1370,1352,1333,1309,1287,1265,1245,1224,1191,1149,1097,1021,957,911,882,875,876
"333","325","        Repair of household appliances","DERERX0",3676,3849,3966,4014,4021,4195,4396,4568,4720,4794,4854,4897,4919,4929,4929,4917,4892,4865,4840,4815,4786,4741,4681,4603,4512,4425,4348,4277,4216,4177,4165,4179,4210,4238,4263,4278,4276,4270,4255,4228,4195,4188,4214,4274,4364,4444,4505,4544,4441,4362,4310,4282,4274,4253,4219,4172,4091,4021,3972,3940,3964,3976
"334","326","        Other household services","DMHSRX0",8450,8429,8481,8356,8194,8225,8234,8133,8097,8096,8197,8401,8646,8919,9158,9358,9513,9634,9725,9778,9797,9822,9865,9923,9994,10091,10219,10378,10547,10641,10645,10552,10386,10274,10259,10327,10445,10575,10688,10781,10846,10875,10868,10819,10659,10543,10543,10656,10845,10999,11106,11162,11163,11117,11032,10901,10736,10604,10527,10501,10443,10356
"335","327","      Net foreign travel","DFORRX0",-23563,-25165,-32548,-33617,-29658,-34204,-24781,-39158,-30543,-29525,-27464,-23864,-18412,-16251,-9948,-14350,-13218,-13685,-15233,-14049,-11950,-10172,-5041,-5589,-7702,3464,-860,-4291,559,-921,-7254,-7967,685,-3118,-516,-5958,-1540,-2501,-3610,-4397,-3920,-8589,-5461,-2477,-923,1158,-905,-3316,-2263,-5174,-14896,-20665,-19081,-24628,-27298,-16721,-13772,-18378,-16725,-16948,-19738,-21183
"336","328","        Foreign travel by U.S. residents (129)","DFTRRX0",73501,71811,71663,74416,75774,75045,75665,76915,80796,80729,84243,85477,90237,93754,95130,93523,95958,95198,95208,98772,103765,106709,108096,108605,107753,113906,99936,82509,97154,95141,89636,96612,94051,83450,93632,95935,98415,99919,97828,98110,100408,99614,98448,100580,102487,105159,103722,105059,103941,103608,101311,100225,102060,97684,95665,102529,99092,92557,94054,95665,96847,95473
"337","329","          Passenger fares for foreign travel","DAFTRX0",27987,27473,28532,28753,28713,29318,29225,30717,31577,31873,33338,33528,34368,36928,37585,36270,39731,37579,36731,39124,40324,42545,43695,42132,42363,44594,39390,28555,36513,36158,32382,36424,36805,33179,37337,38966,41186,42038,40434,41068,42566,42999,43278,43447,44557,47121,46470,47222,46467,47237,44998,44456,46308,44355,42101,42277,38370,37632,39593,42845,43771,43600
"338","330","          U.S. travel outside the United States","DUSTRX0",43973,42939,41936,44268,45507,44275,44922,44822,47678,47291,49278,50264,53971,54934,55578,55261,54313,55491,56240,57465,61157,61783,61931,63911,62676,66512,57665,51207,57620,55871,54267,56793,53579,46658,52677,53316,53483,54116,53585,53245,53916,52762,51326,52787,53573,53611,52816,53700,53209,52065,51989,51636,51632,49206,49213,55318,55578,49790,49486,48068,48311,46986
"339","331","          U.S. student expenditures","DUSSRX0",1515,1391,1351,1430,1513,1534,1548,1553,1626,1690,1765,1798,1947,2020,2102,2075,2158,2253,2321,2324,2408,2540,2627,2750,2832,2920,2955,3241,3277,3327,3368,3648,3783,3672,3679,3672,3743,3766,3810,3796,3918,3846,3848,4356,4362,4395,4414,4127,4257,4284,4303,4119,4159,4117,4268,4970,5295,5071,4902,4813,4837,4951
"340","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",97064,96975,104210,108033,105432,109249,100446,116073,111339,110254,111707,109341,108650,110005,105078,107873,109177,108883,110441,112820,115715,116880,113137,114193,115455,110442,100796,86799,96594,96062,96890,104579,93365,86568,94148,101893,99956,102420,101439,102508,104328,108203,103909,103057,103409,104001,104627,108375,106204,108782,116206,120890,121141,122312,122963,119250,112864,110935,110779,112613,116585,116656
"341","333","          Foreign travel in the United States","DFTURX0",81920,81812,88567,92346,89820,93382,84841,99783,95340,94252,95585,92901,92282,93484,88629,91283,92390,92083,93427,95651,98411,99397,95609,96238,97683,92744,83287,69185,78917,78352,79066,86790,75679,69134,76968,85022,83290,85892,85128,86451,88367,92141,87868,87184,87635,88279,88961,92507,90391,92953,100197,104281,104573,105631,106106,101913,95259,93160,92851,94654,98864,98940
"342","334","          Medical expenditures of foreigners","DMEFRX0",1450,1451,1461,1483,1593,1627,1656,1683,1723,1749,1774,1794,1818,1834,1857,1867,1961,1979,1989,2011,2055,2073,2084,2111,1938,1926,1920,1913,1789,1746,1731,1721,1737,1757,1754,1752,1750,1749,1745,1748,1776,2023,2020,2035,2038,2040,2035,2037,2038,2037,2036,2034,2038,2036,2035,2033,2036,2035,2036,2034,2007,2002
"343","335","          Expenditures of foreign students in the United States","DEFSRX0",13316,13346,13510,13285,13243,13314,13497,13421,13279,13323,13374,13924,13840,13952,14098,14125,14221,14234,14418,14469,14440,14598,14855,15354,15272,15433,15595,16208,16062,16122,16222,15997,16099,15916,15542,15139,14944,14792,14577,14314,14187,14040,14020,13837,13736,13683,13632,13843,13773,13807,14029,14638,14601,14722,14899,15307,15427,15531,15656,15727,15650,15652
"344","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRX0",140280,141595,142229,145070,149953,151774,152936,149053,140868,139861,139734,141766,146379,151028,156482,161810,162953,164153,165422,167442,172792,173560,179926,185093,186076,189811,192895,196843,200357,204994,212785,218058,217617,220498,220023,219242,220045,218078,216979,218154,213432,213662,212771,216437,222784,232101,243135,243571,240861,237500,246505,256433,261094,262421,269143,276668,260708,248954,254577,259872,260649,263147
"345","337","    Gross output of nonprofit institutions (133)","DNPERX0",632622,634784,636945,641400,644231,651513,655538,662385,657822,659632,665505,672230,684939,691945,701409,708605,713334,717185,722795,730551,736946,744153,752607,762258,770912,779144,789801,801353,815289,827978,838386,842786,841867,843335,844433,846425,851501,856348,864109,870456,871616,872179,874456,880278,891474,899019,903741,909823,919101,919191,921522,930421,940346,943758,946376,956743,952805,951017,950274,954114,952003,955319
"346","338","      Health, gross output","DHLGRX0",359832,361212,362615,364892,363020,367102,367865,373503,373780,376102,380377,383037,390418,391517,395084,397646,400732,402474,405411,408174,409237,411025,413668,415623,419367,421604,426768,433768,442079,448091,452088,454026,457351,459408,460668,461803,464152,468746,474147,477989,482814,482312,484411,486807,493588,497457,498694,500368,510054,506947,506815,511744,515813,515477,513916,521346,522970,523350,524372,529039,525803,525721
"347","339","        Outpatient services, gross output","DOUGRX0",41904,42736,43571,43948,44074,44409,44749,45199,44917,44704,44923,45438,45870,45993,46150,46230,46457,46951,47440,47779,47934,48436,48529,49058,49611,50432,51679,53107,54789,56280,57376,58023,58319,58880,59905,61285,62904,64128,64861,64884,64703,64771,64922,65758,66367,66768,67499,68315,68907,69287,69048,68367,67085,66153,66030,66587,67273,67128,66356,66044,67052,67447
"348","340","        Nonprofit hospitals, gross output","DHSORX0",287574,287632,287806,289160,287032,290271,290105,294619,294016,295381,298678,300353,307786,308044,311185,313355,315927,317092,319359,321615,322490,323637,326006,326982,329509,330150,334030,339094,345489,350157,352850,353892,356780,358079,358667,358700,360033,363446,368016,371774,376517,375346,376736,378171,384498,387730,388987,389719,399287,395744,395603,400522,406351,406851,405100,410936,412816,411946,413765,418063,414507,413913
"349","341","        Nonprofit nursing homes, gross output","DNXORX0",30437,30883,31241,31777,31886,32397,32965,33644,34794,35968,36736,37190,36757,37462,37744,38067,38359,38432,38608,38777,38810,38941,39129,39564,40215,40969,41001,41504,41742,41604,41814,42063,42204,42403,42062,41796,41211,41178,41280,41337,41593,42196,42755,42877,42723,42958,42204,42332,41850,41910,42158,42847,42364,42460,42775,43811,42866,44267,44241,44930,44230,44349
"350","342","      Recreation services, gross output","DRCGRX0",22439,22638,22489,22403,22279,22261,22312,22450,22433,22662,22636,23122,23010,23160,23554,23887,24245,24528,24710,25487,25480,26016,26287,26704,27393,28003,27986,28115,28515,28907,29369,29849,29783,29626,29409,29192,28949,28799,28988,28977,29209,29671,29757,30048,30349,30496,30685,30786,30725,30841,31163,31597,31957,32390,32507,32062,31580,31066,30709,30315,29790,29780
"351","343","      Education services, gross output","DEDGRX0",92052,92629,92971,93986,95226,96052,96873,96970,96625,96521,97170,98408,100052,101305,102284,103550,104543,105053,105397,106690,107624,108801,110420,112056,114105,116204,117818,119380,120677,122326,124608,123782,123669,124163,123979,124640,125427,125529,125374,126666,128208,128750,130098,130569,131383,133725,134538,137756,139874,142270,143330,144516,144200,144954,146795,147691,149624,150400,151224,151334,152777,154148
"352","344","      Social services, gross output","DSSGRX0",49815,50328,50594,50909,50872,51534,52640,53910,54830,55406,56247,57328,58553,60159,62152,63532,65102,66426,67929,69754,71588,73612,75446,78062,81267,83349,85497,86987,87941,89280,90298,91645,91800,92401,92816,92375,91894,91042,91378,90746,91115,92311,91669,92977,93431,92244,92451,92024,91847,92562,93087,93737,94600,95464,96400,97684,98219,98343,97395,97641,97890,98505
"353","345","      Religious organizations, gross output","DREORX0",53956,54242,54875,55835,57692,58363,58934,58966,58038,57535,57686,58473,59730,60777,61471,61778,61728,61677,61725,61836,62001,62321,62837,63534,64364,65224,66111,67009,67853,68368,68534,68320,67792,67525,67730,68327,69083,69708,70001,69939,69576,69409,69557,69995,69736,69348,69353,69735,70858,71768,72086,71773,70910,70050,69351,68784,68331,68011,67861,67868,67763,67568
"354","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",13628,13434,13119,13034,12892,12608,12376,11899,11379,11083,11036,11224,11619,12082,12587,13132,13698,14217,14672,15047,15370,15822,16459,17287,18253,19085,19696,20070,20221,20283,20289,20227,20108,20055,20122,20283,20472,20603,20616,20504,20311,20281,20471,20873,21406,21813,22062,22133,21791,21980,22702,24046,25898,27145,27515,26923,25470,24652,24213,24141,23793,23759
"355","347","      Social advocacy establishments, gross output","DSAORX0",6279,6339,6382,6431,6429,6521,6630,6648,6694,6769,6883,6871,6922,6967,6931,7027,7169,7295,7522,7786,7825,7906,8070,8134,8309,8514,8770,9194,9837,10253,10681,11128,11196,11269,11287,11164,10902,10809,10840,10627,10688,10824,10648,10837,11093,11342,11609,11752,11822,11948,12092,12384,12753,12980,13267,13289,13216,13288,13413,13204,12903,13234
"356","348","      Civic and social organizations, gross output","DCIORX0",7466,7457,7448,7407,7337,7370,7348,7294,7174,7145,7211,7341,7576,7748,7873,7963,8064,8091,8296,8384,8490,8669,8813,8940,9109,9234,9404,9530,9748,9933,10089,10278,10376,10481,10526,10511,10412,10312,10343,10169,10100,10309,10257,10499,10778,10902,11024,11067,11077,11099,11137,11162,11248,11399,11493,11645,11450,11344,11205,11097,10898,10751
"357","349","      Professional advocacy, gross output","DSNGRX0",28010,27327,27271,27349,29413,30628,31450,31587,27620,27128,26972,27108,27774,28911,30123,30709,28637,27974,27655,27843,29729,30288,30860,32075,28805,27924,27738,27302,28432,30545,32436,33515,29773,28379,27872,28118,30208,30804,32435,34865,29590,28311,27587,27681,29720,31684,33316,34173,31017,29711,29033,29371,32878,33807,35048,37284,31803,30392,29671,29244,30172,31652
"358","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",495377,496201,497734,499279,497067,502545,505413,516397,520335,523250,529385,534114,542167,544280,547979,549462,553033,555648,560008,565748,566321,572927,574416,578519,586376,590602,598101,605538,615938,623791,625778,624526,624136,622618,624272,627121,631421,638264,647145,652326,658180,658519,661691,663837,668686,666991,660886,666514,678357,681704,675347,674674,680045,682165,678458,681689,692427,701196,695569,694678,691975,693028
"359","351","      Health services to households","DHLRRX0",349056,349216,350483,351352,348455,352678,353896,362338,365629,368419,373898,377104,383675,384630,387026,387496,390138,392243,396111,400144,399681,404610,404878,406963,412326,414979,421780,430029,441293,449116,450289,449313,449046,446864,448156,450162,454121,461381,470002,476237,482196,482565,486629,487870,491711,489681,483709,488782,500230,502965,496631,495887,501658,503287,498541,501538,512423,521312,516154,515526,512359,512923
"360","352","        Outpatient services to households","DOUSRX0",32820,33397,34045,34321,34406,34608,35103,36257,36314,36222,36539,37148,37701,37875,38000,37906,37912,38249,38769,39287,39798,40550,40727,41046,41269,41872,42862,44098,45926,47426,48437,49009,49073,49567,50517,51622,53274,54857,56467,57507,58647,59557,60341,60781,59758,58854,58571,59058,59055,59507,59975,60185,60409,60488,60445,60348,60261,60758,61160,61545,62122,62287
"361","353","        Nonprofit hospitals' services to households","DNPHRX0",283249,282712,283086,283371,280452,284222,284599,291758,294164,296356,300942,303027,308934,308960,311205,311845,314512,316475,319612,322988,322286,325985,326238,327933,332642,334577,340454,347112,356303,362640,362571,360468,359898,357090,357622,358877,361469,367071,373859,379022,383600,382682,385642,386961,391893,391273,385886,390382,401691,403703,397402,396146,402332,403295,399495,402601,413864,420583,415542,413773,410436,411073
"362","354","        Nonprofit nursing homes' services to households","DNPNRX0",33354,33457,33693,34027,33973,34214,34572,34614,35518,36279,36883,37389,37481,38267,38293,38225,38207,37987,38184,38312,37986,38447,38271,38335,38797,38885,38817,39156,39379,39339,39498,39991,40221,40316,40100,39721,39409,39471,39684,39714,39952,40323,40646,40131,40045,39526,39237,39319,39414,39689,39227,39540,38889,39469,38584,38556,38234,39870,39390,40159,39797,39564
"363","355","      Recreation services to households","DRCRRX0",12249,12397,12410,12323,12236,12222,12263,12416,12404,12337,12365,12622,12520,12508,12601,12694,12802,12895,12974,13211,12989,13104,13028,13158,13434,13597,13326,13067,13088,13042,13119,13188,13103,12967,12946,13047,13103,13273,13483,13404,13639,13796,13805,13910,14037,14115,14083,13895,13645,13385,13256,13097,12970,12943,12832,12603,12393,12262,12061,11933,12099,12033
"364","356","      Education services to households","DEDRRX0",69439,69463,69267,69812,70567,71174,72040,73351,73209,72556,72508,72812,73424,73672,73864,74325,74553,74518,74219,74852,75245,75769,76493,77230,78078,78603,78225,77009,75290,74391,74679,73495,73326,73550,73177,73134,72976,72354,71589,71760,72162,71891,72266,72089,72152,72436,71740,72416,72342,72513,72518,72909,72864,73278,74092,74157,74598,74584,74722,74590,75083,75547
"365","357","      Social services to households","DSSRRX0",24828,25243,25478,25802,25954,26461,27191,28200,28795,29143,29691,30383,31230,32247,33391,34050,34715,35298,36078,37116,38225,39412,40457,41853,43501,44680,46044,47110,48052,48995,49567,50066,49913,50208,50669,51160,51781,51900,52237,51456,51062,51029,50199,50621,50909,50583,50826,50748,51067,51530,51710,51786,51685,51706,51815,52042,52093,52104,51829,52127,52226,52477
"366","358","      Religious organizations' services to households","DRELRX0",5561,5580,5629,5715,5894,5949,6016,6089,6034,5981,5960,5969,5997,6017,6024,6013,5985,5949,5908,5861,5805,5756,5719,5691,5668,5639,5602,5558,5507,5463,5434,5416,5407,5409,5428,5459,5486,5505,5503,5480,5438,5410,5404,5418,5407,5394,5404,5435,5517,5583,5606,5581,5515,5450,5396,5352,5316,5291,5279,5280,5271,5256
"367","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1220,1205,1167,1139,1103,1084,1102,1133,1204,1264,1284,1263,1207,1153,1108,1071,1040,1010,980,948,915,875,828,775,719,663,612,562,518,488,471,466,470,478,488,501,513,522,524,521,513,512,519,534,555,576,596,616,632,643,643,633,612,594,582,573,555,538,523,508,506,507
"368","360","      Services of social advocacy establishments to households","DSASRX0",1608,1632,1650,1674,1685,1721,1729,1661,1630,1634,1662,1677,1720,1759,1769,1804,1841,1863,1899,1932,1899,1879,1882,1865,1872,1863,1836,1815,1818,1805,1836,1914,1965,2011,2030,2006,1944,1915,1912,1871,1882,1912,1892,1941,1994,2041,2095,2130,2159,2182,2191,2207,2219,2214,2233,2220,2205,2216,2236,2199,2173,2234
"369","361","      Civic and social organizations' services to households","DCISRX0",5963,6004,6029,6048,6045,6126,6125,6105,5998,5963,6006,6102,6282,6397,6457,6471,6479,6425,6515,6512,6521,6578,6592,6580,6584,6551,6544,6501,6525,6563,6626,6757,6869,7004,7112,7194,7222,7220,7273,7144,7059,7164,7091,7227,7414,7507,7596,7630,7703,7725,7697,7599,7481,7455,7439,7513,7413,7364,7286,7213,7163,7083
"370","362","      Professional advocacy services to households","DSNRRX0",27657,27633,27688,27549,27527,27481,27507,27513,27698,28016,27884,27982,27819,27559,27308,27118,26996,26888,26613,26422,26302,26140,25759,25595,25319,25118,25084,24647,24351,24279,24097,24127,24248,24357,24451,24616,24392,24249,24622,24447,24221,24239,23888,24232,24517,24664,24852,24866,25102,25228,25124,24979,25063,25246,25456,25633,25381,25519,25398,25223,24952,24773
"371",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","363","  Control Group","DCGPRX0",1698658,1713154,1731232,1743285,1753409,1785323,1799410,1823325,1836695,1842389,1878910,1895339,1922786,1959280,1987402,2029078,2073107,2104545,2134277,2194170,2211975,2251538,2271652,2292154,2291343,2305432,2316598,2353855,2383237,2394814,2403805,2437735,2457427,2492344,2560249,2584357,2615530,2628475,2662084,2699421,2735685,2771714,2794473,2841051,2896746,2898500,2915778,2966315,2987584,2999173,3026299,3044416,3012783,3037087,2999719,2923284,2919851,2911066,2935414,2974213,3026651,3047323
"373","364","  PCE food and energy","DPFERX0",968734,975042,979712,978648,992231,993599,984043,990771,992370,994110,997597,1007521,1001821,1018100,1025384,1018949,1032855,1047764,1056639,1058590,1041836,1065373,1069268,1085772,1079138,1068293,1070682,1069953,1067907,1078871,1084077,1096135,1104528,1099721,1109175,1113713,1127394,1127947,1124434,1141649,1153410,1155605,1165748,1166056,1149695,1167316,1176575,1179281,1182220,1176603,1181501,1178283,1173887,1166092,1135837,1141515,1141871,1145788,1156627,1169035,1171959,1162938
"374","365","  PCE energy goods and services \1\","DNRGRX0",418194,429457,435019,430393,443450,441553,431468,437116,433735,439770,439479,451605,445415,459497,463130,448629,456307,466856,470773,460486,448731,465033,468584,480045,475069,457822,463009,460544,461456,473521,476436,483761,482937,484226,483255,492357,494063,493303,485375,494248,496832,496936,495677,491315,474008,483809,490249,482776,485996,484145,486037,477363,475171,468567,449071,468201,468736,466491,470822,474799,471635,467278
"375","366","  PCE excluding food","DPXFRX0",5454750,5506569,5560547,5601090,5654845,5722421,5761020,5810671,5870859,5899814,6006236,6081324,6147871,6258685,6345384,6447411,6509938,6615706,6697200,6790922,6908891,6970675,7043979,7105768,7138690,7163930,7200250,7321574,7351477,7390939,7442775,7466118,7499588,7580593,7685612,7734723,7803114,7847587,7916772,8006635,8062355,8144323,8195636,8213622,8309939,8350908,8404104,8484122,8537922,8576993,8613607,8639443,8623707,8626363,8552200,8491585,8479381,8435786,8473664,8486183,8522217,8564416
"376","367","  PCE excluding energy","DPXERX0",5606649,5647035,5696271,5741653,5787759,5858170,5902415,5948888,6014465,6035732,6143864,6209196,6278406,6382231,6468515,6581363,6644193,6746607,6828927,6937148,7056227,7113643,7184058,7241760,7275899,7318583,7348026,7470121,7496279,7527502,7578631,7601247,7642975,7716457,7830042,7868081,7945476,7991310,8070196,8160164,8222393,8305917,8369711,8397213,8514459,8552189,8600907,8700326,8750923,8788536,8826116,8868524,8852323,8862670,8804827,8702765,8689874,8654799,8695039,8712106,8758344,8800651
"377","368","  PCE excluding food and energy \2\","DPCCRX0",5058960,5101831,5150867,5193816,5237385,5305107,5350290,5394956,5456586,5480664,5585353,5650548,5720124,5819316,5901699,6010468,6066598,6163184,6240433,6339590,6464291,6513036,6582584,6634427,6670665,6709351,6740878,6861894,6890541,6920759,6969476,6986919,7020437,7099263,7203534,7244725,7310946,7355659,7431101,7512554,7565776,7647291,7699770,7722338,7837778,7868031,7914293,8002799,8053656,8095108,8129763,8165740,8152014,8162884,8113731,8028231,8015226,7973692,8007148,8015428,8055181,8102394
"378",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","369","    Market-based PCE","DPCMRX0",5248659,5293864,5350226,5387805,5430457,5495800,5520256,5584936,5639271,5661970,5761890,5828518,5878714,5982414,6053910,6145176,6213765,6309034,6383514,6473524,6556393,6621545,6679753,6744153,6776123,6786782,6818343,6930600,6954755,6998103,7052148,7075716,7107646,7182685,7282949,7323555,7387562,7419380,7484270,7574698,7637202,7725463,7784822,7796158,7874123,7910176,7948548,8025091,8080304,8109115,8144678,8169364,8144296,8152927,8068875,7979851,7986542,7975260,8022962,8047183,8092039,8127901
"380",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","370","  Market-based PCE motor vehicles and parts","DMOMRX0",216944,216199,222112,227146,228516,231870,231248,234145,244854,235750,251957,260712,253483,274000,276769,303270,290894,310640,311769,304231,329278,306093,310528,310449,319442,311647,317511,371764,342786,346959,374384,349135,346865,364869,374033,366636,370023,363419,367834,372071,361224,380067,387014,337227,350887,351076,356689,355225,360456,364144,359145,358125,339512,321348,300408,271197,278450,274771,305147,284284,281452,287335
"382","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",256124,260647,268612,273324,276354,288227,292104,300030,304601,310259,319766,327674,339102,350515,364341,377444,392053,404593,420625,438338,454589,463553,471475,476378,481170,486267,492226,511551,528323,535569,539059,549697,550226,570456,597252,611223,622570,631328,646794,660059,674441,689853,699046,720045,749291,746425,752043,768709,780097,787520,801957,811852,796888,810118,796107,759096,762427,757643,777618,796439,823684,836840
"383",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",549336,546634,546731,549115,551609,554212,553204,555001,558916,556012,559333,559345,558809,563330,567130,571060,577807,583577,588630,597728,591764,600543,601327,607214,605061,609084,606970,607976,605449,606403,608780,613995,622275,616834,626172,623044,634196,635359,638809,647309,656299,658296,669580,674513,676273,683717,686171,697110,696909,693139,696057,702398,699875,699344,690826,674705,674729,680710,687338,695903,702331,697685
"385","373","  Market-based PCE clothing and footwear","DCLMRX0",197344,199438,203021,203217,204617,209673,213196,214539,214620,212698,219775,222562,227326,231155,229475,234818,243323,245428,247059,247693,251721,257170,259975,262169,257953,259635,259326,263800,266792,266900,265246,273524,273725,281264,288272,288335,295959,292489,296531,302651,307085,314284,314657,324621,329081,326756,331300,337107,341223,342454,345319,344601,342690,351219,341038,330399,327786,324135,324540,329145,338651,343973
"386","374","  Market-based PCE gasoline and other energy goods","DGOERX0",264068,266206,263230,263802,267371,269082,269164,268408,270173,273937,275142,276449,278797,283252,285925,287099,289031,295483,291922,293390,282878,288297,289538,287789,289056,285392,290727,291617,290597,294052,295722,295562,296103,299370,304944,308198,306857,307539,305594,306119,309849,306406,302697,300343,296425,297229,299991,299866,298367,296372,296123,292774,287179,284008,274737,282206,286954,286473,285092,283472,283958,284517
"387","375","  Market-based PCE other nondurable goods","DNDXRX0",434620,440318,442297,446536,448889,456826,463250,472259,474965,478132,487938,494175,497944,505159,512983,522628,532657,535876,537977,560116,553616,566678,573073,582564,578703,583239,589925,597603,603572,602677,606031,613852,622832,625966,640072,648418,647293,653813,661575,666216,671373,676686,678652,685374,696170,699286,701721,716874,720680,723103,727507,727995,722842,731354,732140,720306,719359,712896,715450,720335,725834,733098
