"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"335","327","      Net foreign travel","DFORRX0",-23563,-25165,-32548,-33617,-29658,-34204,-24781,-39158,-30543,-29525,-27464,-23864,-18412,-16251,-9948,-14350,-13218,-13685,-15233,-14049,-11950,-10172,-5041,-5589,-7702,3464,-860,-4291,559,-921,-7254,-7967,685,-3118,-516,-5958,-1540,-2501,-3610,-4397,-3920,-8589,-5461,-2477,-923,1158,-905,-3316,-2338,-4671,-12765,-22245,-18376,-24547,-27824,-18559,-16258,-14707,-12637,-15062
"336","328","        Foreign travel by U.S. residents (129)","DFTRRX0",73501,71811,71663,74416,75774,75045,75665,76915,80796,80729,84243,85477,90237,93754,95130,93523,95958,95198,95208,98772,103765,106709,108096,108605,107753,113906,99936,82509,97154,95141,89636,96612,94051,83450,93632,95935,98415,99919,97828,98110,100408,99614,98448,100580,102487,105159,103722,105059,103267,103997,103760,99726,102242,98026,95434,100228,95556,92446,97178,94067
"337","329","          Passenger fares for foreign travel","DAFTRX0",27987,27473,28532,28753,28713,29318,29225,30717,31577,31873,33338,33528,34368,36928,37585,36270,39731,37579,36731,39124,40324,42545,43695,42132,42363,44594,39390,28555,36513,36158,32382,36424,36805,33179,37337,38966,41186,42038,40434,41068,42566,42999,43278,43447,44557,47121,46470,47222,45913,47801,47358,43643,46333,44611,41775,39990,37162,37875,40646,38627
"338","330","          U.S. travel outside the United States","DUSTRX0",43973,42939,41936,44268,45507,44275,44922,44822,47678,47291,49278,50264,53971,54934,55578,55261,54313,55491,56240,57465,61157,61783,61931,63911,62676,66512,57665,51207,57620,55871,54267,56793,53579,46658,52677,53316,53483,54116,53585,53245,53916,52762,51326,52787,53573,53611,52816,53700,53164,51947,52076,51743,51619,49224,49328,55437,53776,49933,51910,50795
"339","331","          U.S. student expenditures","DUSSRX0",1515,1391,1351,1430,1513,1534,1548,1553,1626,1690,1765,1798,1947,2020,2102,2075,2158,2253,2321,2324,2408,2540,2627,2750,2832,2920,2955,3241,3277,3327,3368,3648,3783,3672,3679,3672,3743,3766,3810,3796,3918,3846,3848,4356,4362,4395,4414,4127,4209,4261,4319,4251,4219,4102,4215,5058,4993,4956,5001,5006
"340","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",97064,96975,104210,108033,105432,109249,100446,116073,111339,110254,111707,109341,108650,110005,105078,107873,109177,108883,110441,112820,115715,116880,113137,114193,115455,110442,100796,86799,96594,96062,96890,104579,93365,86568,94148,101893,99956,102420,101439,102508,104328,108203,103909,103057,103409,104001,104627,108375,105606,108669,116525,121971,120618,122573,123258,118786,111814,107153,109815,109129
"341","333","          Foreign travel in the United States","DFTURX0",81920,81812,88567,92346,89820,93382,84841,99783,95340,94252,95585,92901,92282,93484,88629,91283,92390,92083,93427,95651,98411,99397,95609,96238,97683,92744,83287,69185,78917,78352,79066,86790,75679,69134,76968,85022,83290,85892,85128,86451,88367,92141,87868,87184,87635,88279,88961,92507,89763,92832,100684,105233,103960,105849,106516,101943,95512,90952,93668,92892
"342","334","          Medical expenditures of foreigners","DMEFRX0",1450,1451,1461,1483,1593,1627,1656,1683,1723,1749,1774,1794,1818,1834,1857,1867,1961,1979,1989,2011,2055,2073,2084,2111,1938,1926,1920,1913,1789,1746,1731,1721,1737,1757,1754,1752,1750,1749,1745,1748,1776,2023,2020,2035,2038,2040,2035,2037,2036,2035,2034,2034,2036,2035,2033,2033,1953,1922,1928,1931
"343","335","          Expenditures of foreign students in the United States","DEFSRX0",13316,13346,13510,13285,13243,13314,13497,13421,13279,13323,13374,13924,13840,13952,14098,14125,14221,14234,14418,14469,14440,14598,14855,15354,15272,15433,15595,16208,16062,16122,16222,15997,16099,15916,15542,15139,14944,14792,14577,14314,14187,14040,14020,13837,13736,13683,13632,13843,13798,13814,13874,14769,14684,14766,14792,14838,14320,14163,14174,14232
"344","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (130)","DNPIRX0",140280,141595,142229,145070,149953,151774,152936,149053,140868,139861,139734,141766,146379,151028,156482,161810,162953,164153,165422,167442,172792,173560,179926,185093,186076,189811,192895,196843,200357,204994,212785,218058,217617,220498,220023,219242,220045,218078,216979,218154,213432,213662,212771,216437,222784,232101,243135,243571,241007,237019,245903,255532,260553,262182,268415,275408,259363,252012,256511,259645
"345","337","    Gross output of nonprofit institutions (133)","DNPERX0",632622,634784,636945,641400,644231,651513,655538,662385,657822,659632,665505,672230,684939,691945,701409,708605,713334,717185,722795,730551,736946,744153,752607,762258,770912,779144,789801,801353,815289,827978,838386,842786,841867,843335,844433,846425,851501,856348,864109,870456,871616,872179,874456,880278,891474,899019,903741,909823,919486,919808,923901,935055,949540,955015,957177,965050,957818,958160,956997,960310
"346","338","      Health, gross output","DHLGRX0",359832,361212,362615,364892,363020,367102,367865,373503,373780,376102,380377,383037,390418,391517,395084,397646,400732,402474,405411,408174,409237,411025,413668,415623,419367,421604,426768,433768,442079,448091,452088,454026,457351,459408,460668,461803,464152,468746,474147,477989,482814,482312,484411,486807,493588,497457,498694,500368,510227,508063,509647,517012,524981,525616,522450,525913,521865,522485,520986,523162
"347","339","        Outpatient services, gross output","DOUGRX0",41904,42736,43571,43948,44074,44409,44749,45199,44917,44704,44923,45438,45870,45993,46150,46230,46457,46951,47440,47779,47934,48436,48529,49058,49611,50432,51679,53107,54789,56280,57376,58023,58319,58880,59905,61285,62904,64128,64861,64884,64703,64771,64922,65758,66367,66768,67499,68315,69193,69660,69332,68163,66513,65283,64467,64265,63864,63637,63312,62951
"348","340","        Nonprofit hospitals, gross output","DHSORX0",287574,287632,287806,289160,287032,290271,290105,294619,294016,295381,298678,300353,307786,308044,311185,313355,315927,317092,319359,321615,322490,323637,326006,326982,329509,330150,334030,339094,345489,350157,352850,353892,356780,358079,358667,358700,360033,363446,368016,371774,376517,375346,376736,378171,384498,387730,388987,389719,399118,396278,397846,405542,415530,417404,414748,417446,414707,414562,413590,416164
"349","341","        Nonprofit nursing homes, gross output","DNXORX0",30437,30883,31241,31777,31886,32397,32965,33644,34794,35968,36736,37190,36757,37462,37744,38067,38359,38432,38608,38777,38810,38941,39129,39564,40215,40969,41001,41504,41742,41604,41814,42063,42204,42403,42062,41796,41211,41178,41280,41337,41593,42196,42755,42877,42723,42958,42204,42332,41908,42121,42463,43293,42915,42904,43210,44178,43266,44270,44065,44011
"350","342","      Recreation services, gross output","DRCGRX0",22439,22638,22489,22403,22279,22261,22312,22450,22433,22662,22636,23122,23010,23160,23554,23887,24245,24528,24710,25487,25480,26016,26287,26704,27393,28003,27986,28115,28515,28907,29369,29849,29783,29626,29409,29192,28949,28799,28988,28977,29209,29671,29757,30048,30349,30496,30685,30786,30871,30947,31213,31459,31810,32256,32298,32032,31745,31510,31398,31295
"351","343","      Education services, gross output","DEDGRX0",92052,92629,92971,93986,95226,96052,96873,96970,96625,96521,97170,98408,100052,101305,102284,103550,104543,105053,105397,106690,107624,108801,110420,112056,114105,116204,117818,119380,120677,122326,124608,123782,123669,124163,123979,124640,125427,125529,125374,126666,128208,128750,130098,130569,131383,133725,134538,137756,139748,141751,142983,144580,145638,146803,148611,148547,149569,149621,149495,149773
"352","344","      Social services, gross output","DSSGRX0",49815,50328,50594,50909,50872,51534,52640,53910,54830,55406,56247,57328,58553,60159,62152,63532,65102,66426,67929,69754,71588,73612,75446,78062,81267,83349,85497,86987,87941,89280,90298,91645,91800,92401,92816,92375,91894,91042,91378,90746,91115,92311,91669,92977,93431,92244,92451,92024,92216,92893,93173,93124,93121,93498,93910,94900,95563,95951,95807,96421
"353","345","      Religious organizations, gross output","DREORX0",53956,54242,54875,55835,57692,58363,58934,58966,58038,57535,57686,58473,59730,60777,61471,61778,61728,61677,61725,61836,62001,62321,62837,63534,64364,65224,66111,67009,67853,68368,68534,68320,67792,67525,67730,68327,69083,69708,70001,69939,69576,69409,69557,69995,69736,69348,69353,69735,70418,71159,71942,72742,73407,74021,74510,74854,75097,75341,75614,75889
"354","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",13628,13434,13119,13034,12892,12608,12376,11899,11379,11083,11036,11224,11619,12082,12587,13132,13698,14217,14672,15047,15370,15822,16459,17287,18253,19085,19696,20070,20221,20283,20289,20227,20108,20055,20122,20283,20472,20603,20616,20504,20311,20281,20471,20873,21406,21813,22062,22133,22081,22215,22620,23304,24177,24945,25495,25809,26267,26881,27518,28172
"355","347","      Social advocacy establishments, gross output","DSAORX0",6279,6339,6382,6431,6429,6521,6630,6648,6694,6769,6883,6871,6922,6967,6931,7027,7169,7295,7522,7786,7825,7906,8070,8134,8309,8514,8770,9194,9837,10253,10681,11128,11196,11269,11287,11164,10902,10809,10840,10627,10688,10824,10648,10837,11093,11342,11609,11752,11892,12053,12180,12405,12710,12984,13313,13393,13456,13727,14003,13866
"356","348","      Civic and social organizations, gross output","DCIORX0",7466,7457,7448,7407,7337,7370,7348,7294,7174,7145,7211,7341,7576,7748,7873,7963,8064,8091,8296,8384,8490,8669,8813,8940,9109,9234,9404,9530,9748,9933,10089,10278,10376,10481,10526,10511,10412,10312,10343,10169,10100,10309,10257,10499,10778,10902,11024,11067,11071,11081,11127,11186,11268,11373,11384,11380,11100,10773,10615,10447
"357","349","      Professional advocacy, gross output","DSNGRX0",28010,27327,27271,27349,29413,30628,31450,31587,27620,27128,26972,27108,27774,28911,30123,30709,28637,27974,27655,27843,29729,30288,30860,32075,28805,27924,27738,27302,28432,30545,32436,33515,29773,28379,27872,28118,30208,30804,32435,34865,29590,28311,27587,27681,29720,31684,33316,34173,30928,29589,28943,29154,32329,33401,35076,38157,33003,31707,31401,31136
"358","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",495377,496201,497734,499279,497067,502545,505413,516397,520335,523250,529385,534114,542167,544280,547979,549462,553033,555648,560008,565748,566321,572927,574416,578519,586376,590602,598101,605538,615938,623791,625778,624526,624136,622618,624272,627121,631421,638264,647145,652326,658180,658519,661691,663837,668686,666991,660886,666514,678598,682782,678298,680146,689683,693543,689815,691019,698707,705704,700524,700940
"359","351","      Health services to households","DHLRRX0",349056,349216,350483,351352,348455,352678,353896,362338,365629,368419,373898,377104,383675,384630,387026,387496,390138,392243,396111,400144,399681,404610,404878,406963,412326,414979,421780,430029,441293,449116,450289,449313,449046,446864,448156,450162,454121,461381,470002,476237,482196,482565,486629,487870,491711,489681,483709,488782,500446,504062,499459,501206,510805,513923,509054,509982,517528,524719,519846,519966
"360","352","        Outpatient services to households","DOUSRX0",32820,33397,34045,34321,34406,34608,35103,36257,36314,36222,36539,37148,37701,37875,38000,37906,37912,38249,38769,39287,39798,40550,40727,41046,41269,41872,42862,44098,45926,47426,48437,49009,49073,49567,50517,51622,53274,54857,56467,57507,58647,59557,60341,60781,59758,58854,58571,59058,60065,61253,62178,62609,62982,63359,63618,63758,63864,64534,65024,65481
"361","353","        Nonprofit hospitals' services to households","DNPHRX0",283249,282712,283086,283371,280452,284222,284599,291758,294164,296356,300942,303027,308934,308960,311205,311845,314512,316475,319612,322988,322286,325985,326238,327933,332642,334577,340454,347112,356303,362640,362571,360468,359898,357090,357622,358877,361469,367071,373859,379022,383600,382682,385642,386961,391893,391273,385886,390382,400833,402929,397805,398681,408357,410704,406458,407375,415176,421114,416335,416149
"362","354","        Nonprofit nursing homes' services to households","DNPNRX0",33354,33457,33693,34027,33973,34214,34572,34614,35518,36279,36883,37389,37481,38267,38293,38225,38207,37987,38184,38312,37986,38447,38271,38335,38797,38885,38817,39156,39379,39339,39498,39991,40221,40316,40100,39721,39409,39471,39684,39714,39952,40323,40646,40131,40045,39526,39237,39319,39505,39856,39498,39947,39473,39867,39013,38887,38517,39092,38551,38418
"363","355","      Recreation services to households","DRCRRX0",12249,12397,12410,12323,12236,12222,12263,12416,12404,12337,12365,12622,12520,12508,12601,12694,12802,12895,12974,13211,12989,13104,13028,13158,13434,13597,13326,13067,13088,13042,13119,13188,13103,12967,12946,13047,13103,13273,13483,13404,13639,13796,13805,13910,14037,14115,14083,13895,13643,13411,13310,13225,13198,13252,13141,12898,12648,12501,12250,12215
"364","356","      Education services to households","DEDRRX0",69439,69463,69267,69812,70567,71174,72040,73351,73209,72556,72508,72812,73424,73672,73864,74325,74553,74518,74219,74852,75245,75769,76493,77230,78078,78603,78225,77009,75290,74391,74679,73495,73326,73550,73177,73134,72976,72354,71589,71760,72162,71891,72266,72089,72152,72436,71740,72416,72437,72544,72550,72822,73010,73354,74100,73914,74266,74094,73809,73717
"365","357","      Social services to households","DSSRRX0",24828,25243,25478,25802,25954,26461,27191,28200,28795,29143,29691,30383,31230,32247,33391,34050,34715,35298,36078,37116,38225,39412,40457,41853,43501,44680,46044,47110,48052,48995,49567,50066,49913,50208,50669,51160,51781,51900,52237,51456,51062,51029,50199,50621,50909,50583,50826,50748,51108,51563,51736,51733,51586,51679,51766,52065,52313,52507,52654,53226
"366","358","      Religious organizations' services to households","DRELRX0",5561,5580,5629,5715,5894,5949,6016,6089,6034,5981,5960,5969,5997,6017,6024,6013,5985,5949,5908,5861,5805,5756,5719,5691,5668,5639,5602,5558,5507,5463,5434,5416,5407,5409,5428,5459,5486,5505,5503,5480,5438,5410,5404,5418,5407,5394,5404,5435,5483,5536,5594,5656,5709,5758,5797,5824,5843,5862,5884,5905
"367","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1220,1205,1167,1139,1103,1084,1102,1133,1204,1264,1284,1263,1207,1153,1108,1071,1040,1010,980,948,915,875,828,775,719,663,612,562,518,488,471,466,470,478,488,501,513,522,524,521,513,512,519,534,555,576,596,616,633,642,642,632,613,598,589,585,578,568,559,550
"368","360","      Services of social advocacy establishments to households","DSASRX0",1608,1632,1650,1674,1685,1721,1729,1661,1630,1634,1662,1677,1720,1759,1769,1804,1841,1863,1899,1932,1899,1879,1882,1865,1872,1863,1836,1815,1818,1805,1836,1914,1965,2011,2030,2006,1944,1915,1912,1871,1882,1912,1892,1941,1994,2041,2095,2130,2167,2197,2208,2221,2238,2253,2288,2291,2300,2346,2394,2370
"369","361","      Civic and social organizations' services to households","DCISRX0",5963,6004,6029,6048,6045,6126,6125,6105,5998,5963,6006,6102,6282,6397,6457,6471,6479,6425,6515,6512,6521,6578,6592,6580,6584,6551,6544,6501,6525,6563,6626,6757,6869,7004,7112,7194,7222,7220,7273,7144,7059,7164,7091,7227,7414,7507,7596,7630,7634,7639,7665,7695,7738,7799,7799,7792,7600,7376,7267,7153
"370","362","      Professional advocacy services to households","DSNRRX0",27657,27633,27688,27549,27527,27481,27507,27513,27698,28016,27884,27982,27819,27559,27308,27118,26996,26888,26613,26422,26302,26140,25759,25595,25319,25118,25084,24647,24351,24279,24097,24127,24248,24357,24451,24616,24392,24249,24622,24447,24221,24239,23888,24232,24517,24664,24852,24866,25081,25235,25168,24984,24839,24985,25268,25683,25656,25809,25927,25929
"371",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","363","  Control Group","DCGPRX0",1698658,1713154,1731232,1743285,1753409,1785323,1799410,1823325,1836695,1842389,1878910,1895339,1922786,1959280,1987402,2029078,2073107,2104545,2134277,2194170,2211975,2251538,2271652,2292154,2291343,2305432,2316598,2353855,2383237,2394814,2403805,2437735,2457427,2492344,2560249,2584357,2615530,2628475,2662084,2699421,2735685,2771714,2794473,2841051,2896746,2898500,2915778,2966315,2998479,2997615,3026575,3051758,3029532,3051319,3015921,2945942,2955768,2937152,2960376,3001367
"373","364","  PCE food and energy","DPFERX0",968734,975042,979712,978648,992231,993599,984043,990771,992370,994110,997597,1007521,1001821,1018100,1025384,1018949,1032855,1047764,1056639,1058590,1041836,1065373,1069268,1085772,1079138,1068293,1070682,1069953,1067907,1078871,1084077,1096135,1104528,1099721,1109175,1113713,1127394,1127947,1124434,1141649,1153410,1155605,1165748,1166056,1149695,1167316,1176575,1179281,1190760,1185771,1190131,1187721,1186011,1181723,1152335,1159082,1163869,1163223,1168678,1185336
"374","365","  PCE energy goods and services \1\","DNRGRX0",418194,429457,435019,430393,443450,441553,431468,437116,433735,439770,439479,451605,445415,459497,463130,448629,456307,466856,470773,460486,448731,465033,468584,480045,475069,457822,463009,460544,461456,473521,476436,483761,482937,484226,483255,492357,494063,493303,485375,494248,496832,496936,495677,491315,474008,483809,490249,482776,490874,490328,491628,482800,479842,475192,456855,474492,478310,470904,469652,479019
"375","366","  PCE excluding food","DPXFRX0",5454750,5506569,5560547,5601090,5654845,5722421,5761020,5810671,5870859,5899814,6006236,6081324,6147871,6258685,6345384,6447411,6509938,6615706,6697200,6790922,6908891,6970675,7043979,7105768,7138690,7163930,7200250,7321574,7351477,7390939,7442775,7466118,7499588,7580593,7685612,7734723,7803114,7847587,7916772,8006635,8062355,8144323,8195636,8213622,8309939,8350908,8404104,8484122,8564374,8595335,8636391,8656930,8641420,8641898,8568015,8509133,8522011,8495346,8552281,8590832
"376","367","  PCE excluding energy","DPXERX0",5606649,5647035,5696271,5741653,5787759,5858170,5902415,5948888,6014465,6035732,6143864,6209196,6278406,6382231,6468515,6581363,6644193,6746607,6828927,6937148,7056227,7113643,7184058,7241760,7275899,7318583,7348026,7470121,7496279,7527502,7578631,7601247,7642975,7716457,7830042,7868081,7945476,7991310,8070196,8160164,8222393,8305917,8369711,8397213,8514459,8552189,8600907,8700326,8775703,8802797,8845574,8883771,8872855,8879951,8819692,8724774,8734833,8721732,8786484,8822620
"377","368","  PCE excluding food and energy \2\","DPCCRX0",5058960,5101831,5150867,5193816,5237385,5305107,5350290,5394956,5456586,5480664,5585353,5650548,5720124,5819316,5901699,6010468,6066598,6163184,6240433,6339590,6464291,6513036,6582584,6634427,6670665,6709351,6740878,6861894,6890541,6920759,6969476,6986919,7020437,7099263,7203534,7244725,7310946,7355659,7431101,7512554,7565776,7647291,7699770,7722338,7837778,7868031,7914293,8002799,8074927,8106661,8146416,8177143,8164678,8170849,8120099,8038709,8047704,8028151,8086308,8115065
"378",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","369","    Market-based PCE","DPCMRX0",5248659,5293864,5350226,5387805,5430457,5495800,5520256,5584936,5639271,5661970,5761890,5828518,5878714,5982414,6053910,6145176,6213765,6309034,6383514,6473524,6556393,6621545,6679753,6744153,6776123,6786782,6818343,6930600,6954755,6998103,7052148,7075716,7107646,7182685,7282949,7323555,7387562,7419380,7484270,7574698,7637202,7725463,7784822,7796158,7874123,7910176,7948548,8025091,8102297,8119407,8159435,8193576,8172351,8177911,8100623,8015942,8040790,8024200,8079560,8122643
"380",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","370","  Market-based PCE motor vehicles and parts","DMOMRX0",216944,216199,222112,227146,228516,231870,231248,234145,244854,235750,251957,260712,253483,274000,276769,303270,290894,310640,311769,304231,329278,306093,310528,310449,319442,311647,317511,371764,342786,346959,374384,349135,346865,364869,374033,366636,370023,363419,367834,372071,361224,380067,387014,337227,350887,351076,356689,355225,361135,360545,354877,358431,339946,319344,297039,267947,270633,264808,295094,273614
"382","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",256124,260647,268612,273324,276354,288227,292104,300030,304601,310259,319766,327674,339102,350515,364341,377444,392053,404593,420625,438338,454589,463553,471475,476378,481170,486267,492226,511551,528323,535569,539059,549697,550226,570456,597252,611223,622570,631328,646794,660059,674441,689853,699046,720045,749291,746425,752043,768709,781876,786357,805335,819589,810133,816508,804518,773662,779047,768597,789757,809722
"383",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",549336,546634,546731,549115,551609,554212,553204,555001,558916,556012,559333,559345,558809,563330,567130,571060,577807,583577,588630,597728,591764,600543,601327,607214,605061,609084,606970,607976,605449,606403,608780,613995,622275,616834,626172,623044,634196,635359,638809,647309,656299,658296,669580,674513,676273,683717,686171,697110,700400,695805,698823,706204,707666,708555,699243,686001,687018,693094,699615,706864
"385","373","  Market-based PCE clothing and footwear","DCLMRX0",197344,199438,203021,203217,204617,209673,213196,214539,214620,212698,219775,222562,227326,231155,229475,234818,243323,245428,247059,247693,251721,257170,259975,262169,257953,259635,259326,263800,266792,266900,265246,273524,273725,281264,288272,288335,295959,292489,296531,302651,307085,314284,314657,324621,329081,326756,331300,337107,343445,342882,346827,348714,347313,353163,342904,334953,333508,326458,326217,332397
"386","374","  Market-based PCE gasoline and other energy goods","DGOERX0",264068,266206,263230,263802,267371,269082,269164,268408,270173,273937,275142,276449,278797,283252,285925,287099,289031,295483,291922,293390,282878,288297,289538,287789,289056,285392,290727,291617,290597,294052,295722,295562,296103,299370,304944,308198,306857,307539,305594,306119,309849,306406,302697,300343,296425,297229,299991,299866,301468,301256,301476,298549,292574,289897,280083,287223,293198,293997,292685,290746
"387","375","  Market-based PCE other nondurable goods","DNDXRX0",434620,440318,442297,446536,448889,456826,463250,472259,474965,478132,487938,494175,497944,505159,512983,522628,532657,535876,537977,560116,553616,566678,573073,582564,578703,583239,589925,597603,603572,602677,606031,613852,622832,625966,640072,648418,647293,653813,661575,666216,671373,676686,678652,685374,696170,699286,701721,716874,721711,721472,726153,729169,719931,729767,731913,717257,720581,710513,713190,724009
"388",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","376","  Market-based PCE services","DSEMRX0",3440891,3474923,3507960,3525586,3554989,3580156,3589568,3628927,3657325,3683988,3729706,3765417,3798059,3843802,3882743,3903452,3938761,3980205,4026443,4069822,4119240,4169169,4201743,4244712,4271274,4276392,4285969,4299283,4330298,4359006,4374015,4390478,4405942,4430765,4456474,4481934,4513496,4538241,4568558,4621058,4657645,4699586,4732863,4753920,4777413,4806844,4821963,4852653,4895452,4914264,4930514,4939755,4960179,4966822,4950894,4944920,4953761,4960570,4962701,4986245
"390",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","377","    Market-based PCE housing services","DHSMRX0",996853,1003549,1008971,1013966,1018262,1022816,1027817,1033403,1041275,1049958,1058477,1066864,1074916,1083344,1092647,1102486,1112736,1122331,1130865,1138324,1145277,1153659,1163499,1175180,1188083,1198636,1204206,1205395,1203932,1203297,1204412,1207288,1211560,1215555,1220213,1225062,1230021,1238643,1251284,1267899,1287713,1305332,1318816,1328410,1338271,1347018,1352639,1355218,1355162,1356163,1359363,1364605,1371468,1377147,1381440,1384294,1386542,1389016,1391375,1393654
"392","378","    Market-based PCE household utilities","DUTLRX0",210031,218150,225143,221360,230012,227792,219860,225581,221676,224199,223351,232516,226089,234278,235679,224396,229829,234298,240183,230698,228756,238593,240669,252461,247103,235096,235641,233240,234828,242392,243949,250638,250145,248780,243443,248116,250577,249170,243776,251692,250570,253753,256433,255024,242162,252111,256225,248865,255533,255328,256526,250086,253893,251893,242730,253645,252115,244937,244803,256030
"393","379","    Market-based PCE health care","DHLCRX0",940271,944618,950302,954786,955212,964612,968194,980327,985602,990926,1001207,1010711,1023330,1028197,1032908,1033582,1035805,1039915,1048352,1058277,1064448,1078508,1085846,1097297,1113123,1125738,1142340,1160584,1183462,1200320,1209591,1215908,1221576,1224842,1232232,1239023,1247420,1260890,1277597,1288676,1304449,1311084,1321320,1326953,1337317,1339244,1335776,1347689,1365106,1371719,1377561,1387552,1409001,1418198,1416143,1422381,1434294,1448156,1448633,1453726
"394","380","    Market-based PCE transportation services","DTRSRX0",208687,211022,215507,220144,225620,229159,233005,237676,244442,247417,251187,252225,254514,257658,260585,263938,267619,270856,276212,279269,282904,285901,287638,288451,288533,287114,281737,276963,277732,275346,275053,275237,275834,274508,277717,278880,280848,283171,283664,285226,285199,286112,287206,285082,283166,284714,284534,287530,289029,289444,288551,286335,280701,275665,272147,266654,261862,262528,265042,265528
"395","381","    Market-based PCE recreation services","DRCMRX0",182570,187350,189315,191444,191933,193807,195678,194945,196279,197083,198383,201369,204142,205087,207863,208934,210162,212187,215490,216625,216898,219164,218921,219517,220495,217936,216463,215867,216626,216043,215337,217254,216799,217939,220198,223304,225004,228348,229056,229169,230833,230185,230917,232665,232405,235158,238079,241692,245174,246917,247689,247237,247798,248055,246279,244632,245647,245249,243161,244957
"396","382","    Market-based PCE food services and accommodations","DFSMRX0",405638,406317,406859,406064,406128,408203,408812,412597,416772,416638,421184,418188,422951,428278,429905,436044,434513,437166,438947,449472,456930,461001,462631,461079,464553,459918,457342,456675,463506,467168,468022,468714,472035,479271,488493,491743,495265,495291,498026,502667,505209,512875,515240,520755,531894,525721,525587,531240,532117,533316,534968,537901,534962,538569,535049,523831,521750,518692,516121,515308
"397","383","    Market-based PCE financial services and insurance","DFIMRX0",43821,46186,48286,49010,52529,52960,51771,53616,54009,53880,59371,59136,59329,66243,72052,74784,79143,84449,88433,97760,110008,108650,110510,115522,111469,109819,105199,109791,110520,113000,115585,112947,109514,116435,118132,116953,121619,114683,111900,119964,115342,121328,123393,123731,125723,127522,127592,127885,130849,133608,135992,132856,129663,125392,126698,120399,122332,125363,127301,128495
"398","384","    Market-based PCE other services","DOTMRX0",475178,479116,483968,488461,493087,498363,502335,507923,513924,520978,530406,539457,547578,552604,560606,566276,574619,583211,591586,599617,610958,622163,630501,634050,636820,640970,642360,639934,639024,641569,642289,643341,649300,653909,656090,659155,663036,668341,673245,675874,678401,678942,679507,681239,687242,695526,701463,712767,722761,728264,730441,733906,733233,732537,732047,729603,730286,728505,728293,730319
