"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"338","330","Q1UST1 D         U.S. travel outside the U.S.","Q1UST10",33318,33915,33043,32106,28542,31617,30355,30535,31285,31277,30592,32109,31817,31455,32634,35174,34104,34465,33776,32968,34645,33831,33040,34878,35853,34883,35393,35314,37709,37352,38913,39727,42898,43269,43805,43670,43100,43842,44400,45276,48678,48718,48837,50343,49425,52496,45594,40531,44236,42623,41679,43430,39302,34329,38668,39006,37749
"339","331","Q1USS1 D         U.S. student expenditures","Q1USS10",758,771,772,780,766,796,796,772,750,750,751,797,853,879,927,943,948,1004,1005,977,1190,1095,1065,1127,1193,1209,1219,1223,1284,1330,1387,1413,1531,1590,1655,1634,1692,1782,1847,1808,1906,1991,2068,2171,2237,2310,2339,2380,2450,2415,2360,2405,2373,2266,2321,2336,2270
"340","332","Q1EXF1 C       Less: Expenditures in the United States by nonresidents (112)","Q1EXF10",67801,68546,67307,71732,64325,72602,74674,77940,79475,80008,78967,80332,81724,82791,83037,83772,82659,84234,83605,84859,85004,84930,91242,94535,92182,95462,87747,101393,97250,96339,97657,95641,94893,96162,91789,94295,95336,95221,96665,98776,101385,102521,99054,99673,101305,96728,88334,76011,85563,83794,85079,92756,84365,79719,87102,93621,92292
"341","333","Q1FTU1 D         Foreign travel in the U.S.","Q1FTU10",58509,59233,57866,62105,54898,62893,64842,68137,69563,70121,68991,70337,71636,72671,72799,73614,72423,73980,73184,74715,74721,74626,80763,84155,81777,84963,77165,90757,86703,85754,87017,84624,83917,85092,80600,83086,83982,83835,85158,87237,89714,90743,87151,87627,89087,84330,75717,63102,72702,70719,71814,79409,70735,65818,73732,80477,79008
"342","334","Q1MEF1 D         Medical expenditures of foreigners","Q1MEF10",1132,1129,1116,1091,1121,1089,1072,1050,1085,1056,1033,1013,1052,1031,1014,998,1047,1031,1016,1004,1044,1045,1053,1070,1149,1174,1195,1214,1242,1260,1278,1294,1311,1322,1339,1346,1415,1429,1437,1447,1476,1492,1509,1526,1547,1564,1580,1596,1605,1625,1650,1679,1691,1719,1709,1716,1738
"343","335","Q1EFS1 D         Expenditures of foreign students in the U.S.","Q1EFS10",8514,8514,8747,8830,8847,8903,9002,8868,8933,8919,9087,9094,9127,9162,9310,9217,9282,9289,9503,9187,9297,9318,9432,9275,9246,9295,9423,9370,9275,9303,9337,9720,9663,9743,9851,9862,9939,9957,10068,10090,10183,10279,10397,10533,10718,10859,10991,11109,11145,11272,11424,11600,11666,11762,11518,11503,11555
"344",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","336","Q1TGD1 D   Goods","Q1TGD10",1937419,1921961,1920612,1890764,1874997,1888459,1897032,1878819,1921230,1923479,1943883,1977273,1980561,2011730,2032809,2054562,2082808,2103831,2123224,2159536,2149081,2163977,2188288,2205573,2221452,2261446,2276005,2303127,2332469,2330839,2386178,2410799,2435784,2490618,2523979,2595002,2615013,2671167,2694523,2741768,2790194,2795196,2818664,2838085,2843847,2858574,2874622,2951716,2985217,2988084,3000169,3024424,3055115,3098707,3196233,3227177,3251404
"346","337","Q1CGP1 D   Control Group","Q1CGP10",1688813,1685705,1688887,1671126,1669227,1685902,1684694,1670362,1702775,1702948,1721325,1750803,1756354,1778086,1800978,1812991,1834107,1859885,1881691,1911194,1911885,1928067,1946839,1959987,1973382,2009767,2024938,2050592,2066528,2074372,2111497,2128346,2161549,2194381,2221590,2261799,2299713,2332028,2353489,2413827,2431563,2461313,2478062,2496242,2498463,2497229,2515829,2553793,2597159,2606582,2612256,2645730,2680635,2711840,2775014,2816629,2862881
"347","338","Q1PXC1 D   PCE except computers, peripherals, and software","Q1PXC10",4817579,4833112,4852596,4816708,4794144,4834183,4852663,4848177,4927988,4955239,5003179,5060158,5075424,5118744,5172576,5216298,5272809,5309299,5345790,5396408,5402836,5444951,5488941,5522084,5567547,5623253,5655861,5699382,5756160,5777921,5868645,5925892,5987290,6079421,6146845,6225853,6284372,6379515,6443324,6520523,6621091,6660527,6722729,6777833,6784261,6820082,6849208,6948904,7015994,7059448,7092122,7128479,7171866,7228310,7345816,7402929,7470287
"348","339","Q1GXC1 D     Goods except computers, peripherals, and software","Q1GXC10",1995267,1978694,1976951,1945106,1926957,1939047,1945577,1926597,1970090,1971224,1990895,2024124,2024732,2055138,2074754,2094675,2122286,2142400,2160633,2195078,2182296,2194912,2216216,2229579,2242500,2278301,2289838,2313770,2338560,2331865,2383491,2404657,2425601,2477587,2504922,2572070,2587979,2641016,2661075,2705536,2750052,2752404,2773431,2790972,2794403,2806438,2819580,2892178,2921588,2922640,2932793,2953516,2982235,3022103,3113819,3142123,3164284
"349","340","Q1DXC1 D       Durables except computers, peripherals, and software","Q1DXC10",517747,499743,494023,478542,462562,463349,468708,460604,478821,481599,491048,500333,502799,518575,523106,535104,547044,552256,556951,574906,561426,565761,579938,587059,590583,606236,608383,617881,631828,625002,650849,664542,663608,692626,706869,746778,739788,773191,787188,790031,832653,808478,818550,818287,819771,837390,836062,886518,886141,885305,894803,892009,891411,926821,983735,982931,968697
"350","341","Q1FXC1 D         Furniture and household equipment except computers, peripherals, and software","Q1FXC10",155309,152236,150315,148316,147729,150342,149408,147272,151606,151870,154994,158072,161107,164242,166274,167754,170458,176124,180446,186120,185413,187197,192161,195008,194096,200903,201455,205569,206121,208712,213014,215891,220274,222661,228085,233117,238159,244238,251903,259696,266468,268476,270674,270677,273036,274398,277452,283630,291495,295851,297005,300261,299540,311654,325409,332012,339266
"351",NA,"         Market based PCE:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","343","Q1MBP1  Market-based PCE","Q1MBP10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4944205,4963356,5046558,5099037,5149143,5233676,5292345,5367562,5427794,5513542,5569087,5641990,5721662,5760197,5806426,5855491,5868741,5891537,5918500,6010265,6076167,6114065,6142879,6181298,6223940,6286428,6402263,6455378,6512774
"353","344","Q1MBF1   Market-based PCE food","Q1MBF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835508,832698,839573,836460,843629,853406,860227,867652,868988,879535,884964,902834,906551,915954,918068,921456,926738,925878,926409,929686,943034,947740,948399,953910,969611,975397,992829,1000986,1020770
"354","345","Q1MBE1   Market-based PCE energy","Q1MBE10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308337,312816,312588,321249,318564,326559,327272,319930,327690,331577,332508,330118,325260,332036,332883,348946,348778,328906,330208,335173,342863,344754,340991,348925,351092,336063,339294,349508,352990
"355","346","Q1MBX1   Market-based PCE except food & energy","Q1MBX10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3780063,3817709,3907832,3961988,3993783,4058144,4105950,4177024,4232268,4303387,4352327,4409204,4489757,4512345,4555660,4584870,4592671,4637257,4662158,4745568,4790653,4821858,4853472,4878644,4903228,4975844,5071183,5105609,5139399
"356","347","Q1MBV1    Market-based PCE motor vehicles & parts","Q1MBV10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266529,256931,274144,283575,277537,299644,304230,333482,320565,342242,344574,336916,364433,340567,345946,345153,345785,360720,359149,398086,387986,383190,393298,384544,379689,396313,432137,422015,401332
"357","348","Q1DXM1    Durables except MV & parts","Q1DXM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330209,337094,347884,356233,365769,374332,387669,399918,412549,423954,438535,454412,469594,475134,480608,481891,484756,488280,493391,508172,523850,531751,535532,545673,551796,577066,602843,615740,626988
"358","349","Q1MPC1    Market-based PCE clothing & shoes","Q1MPC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242608,240514,248148,251334,257948,262897,261829,268491,278617,281981,284390,284583,290971,296075,300788,301770,299831,300155,303911,308738,317217,317526,317235,323043,325416,331605,339165,340221,352144
"359","350","Q1MBN1    Market-based PCE other nondurables","Q1MBN10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446252,449138,457427,463454,468168,474529,481346,489036,497658,501800,502796,521291,515391,528393,533690,541078,535909,539966,547667,554171,558879,560659,563694,570457,578116,583629,594524,603279,606780
"360","351","Q1MBH1    Market-based PCE housing","Q1MBH10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903984,909312,915326,921081,929187,935529,942141,947488,958919,964685,971257,977311,985098,992615,999157,1006108,1014213,1020576,1025684,1031768,1040272,1048188,1054879,1060963,1067226,1072046,1078030,1082162,1087788
"361","352","Q1MBO1    Market-based PCE other household operation","Q1MBO10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204803,208195,213735,218276,220823,222783,226813,228605,231592,237024,241461,242878,247162,251569,253784,254234,251377,255988,256124,255404,255591,258238,256268,255389,256701,259177,261646,263295,265625
"362","353","Q1MBT1    Market-based PCE transportation services","Q1MBT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329412,332213,335777,337331,339818,343780,346056,347066,352151,355010,358767,360449,363166,365220,365103,365508,366664,366868,363622,360398,363162,362276,359573,357578,358074,355539,354310,352417,352267
"363","355","Q1MBM1    Market-based PCE medical care services","Q1MBM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641026,644455,648772,652117,659911,660688,661771,662014,661896,665262,670786,676394,682106,690496,697464,706022,712615,721630,732797,743416,757955,768532,778047,790165,800540,810972,821528,832833,844160
"364","356","Q1MBR1    Market-based PCE recreation services","Q1MBR10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158648,159630,159184,160578,163457,164592,167292,168744,171016,173544,176139,177515,178588,180446,180982,182317,184238,183779,184435,187077,189005,189921,189764,192104,192180,193894,195618,198051,198903
"365","357","Q1PER1    Personal care services","Q1PER10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73587,74498,75465,76451,78162,79070,79989,80905,82194,82976,83865,84824,86665,86999,87201,87251,86858,86780,86759,86814,87052,87231,87425,87629,87864,88122,88416,88663,88920
"366","358","Q1MBB1    Market-based PCE personal business","Q1MBB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139897,141063,148706,149271,152171,159550,166784,170379,178299,185808,189043,201155,212404,209676,214518,215925,211620,212679,208540,212114,210177,215175,219139,213321,207596,214687,216055,220122,227886
"367","359","Q1GED1    Public higher education","Q1GED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36323,36611,36939,37315,37587,37809,38069,38354,38662,39031,39420,39821,40358,40640,40941,41238,41510,41749,41971,42156,42250,42351,42445,42521,42594,42681,42781,42855,42929
"368","360","Q1VED1    Commercial & vocational schools","Q1VED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22559,23540,24148,24666,25475,25891,25763,26233,26514,27141,27796,27442,28534,29223,29963,30411,30434,30907,30321,30903,31778,31312,30383,30556,30904,30805,31177,30627,30249
"369","361","Q1CHC1    Child care","Q1CHC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22436,22701,23067,23167,22867,22994,23441,23637,24212,24442,24408,24729,25138,25347,25597,25986,26389,26684,27163,27300,27238,27506,28283,27604,27321,26813,26870,27828,28270
"370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","  the Survey of Current Business monthly (NIPA table 2.8.5; B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","  Business annually (NIPA table 2.5.6; B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5 and table B.4,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","published in the Survey of Current Business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
