"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"95","74","    Imputations (-136)","A2111C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-121.0","-105.0","-99.0","-131.0","-223.0","-253.0","-288.0","-270.0","-276.0","-180.0","-172.0","-159.0","-181.0","-208.0","-216.0","-298.0","-309.0","-500.0","-261.0","-265.0","-309.0","-338.0","-463.0","-417.0","-533.0","-256.0","-582.0","-1,387.0","-4,041.0","-2,083.0","-7,940.0","-3,603.0"
"96","75","    Excluding imputations (73-74)","A2112C1","1,189.0","1,221.0","2,348.0","1,745.0","1,691.0","1,752.0","1,976.0","3,081.0","1,975.0","2,399.0","2,518.0","2,681.0","2,656.0","2,664.0","2,489.0","3,107.0","5,642.0","10,550.0","10,820.0","10,252.0","11,212.0","13,972.0","11,411.0","11,882.0","12,516.0","14,314.0","15,684.0","16,827.0","19,527.0","23,466.0","24,239.0","25,740.0","29,450.0","30,392.0","32,209.0","33,504.0","36,178.0","39,617.0","48,014.0","56,094.0","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","183,974.0","194,333.0","209,743.0","235,411.0","279,602.0","318,592.0","355,085.0","384,029.0","400,402.0","425,174.0","451,146.0","467,784.0","496,618.0","542,783.0","595,115.0","666,083.0","746,064.0","791,076.0","826,895.0","879,208.0","924,341.0","949,505.0","978,255.0","1,022,047.0","1,083,429.0","1,188,638.0","1,282,399.0","1,342,330.0","1,416,904.0","1,512,619.0","1,607,086.0","1,725,957.0","1,879,467.0"
"97","76","  Less: Contributions for government social insurance, domestic","A061RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,634.0","6,923.0","7,106.0","8,074.0","9,091.0","9,987.0","11,413.0","11,384.0","13,834.0","16,444.0","17,005.0","19,117.0","21,669.0","22,387.0","23,416.0","31,336.0","34,867.0","38,695.0","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,453.0","778,917.0","827,308.0","872,717.0","921,829.0","959,338.0","990,599.0"
"98","77","    Imputations (175)","A1676C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","110.0","1,478.0","773.0","431.0","393.0","51.0","29.0","39.0","73.0","139.0","142.0","118.0","119.0","202.0","202.0","180.0","208.0","180.0","200.0","200.0","171.0","144.0","276.0","350.0","411.0","605.0","828.0","899.0","781.0","910.0","1,354.0","1,516.0","1,393.0","1,201.0","1,311.0","1,491.0","1,578.0","1,528.0","1,719.0","1,739.0","1,901.0","2,075.0","2,223.0","2,501.0","2,667.0","2,994.0","3,359.0","4,183.0","4,161.0","3,484.0","3,081.0","2,953.0","2,879.0","2,890.0","2,965.0","3,185.0","3,497.0","3,829.0","4,211.0","4,511.0","4,641.0","4,982.0","5,012.0","5,326.0"
"99","78","    Excluding imputations (76-77)","W531RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,343.0","5,230.0","5,140.0","4,791.0","4,185.0","4,497.0","5,431.0","6,605.0","6,884.0","7,033.0","7,935.0","8,949.0","9,869.0","11,294.0","11,182.0","13,632.0","16,264.0","16,797.0","18,937.0","21,469.0","22,187.0","23,245.0","31,192.0","34,591.0","38,345.0","43,716.0","45,754.0","50,348.0","58,305.0","74,715.0","84,271.0","87,956.0","99,818.0","111,701.0","130,059.0","151,438.0","164,697.0","194,123.0","207,366.0","224,234.0","255,731.0","279,469.0","301,363.0","320,890.0","358,981.0","382,564.0","407,114.0","426,823.0","450,768.0","473,264.0","504,696.0","529,719.0","552,125.0","584,362.0","621,761.0","658,320.0","702,655.0","729,699.0","747,624.0","774,706.0","822,797.0","868,076.0","916,847.0","954,326.0","985,273.0"
"100","79","Personal current taxes","W055RC1","1,729.0","1,571.0","1,003.0","728.0","812.0","900.0","1,067.0","1,295.0","1,922.0","1,858.0","1,487.0","1,686.0","2,310.0","4,888.0","16,737.0","17,663.0","19,442.0","17,210.0","19,790.0","19,205.0","16,733.0","18,912.0","27,055.0","32,005.0","33,242.0","30,160.0","32,859.0","36,591.0","38,886.0","38,548.0","42,289.0","46,068.0","47,250.0","51,555.0","54,552.0","52,069.0","57,664.0","66,378.0","72,961.0","86,987.0","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,418.0","1,000,347.0","1,047,821.0","1,208,589.0","1,352,402.0","1,490,935.0","1,432,409.0"
"101","80","  Imputations (-135-142)","A2115C1","-1,157.0","-1,192.0","-1,176.0","-1,111.0","-984.0","-993.0","-1,014.0","-1,000.0","-1,011.0","-1,029.0","-1,006.0","-1,034.0","-1,043.0","-1,089.0","-1,141.0","-1,211.0","-1,284.0","-1,275.0","-1,399.0","-1,541.0","-1,759.0","-1,895.0","-2,121.0","-2,382.0","-2,629.0","-2,898.0","-3,312.0","-3,785.0","-4,265.0","-4,762.0","-5,100.0","-5,594.0","-6,193.0","-6,734.0","-7,417.0","-8,094.0","-8,818.0","-9,510.0","-10,633.0","-11,994.0","-13,407.0","-15,231.0","-16,747.0","-18,061.0","-19,499.0","-20,840.0","-22,898.0","-25,285.0","-27,900.0","-28,508.0","-29,332.0","-31,924.0","-35,350.0","-38,613.0","-41,321.0","-44,478.0","-47,301.0","-50,172.0","-54,834.0","-58,429.0","-63,224.0","-67,163.0","-72,039.0","-74,526.0","-74,520.0","-78,118.0","-78,245.0","-80,814.0","-83,744.0","-85,520.0","-88,574.0","-91,458.0","-96,636.0","-104,303.0","-110,606.0","-117,831.0","-125,354.0","-133,141.0","-141,800.0","-146,528.0"
"102","81","  Excluding imputations (79-80)","A2116C1","2,886.0","2,763.0","2,179.0","1,839.0","1,796.0","1,893.0","2,081.0","2,295.0","2,933.0","2,887.0","2,493.0","2,720.0","3,353.0","5,977.0","17,878.0","18,874.0","20,726.0","18,485.0","21,189.0","20,746.0","18,492.0","20,807.0","29,176.0","34,387.0","35,871.0","33,058.0","36,171.0","40,376.0","43,151.0","43,310.0","47,389.0","51,662.0","53,443.0","58,289.0","61,969.0","60,163.0","66,482.0","75,888.0","83,594.0","98,981.0","117,913.0","118,301.0","118,452.0","141,701.0","151,906.0","171,888.0","170,505.0","197,593.0","225,419.0","257,905.0","297,998.0","330,779.0","380,515.0","392,723.0","393,646.0","421,890.0","464,640.0","487,389.0","543,892.0","563,367.0","629,319.0","659,871.0","658,664.0","685,057.0","721,053.0","768,622.0","822,143.0","912,769.0","1,009,895.0","1,111,947.0","1,196,100.0","1,323,717.0","1,331,468.0","1,154,721.0","1,110,953.0","1,165,652.0","1,333,943.0","1,485,543.0","1,632,735.0","1,578,937.0"
"103","82","Disposable personal income","A067RC1","83,209.0","74,569.0","64,235.0","49,123.0","45,986.0","52,757.0","59,255.0","67,323.0","72,150.0","66,519.0","71,374.0","76,761.0","93,738.0","118,519.0","135,381.0","148,295.0","152,201.0","161,420.0","171,082.0","190,480.0","190,240.0","209,943.0","230,843.0","243,211.0","258,416.0","264,136.0","283,139.0","302,875.0","319,657.0","330,371.0","350,052.0","365,187.0","381,559.0","404,858.0","424,951.0","462,253.0","497,835.0","537,402.0","575,111.0","624,700.0","673,821.0","735,509.0","801,392.0","868,998.0","978,138.0","1,071,696.0","1,187,254.0","1,302,347.0","1,434,984.0","1,607,330.0","1,790,861.0","2,002,661.0","2,237,111.0","2,412,707.0","2,599,844.0","2,891,456.0","3,079,348.0","3,258,809.0","3,435,308.0","3,726,305.0","3,991,377.0","4,254,015.0","4,444,876.0","4,736,731.0","4,921,615.0","5,184,312.0","5,457,013.0","5,759,623.0","6,074,591.0","6,498,949.0","6,803,307.0","7,327,174.0","7,648,460.0","8,009,679.0","8,377,778.0","8,889,417.0","9,277,293.0","9,915,675.0","10,403,140.0","10,806,380.0"
"104","83","  Imputations (59-80)","A2117C1","6,503.0","5,975.0","5,216.0","4,330.0","3,748.0","3,557.0","3,933.0","4,046.0","4,346.0","4,303.0","4,296.0","4,386.0","5,021.0","6,191.0","7,708.0","8,766.0","9,562.0","8,667.0","8,512.0","9,715.0","10,185.0","11,305.0","13,183.0","14,739.0","16,516.0","17,793.0","18,962.0","20,229.0","21,619.0","23,077.0","25,053.0","27,151.0","29,159.0","31,189.0","32,715.0","34,879.0","37,091.0","39,773.0","42,793.0","46,102.0","51,400.0","57,325.0","62,534.0","67,509.0","71,782.0","79,809.0","93,617.0","100,874.0","109,772.0","123,167.0","131,645.0","144,322.0","159,293.0","178,366.0","213,989.0","222,667.0","246,275.0","260,214.0","280,626.0","307,091.0","327,598.0","362,485.0","403,806.0","460,919.0","503,926.0","544,526.0","545,094.0","574,662.0","596,558.0","645,549.0","709,152.0","764,038.0","814,926.0","845,704.0","871,737.0","922,264.0","945,870.0","931,441.0","969,287.0","1,062,109.0"
"105","84","  Excluding imputations (82-83)","A2118C1","76,706.0","68,594.0","59,019.0","44,793.0","42,238.0","49,200.0","55,322.0","63,277.0","67,804.0","62,216.0","67,078.0","72,375.0","88,717.0","112,328.0","127,673.0","139,529.0","142,639.0","152,753.0","162,570.0","180,765.0","180,055.0","198,638.0","217,660.0","228,472.0","241,900.0","246,343.0","264,177.0","282,646.0","298,038.0","307,294.0","324,999.0","338,036.0","352,400.0","373,669.0","392,236.0","427,374.0","460,744.0","497,629.0","532,318.0","578,598.0","622,421.0","678,184.0","738,858.0","801,489.0","906,356.0","991,887.0","1,093,637.0","1,201,473.0","1,325,212.0","1,484,163.0","1,659,216.0","1,858,339.0","2,077,818.0","2,234,341.0","2,385,855.0","2,668,789.0","2,833,073.0","2,998,595.0","3,154,682.0","3,419,214.0","3,663,779.0","3,891,530.0","4,041,070.0","4,275,812.0","4,417,689.0","4,639,786.0","4,911,919.0","5,184,961.0","5,478,033.0","5,853,400.0","6,094,155.0","6,563,136.0","6,833,534.0","7,163,975.0","7,506,041.0","7,967,153.0","8,331,423.0","8,984,234.0","9,433,853.0","9,744,271.0"
"106","85","Personal outlays","A068RC1","79,598.0","71,621.0","61,844.0","49,651.0","46,762.0","52,262.0","56,746.0","63,127.0","67,877.0","65,248.0","68,211.0","72,413.0","82,307.0","89,965.0","100,806.0","109,677.0","121,163.0","145,890.0","163,815.0","177,256.0","180,887.0","195,019.0","211,499.0","222,862.0","237,148.0","244,324.0","263,598.0","277,226.0","292,802.0","302,186.0","323,953.0","338,858.0","349,679.0","371,396.0","391,834.0","421,708.0","455,132.0","493,134.0","520,935.0","572,223.0","621,357.0","666,081.0","720,970.0","791,536.0","875,207.0","957,515.0","1,061,311.0","1,179,552.0","1,309,682.0","1,464,955.0","1,633,410.0","1,806,352.0","2,000,371.0","2,148,794.0","2,372,918.0","2,595,192.0","2,825,749.0","3,012,356.0","3,211,870.0","3,469,688.0","3,726,396.0","3,977,323.0","4,131,682.0","4,388,664.0","4,636,229.0","4,913,629.0","5,170,756.0","5,478,482.0","5,794,167.0","6,157,471.0","6,595,527.0","7,114,078.0","7,443,544.0","7,727,479.0","8,088,023.0","8,585,686.0","9,149,601.0","9,680,723.0","10,224,267.0","10,519,951.0"
"107","86","  Imputations (5-138+198)","A2119C1","4,947.0","5,146.0","4,783.0","4,456.0","4,038.0","3,716.0","3,845.0","3,716.0","3,890.0","3,824.0","3,330.0","3,105.0","3,305.0","5,888.0","8,027.0","9,190.0","9,596.0","3,422.0","108.0","-1,728.0","-425.0","-4,616.0","-786.0","1,044.0","2,357.0","2,017.0","27.0","2,865.0","5,882.0","8,155.0","5,294.0","9,004.0","11,994.0","12,864.0","12,601.0","13,600.0","15,237.0","19,687.0","22,928.0","23,321.0","27,477.0","35,526.0","31,221.0","26,662.0","26,706.0","43,008.0","57,851.0","48,536.0","35,606.0","37,512.0","48,154.0","80,519.0","100,696.0","130,008.0","127,232.0","115,051.0","136,735.0","127,539.0","134,475.0","154,120.0","178,508.0","229,844.0","283,794.0","312,175.0","338,125.0","350,448.0","366,286.0","368,036.0","373,237.0","385,307.0","428,071.0","470,345.0","505,285.0","510,974.0","487,811.0","457,386.0","413,508.0","428,369.0","601,075.0","833,494.0"
"108","87","  Excluding imputations (85-86)","A2120C1","74,651.0","66,475.0","57,061.0","45,195.0","42,724.0","48,546.0","52,901.0","59,411.0","63,987.0","61,424.0","64,881.0","69,308.0","79,002.0","84,077.0","92,779.0","100,487.0","111,567.0","142,468.0","163,707.0","178,984.0","181,312.0","199,635.0","212,285.0","221,818.0","234,791.0","242,307.0","263,571.0","274,361.0","286,920.0","294,031.0","318,659.0","329,854.0","337,685.0","358,532.0","379,233.0","408,108.0","439,895.0","473,447.0","498,007.0","548,902.0","593,880.0","630,555.0","689,749.0","764,874.0","848,501.0","914,507.0","1,003,460.0","1,131,016.0","1,274,076.0","1,427,443.0","1,585,256.0","1,725,833.0","1,899,675.0","2,018,786.0","2,245,686.0","2,480,141.0","2,689,014.0","2,884,817.0","3,077,395.0","3,315,568.0","3,547,888.0","3,747,479.0","3,847,888.0","4,076,489.0","4,298,104.0","4,563,181.0","4,804,470.0","5,110,446.0","5,420,930.0","5,772,164.0","6,167,456.0","6,643,733.0","6,938,259.0","7,216,505.0","7,600,212.0","8,128,300.0","8,736,093.0","9,252,354.0","9,623,192.0","9,686,457.0"
"109","88","Personal saving","A071RC1","3,611.0","2,948.0","2,391.0","-528.0","-776.0","495.0","2,509.0","4,196.0","4,273.0","1,271.0","3,163.0","4,348.0","11,431.0","28,554.0","34,575.0","38,618.0","31,038.0","15,530.0","7,267.0","13,224.0","9,353.0","14,924.0","19,344.0","20,349.0","21,268.0","19,812.0","19,541.0","25,649.0","26,855.0","28,185.0","26,099.0","26,329.0","31,880.0","33,462.0","33,117.0","40,545.0","42,703.0","44,268.0","54,176.0","52,477.0","52,464.0","69,428.0","80,422.0","77,462.0","102,931.0","114,181.0","125,943.0","122,795.0","125,302.0","142,375.0","157,451.0","196,309.0","236,740.0","263,913.0","226,926.0","296,264.0","253,599.0","246,453.0","223,438.0","256,617.0","264,981.0","276,692.0","313,194.0","348,067.0","285,386.0","270,683.0","286,257.0","281,141.0","280,424.0","341,478.0","207,780.0","213,096.0","204,916.0","282,200.0","289,755.0","303,731.0","127,692.0","234,952.0","178,873.0","286,429.0"
"110","89","  Imputations (177+178+179-140-144)","A2121C1","1,556.0","829.0","433.0","-126.0","-290.0","-159.0","88.0","330.0","456.0","479.0","966.0","1,281.0","1,716.0","303.0","-319.0","-424.0","-34.0","5,245.0","8,404.0","11,443.0","10,610.0","15,921.0","13,969.0","13,695.0","14,159.0","15,776.0","18,935.0","17,364.0","15,737.0","14,922.0","19,759.0","18,147.0","17,165.0","18,325.0","20,114.0","21,279.0","21,854.0","20,086.0","19,865.0","22,781.0","23,923.0","21,799.0","31,313.0","40,847.0","45,076.0","36,801.0","35,766.0","52,338.0","74,166.0","85,655.0","83,491.0","63,803.0","58,597.0","48,358.0","86,757.0","107,616.0","109,540.0","132,675.0","146,151.0","152,971.0","149,090.0","132,641.0","120,012.0","148,744.0","165,801.0","194,078.0","178,808.0","206,626.0","223,321.0","260,242.0","281,081.0","293,693.0","309,641.0","334,730.0","383,926.0","464,878.0","532,362.0","503,072.0","368,212.0","228,615.0"
"111","90","  Excluding imputations (88-89)","A2122C1","2,055.0","2,119.0","1,958.0","-402.0","-486.0","654.0","2,421.0","3,866.0","3,817.0","792.0","2,197.0","3,067.0","9,715.0","28,251.0","34,894.0","39,042.0","31,072.0","10,285.0","-1,137.0","1,781.0","-1,257.0","-997.0","5,375.0","6,654.0","7,109.0","4,036.0","606.0","8,285.0","11,118.0","13,263.0","6,340.0","8,182.0","14,715.0","15,137.0","13,003.0","19,266.0","20,849.0","24,182.0","34,311.0","29,696.0","28,541.0","47,629.0","49,109.0","36,615.0","57,855.0","77,380.0","90,177.0","70,457.0","51,136.0","56,720.0","73,960.0","132,506.0","178,143.0","215,555.0","140,169.0","188,648.0","144,059.0","113,778.0","77,287.0","103,646.0","115,891.0","144,051.0","193,182.0","199,323.0","119,585.0","76,605.0","107,449.0","74,515.0","57,103.0","81,236.0","-73,301.0","-80,597.0","-104,725.0","-52,530.0","-94,171.0","-161,147.0","-404,670.0","-268,120.0","-189,339.0","57,814.0"
"112",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","91","Government current receipts","W021RC1","10,544.0","9,975.0","8,685.0","8,171.0","8,628.0","9,700.0","10,462.0","11,886.0","14,266.0","13,873.0","14,249.0","16,622.0","23,764.0","31,224.0","47,619.0","49,432.0","51,366.0","50,395.0","55,395.0","56,759.0","53,590.0","66,093.0","81,921.0","86,446.0","90,802.0","85,936.0","96,659.0","104,150.0","109,802.0","108,172.0","122,983.0","134,391.0","139,032.0","150,571.0","162,173.0","166,603.0","180,327.0","202,827.0","217,686.0","252,081.0","283,544.0","286,853.0","303,602.0","347,033.0","390,387.0","431,769.0","442,075.0","505,932.0","567,325.0","646,072.0","728,923.0","798,661.0","917,686.0","939,286.0","1,000,301.0","1,113,464.0","1,214,620.0","1,290,079.0","1,403,178.0","1,502,442.0","1,627,184.0","1,709,269.0","1,759,709.0","1,845,120.0","1,948,233.0","2,091,882.0","2,215,503.0","2,380,425.0","2,557,217.0","2,729,766.0","2,902,480.0","3,132,442.0","3,118,188.0","2,967,867.0","3,043,390.0","3,265,721.0","3,659,271.0","3,995,154.0","4,209,165.0","4,057,554.0"
"114","92","  Imputations (148+161+175)","W568RC1","187.0","167.0","160.0","161.0","160.0","207.0","198.0","222.0","169.0","217.0","259.0","160.0","153.0","203.0","287.0","429.0","595.0","1,858.0","1,010.0","724.0","683.0","326.0","315.0","362.0","431.0","533.0","563.0","574.0","622.0","729.0","759.0","820.0","861.0","855.0","964.0","1,070.0","1,023.0","987.0","1,258.0","1,442.0","1,825.0","2,465.0","3,129.0","3,323.0","3,095.0","3,361.0","4,605.0","4,585.0","4,669.0","3,791.0","3,159.0","2,811.0","2,470.0","3,881.0","5,085.0","4,559.0","6,732.0","7,463.0","6,394.0","6,089.0","5,969.0","6,823.0","8,419.0","9,000.0","8,385.0","7,593.0","7,140.0","7,450.0","7,879.0","8,091.0","9,288.0","9,480.0","9,107.0","10,008.0","9,728.0","10,240.0","10,032.0","10,412.0","11,941.0","13,711.0"
"115","93","  Excluding imputations (91-92)","W514RC1","10,357.0","9,808.0","8,525.0","8,010.0","8,468.0","9,493.0","10,264.0","11,664.0","14,097.0","13,656.0","13,990.0","16,462.0","23,611.0","31,021.0","47,332.0","49,003.0","50,771.0","48,537.0","54,385.0","56,035.0","52,907.0","65,767.0","81,606.0","86,084.0","90,371.0","85,403.0","96,096.0","103,576.0","109,180.0","107,443.0","122,224.0","133,571.0","138,171.0","149,716.0","161,209.0","165,533.0","179,304.0","201,840.0","216,428.0","250,639.0","281,719.0","284,388.0","300,473.0","343,710.0","387,292.0","428,408.0","437,470.0","501,347.0","562,656.0","642,281.0","725,764.0","795,850.0","915,216.0","935,405.0","995,216.0","1,108,905.0","1,207,888.0","1,282,616.0","1,396,784.0","1,496,353.0","1,621,215.0","1,702,446.0","1,751,290.0","1,836,120.0","1,939,848.0","2,084,289.0","2,208,363.0","2,372,975.0","2,549,338.0","2,721,675.0","2,893,192.0","3,122,962.0","3,109,081.0","2,957,859.0","3,033,662.0","3,255,481.0","3,649,239.0","3,984,742.0","4,197,224.0","4,043,843.0"
"116","94","Government current expenditures","W022RC1","7,988.0","8,391.0","9,796.0","8,847.0","9,152.0","10,658.0","11,213.0","12,802.0","12,020.0","13,236.0","14,304.0","14,980.0","19,626.0","38,421.0","60,240.0","74,720.0","78,665.0","53,872.0","48,650.0","51,876.0","57,730.0","59,216.0","69,679.0","79,736.0","85,516.0","84,392.0","87,471.0","92,240.0","102,359.0","110,737.0","115,942.0","122,970.0","132,198.0","142,912.0","151,182.0","159,312.0","170,554.0","192,816.0","220,010.0","247,028.0","267,009.0","295,233.0","325,828.0","356,304.0","386,504.0","436,927.0","510,248.0","552,221.0","600,319.0","656,299.0","729,884.0","846,494.0","966,888.0","1,076,754.0","1,171,655.0","1,260,991.0","1,370,882.0","1,463,961.0","1,540,545.0","1,623,624.0","1,740,990.0","1,879,525.0","1,983,951.0","2,148,999.0","2,229,402.0","2,304,045.0","2,412,496.0","2,505,688.0","2,581,055.0","2,649,277.0","2,761,862.0","2,905,970.0","3,093,607.0","3,274,722.0","3,458,603.0","3,653,549.0","3,916,353.0","4,147,899.0","4,423,970.0","4,740,290.0"
