"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"306","299","        Professional association dues","DAXSRG3",6.093,6.274,6.398,6.495,6.623,6.992,7.376,7.599,7.999,8.302,9.009,9.979,10.828,11.874,12.977,14.055,15.042,16.018,17.156,18.349,19.875,22.539,25.559,28.976,32.987,36.032,38.403,40.931,44.215,45.909,48.572,52.069,54.894,57.682,59.965,61.815,63.777,65.998,68.695,72.119,75.849,79.988,84.017,88.31,92.303,95.777,100,104.424,108.687,113.033,116.111
"307","300","        Funeral and burial services","DFUNRG3",9.485,9.759,10.032,10.3,10.574,10.8,10.935,11.162,11.482,11.936,12.437,12.932,13.433,13.887,14.474,15.476,16.431,17.153,17.904,19.08,20.682,23.476,26.573,30.166,34.25,37.414,39.844,42.464,45.368,47.096,49.147,52.164,55.383,57.894,60.562,63.534,67.286,70.613,74.298,77.149,79.824,82.112,85.056,89.21,92.755,96.724,100,105.097,110.351,115.94,120.46
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRG3",13.768,14.314,14.429,14.64,14.99,15.34,15.784,16.57,17.394,18.226,19.19,20.149,20.794,21.174,22.228,24.478,26.487,28.232,30.085,32.719,36.219,40.302,44.216,47.123,49.222,51.636,53.929,55.927,57.978,60.437,63.372,65.893,68.325,70.128,72.146,73.932,75.585,77.232,79.618,80.896,83.029,85.784,89.289,91.376,93.59,96.313,100,103.609,107.328,112.683,116.384
"309","302","        Personal care services","DPCSRG3",13.957,14.509,14.584,14.788,15.21,15.701,16.257,17.181,18.08,19.086,20.2,21.242,21.899,22.334,23.545,25.748,27.745,29.472,31.379,33.835,37.105,40.862,44.491,47.231,49.194,51.546,53.799,55.765,57.683,60.126,62.979,65.363,67.677,69.532,71.563,73.298,75.119,76.867,79.376,80.697,82.897,85.82,89.313,91.323,93.563,96.246,100,103.602,107.333,112.616,116.236
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRG3",14.665,15.31,15.364,15.596,16.064,16.645,17.288,18.338,19.322,20.486,21.766,22.93,23.627,24.15,25.617,27.828,29.687,31.494,33.536,35.819,38.787,42.055,45.209,47.637,49.333,51.556,53.723,55.627,57.226,59.632,62.277,64.261,66.253,68.236,70.337,71.907,74.452,76.67,79.746,81.439,84.091,87.399,90.425,92.408,94.768,96.954,100,102.855,106.233,109.724,111.644
"311","304","          Miscellaneous personal care services","DMPCRG3",13.409,13.639,13.824,13.937,14.226,14.407,14.7,15.279,15.993,16.579,17.283,18.053,18.644,18.871,19.511,21.759,24.106,25.69,27.343,30.184,34.06,38.72,43.154,46.378,48.744,51.287,53.666,55.714,58.1,60.587,63.705,66.583,69.308,70.977,72.916,74.837,75.88,77.144,79.065,79.993,81.731,84.269,88.229,90.268,92.39,95.553,100,104.347,108.425,115.444,120.73
"312","305","        Clothing and footwear services","DCFSRG3",13.091,13.612,13.759,13.969,14.234,14.428,14.741,15.353,16.065,16.67,17.432,18.266,18.877,19.181,20.011,22.282,24.278,26.03,27.785,30.732,34.671,39.414,43.94,47.223,49.658,52.247,54.657,56.754,59.193,61.715,64.904,67.833,70.627,72.282,74.265,76.227,77.301,78.593,80.549,81.676,83.563,85.69,89.248,91.653,93.751,96.679,100,103.651,107.301,113.077,117.265
"313","306","          Laundry and drycleaning services","DDRYRG3",13.144,13.845,14.045,14.333,14.728,14.987,15.292,15.907,16.597,17.2,17.989,18.739,19.355,19.549,20.198,22.582,24.983,26.646,28.325,31.302,35.275,40.115,44.696,48.048,50.539,53.158,55.615,57.757,60.237,62.792,66.05,69.022,71.909,73.585,75.585,77.585,78.675,79.993,81.982,83.323,85.362,87.076,90.221,92.99,95.096,97.765,100,103.027,106.295,110.967,114.204
"314","307","          Clothing repair, rental, and alterations","DLGRRG3",12.858,13.214,13.292,13.434,13.557,13.68,14.003,14.617,15.364,15.977,16.712,17.68,18.289,18.76,19.854,21.999,23.521,25.378,27.214,30.138,34.041,38.681,43.15,46.361,48.741,51.294,53.656,55.709,58.105,60.588,63.71,66.589,69.305,70.936,72.903,74.826,75.881,77.149,79.069,79.988,81.725,84.257,88.218,90.261,92.348,95.534,100,104.343,108.42,115.436,120.741
"315","308","          Repair and hire of footwear","DSCLRG3",13.408,13.638,13.823,13.937,14.217,14.406,14.696,15.27,15.989,16.575,17.282,18.053,18.644,18.869,19.485,21.749,24.087,25.675,27.322,30.151,34.024,38.679,43.111,46.345,48.726,51.27,53.636,55.698,58.087,60.564,63.701,66.594,69.325,70.941,72.877,74.801,75.876,77.122,79.058,79.985,81.715,84.237,88.217,90.257,92.353,95.532,100,104.273,108.395,115.403,120.698
"316","309","      Social services and religious activities (120)","DSOCRG3",14.47,14.685,14.813,14.964,15.214,15.402,15.749,16.151,16.56,17.25,18.312,18.999,19.974,20.913,22.085,25.191,27.449,29.042,30.919,32.988,36.218,40.907,44.765,46.753,47.968,49.56,50.678,52.076,53.967,57.013,59.742,62.308,64.989,67.146,69.065,71.002,73.276,75.418,77.463,79.901,82.311,86.034,88.456,91.163,93.751,96.179,100,103.329,106.648,109.857,111.505
"317","310","        Child care","DCHCRG3",11.205,11.353,11.436,11.518,11.724,11.81,12.056,12.341,12.632,13.168,13.99,14.481,15.217,15.957,16.828,19.174,20.9,22.139,23.544,25.097,27.555,31.122,34.126,35.618,36.474,37.649,38.547,39.604,41.187,44.052,46.611,49.738,53.049,55.684,58.336,61.334,63.841,66.286,68.793,72.127,75.834,79.986,84.012,88.301,92.313,95.786,100,105.475,110.021,114.979,119.154
"318","311","        Social assistance","DSCWRG3",16.202,16.416,16.537,16.654,16.953,17.077,17.433,17.845,18.266,19.04,20.229,20.939,22.003,23.073,24.334,27.725,30.221,32.013,34.044,36.29,39.844,45.001,49.345,51.502,52.741,54.44,55.738,57.267,59.198,62.21,65.09,67.537,70.048,72.064,73.574,74.962,77.074,79.016,80.689,82.753,84.652,88.211,89.927,92.182,94.383,96.374,100,102.698,105.569,108.419,109.347
"319","312","          Homes for the elderly","DELDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.901,61.899,64.764,67.198,69.697,71.703,73.204,74.584,76.685,78.611,80.285,82.338,84.229,87.771,89.299,91.448,93.702,95.628,100,102.31,105.972,108.867,111.466
"320","313","          Residential mental health and substance abuse","DMENRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.488,61.465,64.31,66.727,69.209,71.2,72.692,74.063,76.149,78.066,79.743,81.814,83.679,87.196,88.71,90.865,93.564,95.56,100,102.714,105.191,108.413,107.971
"321","314","          Individual and family services","DFAMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.847,62.892,65.803,68.277,70.816,72.854,74.381,75.785,77.92,79.885,81.57,83.653,85.573,89.173,90.946,93.099,95.045,96.8,100,102.816,105.374,108.089,109.364
"322","315","          Vocational rehabilitation services","DVOCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.146,62.156,65.033,67.478,69.987,72.001,73.51,74.897,77.007,78.949,80.617,82.677,84.576,88.123,90.368,92.842,94.641,96.911,100,102.535,105.646,107.923,108.047
"323","316","          Community food and housing/emergency/other relief services","DCFORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.83,59.722,62.486,64.835,67.246,69.182,70.632,71.964,73.992,75.858,77.466,79.458,81.279,84.699,86.76,89.904,92.579,95.72,100,103.378,106.998,110.539,110.531
"324","317","          Other social assistance, not elsewere classified","DSIARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.026,63.081,66,68.482,71.028,73.072,74.604,76.012,78.153,80.125,81.816,83.902,85.833,89.443,90.701,92.965,95.414,97.477,100,102.563,105.214,108.027,108.041
"325","318","        Social advocacy and civic and social organizations","DSADRG3",15.557,15.886,16.055,16.306,16.587,16.994,17.437,17.965,18.491,19.272,20.396,21.285,22.404,23.388,24.565,27.811,30.165,31.877,33.859,36.092,39.778,44.711,48.958,51.008,52.205,53.863,54.916,56.332,58.248,61.157,63.783,65.82,68.092,69.939,71.756,73.256,75.466,77.45,79.119,81.373,83.406,86.508,88.896,91.282,93.455,95.995,100,102.834,106.015,108.458,110.206
"326","319","        Religious organizations' services to households","DRELRG3",14.586,14.733,14.869,14.998,15.199,15.327,15.658,16.043,16.449,17.091,18.148,18.866,19.853,20.702,22.054,25.549,27.843,29.281,31.524,33.991,37.013,42.058,45.209,47.558,49.536,51.766,52.728,54.362,56.733,59.864,61.838,62.435,64.059,65.217,66.391,68.264,70.582,72.89,76.33,78.352,80.595,85.433,88.402,90.394,92.604,95.806,100,103.796,107.896,109.898,109.79
"327","320","        Foundations and grantmaking and giving services to households","DGIVRG3",13.597,13.874,13.876,14.125,14.38,14.25,14.64,14.989,15.449,15.885,17.047,17.72,18.576,19.415,21.185,23.63,26.152,27.753,29.004,30.07,34.113,38.45,42.386,44.644,46.785,47.978,48.863,50.638,52.075,55.127,57.322,59.828,60.339,63.052,65.127,66.688,68.278,70.84,73.146,75.728,78.92,82.757,86.731,89.391,92.456,95.637,100,103.769,108.352,110.926,110.193
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRG3",12.309,12.943,13.114,13.429,13.667,14.065,14.649,15.378,15.953,17.301,18.51,19.926,21.083,22.065,23.419,25.701,27.78,30.719,32.928,35.385,38.742,42.013,45.713,48.64,50.124,51.883,53.819,55.272,56.472,58.314,59.81,61.384,64.71,67.018,68.987,70.285,72.607,74.756,76.67,78.799,81.201,84.71,88.391,91.334,93.754,96.101,100,103.593,106.183,109.58,110.032
"329","322","        Domestic services","DDMSRG3",12.017,12.742,12.897,13.238,13.496,13.937,14.587,15.392,15.952,17.518,18.753,20.275,21.464,22.516,24.093,26.486,28.521,32.286,34.827,37.315,41.019,44.358,48.237,51.026,52.123,53.55,55.217,56.479,57.686,59.629,61.364,63.064,66.527,68.633,70.417,71.792,74.186,76.227,78.181,80.261,82.537,85.914,89.135,92.368,94.647,96.822,100,103.521,107.328,111.36,112.626
"330","323","        Moving, storage, and freight services","DMSERG3",14.833,15.179,15.532,15.841,16.109,16.377,16.77,17.327,17.91,18.855,20.225,21.817,22.958,23.881,24.893,27.136,29.627,32.01,34.257,37.53,41.237,44.53,48.481,51.424,52.577,53.922,55.712,56.907,57.948,59.827,61.313,62.729,66.495,68.861,70.742,72.055,74.693,76.85,78.813,81.034,83.161,86.394,89.95,92.26,94.396,95.642,100,102.437,102.352,102.741,99.662
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERG3",14.918,15.112,15.305,15.602,15.799,16.048,16.388,16.878,17.619,18.498,19.582,20.612,21.294,22.086,23.002,24.72,26.402,27.62,28.814,30.267,32.282,34.727,37.556,40.425,42.455,44.779,46.71,48.174,49.575,51.022,51.886,53.6,55.281,58.091,61.069,62.115,63.268,65.799,67.498,69.121,72.706,75.702,80.946,84.882,88.889,94.556,100,104.959,109.323,115.336,119.441
"332","325","        Repair of household appliances","DERERG3",11.388,11.683,11.881,11.93,11.932,12.129,12.473,13.06,13.699,14.484,15.708,16.939,18.506,19.294,20.472,22.928,25.722,27.596,28.915,30.305,32.316,34.756,37.552,40.418,42.466,44.75,46.702,48.151,49.569,51.033,51.88,53.595,55.302,58.103,61.111,62.127,63.3,65.848,67.501,69.12,72.713,75.727,80.993,84.901,88.906,94.572,100,104.986,109.332,115.337,119.423
"333","326","        Other household services","DMHSRG3",11.744,11.911,12.029,12.249,12.489,12.793,13.276,13.625,14.073,14.693,15.436,16.111,17.357,18.392,19.637,22.174,23.73,25.597,27.463,29.516,32.466,36.508,40.07,43.303,45.88,48.86,51.823,54.258,55.543,57.355,58.755,60.122,63.711,66.004,67.785,69.041,71.568,73.619,75.516,78.016,80.229,84.825,88.708,91.329,93.542,95.983,100,104.839,107.959,113.265,115.357
"334","327","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","328","        Foreign travel by U.S. residents (129)","DFTRRG3",19.13,18.747,18.892,19.414,19.893,20.295,21.11,21.887,21.729,22.685,23.192,23.536,25.749,27.344,29.917,36.212,39.825,40.612,43.067,44.893,49.986,56.259,59.667,57.246,55.277,53.196,51.593,56.778,55.578,58.979,59.604,63.247,67.255,70.418,70.809,72.936,75.103,77.055,77.982,76.183,78.319,78.897,79.81,82.524,87.678,93.655,100,104.246,111.007,120.02,108.684
"336","329","          Passenger fares for foreign travel","DAFTRG3",19.693,18.686,18.591,19.117,19.417,19.643,20.298,20.745,20.357,21.313,21.659,21.697,23.477,24.814,24.72,30.036,32.485,33.961,36.276,34.507,36.981,42.831,46.53,48.066,48.264,47.171,45.587,47.272,48.737,51.18,51.793,56.595,62.491,63.916,64.053,65.005,68.365,69.788,72.583,73.054,75.579,78.783,84.02,87.395,91.526,93.577,100,105.462,110.245,121.947,108.892
"337","330","          U.S. travel outside the United States","DUSTRG3",18.931,18.93,19.229,19.753,20.351,20.871,21.799,22.805,22.805,23.767,24.39,24.951,27.486,29.276,33.96,41.009,45.573,45.758,48.306,53.201,60.567,66.985,69.903,63.668,59.636,56.826,55.211,62.619,59.751,63.728,64.362,67.331,70.289,74.478,75.025,77.894,79.29,81.573,81.301,78.047,79.927,78.782,76.943,79.242,85.031,93.712,100,103.297,111.657,118.559,108.084
"338","331","          U.S. student expenditures","DUSSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.813,63.39,59.538,56.746,55.184,62.54,59.68,63.653,64.27,67.273,70.201,74.398,74.917,77.817,79.124,81.461,81.179,77.948,79.816,78.724,76.968,79.324,85.016,93.736,100,103.293,111.738,118.318,108.115
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRG3",14.574,14.751,14.934,15.089,15.256,15.495,15.725,16.185,16.656,17.344,18.265,19.372,20.113,20.8,21.977,23.882,25.724,27.632,29.528,32.095,35.188,39.492,43.651,47.17,49.553,52.347,54.859,56.683,59.461,61.808,63.894,67.447,71.755,73.594,74.634,75.35,76.524,78.535,80.464,81.513,83.69,87.67,88.457,88.579,91.275,95.306,100,104.743,108.903,114.22,110.997
"340","333","          Foreign travel in the United States","DFTURG3",16.194,16.389,16.593,16.765,16.951,17.217,17.472,17.984,18.506,19.271,20.295,21.524,22.348,23.111,24.419,26.536,28.582,30.703,32.809,35.661,39.098,43.879,48.5,52.226,54.599,57.456,60.017,61.747,64.659,66.954,68.868,72.544,77.045,78.558,79.19,79.546,80.493,82.396,84.196,85.006,87.13,91.317,91.555,90.606,92.45,95.69,100,104.398,108.114,113.129,108.145
"341","334","          Medical expenditures of foreigners","DMEFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.026,20.605,22.975,24.995,26.616,28.232,30.184,32.953,36.698,40.688,44.765,48.811,52.864,55.924,58.659,61.281,63.304,65.355,68.078,72.134,76.885,83.563,89.741,94.993,100,106.321,113.325,121.275,129.005
"342","335","          Expenditures of foreign students in the United States","DEFSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.858,24.996,26.641,28.582,30.484,32.24,34.143,36.271,38.691,41.368,44.532,47.942,51.11,53.769,56.232,58.996,61.93,64.525,67.077,69.864,73.437,78.419,84.93,93.016,100,106.73,113.454,120.486,127.751
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (130)","DNPIRG3",49.452,46.284,46.749,47.411,48.173,48.393,49.743,51.569,53.242,55.28,58.721,61.268,64.628,67.272,71.595,81.93,89.516,94.258,100.718,107.37,117.927,129.131,135.99,129.701,120.696,115.921,113.63,110.239,108.437,107.544,101.09,93.192,86.681,79.268,75.32,75.252,75.316,76.668,79.859,85.104,88.129,92.985,97.282,98.066,96.567,96.198,100,102.104,103.525,104.531,103.25
"344","337","    Gross output of nonprofit institutions (133)","DNPERG3",10.811,11.082,11.288,11.501,11.778,12.063,12.413,12.845,13.433,14.14,15.062,16.044,16.815,17.608,18.735,20.988,23.099,24.893,26.751,28.785,31.674,35.46,39.333,42.394,44.678,46.836,48.715,50.416,52.626,55.727,58.789,61.571,64.43,66.767,68.823,70.801,72.809,74.808,76.723,79.019,81.179,84.377,87.611,90.203,93.108,96.179,100,103.617,106.807,109.691,111.61
"345","338","      Health, gross output","DHLGRG3",8.739,9.092,9.343,9.557,9.869,10.222,10.538,10.93,11.651,12.43,13.305,14.352,14.952,15.662,16.562,18.184,20.21,22.072,23.909,25.978,28.614,31.927,35.839,39.322,41.893,44.186,46.402,48.124,50.405,53.648,57.048,60.286,63.635,66.333,68.713,70.82,72.723,74.469,76.054,78.328,80.314,83.015,86.754,89.84,93.006,96.276,100,103.529,106.527,109.561,111.844
"346","339","        Outpatient services, gross output","DOUGRG3",9.747,9.994,10.234,10.544,10.791,11.043,11.415,12.126,12.944,13.689,14.629,15.738,16.774,17.298,17.907,19.542,21.97,24.445,26.714,28.801,30.921,34.359,37.696,40.417,43.022,45.156,48.197,50.984,53.007,56.2,59.421,62.759,66.038,68.901,71.308,74.21,75.726,76.964,79.9,81.878,83.283,85.38,87.776,89.692,92.429,95.411,100,103.35,106.249,109.44,111.113
"347","340","        Nonprofit hospitals, gross output","DHSORG3",8.543,8.899,9.15,9.353,9.663,10.02,10.329,10.685,11.391,12.155,13.018,14.041,14.601,15.313,16.222,17.798,19.789,21.621,23.441,25.478,28.127,31.429,35.399,38.958,41.529,43.835,46.011,47.658,49.964,53.262,56.689,59.854,63.216,65.918,68.294,70.271,72.158,73.966,75.356,77.662,79.725,82.498,86.46,89.732,92.979,96.344,100,103.602,106.626,109.628,112.151
"348","341","        Nonprofit nursing homes, gross output","DNXORG3",9.989,10.469,10.719,10.919,11.38,11.844,12.175,12.568,13.363,14.353,15.278,16.537,17.266,18.064,19.052,21.161,23.223,24.875,26.465,28.848,31.62,34.798,38.239,41.154,43.543,45.719,47.507,48.964,51.152,53.776,57.004,60.816,64.054,66.471,68.816,71.162,73.734,75.618,77.109,79.487,81.555,84.396,87.976,91.052,94.136,97.013,100,103.15,106.072,109.165,110.073
"349","342","      Recreation services, gross output","DRCGRG3",14.542,15.008,15.341,15.754,16.131,16.818,17.51,18.263,19.079,20.197,21.469,22.923,24.154,25.019,26.218,28.822,31.223,32.928,34.614,36.713,40.01,43.664,46.767,48.993,50.75,52.535,53.944,55.662,57.496,59.557,62.527,64.968,67.465,68.92,70.647,72.41,74.793,77.131,79.108,81.292,84.554,88.351,89.945,91.043,93.7,95.783,100,104.043,106.67,109.737,111.845
"350","343","      Education services, gross output","DEDGRG3",10.945,11.207,11.448,11.746,12.038,12.317,12.739,13.311,13.853,14.489,15.382,16.468,17.361,18.251,19.776,22.51,24.561,26.407,28.104,29.702,32.771,36.524,40.374,42.943,45.071,47.252,49.115,50.885,53.143,56.012,58.771,61.554,64.086,66.138,67.9,70.019,72.078,74.548,76.839,79.404,81.817,85.441,88.121,89.907,93.036,96.159,100,104.415,107.817,111.012,113.833
"351","344","      Social services, gross output","DSSGRG3",15.723,15.93,16.047,16.161,16.451,16.571,16.917,17.316,17.725,18.477,19.63,20.319,21.352,22.39,23.613,26.904,29.326,31.066,33.037,35.216,38.664,43.669,47.884,49.978,51.18,52.828,54.088,55.572,57.477,60.495,63.36,65.911,68.52,70.603,72.228,73.782,75.94,77.94,79.694,81.88,83.959,87.592,89.551,91.934,94.136,96.403,100,102.841,105.829,108.563,109.183
"352","345","      Religious organizations, gross output","DREORG3",14.586,14.732,14.868,14.997,15.199,15.327,15.658,16.043,16.448,17.091,18.148,18.865,19.852,20.701,22.054,25.548,27.842,29.281,31.524,33.991,37.012,42.057,45.209,47.557,49.529,51.761,52.722,54.357,56.732,59.867,61.838,62.436,64.059,65.217,66.392,68.266,70.582,72.885,76.335,78.358,80.604,85.454,88.411,90.401,92.603,95.811,100,103.786,107.889,109.891,109.782
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORG3",13.598,13.874,13.876,14.126,14.38,14.25,14.64,14.99,15.449,15.886,17.048,17.72,18.576,19.415,21.186,23.63,26.153,27.753,29.004,30.071,34.113,38.451,42.387,44.645,46.786,47.979,48.864,50.639,52.076,55.13,57.324,59.831,60.341,63.053,65.129,66.689,68.284,70.81,73.133,75.809,78.998,82.872,86.821,89.435,92.446,95.634,100,103.753,108.393,110.96,110.206
"354","347","      Social advocacy establishments, gross output","DSAORG3",15.547,15.752,15.868,15.981,16.268,16.386,16.728,17.123,17.527,18.27,19.411,20.092,21.114,22.14,23.35,26.604,28.999,30.718,32.667,34.823,38.232,43.182,47.35,49.42,50.608,52.238,53.484,54.951,56.804,59.694,62.457,64.805,67.215,69.15,70.597,71.929,73.956,75.817,77.423,79.392,81.234,84.632,86.861,89.786,92.551,95.295,100,102.731,106.969,109.983,113.918
"355","348","      Civic and social organizations, gross output","DCIORG3",16.404,16.623,16.748,16.869,17.167,17.294,17.652,18.073,18.491,19.282,20.478,21.203,22.272,23.358,24.646,28.092,30.596,32.412,34.474,36.749,40.379,45.588,50,52.17,53.413,55.138,56.452,57.994,59.955,63.016,65.926,68.405,70.946,72.984,74.507,75.913,78.052,80.013,81.717,83.804,85.727,89.33,91.074,92.487,94.394,96.46,100,102.54,105.608,108.151,108.3
"356","349","      Professional advocacy, gross output","DSNGRG3",13.905,14.137,14.252,14.447,14.671,15.013,15.389,15.769,16.266,16.9,17.827,18.836,19.88,20.769,21.891,24.862,27.053,28.664,30.52,32.623,35.995,40.891,45.145,47.864,49.459,50.965,52.137,53.733,55.686,58.5,61.075,62.878,64.899,66.657,68.236,69.638,71.777,74.294,76.288,78.768,81.12,84.035,88.05,90.285,92.603,95.864,100,103.734,106.77,108.439,110.556
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRG3",6.494,6.995,7.157,7.309,7.514,7.768,7.998,8.268,8.697,9.211,9.823,10.552,11.03,11.577,12.317,13.686,15.104,16.411,17.671,19.074,21.002,23.686,26.724,29.952,32.815,35.354,37.465,39.567,42.072,45.462,49.701,54.117,58.676,63.096,66.607,69.112,71.652,73.828,75.372,76.845,78.744,81.427,84.316,87.498,91.913,96.172,100,104.129,107.947,111.53,114.665
"358","351","      Health services to households","DHLRRG3",5.599,6.298,6.464,6.602,6.816,7.103,7.315,7.554,8.033,8.589,9.188,9.924,10.321,10.827,11.457,12.586,13.968,15.292,16.545,18,19.891,22.5,25.58,29.013,32.11,34.751,36.919,39.038,41.617,45.268,50.087,55.187,60.353,65.363,69.193,71.721,74.262,76.227,77.332,78.288,79.784,82.108,84.807,87.805,92.336,96.538,100,103.979,107.591,110.896,113.869
"359","352","        Outpatient services to households","DOUSRG3",10.116,10.371,10.62,10.94,11.196,11.462,11.846,12.584,13.434,14.205,15.187,16.334,17.411,17.956,18.582,20.282,22.797,25.367,27.719,29.892,32.131,35.693,39.179,42.04,44.758,46.975,50.152,53.01,54.991,58.268,61.565,65.002,68.368,71.337,73.844,76.871,78.464,79.751,82.864,84.908,86.303,88.548,91.274,93.424,95.445,97.91,100,102.071,104.684,107.992,110.097
"360","353","        Nonprofit hospitals' services to households","DNPHRG3",5.197,5.904,6.062,6.187,6.39,6.671,6.869,7.072,7.518,8.042,8.608,9.297,9.651,10.137,10.745,11.797,13.095,14.348,15.535,16.908,18.727,21.252,24.272,27.716,30.837,33.509,35.65,37.773,40.411,44.174,49.243,54.613,60.146,65.624,69.773,72.305,74.865,76.674,77.31,77.879,79.227,81.323,83.736,86.805,91.855,96.343,100,104.373,108.015,111.23,114.257
"361","354","        Nonprofit nursing homes' services to households","DNPNRG3",8.552,8.963,9.178,9.348,9.743,10.14,10.424,10.761,11.441,12.289,13.08,14.159,14.783,15.466,16.312,18.118,19.884,21.297,22.659,24.7,27.073,29.793,32.74,35.235,37.281,39.144,40.675,41.922,43.797,46.043,48.807,52.071,54.843,56.914,58.923,60.928,64.203,68.129,71.057,74.078,76.872,81.177,86.28,89.599,92.517,96.396,100,102.996,107.836,112.047,115.897
"362","355","      Recreation services to households","DRCRRG3",12.583,13.392,14.058,14.654,15.202,15.907,16.24,16.782,17.521,18.464,19.333,20.502,21.554,22.154,23.029,24.488,26.32,27.663,29.026,31.002,33.201,35.524,37.852,40.46,42.922,45.262,47.621,49.969,52.607,55.213,58.527,61.746,65.212,67.206,69.472,72.469,73.42,76.182,78.925,80.885,84.464,88.209,90.954,92.912,96.496,98.197,100,103.625,106.323,108.451,109.103
"363","356","      Education services to households","DEDRRG3",4.805,4.927,5.042,5.172,5.299,5.414,5.597,5.848,6.085,6.358,6.765,7.274,7.678,8.085,8.823,10.097,11.029,11.869,12.625,13.217,14.34,15.907,17.814,20.03,21.936,24.039,26.087,28.128,30.359,32.822,35.402,38.212,41.629,45.408,49.064,52.173,55.355,58.353,61.335,64.452,67.635,71.118,75.053,80.073,86.184,93.333,100,106.309,112.49,119.162,125.865
"364","357","      Social services to households","DSSRRG3",15.567,15.772,15.888,16.001,16.288,16.407,16.75,17.145,17.549,18.294,19.436,20.118,21.141,22.168,23.38,26.638,29.036,30.758,32.709,34.867,38.281,43.237,47.41,49.483,50.673,52.305,53.553,55.022,56.91,59.909,62.753,65.305,67.917,70.001,71.647,73.227,75.384,77.39,79.151,81.36,83.477,87.117,89.172,91.742,94.202,96.422,100,103.153,106.161,109.312,110.432
"365","358","      Religious organizations' services to households","DRELRG3",14.586,14.733,14.869,14.998,15.199,15.327,15.658,16.043,16.449,17.091,18.148,18.866,19.853,20.702,22.054,25.549,27.843,29.281,31.524,33.991,37.013,42.058,45.209,47.558,49.536,51.766,52.728,54.362,56.733,59.864,61.838,62.435,64.059,65.217,66.391,68.264,70.582,72.89,76.33,78.352,80.595,85.433,88.402,90.394,92.604,95.806,100,103.796,107.896,109.898,109.79
"366","359","      Foundations and grantmaking and giving services to households","DGIVRG3",13.597,13.874,13.876,14.125,14.38,14.25,14.64,14.989,15.449,15.885,17.047,17.72,18.576,19.415,21.185,23.63,26.152,27.753,29.004,30.07,34.113,38.45,42.386,44.644,46.785,47.978,48.863,50.638,52.075,55.127,57.322,59.828,60.339,63.052,65.127,66.688,68.278,70.84,73.146,75.728,78.92,82.757,86.731,89.391,92.456,95.637,100,103.769,108.352,110.926,110.193
