"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"160","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRX0",302385,303379,304104,304554,304883,305605,306730,308360,310380,312122,312976,313120,312750,311461,309220,306009,302700,300237,299119,299138,299908,300980,302088,303234,304535,306083,307565,309145,311138,314028,318042,323165,328926,333623,337009,339013,340031,341781,344792,349082,354181,358353,361839,364341,366251,369256,373629,379354,386246,392895,398319,402801,402810,400736,398605,396430,394456,393845,394844,397490,401447,404914,407471,409134,410011,410797,411617,412423
"161","153","          Tenant-occupied mobile homes","DTMHRX0",8227,8122,8096,8151,8289,8473,8714,9003,9325,9608,9831,9987,10080,10151,10216,10266,10284,10284,10283,10274,10262,10253,10245,10240,10225,10144,9975,9739,9439,9145,8878,8639,8427,8202,7960,7697,7419,7158,6923,6710,6539,6510,6644,6939,7352,7662,7816,7816,7667,7560,7547,7631,7929,8211,8369,8405,8340,8268,8206,8155,8112,8072,8034,7996,7960,7924,7888,7854
"162","154","          Tenant-occupied stationary homes","DTSPRX0",288791,289811,290476,290775,290866,291302,292089,293333,294938,296314,296880,296818,296312,294906,292543,289219,285800,283239,282019,281940,282622,283607,284636,285712,286954,288500,290063,291784,293974,297079,301310,306650,312631,317558,321178,323424,324690,326685,329934,334455,339759,344000,347378,349607,351136,353851,358068,363769,370750,377458,382890,387324,387091,384779,382515,380312,378391,377818,378817,381427,385321,388739,391273,392933,393820,394614,395442,396256
"163","155","          Tenant landlord durables","DTLDRX0",5651,5715,5784,5857,5936,6017,6098,6181,6264,6340,6396,6437,6470,6504,6545,6588,6658,6738,6829,6926,7023,7115,7199,7274,7345,7425,7510,7603,7703,7782,7834,7858,7856,7856,7867,7888,7918,7933,7932,7916,7883,7844,7817,7794,7760,7737,7736,7755,7809,7849,7845,7801,7742,7699,7675,7669,7684,7723,7789,7880,7991,8083,8149,8190,8219,8250,8282,8314
"164","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX0",943070,951876,960523,969030,977717,987356,997774,1009280,1021356,1031040,1036076,1036964,1035440,1035770,1039014,1045198,1053376,1060977,1069485,1078132,1086396,1097035,1110055,1125512,1143079,1159362,1172326,1182513,1190492,1195299,1197060,1195526,1191091,1188431,1189089,1192963,1199456,1204459,1207605,1208851,1208184,1207676,1209841,1213737,1214476,1214034,1214459,1215605,1217760,1220341,1221134,1221114,1222737,1225137,1227449,1229714,1231987,1234482,1237199,1240185,1243428,1246523,1249307,1251858,1254573,1257589,1260715,1263803
"165","157","          Owner-occupied mobile homes","DOMHRX0",34688,34743,34794,34850,34995,35521,36565,38128,40079,41608,42455,42552,41998,41424,40978,40624,40378,40144,39902,39630,39347,39102,38892,38721,38542,38126,37393,36421,35215,34011,32874,31819,30860,29983,29195,28484,27862,27392,27096,26964,26942,26828,26588,26224,25795,25499,25359,25370,25412,25511,25719,26039,26114,25912,25551,25036,24422,23937,23627,23491,23494,23492,23456,23384,23300,23216,23135,23057
"166","158","          Owner-occupied stationary homes","DOSTRX0",908387,917138,925733,934185,942727,951840,961214,971157,981281,989436,993625,994416,993446,994350,998041,1004578,1013002,1020837,1029587,1038505,1047054,1057937,1071167,1086795,1104541,1121241,1134937,1146096,1155279,1161290,1164187,1163709,1160232,1158449,1159893,1164479,1171595,1177067,1180510,1181887,1181242,1180848,1183253,1187513,1188681,1188535,1189099,1190235,1192348,1194830,1195415,1195075,1196622,1199225,1201898,1204678,1207565,1210545,1213572,1216694,1219933,1223031,1225851,1228474,1231273,1234373,1237580,1240747
"167","159","        Rental value of farm dwellings (22)","DFARRX0",17340,17510,18016,18877,20021,20930,21429,21468,21119,20828,20679,20660,20730,20776,20833,20895,20946,20966,20980,20960,20901,20856,20840,20846,20861,20874,20886,20889,20879,20868,20865,20863,20857,20846,20841,20834,20818,20798,20784,20768,20746,20721,20702,20685,20668,20649,20628,20605,20612,20626,20631,20623,19892,19088,18647,18567,18784,18975,19072,19068,18972,18892,18854,18854,18864,18872,18885,18901
"168","160","        Group housing (23)","DGRHRX0",1269,1265,1263,1262,1261,1259,1255,1249,1239,1221,1195,1161,1122,1094,1080,1079,1107,1136,1153,1156,1149,1141,1137,1136,1136,1139,1145,1152,1163,1178,1198,1225,1254,1277,1291,1296,1293,1292,1295,1302,1311,1318,1323,1323,1326,1334,1344,1358,1375,1403,1444,1496,1557,1604,1633,1644,1639,1638,1645,1661,1683,1701,1715,1724,1730,1736,1742,1749
"169","161","      Household utilities","DUTLRX0",269706,274951,281858,270727,268448,279992,282428,296264,289975,275886,276527,273714,275575,284459,286269,294103,292075,291511,285566,289234,290959,291296,286213,291769,291026,294520,299946,294021,279683,292559,298218,287060,295034,295732,297049,285673,292731,291625,280619,290717,289612,289898,287703,290476,294423,291277,296404,299872,292365,289252,295829,285954,269092,287141,293363,281315,291887,290159,280539,286771,301004,288169,277770,282157,295568,287870,287868,276408
"170","162","        Water supply and sanitation (25)","DWRSRX0",75197,75811,76255,76487,76574,76588,76714,76933,77104,77320,77530,77720,77777,77996,78296,78680,79004,78633,77958,77121,76580,76693,76606,76373,75988,75582,75610,76349,77130,77594,77426,77080,76692,76485,76350,76101,76216,76504,76314,76007,75304,74519,73761,73572,73285,73346,73382,73432,73132,72543,72233,71638,71215,70687,70187,69729,69394,69084,68770,68465,68007,67727,67554,67649,67294,67021,66737,66697
"171","163","          Water supply and sewage maintenance","DWSMRX0",60547,60937,61220,61358,61354,61391,61523,61731,61982,62258,62570,62903,63234,63536,63815,64066,63821,63295,62780,62193,61526,60951,60504,60175,59931,59813,59840,59990,60212,60326,60311,60146,59846,59584,59428,59359,59336,59265,59148,58964,58703,58417,58135,57848,57411,57029,56826,56802,56539,56089,55622,55126,54689,54294,53918,53551,53173,52851,52612,52451,52336,52272,52272,52326,52335,52317,52313,52319
"172","164","          Garbage and trash collection","DREFRX0",14755,14969,15123,15212,15295,15275,15273,15288,15219,15170,15081,14956,14707,14637,14661,14791,15317,15451,15292,15046,15151,15792,16130,16220,16084,15805,15808,16379,16920,17259,17111,16935,16847,16898,16918,16741,16875,17223,17152,17032,16599,16105,15628,15723,15872,16327,16576,16655,16622,16484,16662,16567,16592,16458,16333,16243,16303,16326,16250,16094,15714,15474,15280,15323,14904,14609,14283,14229
"173","165","        Electricity and gas","DELGRX0",194587,199232,205736,194361,192039,203596,205856,219249,212828,198874,199229,196226,197993,206610,208100,215534,213192,212985,207762,212191,214429,214655,209686,215428,215064,218902,224184,217683,203099,215112,220748,210167,218352,219241,220660,209722,216524,215170,204687,214757,214326,215367,213928,216912,221186,217937,223118,226625,219275,216733,223826,214286,197186,216663,223802,211647,223257,221832,212063,219022,234568,221392,210634,215155,229845,221966,222335,209995
"174","166","          Electricity (27)","DELCRX0",139696,142316,148449,140114,140504,149600,147580,152491,151594,145170,140452,141960,145245,152081,154204,154474,154910,154540,151270,155445,158096,157607,152336,160106,158859,160937,172090,164756,153360,163288,165519,158863,161785,161756,166647,160173,161542,161012,156851,161296,157704,155035,154622,160671,165320,163360,168744,168591,165387,164448,166240,158744,152879,163778,163900,160914,163667,160247,159056,167744,172163,159242,156157,163955,168806,160282,164840,161543
"175","167","          Natural gas (28)","DGHERX0",54149,56272,56539,53726,51063,53553,57712,65478,60341,53477,57864,53483,52128,54033,53438,60498,57722,57745,55846,56237,56031,56650,56640,55416,56039,57607,53685,53701,50380,52769,55794,52099,56760,57520,54776,50539,55255,54498,49200,54066,56757,60336,59292,56115,55773,54516,54299,58077,53788,52118,57620,55598,43352,52611,60664,50356,60188,62511,53059,50757,62973,63016,54836,50930,62010,63333,57934,47129
"176","168","    Health care","DHLCRX0",1167289,1171920,1181428,1192613,1199568,1215413,1223682,1236585,1254419,1268636,1287347,1307909,1333862,1353259,1363879,1371309,1379637,1386684,1397204,1406561,1416198,1432786,1453037,1467043,1473802,1483295,1501563,1503115,1511958,1519805,1527960,1541257,1549487,1556273,1570401,1576769,1593680,1596752,1600080,1604790,1616025,1628555,1634899,1630042,1626026,1640900,1657072,1672761,1680036,1688193,1687178,1705950,1728325,1723444,1728198,1727923,1723025,1739796,1748989,1763676,1753954,1778517,1801016,1832923,1853761,1867535,1884046,1900820
"177","169","      Outpatient services","DOUTRX0",510234,513509,518313,523966,530262,537826,543862,551576,558608,566701,575757,584955,595818,605964,614836,622769,627780,634979,642749,650101,657262,664964,672869,677908,683902,689101,694022,698219,701819,706505,710198,713772,714072,717888,723484,729823,735857,741464,744831,746705,743962,744388,744928,745691,748156,749268,752004,756242,763573,768260,771541,776821,786527,788111,786039,792008,788348,796932,803110,805127,807233,813466,823204,833330,847185,858089,874597,882015
"178","170","        Physician services (44)","DPHYRX0",250450,252129,255006,258971,263707,268197,272261,275806,278893,282653,287389,293031,299498,306065,311917,317658,321554,326604,331444,336552,340442,345507,350282,354770,358467,361966,364756,366841,370828,374936,377495,378509,376223,376110,378431,383133,387883,392361,395273,396438,394108,392592,392361,392289,393036,392114,392789,394782,398939,401721,403074,405158,408314,410646,409684,413754,411228,412568,415987,417714,419759,422123,427300,432179,442916,448178,455426,458013
"179","171","        Dental services (45)","DDENRX0",90890,91355,92041,92898,93866,94876,95934,97013,98085,99263,100594,102057,103535,104480,104837,104558,103554,102906,102939,103532,104371,105178,105700,105905,105766,105485,105115,104656,104269,104052,104062,104343,104689,104914,105108,105368,105474,105268,104892,104391,103075,102047,101556,101644,101664,101461,101795,101852,102260,101807,101190,100911,102404,101489,101003,98576,96940,99958,99982,99370,98797,99522,100940,102242,101230,101654,102095,102335
"180","172","        Paramedical services (46)","DPMSRX0",171514,172633,173836,174597,175105,177109,177996,181087,183983,187144,190113,192168,195015,197516,199999,202219,204065,206600,209334,210900,213309,215086,217612,217881,220203,222080,224485,226973,226909,227655,228750,231011,233270,236984,240045,241386,242537,243858,244687,245890,246780,249745,251011,251760,253463,255709,257445,259643,262413,264790,267366,270885,275967,276140,275524,279989,280578,284742,287533,288492,289174,292329,295457,299402,303785,309089,318056,322705
"181","173","          Home health care","DHHCRX0",52078,51858,51684,50792,49436,49713,48913,49183,50062,51077,51699,51148,51266,51339,51424,52501,53372,54740,55967,56046,56546,57123,58121,58331,58680,59513,60988,62107,62175,62083,62250,63129,64401,66111,67547,68076,68620,69534,70610,71382,71740,73264,74364,74816,74989,75653,76526,77386,78379,79199,79700,80757,82574,82317,82224,85235,84120,86451,87609,86931,87682,88831,88921,90150,91002,92474,96253,98427
"182","174","          Medical laboratories","DMLBRX0",16634,17008,17479,18034,18661,19325,20023,20747,21465,22049,22469,22717,22832,23012,23318,23742,24262,24783,25322,25845,26226,26644,26961,27264,27379,27574,27818,28180,28605,28992,29197,29228,28884,28827,29121,29736,30336,30944,31480,31876,31934,32168,32412,32453,32520,32546,32560,32927,33643,33817,33889,33946,33939,33732,33651,33610,33681,33958,34175,34457,34161,34099,34216,34562,35280,35925,36487,36668
"183","175","          Other professional medical services","DOMDRX0",102700,103689,104609,105773,107128,108174,109225,111351,112597,114120,116063,118549,121266,123595,125753,126400,126788,127353,128264,129229,130767,131530,132718,132444,134331,135160,135803,136784,136199,136649,137376,138730,140069,142135,143453,143621,143605,143386,142598,142631,143106,144313,144234,144493,145953,147506,148355,149331,150407,151787,153777,156169,159426,160045,159604,161117,162710,164291,165713,167034,167259,169302,172162,174523,177329,180511,185138,187433
"184","176","            Specialty outpatient care facilities and health and allied services","DOMSRX0",67782,68206,68455,68852,69379,69669,70066,71659,72461,73334,74329,75533,76683,77611,78661,78558,79194,79916,80785,81576,82843,83242,83990,83230,84753,85353,85981,87200,87393,88598,89618,90832,91913,93679,94761,94855,95403,95826,95605,96023,96248,97325,97173,97372,98671,99772,100451,100755,101583,102585,103755,105115,107723,107849,107100,107895,109050,109909,110994,112239,112532,114409,116784,118544,120616,122857,126590,128597
"185","177","            All other professional medical services","DOMORX0",34919,35484,36155,36921,37749,38506,39160,39693,40137,40787,41735,43016,44584,45985,47093,47843,47595,47438,47479,47654,47925,48288,48729,49214,49579,49808,49822,49584,48806,48051,47758,47898,48156,48456,48693,48766,48202,47560,46993,46608,46858,46988,47061,47121,47282,47734,47904,48576,48823,49203,50022,51054,51703,52196,52504,53222,53660,54382,54720,54794,54728,54893,55378,55979,56713,57654,58548,58836
"186","178","      Hospital and nursing home services","DHPNRX0",660405,661590,666227,671679,671879,680114,682035,686985,697945,703848,713431,724814,740020,749109,750404,749439,752645,752181,754722,756530,758857,767761,780193,789230,789852,794103,807592,804825,810084,813226,817692,827450,835442,838399,846947,846931,857817,855247,855189,858023,872049,884169,889973,884362,877910,891631,905037,916472,916438,919913,915666,929101,941763,935375,942100,936028,934751,942970,946053,958550,946976,965113,977851,999466,1006622,1009710,1010164,1019507
"187","179","        Hospitals (51)","DHSPRX0",534596,536711,541054,546466,547035,553978,556689,561776,572130,578139,588284,598806,613184,622354,623195,620694,621809,619645,621778,624059,626687,634410,644682,653390,655006,657159,668514,664776,669181,673773,678410,688485,693295,695877,702143,701548,711177,708866,710344,713711,728156,738092,743237,736849,730653,743170,755388,764443,765585,768234,762361,777827,789300,782912,788854,783767,782215,790989,793029,802436,791884,809112,818830,838047,847738,848979,848475,856896
"188","180","          Nonprofit hospitals' services to households","DNPHRX0",360317,362565,366159,370026,369223,373461,373750,375692,381086,383303,390036,397664,408290,415421,415540,413208,413964,411734,413089,414672,417237,424454,434390,443678,445412,446018,455256,451010,452355,455158,459186,465591,471318,474663,476236,474002,479412,476234,476491,475670,486750,493130,496641,492556,487718,496991,507157,514174,513561,514761,508033,521176,529405,522803,529590,523324,524072,533962,533242,541134,528026,539194,545743,560760,569704,569278,566522,572556
"189","181","          Proprietary hospitals","DFPHRX0",61039,60587,60576,60975,60852,61653,61718,62062,63985,65228,66719,68372,71540,73706,75000,76054,77170,77320,77702,77683,76908,76997,77466,77606,78672,80759,82516,81796,82970,83119,82491,85377,84080,82892,86945,87775,91051,90760,90532,93023,94659,97267,98873,97499,95270,96638,97007,97567,99343,101128,101807,103465,107207,108303,107873,109016,106371,104820,107070,108016,110044,115635,118363,122177,122553,123805,125600,127500
"190","182","          Government hospitals","DGVHRX0",113243,113562,114322,115468,116963,118867,121223,124024,127061,129610,131530,132772,133356,133228,132656,131434,130676,130592,130988,131705,132542,132959,132827,132106,130923,130382,130741,131969,133856,135497,136734,137519,137898,138323,138962,139772,140714,141872,143322,145018,146747,147695,147724,146794,147665,149541,151224,152702,152680,152344,152521,153186,152689,151806,151391,151427,151773,152207,152717,153286,153814,154283,154726,155111,155482,155896,156355,156842
"191","183","        Nursing homes (52)","DNRSRX0",125910,124924,125194,125200,124823,126113,125304,125159,125767,125669,125149,126032,126903,126861,127301,128808,130888,132587,132994,132517,132216,133395,135556,135872,134865,136974,139110,140105,140966,139477,139289,138927,142153,142527,144819,145403,146653,146392,144848,144311,143893,146074,146735,147517,147272,148467,149644,152028,150850,151677,153317,151239,152417,152434,153213,152231,152519,151909,152967,156093,155103,155933,158987,161352,158730,160611,161590,162497
"192","184","          Nonprofit nursing homes' services to households","DNPNRX0",44226,43972,44200,44348,43971,44504,44300,44374,44909,45011,44933,45325,45584,45587,45752,46315,47116,47692,47747,47507,47222,47550,48198,48810,48578,49880,50552,50254,50671,49583,50144,50337,51015,50873,51064,51267,50819,50671,49976,49542,49127,51322,51547,51489,51209,50805,50702,51585,51027,51083,50626,50722,51039,50254,51586,49233,50295,50125,50583,50621,49588,50047,49786,50581,50200,49922,49343,49444
"193","185","          Proprietary and government nursing homes","DFPNRX0",81684,80953,80995,80853,80853,81609,81004,80785,80859,80658,80216,80707,81319,81274,81549,82493,83773,84895,85248,85010,84994,85845,87358,87063,86288,87095,88558,89851,90296,89894,89146,88591,91138,91654,93756,94136,95833,95721,94872,94769,94766,94753,95188,96028,96063,97661,98942,100443,99823,100594,102691,100516,101378,102180,101627,102997,102223,101783,102383,105471,105514,105885,109200,110771,108529,110688,112246,113052
