"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"286","279","          Cellular telephone services","DCELRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.401,203.75,198.415,189.92,195.671,198.643,200.678,197.312,190.895,187.771,184.21,166.381,160.849,147.998,131.747,117.824,106.035,104.859,103.978,103.034,101.111,100.488,100.194,99.98,100,97.097,93.601,92.869,91.226
"287","280","        Postal and delivery services (68)","DPSSRG3",9.402,9.724,9.816,9.906,11.368,11.737,11.829,11.924,12.246,13.888,14.303,14.407,16.841,17.879,18.13,20.957,21.589,27.242,27.675,29.953,31.611,31.711,37.176,41.625,41.73,41.847,45.475,46.212,46.36,50.756,52.464,52.696,59.755,60.688,60.951,61.198,66.8,67.036,67.24,67.689,69.932,70.579,73.756,77.756,81.882,83.497,84.503,89.42,92.254,97.09,100,104.634,110.107,114.377,120.924
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRG3",9.951,10.293,10.39,10.485,12.049,12.441,12.537,12.634,12.975,14.732,15.168,15.266,17.903,19.021,19.268,22.34,22.97,29.165,29.575,32.02,33.779,33.819,39.707,44.488,44.54,44.593,48.562,49.26,49.284,54.178,55.947,55.947,64.191,64.986,64.986,64.986,71.698,71.698,71.698,71.698,73.845,73.849,76.707,81.116,85.394,85.394,85.389,89.962,92.206,95.308,100,102.836,106.786,110.544,117.599
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRG3",9.715,9.898,10.007,10.2,10.376,10.6,10.831,11.163,11.47,12.05,12.575,13.04,13.713,14.245,14.849,15.83,17.149,18.311,19.601,20.989,22.455,24.278,26.375,28.244,30.281,31.748,33.118,34.622,35.991,37.611,39.25,40.914,42.553,44.135,45.502,46.769,48.012,49.169,50.195,52.405,54.998,57.936,62.174,64.661,68.188,75.842,80.968,87.416,92.967,106.587,100,114.194,127.572,134.322,138.948
"290","283","        Internet access (72)","DINTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.728,200.358,189.543,180.58,166.958,153.989,140.309,123.092,117.154,120.561,125.267,134.039,129.929,125.841,128.187,129.31,130.41,127.22,125.069,119.115,95.7,96.615,100,100.651,99.709,99.938,100.876
"291","284","      Education services","DTEDRG3",4.438,4.539,4.631,4.748,4.863,4.982,5.153,5.384,5.607,5.863,6.222,6.652,7.007,7.369,7.928,8.969,9.756,10.467,11.149,11.736,12.764,14.185,15.848,17.635,19.144,20.797,22.368,23.911,25.598,27.506,29.463,31.504,34.126,37.019,39.767,42.17,44.533,46.892,49.154,51.393,53.958,56.597,59.625,63.468,68.393,74.24,79.707,84.766,89.571,94.766,100,104.691,109.697,114.648,119.084
"292","285","        Higher education (97)","DHEDRG3",3.632,3.727,3.819,3.965,4.11,4.264,4.449,4.673,4.911,5.209,5.559,5.949,6.321,6.671,7.037,7.644,8.211,8.777,9.355,9.87,10.659,11.674,13.121,14.888,16.437,18.12,19.77,21.366,22.978,24.725,26.682,28.837,31.764,35.18,38.481,41.176,43.65,46.13,48.475,50.524,52.522,54.696,57.479,61.401,66.549,72.849,78.308,83.553,88.782,94.319,100,105.194,110.476,115.83,120.727
"293","286","          Proprietary and public higher education","DGEDRG3",3.657,3.75,3.846,3.985,4.124,4.289,4.474,4.706,4.941,5.241,5.591,5.987,6.362,6.711,7.082,7.689,8.27,8.83,9.412,9.872,10.658,11.672,13.115,14.886,16.437,18.118,19.768,21.365,22.976,24.722,26.68,28.832,31.768,35.185,38.475,41.171,43.644,46.118,48.472,50.518,52.518,54.689,57.477,61.402,66.541,72.846,78.302,83.545,88.771,94.308,100,105.184,110.466,115.816,120.712
"294","287","          Nonprofit private higher education services to households","DPEDRG3",3.608,3.703,3.794,3.941,4.088,4.237,4.421,4.64,4.88,5.175,5.525,5.91,6.279,6.629,6.989,7.596,8.149,8.72,9.295,9.868,10.661,11.676,13.126,14.889,16.437,18.122,19.772,21.367,22.981,24.728,26.684,28.842,31.758,35.174,38.488,41.184,43.658,46.147,48.48,50.532,52.528,54.706,57.481,61.4,66.562,72.856,78.317,83.566,88.799,94.335,100,105.212,110.494,115.852,120.747
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRG3",4.203,4.311,4.416,4.471,4.522,4.548,4.654,4.834,4.966,5.097,5.413,5.881,6.171,6.486,7.379,8.892,9.903,10.77,11.412,11.789,12.84,14.394,16.032,17.81,19.292,20.942,22.546,24.225,26.186,28.404,30.598,32.962,35.513,38.083,40.618,42.973,45.633,47.88,50.34,53.564,56.786,60.503,64.203,68.36,72.519,76.836,81.429,86.084,90.545,95.448,100,103.803,107.414,110.87,114.525
"296","289","          Elementary and secondary schools","DESCRG3",3.487,3.577,3.664,3.708,3.751,3.773,3.86,4.012,4.119,4.229,4.489,4.879,5.118,5.378,6.169,7.518,8.395,9.098,9.649,9.89,10.75,12.053,13.474,15.157,16.59,18.213,19.824,21.517,23.526,25.748,27.966,30.449,32.982,35.578,38.137,40.409,43.173,45.437,47.962,51.274,54.508,58.271,62.047,66.357,70.75,75.518,80.468,85.141,89.848,95.038,100,104.021,107.957,111.804,115.889
"297","290","          Day care and nursery schools","DNSCRG3",9.06,9.245,9.503,9.686,9.778,9.846,10.097,10.386,10.725,10.986,11.741,12.706,13.365,14.078,14.983,16.692,18.313,20.292,21.407,23.088,25.409,28.47,31.071,32.247,33.079,34.034,34.91,35.978,37.114,38.776,40.473,41.979,44.328,46.528,48.783,51.359,53.483,55.574,57.699,60.512,63.619,67.103,70.487,74.084,77.45,80.368,83.901,88.493,92.297,96.471,100,103.268,106.124,108.709,111.369
"298","291","        Commercial and vocational schools (99)","DVEDRG3",9.63,9.728,9.726,9.859,9.988,10.21,10.47,10.872,11.255,11.604,12.085,12.562,12.91,13.398,14.084,16.577,18.047,19.154,20.518,22.073,24.443,27.993,30.839,32.147,32.895,33.895,34.552,35.244,36.617,38.674,40.223,41.218,42.571,43.624,44.324,45.604,47.137,49.221,50.973,52.82,56.701,59.899,63.149,66.423,71.312,76.985,83.366,88.097,91.625,95.821,100,103.567,108.722,113.387,116.657
"299","292","      Professional and other services (121)","DPRSRG3",6.65,6.819,6.953,7.076,7.225,7.485,7.759,7.958,8.283,8.611,9.178,9.9,10.549,11.286,12.118,13.212,14.175,15.046,16.011,17.113,18.625,21.135,23.813,26.6,29.756,32.179,34.059,36.13,38.636,40.253,42.399,45.135,47.61,49.86,51.842,53.795,55.828,58.057,60.488,63.304,66.261,69.451,72.821,76.137,79.56,83.106,86.374,89.868,93.542,97.341,100,103.204,106.232,108.63,111.51
"300","293","        Legal services","DGALRG3",5.259,5.414,5.524,5.604,5.72,6.021,6.367,6.557,6.898,7.164,7.775,8.612,9.339,10.252,11.204,12.121,12.959,13.836,14.799,15.826,17.174,19.46,22.067,25.01,28.474,31.111,33.151,35.347,38.155,39.636,41.925,44.934,47.39,49.784,51.76,53.352,55.047,56.977,59.293,62.246,65.452,69.034,72.515,75.9,79.713,83.511,86.903,89.906,93.574,97.345,100,103.602,106.942,109.117,112.12
"301","294","        Accounting and other business services","DPRORG3",6.619,6.79,6.846,6.936,7.024,7.116,7.256,7.455,7.72,8.075,8.485,8.977,9.354,9.611,10.219,11.332,12.321,13.1,14.013,15,16.304,18.388,20.662,23.034,25.678,27.729,29.419,31.149,32.903,34.96,37,39.631,42.811,45.252,47.827,51.695,54.477,57.264,59.936,63.01,65.896,69.171,72.212,75.722,78.726,81.865,85.169,89.946,93.401,97.752,100,102.739,105.528,110.102,112.634
"302","295","          Tax preparation and other related services","DTAPRG3",5.899,6.074,6.038,6.096,6.193,6.251,6.378,6.529,6.746,7.018,7.413,7.871,8.203,8.445,8.989,9.989,10.845,11.455,12.185,12.925,14.007,15.886,18.028,20.375,23.069,25.167,26.846,28.591,30.331,32.394,34.338,36.858,39.899,42.184,44.622,48.428,51.224,54.157,56.803,60.213,63.328,66.907,69.98,73.616,76.761,79.986,83.548,89.216,92.822,97.507,100,102.809,105.773,111.154,113.588
"303","296","          Employment agency services","DGENRG3",9.569,9.731,9.834,10.007,10.041,10.208,10.364,10.608,10.912,11.502,12.045,12.793,13.401,13.792,14.645,16.242,17.634,18.627,19.875,21.112,22.818,25.902,29.341,33.214,37.878,41.306,43.997,46.882,49.758,53.127,56.319,60.411,65.324,69.208,73.198,79.486,81.776,82.463,83.891,85.128,87.287,88.823,90.565,92.089,93.109,94.423,96.48,96.38,98.598,99.289,100,100.603,101.13,100.144,103.615
"304","297","          Other personal business services","DTHERG3",9.241,9.544,9.698,9.811,9.997,10.127,10.361,10.731,11.219,11.767,12.279,12.828,13.271,13.549,14.393,15.871,17.356,18.943,20.631,22.783,25.061,27.785,30.416,32.414,34.016,35.567,37.118,38.396,39.808,41.356,43.423,45.971,49.012,51.542,54.13,56.959,59.845,62.637,65.673,68.183,70.576,73.26,76.387,79.668,82.352,85.354,88.005,91.077,94.343,98.362,100,102.806,105.362,108.231,110.908
"305","298","        Labor organization dues","DUNSRG3",13.506,13.578,13.642,13.779,13.977,14.25,14.586,14.86,15.261,15.872,16.684,17.624,18.573,19.454,20.47,23.508,25.735,27.299,29.12,31.141,34.464,39.432,43.236,44.977,46.331,47.546,48.498,50.112,51.735,54.235,56.322,57.81,59.431,60.912,61.993,63.146,64.826,67.527,69.576,71.88,74.45,76.829,81.73,83.82,85.704,88.614,91.887,94.759,97.562,98.531,100,102.834,105.407,105.532,108.153
"306","299","        Professional association dues","DAXSRG3",5.259,5.415,5.523,5.606,5.717,6.035,6.366,6.559,6.904,7.166,7.776,8.613,9.346,10.249,11.201,12.131,12.983,13.825,14.808,15.838,17.154,19.454,22.061,25.01,28.472,31.1,33.146,35.329,38.163,39.625,41.924,44.942,47.38,49.787,51.758,53.354,55.048,56.965,59.292,62.248,65.467,69.04,72.518,75.899,79.726,83.503,86.922,89.909,93.583,97.322,100,103.6,106.933,109.132,112.114
"307","300","        Funeral and burial services","DFUNRG3",7.874,8.1,8.327,8.55,8.777,8.965,9.077,9.265,9.531,9.908,10.324,10.734,11.15,11.528,12.015,12.846,13.639,14.238,14.862,15.838,17.168,19.487,22.058,25.04,28.43,31.057,33.074,35.248,37.659,39.094,40.796,43.3,45.972,48.057,50.272,52.738,55.853,58.615,61.673,64.04,66.261,68.16,70.603,74.051,77.013,80.288,83.008,87.276,91.63,96.238,100,102.306,104.583,106.584,109.458
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRG3",11.924,12.397,12.496,12.679,12.982,13.285,13.67,14.35,15.064,15.785,16.619,17.45,18.008,18.338,19.25,21.199,22.939,24.45,26.055,28.336,31.367,34.903,38.293,40.81,42.629,44.719,46.705,48.435,50.212,52.341,54.883,57.063,59.169,60.73,62.478,64.025,65.451,66.872,68.937,70.054,71.906,74.265,77.273,79.111,81.027,83.35,86.452,89.492,92.661,97.047,100,102.116,104.084,106.329,108.977
"309","302","        Personal care services","DPCSRG3",12.077,12.555,12.62,12.796,13.162,13.586,14.067,14.867,15.645,16.515,17.479,18.381,18.949,19.326,20.373,22.28,24.008,25.502,27.152,29.278,32.108,35.359,38.499,40.87,42.568,44.603,46.553,48.254,49.914,52.028,54.496,56.56,58.562,60.166,61.924,63.425,65.001,66.514,68.685,69.828,71.732,74.261,77.283,79.038,80.976,83.278,86.492,89.55,92.746,97.1,100,102.038,103.976,106.222,108.913
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRG3",13.13,13.707,13.756,13.963,14.382,14.902,15.478,16.418,17.299,18.342,19.487,20.529,21.154,21.621,22.935,24.914,26.579,28.197,30.025,32.069,34.727,37.652,40.476,42.65,44.168,46.159,48.099,49.804,51.235,53.389,55.758,57.534,59.317,61.093,62.973,64.379,66.658,68.644,71.398,72.914,75.287,78.249,80.958,82.769,84.895,86.842,89.574,92.128,95.155,98.272,100,100.891,101.41,102.921,104.921
"311","304","          Miscellaneous personal care services","DMPCRG3",11.112,11.302,11.456,11.55,11.789,11.939,12.182,12.662,13.254,13.739,14.322,14.961,15.45,15.638,16.169,18.032,19.977,21.29,22.659,25.014,28.225,32.087,35.762,38.434,40.394,42.501,44.473,46.17,48.148,50.209,52.793,55.178,57.436,58.819,60.425,62.017,62.882,63.93,65.522,66.29,67.731,69.834,73.116,74.801,76.544,79.174,82.862,86.445,89.823,95.626,100,103.577,107.459,110.715,114.404
"312","305","        Clothing and footwear services","DCFSRG3",11.358,11.81,11.937,12.12,12.35,12.518,12.789,13.321,13.939,14.463,15.124,15.848,16.379,16.642,17.363,19.333,21.064,22.585,24.107,26.664,30.082,34.197,38.124,40.973,43.086,45.331,47.422,49.242,51.358,53.544,56.313,58.853,61.282,62.718,64.438,66.139,67.069,68.185,69.885,70.911,72.574,74.304,77.256,79.438,81.254,83.676,86.186,89.123,92.137,96.716,100,102.618,104.782,107.02,109.362
"313","306","          Laundry and drycleaning services","DDRYRG3",11.51,12.124,12.299,12.551,12.897,13.124,13.391,13.929,14.533,15.062,15.752,16.409,16.949,17.119,17.687,19.775,21.877,23.334,24.803,27.41,30.889,35.128,39.139,42.077,44.263,46.555,48.706,50.58,52.752,54.989,57.841,60.445,62.971,64.44,66.194,67.942,68.894,70.043,71.787,72.967,74.753,76.254,79.01,81.429,83.277,85.594,87.565,90.218,93.075,97.155,100,102.255,103.767,105.618,107.475
"314","307","          Clothing repair, rental, and alterations","DLGRRG3",10.655,10.949,11.014,11.132,11.234,11.336,11.604,12.112,12.731,13.239,13.848,14.65,15.155,15.546,16.451,18.229,19.49,21.029,22.55,24.973,28.207,32.052,35.756,38.415,40.384,42.501,44.458,46.159,48.144,50.201,52.789,55.172,57.424,58.778,60.41,62.002,62.878,63.921,65.517,66.281,67.716,69.814,73.087,74.784,76.524,79.155,82.838,86.422,89.81,95.611,100,103.566,107.442,110.705,114.397
"315","308","          Repair and hire of footwear","DSCLRG3",11.11,11.3,11.454,11.548,11.78,11.936,12.177,12.652,13.248,13.734,14.32,14.959,15.448,15.635,16.145,18.021,19.958,21.274,22.639,24.982,28.192,32.049,35.721,38.401,40.374,42.482,44.443,46.151,48.13,50.183,52.782,55.179,57.442,58.781,60.385,61.979,62.87,63.903,65.507,66.275,67.708,69.798,73.096,74.782,76.504,79.152,82.833,86.426,89.807,95.603,100,103.55,107.447,110.702,114.386
"316","309","      Social services and religious activities (120)","DSOCRG3",13.114,13.309,13.425,13.561,13.788,13.959,14.273,14.637,15.008,15.634,16.596,17.219,18.102,18.954,20.015,22.83,24.877,26.321,28.021,29.897,32.824,37.074,40.571,42.372,43.473,44.916,45.929,47.196,48.91,51.67,54.144,56.469,58.899,60.854,62.593,64.349,66.409,68.351,70.203,72.415,74.612,77.996,80.241,82.727,84.942,86.994,90.166,93.113,96.153,98.608,100,101.828,104.064,105.57,107.589
"317","310","        Child care","DCHCRG3",9.401,9.524,9.595,9.663,9.836,9.908,10.115,10.354,10.598,11.047,11.737,12.149,12.767,13.387,14.118,16.086,17.534,18.574,19.753,21.056,23.117,26.11,28.63,29.882,30.6,31.586,32.339,33.226,34.554,36.958,39.105,41.728,44.506,46.717,48.942,51.457,53.56,55.612,57.715,60.512,63.622,67.105,70.483,74.081,77.446,80.36,83.889,88.478,92.29,96.456,100,103.244,106.108,108.708,111.371
"318","311","        Social assistance","DSCWRG3",15.066,15.265,15.377,15.487,15.765,15.88,16.211,16.594,16.985,17.705,18.81,19.471,20.461,21.455,22.628,25.781,28.102,29.769,31.657,33.746,37.05,41.846,45.885,47.892,49.043,50.623,51.83,53.252,55.048,57.849,60.526,62.802,65.137,67.012,68.416,69.707,71.67,73.477,75.03,76.947,78.714,82.023,83.642,85.746,87.558,89.188,92.172,94.542,97.222,99.229,100,101.215,103.184,104.179,105.635
"319","312","          Homes for the elderly","DELDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.877,57.67,60.339,62.607,64.936,66.805,68.203,69.489,71.447,73.241,74.8,76.713,78.475,81.775,83.198,85.201,87.242,88.827,92.623,94.614,97.957,99.649,100,101.274,102.868,103.665,104.746
"320","313","          Residential mental health and substance abuse","DMENRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.436,57.206,59.854,62.104,64.414,66.268,67.655,68.932,70.872,72.663,74.199,76.092,77.847,81.113,82.554,84.559,86.754,88.441,92.333,94.727,96.952,99.094,100,100.976,102.962,103.214,106.336
"321","314","          Individual and family services","DFAMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.543,58.369,61.071,63.367,65.723,67.615,69.032,70.334,72.316,74.14,75.704,77.637,79.419,82.76,84.406,86.404,87.982,89.373,91.99,94.454,96.797,99.043,100,101.252,103.342,104.024,105.079
"322","315","          Vocational rehabilitation services","DVOCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.533,58.359,61.06,63.356,65.712,67.603,69.019,70.322,72.303,74.126,75.692,77.627,79.409,82.74,84.847,87.17,88.673,90.525,93.029,95.262,98.113,99.845,100,100.921,102.23,104.733,108.067
"323","316","          Community food and housing/emergency/other relief services","DCFORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.727,54.359,56.875,59.013,61.207,62.969,64.289,65.502,67.347,69.046,70.509,72.323,73.98,77.093,78.969,81.83,84.243,86.823,90.377,93.284,96.528,98.767,100,101.968,104.839,107.3,107.902
"324","317","          Other social assistance, not elsewere classified","DSIARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.173,59.031,61.763,64.085,66.468,68.381,69.814,71.132,73.136,74.981,76.561,78.509,80.319,83.696,84.885,87.002,89.117,90.897,93.018,95.402,97.849,99.136,100,100.432,102.452,102.696,104.209
"325","318","        Social advocacy and civic and social organizations","DSADRG3",14.399,14.703,14.86,15.092,15.352,15.729,16.139,16.628,17.114,17.837,18.877,19.701,20.736,21.647,22.737,25.741,27.92,29.504,31.339,33.405,36.817,41.383,45.313,47.211,48.319,49.853,50.828,52.139,53.912,56.604,59.035,60.921,63.024,64.733,66.414,67.803,69.848,71.685,73.23,75.316,77.197,80.068,82.278,84.446,86.282,88.39,91.738,94.276,97.256,98.891,100,101.791,104.42,106.741,110.162
"326","319","        Religious organizations' services to households","DRELRG3",13.561,13.697,13.823,13.943,14.131,14.249,14.557,14.915,15.292,15.89,16.872,17.539,18.457,19.246,20.504,23.752,25.885,27.223,29.308,31.602,34.411,39.101,42.031,44.215,46.054,48.126,49.021,50.54,52.744,55.656,57.491,58.045,59.555,60.632,61.723,63.465,65.62,67.766,70.964,72.844,74.929,79.427,82.188,84.04,85.974,88.482,91.687,94.85,98.574,100.206,100,103.335,105.306,106.822,110.586
"327","320","        Foundations and grantmaking and giving services to households","DGIVRG3",12.365,12.617,12.618,12.845,13.077,12.959,13.313,13.631,14.049,14.446,15.503,16.114,16.893,17.656,19.266,21.489,23.782,25.238,26.376,27.346,31.022,34.966,38.545,40.598,42.546,43.63,44.436,46.05,47.357,50.132,52.128,54.407,54.872,57.339,59.226,60.645,62.091,64.421,66.518,68.866,71.769,75.259,78.873,81.291,83.83,86.514,90.198,93.473,97.679,99.714,100,102.751,105.529,108.232,110.874
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRG3",11.099,11.67,11.824,12.109,12.323,12.682,13.209,13.866,14.384,15.599,16.69,17.967,19.01,19.896,21.116,23.174,25.048,27.699,29.69,31.905,34.933,37.882,41.218,43.858,45.195,46.781,48.527,49.837,50.919,52.58,53.929,55.348,58.347,60.428,62.204,63.374,65.468,67.405,69.131,71.053,73.218,76.399,79.722,82.376,84.55,86.693,90.229,93.604,96.047,99.322,100,100.221,101.263,103.732,105.583
"329","322","        Domestic services","DDMSRG3",10.667,11.311,11.448,11.75,11.979,12.371,12.948,13.663,14.16,15.55,16.646,17.997,19.053,19.986,21.386,23.51,25.317,28.659,30.914,33.123,36.411,39.374,42.818,45.294,46.267,47.534,49.014,50.134,51.205,52.93,54.47,55.979,59.053,60.922,62.506,63.727,65.852,67.664,69.397,71.244,73.264,76.262,79.121,82.026,84.038,85.967,88.793,91.921,95.322,98.894,100,100.448,101.602,103.154,104.84
"330","323","        Moving, storage, and freight services","DMSERG3",14.832,15.178,15.532,15.84,16.108,16.376,16.769,17.326,17.909,18.854,20.224,21.816,22.957,23.88,24.892,27.135,29.625,32.008,34.255,37.527,41.235,44.527,48.478,51.421,52.574,53.918,55.708,56.904,57.945,59.823,61.309,62.725,66.491,68.857,70.738,72.05,74.689,76.845,78.808,81.029,83.156,86.389,89.945,92.255,94.388,95.626,100.01,102.484,102.383,102.763,100,98.829,98.539,101.662,103.086
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERG3",12.497,12.659,12.821,13.07,13.235,13.444,13.729,14.139,14.76,15.496,16.404,17.267,17.838,18.501,19.269,20.708,22.117,23.137,24.138,25.355,27.043,29.091,31.461,33.864,35.565,37.511,39.129,40.355,41.53,42.742,43.465,44.901,46.309,48.663,51.158,52.034,53,55.12,56.543,57.903,60.907,63.416,67.809,71.09,74.447,79.187,83.741,87.906,91.569,96.567,100,103.24,107.116,112.903,117.431
"332","325","        Repair of household appliances","DERERG3",9.539,9.786,9.952,9.993,9.995,10.16,10.448,10.939,11.474,12.132,13.157,14.189,15.502,16.161,17.148,19.206,21.546,23.115,24.22,25.385,27.069,29.113,31.455,33.856,35.571,37.485,39.12,40.333,41.521,42.747,43.457,44.893,46.323,48.67,51.19,52.04,53.023,55.157,56.542,57.898,60.907,63.432,67.843,71.1,74.465,79.198,83.721,87.931,91.565,96.587,100,103.234,107.112,112.885,117.419
"333","326","        Other household services","DMHSRG3",10.182,10.327,10.429,10.619,10.827,11.091,11.51,11.812,12.201,12.738,13.382,13.968,15.048,15.945,17.024,19.224,20.573,22.192,23.809,25.589,28.146,31.65,34.739,37.542,39.776,42.359,44.928,47.039,48.154,49.725,50.938,52.123,55.234,57.222,58.767,59.856,62.046,63.824,65.472,67.644,69.561,73.549,76.913,79.174,81.09,83.21,86.694,90.892,93.585,98.169,100,99.999,101.016,103.245,104.912
"334","327","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","328","        Foreign travel by U.S. residents (129)","DFTRRG3",17.284,16.938,17.069,17.541,17.974,18.337,19.073,19.775,19.632,20.496,20.955,21.265,23.264,24.706,27.03,32.718,35.982,36.694,38.912,40.561,45.164,50.831,53.91,51.723,49.944,48.064,46.616,51.3,50.249,53.365,53.881,56.924,60.657,63.61,63.913,65.772,67.506,69.206,70.043,68.378,70.331,70.816,71.601,73.968,78.712,82.793,88.556,92.734,99.082,107.239,100,105.468,109.836,111.804,112.541
"336","329","          Passenger fares for foreign travel","DAFTRG3",18.054,17.131,17.044,17.526,17.802,18.009,18.609,19.019,18.663,19.539,19.857,19.892,21.523,22.749,22.663,27.536,29.781,31.135,33.257,31.635,33.904,39.267,42.658,44.066,44.248,43.246,41.793,43.338,44.771,47.128,47.556,51.274,56.972,58.546,58.538,59.25,61.742,62.883,65.452,65.879,68.31,71.449,76.714,80.084,84.001,85.58,91.779,97.196,102.063,112.288,100,111.49,118.937,125.292,124.42
"337","330","          U.S. travel outside the United States","DUSTRG3",16.883,16.882,17.148,17.616,18.149,18.613,19.441,20.338,20.338,21.195,21.751,22.252,24.512,26.108,30.286,36.572,40.642,40.808,43.079,47.445,54.014,59.738,62.34,56.78,53.183,50.678,49.237,55.844,53.287,56.833,57.398,60.046,62.685,66.421,66.907,69.467,70.713,72.749,72.505,69.603,71.28,70.258,68.618,70.475,75.625,81.126,86.628,90.046,97.32,104.203,100,101.959,104.591,104.296,105.816
"338","331","          U.S. student expenditures","DUSSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.462,56.715,53.269,50.771,49.373,55.955,53.396,56.951,57.502,60.19,62.809,66.564,67.029,69.623,70.793,72.883,72.631,69.74,71.411,70.435,68.863,70.521,75.664,81.139,86.617,90.023,97.328,104.161,100,101.959,104.587,104.3,105.813
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRG3",13.168,13.327,13.492,13.632,13.783,14,14.207,14.623,15.048,15.67,16.503,17.502,18.172,18.792,19.856,21.577,23.241,24.966,26.678,28.997,31.792,35.68,39.438,42.618,44.77,47.295,49.565,51.212,53.722,55.843,57.727,60.938,64.83,66.491,67.431,68.078,69.139,70.955,72.698,73.647,75.615,79.209,79.909,79.988,82.365,85.943,90.104,94.293,97.988,102.66,100,103.463,108.74,111.955,113.358
"340","333","          Foreign travel in the United States","DFTURG3",15.008,15.189,15.378,15.538,15.71,15.956,16.193,16.667,17.151,17.86,18.809,19.948,20.711,21.419,22.631,24.593,26.489,28.455,30.407,33.05,36.235,40.667,44.95,48.402,50.601,53.25,55.623,57.227,59.925,62.052,63.826,67.233,71.404,72.807,73.392,73.722,74.6,76.364,78.032,78.784,80.753,84.632,84.85,83.958,85.622,88.572,92.486,96.463,99.846,104.343,100,103.045,108.304,111.09,111.819
"341","334","          Medical expenditures of foreigners","DMEFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.966,15.964,17.8,19.365,20.621,21.873,23.385,25.53,28.432,31.523,34.682,37.816,40.956,43.327,45.446,47.478,49.045,50.634,52.744,55.886,59.567,64.74,69.527,73.597,77.514,82.433,87.859,94.025,100,107.007,112.961,118.347,123.55
"342","335","          Expenditures of foreign students in the United States","DEFSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.901,19.576,20.864,22.384,23.873,25.249,26.739,28.406,30.301,32.397,34.875,37.546,40.027,42.109,44.038,46.203,48.5,50.533,52.531,54.714,57.512,61.414,66.513,72.846,78.307,83.569,88.832,94.367,100,105.223,110.499,115.86,120.75
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRG3",55.154,51.448,51.982,52.718,53.562,53.771,55.275,57.306,59.156,61.401,65.295,68.143,71.952,74.925,79.755,91.299,99.685,104.855,112.035,119.387,131.067,143.257,150.362,142.523,131.821,126.093,123.315,119.263,116.968,115.616,108.061,98.986,91.535,83.178,78.736,78.58,78.503,79.864,83.25,88.899,92.092,97.17,101.711,102.151,99.609,98.123,100.153,101.089,102.417,103.124,100,98.946,99.642,98.932,100.983
