"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"85","77","          Meats and poultry","DMAPRX0",120249,120566,120501,120753,121435,121175,121641,121818,122235,121181,120946,125570,118948,120169,120741,120538,119670,120366,119198,119017,119574,120296,120987,121076,120337,118782,117654,118678,118987,117636,117129,117436,117998,116568,116824,117621,116700,116717,116270,115952,116385,117033,117481,117095,116948,118234,118954,118661,120773,118917,118927,118597,118528,119076,119899,120534,120317,118978,116960,116012,119030,118155,120000,120091,119760,119538,119470,119483,120512,121048,122250,122231,122834,122624,122515,124172,124291,124929,125762,126251,126331,127041,125607,125657,126001,126380,125991,126247,127072,126864,127717,127899,127092,129445,128921,130709,129840,130595,128986,127940,127160,126956,128437,128173,129156,129131,130082,131293,129807,129807,131266,132632,132069,133309,131866,130184,129391,128250,127606,126738,127688,126793,127990,128466,129672,130246,131317,130681,132298,132646,133073,134067,133290,134614,133329,130853,130569,128724,127903,130643,130326,129917,132165,133881,133743,133922,133396,134980,133659,135319,135308,135434,134593,135445,134724,132321,134036,133391,132877,134466,134498,134311,134990,134391,136064,135687,135129,134617,135056,135421,135738,134378,134764,134516,134941,133664,134110,134128,134303,135286,135530,134181
"86","78","            Beef and veal","DBEERX0",38293,38273,38451,38481,38613,38195,38317,38503,38429,37718,37889,39106,37202,37430,37627,37376,37075,37109,37035,36853,37035,37593,37410,37428,36449,35539,35115,35244,35297,35034,35162,35528,35669,35712,35609,36061,35878,35722,35614,35279,35417,35837,36093,35860,35857,36062,36268,35965,36323,35241,34862,34837,34702,34795,34923,35050,34633,33599,31409,30925,32355,32209,33305,33172,32955,32559,32596,32810,33065,33405,33456,33493,33760,33225,33072,33562,33066,33265,34011,34226,34394,34379,34126,33601,33372,33537,33203,33338,33670,33784,34050,33835,33720,34199,33875,34515,34324,34083,33582,32898,32958,33038,33468,33318,33200,33535,33670,34086,33978,33776,33908,34818,34314,34168,33948,33159,33177,32767,33029,32876,33478,33006,33558,33686,33917,34105,34757,34389,34669,34851,34586,35063,35294,35490,34853,33634,33385,32843,32823,33663,33706,33624,34148,34635,34183,33936,33308,33626,33314,33860,33747,33793,33680,33859,33642,33028,33173,33025,32854,33109,32758,32629,32703,32749,33098,33036,32913,32788,32991,33126,33128,32969,32942,32947,32848,32863,33160,33158,32948,33183,33401,32053
"87","79","            Pork","DPORRX0",22832,22651,22642,22681,22528,22589,22603,22719,22645,22517,22249,22979,21811,21674,21503,21378,21236,21407,21210,21025,21230,21302,21314,21449,21395,21204,20942,21159,21088,20914,20783,20681,20599,20511,20435,20569,20241,20272,20344,20234,20420,20543,20803,20578,21044,21258,21326,21177,21348,21120,21369,21382,21165,21259,21482,21761,21536,21563,21576,21579,22036,21939,22108,22305,22176,22041,21983,21956,22062,22195,22331,22493,22471,22317,22610,22631,23075,23213,23459,23584,23649,23700,23450,23448,23544,23558,23525,23403,23679,23715,23682,23746,23639,24060,24172,24384,24347,24518,24259,24479,24027,23953,24374,24462,24928,24734,24969,25173,24968,25155,25795,25452,25592,25650,25458,25126,24943,24801,24586,24425,24741,24699,25001,25295,25441,25717,25753,26012,26461,26631,26889,26950,26249,26029,26033,25518,25217,24752,24451,24819,24689,24439,24980,25399,25350,25339,25113,25526,25217,25444,25578,25573,25247,25501,25294,24978,25498,25483,25604,25827,26232,26441,26675,26242,26871,26821,26808,26848,26867,26838,26924,26613,26882,26924,26648,26317,26511,26402,26481,26483,26534,26423
"88","80","            Other meats","DMEARX0",20804,20887,20909,20891,20911,21278,21290,21152,21605,21202,21364,22133,21269,21369,21558,21580,21492,21486,21320,21330,21260,21462,21174,21517,21800,21619,21460,21765,21805,21589,21574,21742,21628,21255,21078,21344,21104,21416,20902,21012,21032,20823,20965,20937,20779,21058,21443,21314,22133,21886,22025,21757,21835,22032,22264,22085,22527,22532,22493,22413,22919,22612,23089,23179,23529,23832,23874,23896,24121,24198,24616,24211,24577,24773,24724,25167,25097,25249,25161,25309,25422,25692,25535,25516,25631,25718,25709,25606,25592,25423,25648,26157,25703,26316,26186,26794,26273,27230,26790,26865,26688,26805,27296,27161,27837,27557,27711,27910,27752,27530,27676,27925,28122,28696,28116,27933,27430,27078,26987,26768,26650,26389,26706,26890,27363,27413,27242,27143,27382,27255,27721,27965,27657,28546,28123,27794,27858,27331,27165,27667,27703,27830,28031,28211,28357,28426,28580,28541,28367,28747,28533,28527,28606,28859,28654,28103,28763,28493,28496,29053,28839,28952,29409,29316,29624,29726,29659,29552,29896,29609,29961,29525,29713,29672,30021,29928,29733,29924,29917,30326,30209,30405
"89","81","            Poultry","DPOURX0",38791,39213,38996,39186,39869,39539,39857,39889,39980,40097,39848,41742,39063,40094,40483,40618,40274,40745,40046,40222,40451,40394,41516,41086,41002,40677,40393,40751,41052,40352,39890,39811,40444,39456,40064,40032,39887,39699,39787,39784,39863,40204,39988,40087,39603,40174,40232,40503,41254,40897,40847,40798,41013,41172,41399,41801,41764,41371,41556,41168,41784,41462,41570,41493,41163,41182,41097,40905,41356,41340,41945,42114,42118,42415,42185,42916,43133,43279,43190,43189,42920,43326,42552,43151,43521,43638,43628,43991,44213,44017,44429,44238,44113,44953,44761,45083,44967,44813,44408,43731,43530,43198,43325,43253,43214,43325,43753,44145,43123,43353,43889,44449,44049,44829,44367,44006,43870,43635,43021,42683,42823,42705,42725,42592,42951,43010,43564,43134,43782,43909,43879,44085,44083,44551,44314,43915,44133,43830,43497,44530,44265,44073,45051,45674,45911,46305,46529,47435,46908,47411,47600,47693,47208,47365,47287,46349,46744,46520,46037,46609,46818,46434,46355,46228,46611,46242,45883,45560,45435,45966,45858,45384,45353,45094,45578,44691,44810,44761,45089,45442,45513,45550
"90","82","          Fish and seafood","DFISRX0",10471,10513,10560,10557,10639,10641,10655,10719,10816,10661,10701,11117,10677,10596,10753,10791,10633,10773,10887,10851,10826,10849,11009,11150,10956,10942,11060,11102,11019,11173,11228,11353,11445,11440,11429,11504,11433,11658,11735,11445,11375,11560,11425,11625,11622,11675,11798,11767,11836,11727,11871,11837,11567,11614,11844,11801,11870,11968,11883,11890,12042,11996,12347,12234,12306,12337,12253,12363,12353,12342,12374,12374,12309,12440,12500,12468,12509,12478,12470,12430,12416,12332,12147,12076,11948,12016,11998,11906,11813,11671,11750,11617,11465,11684,11744,11891,11708,11650,11573,11465,11410,11453,11581,11502,11547,11487,11573,11620,11553,11481,11610,11608,11569,11639,11570,11398,11325,11244,11210,11083,11084,11021,11007,11070,11039,11060,10959,11010,11107,11276,11163,11261,11108,11411,11346,11167,11236,11102,11007,11251,11232,11237,11238,11335,11383,11369,11306,11571,11382,11452,11480,11511,11428,11562,11481,11275,11467,11533,11468,11543,11588,11610,11676,11639,11689,11722,11680,11717,11731,11905,11797,11449,11651,11707,11681,11524,11497,11365,11391,11516,11377,11253
"91","83","          Milk, dairy products, and eggs","DMDERX0",51453,51348,51463,53469,53608,53258,53837,53760,53965,52749,52920,55980,53026,53689,54901,54537,54591,55158,54745,54778,54886,55187,55346,55763,54964,55077,54934,55333,55305,54530,54225,54430,54625,54542,54311,55079,54696,54793,55129,54861,54894,55031,55343,55328,55537,56135,56452,56312,57610,57706,57946,58306,57903,59029,59440,59046,58145,57756,58134,57926,59428,59014,60004,59773,57584,57143,57750,59106,60943,61039,62196,62547,62330,62414,62944,63294,62803,63670,63283,63901,63861,64281,63968,64303,64038,65577,65145,65963,66400,66705,66909,67795,68100,68909,68895,69403,69454,69238,69214,69344,68472,68044,66227,64900,64434,64546,65113,65498,65296,65150,66059,66376,66704,67073,65423,65563,65313,65167,64588,64647,65356,66519,67961,67828,68395,68440,68652,68755,69200,69030,69005,69229,68179,68990,68206,68423,68782,68082,67663,68709,68389,69165,69192,69115,70074,70500,69631,69483,68297,68344,67810,67366,66293,66755,67074,66440,66847,67561,67358,68322,68019,67881,68506,67936,68717,68560,67659,67445,68085,68550,68996,68141,68459,68360,68509,68447,69237,69294,68757,69001,69289,68469
"92","84","            Fresh milk","DMILRX0",15353,15008,14947,16432,16395,16328,16422,16530,16375,15335,15287,16440,16026,16245,16460,16391,16394,16614,16414,16338,16479,16614,16745,16694,16390,16360,16359,16476,16470,16153,16115,16211,16345,16259,16247,16451,16540,16582,16742,16641,16762,16792,16977,16970,16995,17044,17158,17035,17378,17679,17872,17919,17871,18333,18559,18534,17749,17569,17736,17797,18357,18412,18943,18686,16601,16180,16531,17364,18005,17990,18257,18378,18000,18284,18155,18395,18254,18519,18466,18577,18738,18698,18546,18567,18675,18747,19005,19269,19717,19836,19884,20251,20285,20331,20416,20787,20694,20712,20685,20623,20330,19846,18881,18706,18717,18886,18975,19358,19399,19416,20045,20107,20355,20587,19679,19831,19991,20125,19740,19874,20128,21077,21919,21877,21970,22003,21930,22107,22085,21865,21727,21728,21111,21451,21290,21503,21484,21004,20792,21169,21436,21395,21601,21672,21812,21929,21329,21241,20979,21045,20971,20825,20597,20874,20945,20714,20798,21033,21097,21408,21279,21407,21433,21375,21510,21424,20803,20710,20891,21187,21319,21191,21557,21317,21414,21386,21540,21452,21236,21237,21074,20920
"93","85","            Processed dairy products","DDAIRX0",28928,29270,29412,29591,29686,29595,29776,29862,30055,29531,29917,31042,29587,29817,30636,30480,30641,30950,30811,30892,30978,31279,31235,31719,31453,31375,31175,31677,31383,30880,30649,30691,30745,30777,30613,30785,30647,30760,31053,30928,30852,31076,31154,31135,31249,31588,31744,31612,32460,32303,32334,32731,32543,33313,33474,33236,33308,33216,33583,33389,34203,33868,34281,34004,33489,33193,33199,33341,33924,33998,34279,34652,34475,34567,34834,34744,34798,35207,35137,35235,35553,35808,35565,35738,35513,36142,35886,36445,36323,36920,36569,37138,37254,37848,38146,38551,38675,38943,38736,38789,39024,38704,38384,37389,37262,37092,37428,37642,37517,37292,37798,37923,37891,37989,37307,36700,36483,36195,35811,35419,35944,35927,36326,36588,36741,36764,36847,37021,37021,37132,37555,37708,37286,37934,37515,37407,37486,37416,37132,37649,37537,37378,37783,37795,38366,38545,38422,38339,37915,37684,37287,37055,36460,36657,36618,36252,36594,36627,36607,37386,37324,37109,37710,37585,37726,37794,37444,37209,37435,37830,38135,37667,37912,38159,38210,37826,38151,38456,38281,38561,38860,38423
"94","86","            Eggs","DGGSRX0",7223,7133,7177,7476,7568,7351,7695,7378,7570,8068,7864,8725,7457,7700,7888,7729,7601,7631,7557,7595,7451,7290,7363,7346,7106,7350,7413,7161,7463,7538,7505,7579,7579,7548,7486,7953,7548,7478,7329,7288,7272,7132,7183,7195,7270,7500,7544,7675,7770,7709,7720,7617,7437,7315,7335,7201,7024,6912,6765,6690,6820,6684,6721,6973,7455,7782,8028,8380,9030,9077,9776,9599,10054,9681,10174,10400,9924,10131,9823,10303,9682,9928,10035,10197,10005,11003,10443,10415,10506,10037,10604,10522,10691,10878,10430,10129,10163,9663,9866,10008,9239,9627,9189,8991,8649,8728,8875,8657,8536,8578,8368,8488,8575,8603,8558,9078,8877,8872,9061,9362,9292,9502,9708,9363,9683,9674,9875,9628,10098,10035,9725,9795,9791,9617,9413,9519,9816,9675,9755,9903,9423,10407,9807,9649,9902,10033,9909,9933,9443,9638,9567,9503,9251,9235,9510,9473,9458,9898,9647,9530,9425,9368,9378,9012,9490,9361,9439,9547,9777,9553,9566,9308,9032,8948,8948,9260,9560,9423,9288,9264,9427,9201
"95","87","          Fats and oils","DFATRX0",12750,12783,12872,12964,13160,13022,13046,13065,13161,13027,13302,13777,12954,13251,13379,13499,13272,13362,13246,13187,13219,13240,13309,13086,12903,12906,12803,13076,12827,12520,12470,12446,12449,12401,12466,12372,12278,12312,12372,12255,12339,12367,12432,12496,12388,12520,12706,12764,12928,12804,13009,13112,13048,13364,13577,13551,13572,13462,13516,13479,13716,13499,13329,13268,13256,13031,13074,13310,13376,13557,13660,13750,13880,14053,14291,14144,14485,14821,14670,14764,14739,15018,15110,15177,15091,15320,15438,15771,15705,15875,16065,16132,16116,16381,16247,16536,16610,16625,16677,16657,16740,16856,16885,16779,16909,16867,16893,16872,16619,16423,16621,15976,15940,15900,15569,15455,15228,15056,15009,14796,15139,15236,15196,15377,15534,15538,15551,15555,15616,15681,15694,15725,15677,15875,15761,15580,15567,15449,15337,15429,15420,15336,15397,15583,15341,15268,14928,15066,14926,14782,14697,14621,14521,14496,14409,14091,14135,14234,14149,14298,14221,14283,14389,14414,14388,14455,14305,14272,14415,14700,14771,14547,14682,14767,14837,14765,14911,14878,14911,15051,15141,15081
"96","88","          Fresh fruits and vegetables","DFAVRX0",51873,52984,54037,53795,53449,53949,54120,54346,54607,54947,56071,57993,55781,56527,58037,58180,57856,59045,58418,57906,57909,58375,57727,56883,59901,57640,57750,58292,59904,59516,59757,60438,60259,60467,60910,62684,59875,58527,57587,58035,60505,60792,60719,60413,60546,61877,61385,61210,61396,61685,61091,61324,59848,58917,59181,59356,59613,59903,59759,59646,61443,60603,60383,60790,60878,60927,61430,61546,62029,59057,56948,57900,62373,63614,62899,61479,60906,62242,61502,62486,62247,62420,62249,61723,60189,61077,61486,61901,62388,61197,60947,60678,58483,59890,61295,62977,61775,59545,59860,60200,60804,61868,63153,63040,62531,62433,61508,61782,60850,62161,62832,62923,62517,62314,61179,60428,60710,61277,61728,62604,63906,63523,64356,64103,65188,64722,64547,65292,66278,66378,66452,66890,66459,67508,64712,64642,65687,66791,67518,68052,67814,67539,68412,67426,66446,64990,63447,65144,65965,66516,65889,66325,66072,68059,69049,69704,71498,72596,73524,74111,73776,73140,73662,73587,74260,74060,73631,73219,72869,72198,72233,72669,72579,72704,71495,70165,71541,71216,71983,73863,74867,74042
"97","89","            Fruit (fresh)","DFRURX0",18950,19068,19318,18848,18758,18875,19217,19388,19854,20071,20217,20995,20023,19982,20800,21396,21843,22729,21884,21731,21594,21530,21421,21681,22334,22294,21961,21715,21964,21875,21884,22433,22317,22310,22360,22880,22204,22421,22523,22568,22404,22796,23045,22760,22448,22801,22957,22593,22847,22950,22995,22937,22805,22662,22620,22766,23289,23436,23409,23377,24133,23634,23595,23200,23538,23710,24018,24426,24713,23570,23577,23681,24205,24795,25342,25605,25534,25457,25140,25370,25297,25181,25109,25267,24885,24755,24931,25186,25822,24962,24605,24937,24777,25416,25459,25620,25769,24748,25113,25353,25423,25724,26450,26218,26094,26301,25778,25767,25501,25881,26181,25808,25733,26220,25993,25483,25313,25887,26551,26794,27635,27148,27424,27443,27892,27756,27515,27773,28070,27935,28202,28716,28141,28968,27746,28496,28783,28938,29472,29949,29755,29521,29347,28681,28275,28868,28920,29193,29341,29443,28434,28700,28621,29644,30074,30221,30990,30909,31007,30976,31012,31120,31533,31074,31421,31254,30974,30602,31170,30886,30883,30923,30717,31123,30792,30735,31213,31021,31145,31891,31827,30994
"98","90","            Vegetables (fresh)","DVEGRX0",33006,34048,34876,35182,34916,35312,35082,35119,34855,34968,35983,37118,35898,36736,37382,36855,36038,36326,36576,36218,36367,36913,36361,35228,37620,35375,35825,36638,38030,37727,37965,38077,38017,38240,38640,39902,37735,36151,35121,35521,38160,38049,37727,37709,38165,39152,38491,38694,38619,38808,38158,38455,37093,36300,36610,36636,36364,36507,36389,36309,37349,37009,36827,37652,37385,37255,37446,37146,37340,35507,33408,34245,38219,38863,37572,35903,35410,36806,36383,37140,36974,37267,37169,36477,35323,36349,36583,36742,36586,36262,36379,35757,33715,34481,35845,37392,36017,34814,34756,34852,35390,36159,36710,36838,36448,36133,35735,36025,35354,36291,36660,37146,36807,36091,35182,34944,35405,35388,35176,35807,36273,36373,36931,36659,37297,36967,37033,37519,38209,38446,38248,38172,38317,38538,36964,36168,36918,37855,38055,38124,38075,38030,39060,38733,38148,36136,34610,36000,36663,37106,37457,37626,37453,38424,38983,39487,40509,41681,42515,43143,42768,42019,42128,42514,42839,42808,42661,42628,41698,41312,41350,41745,41863,41581,40704,39446,40339,40205,40842,41975,43040,43058
"99","91","          Processed fruits and vegetables","DPFVRX0",23411,23506,23436,23395,23414,23360,23263,23337,23572,23152,23213,24206,22935,23170,23378,23403,23269,23380,23333,23244,23250,23226,23245,23220,22991,22910,22826,22959,22980,22634,22533,22519,22369,22249,21912,21845,21525,21388,21576,21027,21175,21317,21199,21066,20877,21148,21409,21093,21929,21941,22007,22262,21823,22138,22521,22583,22722,22669,22773,22924,23148,22871,23045,23140,23346,23359,23349,23408,23757,23768,23898,24278,23992,24266,24496,24128,24416,24464,24422,24761,24629,24917,24980,24841,24830,25058,25050,25275,25411,25499,25576,25721,25770,26321,25754,26081,26210,26287,26344,26317,26454,26400,26487,26308,26376,26491,26771,26756,26593,26250,26680,26186,26116,26255,25956,25547,25156,24718,24324,24224,24325,24198,24065,23960,24010,24088,24087,24316,24308,24407,24549,24722,24522,24955,24795,24616,24722,24488,24470,24656,24751,24979,25438,25271,25148,25267,25073,25450,25190,25189,24945,25244,24921,24780,24668,24396,24916,24678,24767,24887,24904,24976,25353,25198,25419,25521,25175,25371,25305,25469,25562,25283,25195,25269,25233,25293,25536,25812,25733,25886,25966,25775
"100","92","          Sugar and sweets","DSWERX0",38324,38510,38630,38501,38413,38403,38504,38591,38807,38367,38624,40138,37979,38479,38960,39473,39088,39407,39298,39178,39346,39636,39384,39792,39620,39498,39440,40077,39825,39673,39647,39754,39727,39673,39578,39542,39085,39116,39532,38471,39097,38844,38733,38615,38536,38666,39144,38867,38218,38564,38033,38347,38561,38578,38403,39533,39953,39771,40538,39393,39186,39630,39264,39670,38063,39327,39313,39543,40409,40287,39946,40815,40714,40325,41050,40497,39493,39633,38612,39807,39868,40559,40806,40442,40414,40788,40094,39727,40609,39720,39649,39462,39559,39490,39781,39773,39775,39701,40046,39478,39649,39813,39649,39511,39432,39833,39754,39681,39230,38805,38898,38316,39195,39059,39035,38950,37933,36994,36445,35966,34689,35605,34950,35137,35263,35393,36087,35566,35351,35525,35059,35319,35279,35218,36028,35578,35101,35996,35424,36161,35960,35760,36072,36105,36254,35701,35679,36528,36157,35956,35981,36025,35301,35856,37376,36321,36556,36906,37083,36584,37182,36541,36741,36857,36786,37261,37928,38150,38127,38588,38436,38212,39135,39495,40140,40641,40533,40199,40940,41024,40179,40512
