"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"242",NA,"Government investment-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","212","  General government consumption of fixed capital \9\","A265RC1","33,230.0","36,056.0","38,443.0","40,290.0","43,084.0","48,748.0","53,680.0","57,177.0","61,206.0","66,294.0","72,827.0","82,256.0","93,147.0","103,065.0","110,262.0","118,656.0","127,317.0","136,826.0","147,032.0","158,468.0","169,307.0","179,979.0","189,940.0","195,785.0","202,513.0","208,861.0","216,586.0","220,350.0","224,569.0","228,944.0","236,929.0","247,702.0","254,866.0","261,194.0","270,276.0","284,900.0","305,618.0","326,577.0","351,424.0","375,548.0","390,254.0","403,754.0","421,156.0","434,175.0"
"244",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","213","  Gross government investment \10\","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","632,601.0","618,956.0"
"246",NA,"Net interest-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","214","  Net interest, domestic (215-220+224)","A2104C1","33,022.0","37,936.0","42,000.0","47,579.0","53,983.0","63,366.0","75,989.0","83,871.0","95,737.0","113,018.0","133,468.0","156,467.0","181,777.0","214,841.0","259,153.0","281,999.0","324,239.0","356,153.0","379,956.0","403,693.0","425,483.0","448,885.0","457,147.0","470,754.0","479,189.0","500,934.0","528,950.0","544,774.0","575,569.0","598,904.0","624,957.0","673,057.0","689,225.0","703,183.0","685,652.0","701,334.0","762,848.0","818,710.0","887,427.0","932,257.0","846,833.0","817,512.0","797,394.0","766,422.0"
"248",NA,"      Imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","215","    Imputed interest paid by private enterprises","W566RC1","29,059.0","39,171.0","45,969.0","50,396.0","49,903.0","57,364.0","86,498.0","80,459.0","86,249.0","92,694.0","88,621.0","94,686.0","100,714.0","149,128.0","212,335.0","200,265.0","231,246.0","257,847.0","275,431.0","285,795.0","284,870.0","295,059.0","294,790.0","315,569.0","325,150.0","340,137.0","342,672.0","334,863.0","336,108.0","328,591.0","320,372.0","329,302.0","357,325.0","406,140.0","410,712.0","419,959.0","413,913.0","391,303.0","394,793.0","483,922.0","500,164.0","503,095.0","509,089.0","510,229.0"
"250","216","      By banks, credit agencies, and investment companies for depositor services and by property and casualty insurance carriers (169+180)","W560RC1","14,682.0","18,605.0","21,380.0","23,018.0","22,996.0","27,608.0","42,538.0","38,103.0","40,873.0","44,992.0","43,177.0","42,795.0","41,817.0","63,348.0","97,463.0","89,457.0","119,235.0","127,602.0","129,203.0","131,360.0","129,713.0","126,331.0","127,873.0","142,894.0","157,921.0","169,097.0","172,148.0","178,194.0","189,206.0","198,533.0","207,457.0","220,722.0","215,088.0","223,081.0","231,506.0","245,875.0","258,585.0","260,927.0","272,870.0","275,018.0","249,338.0","255,212.0","257,094.0","259,292.0"
"251","217","      By private enterprises for borrower services (-177)","W561RC1","-5,425.0","-5,137.0","-4,152.0","-4,679.0","-8,251.0","-10,115.0","-2,678.0","-7,968.0","-10,309.0","-15,710.0","-24,189.0","-30,822.0","-38,391.0","-28,083.0","-11,782.0","-24,071.0","-17,976.0","-15,104.0","-16,204.0","-19,798.0","-24,226.0","-26,638.0","-25,629.0","-25,156.0","-26,037.0","-29,402.0","-31,477.0","-36,147.0","-43,000.0","-50,715.0","-58,785.0","-69,583.0","-71,791.0","-70,300.0","-72,731.0","-76,518.0","-88,455.0","-106,559.0","-125,130.0","-121,731.0","-106,313.0","-101,579.0","-98,940.0","-111,471.0"
"252","218","      By corporate business for unfunded actuarial liability of defined benefit pension plans (193)","Y245RC1","736.0","1,187.0","1,190.0","1,237.0","1,794.0","2,414.0","3,901.0","4,005.0","4,453.0","3,323.0","1,624.0","3,650.0","5,097.0","5,126.0","5,569.0","7,972.0","7.0","3,272.0","9,224.0","13,401.0","8,436.0","14,268.0","7,961.0","8,838.0","5,632.0","4,484.0","-3,216.0","-6,956.0","-13,648.0","-14,610.0","-19,137.0","-9,179.0","9,494.0","22,908.0","4,186.0","4,120.0","500.0","-7,010.0","-3,677.0","41,510.0","28,807.0","24,132.0","24,345.0","22,187.0"
"253","219","      By defined benefit pension plans (195)","Y614RC1","19,066.0","24,516.0","27,551.0","30,820.0","33,364.0","37,457.0","42,737.0","46,319.0","51,232.0","60,089.0","68,009.0","79,063.0","92,191.0","108,737.0","121,085.0","126,907.0","129,980.0","142,077.0","153,208.0","160,832.0","170,947.0","181,098.0","184,585.0","188,993.0","187,634.0","195,958.0","205,217.0","199,772.0","203,550.0","195,383.0","190,837.0","187,342.0","204,534.0","230,451.0","247,751.0","246,482.0","243,283.0","243,945.0","250,730.0","289,125.0","328,332.0","325,330.0","326,590.0","340,221.0"
"254","220","    Imputed interest received by private enterprises","W563RC1","12,045.0","18,712.0","23,638.0","25,474.0","22,275.0","24,283.0","44,508.0","35,615.0","36,688.0","35,097.0","22,803.0","19,316.0","13,969.0","44,065.0","74,364.0","56,270.0","60,280.0","71,270.0","76,559.0","76,607.0","70,979.0","72,490.0","70,103.0","79,829.0","80,205.0","76,617.0","72,370.0","58,712.0","45,675.0","27,542.0","12,350.0","4,058.0","36,931.0","74,939.0","90,398.0","87,906.0","69,529.0","51,433.0","33,516.0","80,390.0","135,349.0","123,971.0","113,948.0","117,699.0"
"255","221","      By banks for borrower services (-174)","W358RC1","-7,769.0","-7,146.0","-5,549.0","-6,368.0","-11,172.0","-13,597.0","-3,653.0","-11,202.0","-14,621.0","-22,449.0","-34,647.0","-43,613.0","-53,585.0","-37,416.0","-15,598.0","-31,648.0","-21,695.0","-18,421.0","-19,407.0","-23,468.0","-28,815.0","-31,424.0","-30,388.0","-29,776.0","-31,053.0","-35,385.0","-38,384.0","-44,471.0","-52,527.0","-61,005.0","-69,836.0","-81,833.0","-84,048.0","-82,100.0","-84,546.0","-89,155.0","-102,151.0","-122,700.0","-143,492.0","-139,107.0","-122,069.0","-123,179.0","-119,998.0","-136,220.0"
"256","222","      By defined benefit pension plans for unfunded actuarial liability (192)","Y609RC1","14,555.0","19,150.0","21,363.0","23,687.0","25,975.0","29,001.0","33,111.0","34,165.0","38,115.0","43,204.0","43,630.0","47,713.0","51,079.0","53,077.0","55,162.0","57,697.0","49,619.0","53,283.0","58,666.0","62,816.0","63,641.0","67,472.0","65,455.0","73,272.0","71,423.0","70,243.0","67,652.0","57,511.0","48,732.0","37,415.0","29,183.0","30,727.0","62,106.0","92,824.0","106,979.0","107,883.0","104,609.0","102,560.0","101,526.0","146,503.0","199,066.0","194,850.0","190,367.0","207,310.0"
"257","223","      By other private enterprises (172+183)","W565RC1","5,259.0","6,708.0","7,824.0","8,155.0","7,472.0","8,879.0","15,050.0","12,652.0","13,194.0","14,342.0","13,820.0","15,216.0","16,475.0","28,404.0","34,800.0","30,221.0","32,356.0","36,408.0","37,300.0","37,259.0","36,153.0","36,442.0","35,036.0","36,333.0","39,835.0","41,759.0","43,102.0","45,672.0","49,470.0","51,132.0","53,003.0","55,164.0","58,873.0","64,215.0","67,965.0","69,178.0","67,071.0","71,573.0","75,482.0","72,994.0","58,352.0","52,300.0","43,579.0","46,609.0"
"258",NA,"      Reclassifications for owner-occupied housing and fixed assets of nonprofit institutions serving households:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","224","    Monetary interest paid by owner-occupants and nonprofit institutions","A2129C1","16,008.0","17,477.0","19,669.0","22,657.0","26,355.0","30,285.0","33,999.0","39,027.0","46,176.0","55,421.0","67,650.0","81,097.0","95,032.0","109,778.0","121,182.0","138,004.0","153,273.0","169,576.0","181,084.0","194,505.0","211,592.0","226,316.0","232,460.0","235,014.0","234,244.0","237,414.0","258,648.0","268,623.0","285,136.0","297,855.0","316,935.0","347,813.0","368,831.0","371,982.0","365,338.0","369,281.0","418,464.0","478,840.0","526,150.0","528,725.0","482,018.0","438,388.0","402,253.0","373,892.0"
"260","225","      Owner-occupied housing","W498RC1","15,368.0","16,727.0","18,844.0","21,747.0","25,290.0","29,035.0","32,571.0","37,470.0","44,495.0","53,276.0","64,926.0","77,652.0","90,680.0","104,541.0","115,071.0","129,848.0","145,435.0","160,479.0","171,605.0","183,778.0","199,927.0","214,446.0","220,132.0","222,199.0","219,400.0","223,561.0","243,938.0","252,927.0","268,715.0","280,916.0","299,645.0","330,242.0","351,232.0","354,777.0","348,709.0","353,267.0","402,922.0","463,502.0","510,903.0","513,820.0","467,826.0","425,006.0","389,609.0","361,936.0"
"261","226","      Interest paid by nonprofit institutions serving households","W319RC1","640.0","750.0","825.0","910.0","1,065.0","1,250.0","1,428.0","1,557.0","1,681.0","2,145.0","2,724.0","3,445.0","4,352.0","5,237.0","6,111.0","8,156.0","7,838.0","9,097.0","9,479.0","10,727.0","11,665.0","11,870.0","12,328.0","12,815.0","14,844.0","13,853.0","14,710.0","15,696.0","16,421.0","16,939.0","17,290.0","17,571.0","17,599.0","17,205.0","16,629.0","16,014.0","15,542.0","15,338.0","15,247.0","14,905.0","14,192.0","13,382.0","12,644.0","11,956.0"
"262","227","  Personal interest payments","A2109C1","-17,731.0","-19,047.0","-20,959.0","-24,166.0","-28,977.0","-33,333.0","-34,843.0","-41,766.0","-49,822.0","-61,000.0","-75,983.0","-91,179.0","-106,608.0","-117,683.0","-124,460.0","-144,668.0","-156,613.0","-172,578.0","-184,000.0","-197,874.0","-215,817.0","-230,731.0","-236,821.0","-239,184.0","-238,774.0","-242,875.0","-264,990.0","-276,200.0","-293,734.0","-306,994.0","-326,646.0","-358,521.0","-379,521.0","-382,294.0","-375,725.0","-380,506.0","-430,511.0","-492,824.0","-542,111.0","-543,515.0","-495,373.0","-457,445.0","-420,196.0","-394,482.0"
"263","228","    Owner-occupied housing (-225)","A2020C1","-15,368.0","-16,727.0","-18,844.0","-21,747.0","-25,290.0","-29,035.0","-32,571.0","-37,470.0","-44,495.0","-53,276.0","-64,926.0","-77,652.0","-90,680.0","-104,541.0","-115,071.0","-129,848.0","-145,435.0","-160,479.0","-171,605.0","-183,778.0","-199,927.0","-214,446.0","-220,132.0","-222,199.0","-219,400.0","-223,561.0","-243,938.0","-252,927.0","-268,715.0","-280,916.0","-299,645.0","-330,242.0","-351,232.0","-354,777.0","-348,709.0","-353,267.0","-402,922.0","-463,502.0","-510,903.0","-513,820.0","-467,826.0","-425,006.0","-389,609.0","-361,936.0"
"264","229","    Interest paid by nonprofit institutions serving households (-166)","A2021C1","-640.0","-750.0","-825.0","-910.0","-1,065.0","-1,250.0","-1,428.0","-1,557.0","-1,681.0","-2,145.0","-2,724.0","-3,445.0","-4,352.0","-5,237.0","-6,111.0","-8,156.0","-7,838.0","-9,097.0","-9,479.0","-10,727.0","-11,665.0","-11,870.0","-12,328.0","-12,815.0","-14,844.0","-13,853.0","-14,710.0","-15,696.0","-16,421.0","-16,939.0","-17,290.0","-17,571.0","-17,599.0","-17,205.0","-16,629.0","-16,014.0","-15,542.0","-15,338.0","-15,247.0","-14,905.0","-14,192.0","-13,382.0","-12,644.0","-11,956.0"
"265","230","    Borrower services paid by persons (-175)","W308RC1","-1,723.0","-1,570.0","-1,290.0","-1,509.0","-2,622.0","-3,048.0","-844.0","-2,739.0","-3,646.0","-5,579.0","-8,333.0","-10,082.0","-11,576.0","-7,905.0","-3,278.0","-6,664.0","-3,340.0","-3,002.0","-2,916.0","-3,369.0","-4,225.0","-4,415.0","-4,361.0","-4,170.0","-4,530.0","-5,461.0","-6,342.0","-7,577.0","-8,598.0","-9,139.0","-9,711.0","-10,708.0","-10,690.0","-10,312.0","-10,387.0","-11,225.0","-12,047.0","-13,984.0","-15,961.0","-14,790.0","-13,355.0","-19,057.0","-17,943.0","-20,590.0"
"266","231","  Personal interest income (170+181+195)","W520RC1","26,688.0","34,062.0","38,304.0","42,693.0","45,932.0","52,778.0","65,387.0","67,504.0","74,418.0","86,993.0","94,545.0","104,549.0","116,151.0","139,838.0","176,871.0","180,168.0","205,446.0","222,232.0","236,332.0","246,369.0","256,327.0","263,769.0","270,071.0","287,510.0","296,534.0","312,888.0","323,669.0","322,370.0","333,433.0","334,169.0","336,845.0","344,658.0","356,102.0","384,777.0","406,362.0","418,537.0","427,597.0","427,975.0","443,769.0","488,222.0","517,110.0","524,147.0","535,202.0","547,892.0"
"267","232","    Net interest, domestic (214)","A2104C1","33,022.0","37,936.0","42,000.0","47,579.0","53,983.0","63,366.0","75,989.0","83,871.0","95,737.0","113,018.0","133,468.0","156,467.0","181,777.0","214,841.0","259,153.0","281,999.0","324,239.0","356,153.0","379,956.0","403,693.0","425,483.0","448,885.0","457,147.0","470,754.0","479,189.0","500,934.0","528,950.0","544,774.0","575,569.0","598,904.0","624,957.0","673,057.0","689,225.0","703,183.0","685,652.0","701,334.0","762,848.0","818,710.0","887,427.0","932,257.0","846,833.0","817,512.0","797,394.0","766,422.0"
"268","233","    Net interest, rest of the world (-173-179-185+186)","W528RC1","-543.0","-622.0","-617.0","-718.0","-939.0","-1,387.0","-1,717.0","-1,696.0","-1,883.0","-2,317.0","-3,085.0","-3,485.0","-4,096.0","-2,919.0","-4,048.0","-4,068.0","-6,193.0","-5,294.0","-4,410.0","-4,475.0","-4,189.0","-3,580.0","-3,279.0","-4,286.0","-5,402.0","-6,356.0","-6,243.0","-5,662.0","-5,583.0","-4,475.0","-3,676.0","-3,479.0","-1,143.0","-659.0","-595.0","-199.0","-2,642.0","-859.0","-10.0","801.0","905.0","-653.0","-2,158.0","-2,525.0"
"269","234","    Net imputed interest paid by government (-171-176-182+194)","A2022C1","11,943.0","15,800.0","17,872.0","19,993.0","21,867.0","24,136.0","25,959.0","27,091.0","30,386.0","37,291.0","40,158.0","42,743.0","45,090.0","45,598.0","46,227.0","46,905.0","44,012.0","43,951.0","44,786.0","45,024.0","50,851.0","49,196.0","53,023.0","60,227.0","61,521.0","61,186.0","65,952.0","59,458.0","57,181.0","46,734.0","42,210.0","33,601.0","47,541.0","64,547.0","97,030.0","97,908.0","97,902.0","102,948.0","98,463.0","98,679.0","164,745.0","164,733.0","160,162.0","178,477.0"
"270","235","    Personal interest payments (227)","A2109C1","-17,731.0","-19,047.0","-20,959.0","-24,166.0","-28,977.0","-33,333.0","-34,843.0","-41,766.0","-49,822.0","-61,000.0","-75,983.0","-91,179.0","-106,608.0","-117,683.0","-124,460.0","-144,668.0","-156,613.0","-172,578.0","-184,000.0","-197,874.0","-215,817.0","-230,731.0","-236,821.0","-239,184.0","-238,774.0","-242,875.0","-264,990.0","-276,200.0","-293,734.0","-306,994.0","-326,646.0","-358,521.0","-379,521.0","-382,294.0","-375,725.0","-380,506.0","-430,511.0","-492,824.0","-542,111.0","-543,515.0","-495,373.0","-457,445.0","-420,196.0","-394,482.0"
"271",NA,"          Selected aggregates"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","236","Gross domestic product","A191RC1","1,019,879.0","1,075,884.0","1,167,769.0","1,282,449.0","1,428,548.0","1,548,824.0","1,688,922.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,949.0","3,344,985.0","3,638,129.0","4,040,686.0","4,346,725.0","4,590,145.0","4,870,205.0","5,252,616.0","5,657,676.0","5,979,568.0","6,174,020.0","6,539,273.0","6,878,690.0","7,308,727.0","7,664,028.0","8,100,165.0","8,608,478.0","9,089,133.0","9,665,696.0","10,289,748.0","10,625,252.0","10,980,187.0","11,512,237.0","12,277,037.0","13,095,426.0","13,857,893.0","14,480,312.0","14,720,254.0","14,417,942.0","14,958,261.0","15,533,839.0","16,244,586.0"
"273","237","  Imputations","A2023C1","128,056.0","140,323.0","153,341.0","166,762.0","179,830.0","200,472.0","224,358.0","241,643.0","264,282.0","300,421.0","334,579.0","373,590.0","418,668.0","461,257.0","516,200.0","548,212.0","610,838.0","654,921.0","697,276.0","761,194.0","824,791.0","883,047.0","936,880.0","1,015,928.0","1,087,732.0","1,153,657.0","1,200,568.0","1,244,051.0","1,300,774.0","1,382,265.0","1,483,254.0","1,607,635.0","1,702,876.0","1,780,607.0","1,870,343.0","2,004,997.0","2,152,290.0","2,255,585.0","2,331,597.0","2,422,398.0","2,450,473.0","2,505,966.0","2,566,912.0","2,617,222.0"
"274","238","    Owner-occupied housing (153-156)","A2024C1","54,030.0","58,053.0","63,939.0","69,574.0","75,904.0","83,548.0","90,861.0","99,175.0","108,279.0","123,568.0","140,347.0","161,272.0","182,720.0","198,826.0","212,822.0","231,704.0","250,868.0","270,519.0","292,921.0","320,022.0","345,522.0","371,752.0","391,412.0","412,453.0","442,663.0","477,749.0","512,358.0","542,141.0","575,419.0","611,734.0","659,476.0","711,515.0","765,046.0","803,169.0","842,549.0","895,490.0","965,922.0","1,029,006.0","1,060,898.0","1,110,866.0","1,130,273.0","1,132,474.0","1,147,415.0","1,167,967.0"
"275","239","    Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households (165)","A2050C1","3,848.0","4,315.0","4,801.0","5,383.0","6,186.0","7,318.0","8,558.0","9,405.0","10,382.0","11,977.0","13,902.0","16,227.0","18,694.0","20,928.0","22,814.0","25,957.0","26,665.0","29,114.0","30,982.0","34,017.0","37,062.0","39,522.0","42,193.0","44,790.0","48,877.0","49,517.0","52,257.0","54,466.0","57,215.0","60,802.0","65,192.0","70,193.0","74,422.0","78,015.0","82,188.0","87,163.0","93,058.0","99,295.0","105,970.0","112,159.0","115,272.0","116,525.0","119,963.0","124,462.0"
"276","240","    Financial services furnished without payment (170+171+173+175+176+179)","A2025C1","11,281.0","13,338.0","14,257.0","15,783.0","17,598.0","21,287.0","27,372.0","27,366.0","30,284.0","35,412.0","37,531.0","37,729.0","37,485.0","40,823.0","62,338.0","61,889.0","84,462.0","87,120.0","86,606.0","88,566.0","88,442.0","84,337.0","86,982.0","100,329.0","111,295.0","121,519.0","124,522.0","128,833.0","137,402.0","146,025.0","154,441.0","166,053.0","157,864.0","161,209.0","165,878.0","181,185.0","195,182.0","198,075.0","209,480.0","215,687.0","205,177.0","223,513.0","233,059.0","231,471.0"
"277","241","    Premium supplements for property and casualty insurance (181+182+185-186)","W569RC1","483.0","563.0","704.0","774.0","845.0","920.0","1,090.0","1,323.0","1,707.0","1,978.0","2,271.0","2,644.0","3,039.0","3,455.0","4,140.0","4,924.0","6,137.0","7,391.0","8,500.0","9,206.0","9,706.0","10,337.0","10,615.0","10,851.0","11,807.0","11,801.0","11,431.0","12,013.0","11,861.0","11,666.0","11,064.0","11,755.0","10,608.0","9,457.0","9,478.0","8,149.0","10,028.0","7,420.0","6,270.0","3,713.0","1,565.0","999.0","1,514.0","5,961.0"
"278","242","    Defined benefit pension plans (187+190)","Y684RC1","9,212.0","9,616.0","11,016.0","12,043.0","10,712.0","9,417.0","7,842.0","4,391.0","1,961.0","2,437.0","1,265.0","-1,562.0","-2,720.0","-3,660.0","-4,067.0","-11,778.0","-11,908.0","-11,726.0","-12,940.0","-9,972.0","-3,221.0","-351.0","2,501.0","12,735.0","12,480.0","13,978.0","16,599.0","15,922.0","19,801.0","27,792.0","33,922.0","42,889.0","51,516.0","52,962.0","48,618.0","61,691.0","58,485.0","57,081.0","37,931.0","28,143.0","19,115.0","30,715.0","20,403.0","10,879.0"
"279","243","    Farm products consumed on farms (199)","A2051C1","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","399.0","386.0","313.0","292.0","289.0","277.0","246.0","254.0","214.0","219.0","174.0","194.0","166.0","146.0","125.0","118.0","106.0","103.0","111.0","155.0","159.0","175.0","152.0","162.0","145.0","155.0","164.0","235.0"
"280","244","    Employment-related imputations (202)","A2099C1","15,220.0","17,620.0","19,317.0","21,904.0","24,140.0","27,855.0","33,472.0","40,677.0","47,662.0","55,669.0","63,186.0","72,683.0","84,245.0","95,901.0","105,035.0","113,876.0","124,241.0","132,104.0","140,863.0","157,785.0","175,087.0","194,541.0","210,836.0","235,731.0","255,083.0","266,850.0","264,060.0","267,337.0","271,445.0","292,453.0","319,004.0","354,748.0","385,735.0","411,577.0","448,265.0","482,707.0","519,694.0","534,471.0","557,365.0","575,621.0","588,665.0","597,192.0","622,613.0","641,404.0"
"281","245","    Margins on owner-built housing (211)","B1173C1","415.0","407.0","524.0","595.0","790.0","807.0","937.0","1,599.0","2,293.0","2,562.0","2,674.0","1,881.0","1,541.0","1,455.0","2,493.0","2,563.0","2,657.0","3,187.0","2,999.0","2,810.0","2,597.0","2,653.0","2,155.0","3,000.0","2,800.0","3,163.0","2,581.0","2,795.0","2,896.0","2,703.0","3,101.0","2,662.0","2,713.0","2,921.0","2,980.0","3,557.0","4,144.0","3,485.0","2,107.0","499.0","7.0","639.0","625.0","668.0"
"282","246","    Consumption of general government fixed capital (212)","A265RC1","33,230.0","36,056.0","38,443.0","40,290.0","43,084.0","48,748.0","53,680.0","57,177.0","61,206.0","66,294.0","72,827.0","82,256.0","93,147.0","103,065.0","110,262.0","118,656.0","127,317.0","136,826.0","147,032.0","158,468.0","169,307.0","179,979.0","189,940.0","195,785.0","202,513.0","208,861.0","216,586.0","220,350.0","224,569.0","228,944.0","236,929.0","247,702.0","254,866.0","261,194.0","270,276.0","284,900.0","305,618.0","326,577.0","351,424.0","375,548.0","390,254.0","403,754.0","421,156.0","434,175.0"
"283","247","  Excluding imputations (236-237)","A2026C1","891,823.0","935,561.0","1,014,428.0","1,115,687.0","1,248,718.0","1,348,352.0","1,464,564.0","1,635,944.0","1,821,669.0","2,056,150.0","2,297,564.0","2,488,915.0","2,792,281.0","2,883,728.0","3,121,929.0","3,492,474.0","3,735,887.0","3,935,224.0","4,172,929.0","4,491,422.0","4,832,885.0","5,096,521.0","5,237,140.0","5,523,345.0","5,790,958.0","6,155,070.0","6,463,460.0","6,856,114.0","7,307,704.0","7,706,868.0","8,182,442.0","8,682,113.0","8,922,376.0","9,199,580.0","9,641,894.0","10,272,040.0","10,943,136.0","11,602,308.0","12,148,715.0","12,297,856.0","11,967,469.0","12,452,295.0","12,966,927.0","13,627,364.0"
"284","248","Personal income","A065RC1","800,258.0","864,598.0","932,137.0","1,023,574.0","1,138,525.0","1,249,341.0","1,366,884.0","1,498,086.0","1,654,209.0","1,859,470.0","2,077,948.0","2,316,805.0","2,595,890.0","2,778,836.0","2,969,720.0","3,281,266.0","3,515,857.0","3,725,099.0","3,955,336.0","4,275,344.0","4,618,234.0","4,904,461.0","5,071,112.0","5,410,782.0","5,646,765.0","5,934,716.0","6,276,468.0","6,661,901.0","7,075,002.0","7,587,688.0","7,983,820.0","8,632,760.0","8,987,097.0","9,149,524.0","9,487,576.0","10,049,200.0","10,610,270.0","11,389,840.0","11,995,740.0","12,430,568.0","12,082,091.0","12,435,193.0","13,191,317.0","13,743,772.0"
"285","249","  Imputations","A2106C1","74,066.0","84,349.0","93,623.0","101,313.0","103,180.0","113,268.0","132,234.0","134,477.0","145,186.0","164,013.0","174,392.0","185,060.0","198,629.0","217,860.0","259,008.0","304,416.0","331,412.0","338,600.0","359,073.0","397,327.0","431,999.0","463,677.0","488,540.0","558,135.0","602,501.0","647,041.0","655,775.0","663,144.0","680,801.0","708,763.0","745,887.0","784,955.0","838,890.0","895,557.0","976,473.0","1,050,396.0","1,075,710.0","1,046,744.0","1,045,638.0","1,144,564.0","1,233,546.0","1,306,946.0","1,377,829.0","1,426,851.0"
"286","250","    Owner-occupied housing (163-158)","A2028C1","14,414.0","14,508.0","15,481.0","15,311.0","14,544.0","14,850.0","13,900.0","11,998.0","6,927.0","7,034.0","5,628.0","5,500.0","5,547.0","1,894.0","972.0","-1,451.0","-4,457.0","-9,639.0","-10,021.0","-3,745.0","-3,520.0","-276.0","5,587.0","19,517.0","42,292.0","61,665.0","68,272.0","82,447.0","84,645.0","100,953.0","114,726.0","120,435.0","134,245.0","146,045.0","164,767.0","178,806.0","154,014.0","122,257.0","88,457.0","143,646.0","214,770.0","266,559.0","326,496.0","366,631.0"
"287","251","    Depositor financial services furnished without payment and premium supplements (170+181)","W570RC1","7,622.0","9,546.0","10,753.0","11,873.0","12,568.0","15,321.0","22,650.0","21,185.0","23,186.0","26,904.0","26,536.0","25,486.0","23,960.0","31,101.0","55,786.0","53,261.0","75,466.0","80,155.0","83,124.0","85,537.0","85,380.0","82,671.0","85,486.0","98,517.0","108,900.0","116,930.0","118,452.0","122,598.0","129,883.0","138,786.0","146,008.0","157,316.0","151,568.0","154,326.0","158,611.0","172,055.0","184,314.0","184,030.0","193,039.0","199,097.0","188,778.0","198,817.0","208,612.0","207,671.0"
"288","252","    Defined benefit pension plans (188+195+196-197+198)","Y685RC1","36,469.0","42,518.0","48,036.0","52,113.0","51,348.0","54,773.0","62,083.0","60,004.0","66,003.0","72,520.0","77,106.0","80,545.0","84,399.0","88,573.0","96,081.0","137,488.0","135,010.0","134,486.0","144,022.0","157,150.0","174,831.0","186,805.0","187,592.0","205,301.0","197,382.0","201,702.0","205,317.0","190,729.0","194,646.0","176,615.0","165,890.0","152,863.0","168,023.0","184,420.0","206,308.0","218,230.0","218,999.0","208,657.0","211,010.0","232,538.0","249,301.0","252,711.0","228,616.0","219,479.0"
"289","253","    Farm products consumed on farms (199)","A2051C1","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","399.0","386.0","313.0","292.0","289.0","277.0","246.0","254.0","214.0","219.0","174.0","194.0","166.0","146.0","125.0","118.0","106.0","103.0","111.0","155.0","159.0","175.0","152.0","162.0","145.0","155.0","164.0","235.0"
