"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"90","82","          Fish and seafood","DFISRX0",8968,8675,8679,8628,8588,8572,8559,8541,8433,8477,8525,8637,8608,8730,8708,8783,8672,8687,8680,8819,8749,8738,8666,8571,8364,8428,8296,8355,8349,8361,8535,8507,8611,8642,8769,8907,8764,8660,8649,8559,8545,8539,8432,8383,8440,8488,8510,8538,8709,8743,8783,8779,8848,8850,8862,8914,8995,8867,8900,9246,8879,8812,8943,8975,8843,8960,9054,9024,9003,9022,9155,9273,9112,9100,9198,9233,9164,9292,9338,9442,9519,9514,9505,9567,9508,9698,9760,9519,9461,9616,9505,9668,9667,9713,9815,9789,9886,9853,10013,9944,9744,9791,9982,9949,9996,10003,9981,9967,10089,10089,10362,10227,10279,10314,10221,10350,10403,10454,10495,10511,10446,10614,10718,10656,10686,10709,10737,10820,10950,10956,10765,10744,10703,10800,10827,10832,10811,10698,10823,10724,10625,10840,10867,10986,10906,10889,10944,10730,10650,10657,10833,10764,10847,10797,10917,10975,10850,10870,11005,10824,10734,10684,10624,10534,10410,10311,10414,10192,10183,10269,10283,10228,10158,10106,10066,10189,10325,10523,10526
"91","83","          Milk, dairy products, and eggs","DMDERX0",51626,51215,51100,51015,50908,50998,50444,50439,50711,50259,49948,49780,49282,49072,49170,49345,49094,48567,48136,47626,46797,46505,46599,46367,47008,47360,47447,47268,46987,47562,48155,48343,48434,48048,47725,46965,47287,47597,47421,47436,47779,48169,48207,47680,47405,46995,47022,47119,46569,46474,46578,48394,48520,48202,48726,48657,48843,47742,47897,50666,47993,48593,49690,49360,49409,49923,49548,49579,49677,49948,50092,50470,49747,49849,49720,50081,50055,49354,49078,49264,49440,49365,49155,49851,49505,49486,49688,49546,49578,49694,49957,49989,50141,50618,50915,50843,51690,51720,51847,51825,51519,52429,52678,52414,51571,51072,51561,51041,52399,52266,52965,52479,50649,50271,50625,51713,53310,53506,54412,54394,53956,53936,54485,54506,53700,54576,54054,54482,54815,55018,54244,54251,54170,55013,54722,55239,55814,55894,56102,56892,56898,57627,57396,57761,57826,57544,57631,57532,57110,56749,55281,54288,54057,54272,54657,55071,54724,54668,55519,55668,56046,56141,54989,55646,55516,55706,55922,55759,56550,58167,59758,59854,60857,61419,61715,61907,62403,61916,62556
"92","84","            Fresh milk","DMILRX0",18761,18585,18544,18446,18423,18390,18290,18200,18291,18077,17931,17905,17473,17390,17385,17424,17291,16942,16711,16433,16274,15930,15741,15742,15746,15990,15958,15990,15818,15906,16204,16169,16213,15695,15546,15451,15578,15581,15604,15794,15861,16180,16375,16016,15770,15687,15762,15506,15131,14791,14731,16195,16157,16092,16184,16291,16138,15113,15066,16202,15793,16010,16221,16154,16157,16374,16176,16102,16240,16373,16503,16452,16152,16123,16122,16237,16232,15919,15881,15976,16108,16023,16011,16213,16301,16344,16494,16401,16516,16548,16727,16727,16749,16792,16902,16792,16962,17156,17252,17084,16996,17334,17466,17411,16623,16362,16516,16521,17031,17146,17582,17252,15287,14872,15143,15916,16560,16582,16810,16863,16465,16730,16614,16794,16551,16788,16686,16771,16965,16880,16494,16408,16499,16418,16555,16729,17115,17162,17197,17491,17491,17564,17609,17932,17995,18001,18028,17920,17692,17236,16390,16219,16209,16349,16339,16619,16587,16596,17056,17054,17186,17212,16496,16821,16984,17258,17135,17171,17562,18656,19496,19613,19825,19940,19989,20212,20247,20026,20082
"93","85","            Processed dairy products","DDAIRX0",28048,27857,27756,27701,27756,27836,27570,27831,27938,27822,27724,27694,27722,27492,27733,27740,27533,27335,27048,26657,26196,26113,26226,26327,26569,26704,26601,26421,26382,26652,27031,27126,27123,27138,27050,26420,26518,26706,26593,26601,26750,26738,26672,26546,26417,26192,26040,26271,25965,26272,26399,26560,26646,26564,26726,26803,26976,26506,26853,27863,26557,26763,27498,27359,27502,27780,27655,27728,27805,28075,28036,28470,28232,28161,27982,28433,28169,27717,27509,27548,27596,27624,27477,27632,27508,27504,27674,27654,27592,27784,27837,27859,27927,28173,28325,28251,28788,28618,28582,28795,28678,29358,29451,29350,29416,29312,29820,29412,30223,30140,30465,30110,29808,29655,29641,29766,30314,30535,30835,31022,30880,30956,31344,31166,30965,31531,31383,31495,32020,32207,31853,31835,31810,32239,32004,32410,32392,32689,32470,33007,32878,33404,33421,33637,33519,33679,33384,33343,33556,33279,33011,32376,32386,32380,32678,32992,32765,32693,33094,33206,33200,33261,32828,32755,32580,32468,32567,32098,32523,32846,33286,33654,33886,34334,34366,34763,34785,34669,35430
"94","86","            Eggs","DGGSRX0",5100,5051,5071,5132,4999,5037,4862,4703,4772,4659,4597,4506,4413,4494,4388,4494,4559,4558,4617,4734,4548,4643,4781,4505,4833,4821,5005,4979,4912,5101,5047,5152,5197,5274,5195,5158,5250,5356,5281,5130,5244,5333,5264,5206,5284,5188,5287,5384,5495,5427,5461,5688,5758,5593,5854,5613,5759,6138,5983,6638,5674,5858,6001,5881,5783,5806,5750,5778,5669,5546,5602,5589,5407,5592,5640,5448,5678,5735,5710,5766,5766,5743,5696,6051,5742,5690,5576,5545,5532,5426,5465,5474,5531,5706,5740,5840,5967,5987,6053,5970,5871,5785,5811,5712,5563,5437,5309,5207,5271,5144,5115,5228,5520,5693,5788,5971,6371,6331,6712,6464,6579,6227,6515,6543,6179,6257,5988,6223,5847,5948,5914,6022,5875,6364,6166,6104,6309,6057,6431,6394,6517,6638,6362,6214,6317,5941,6229,6265,5932,6227,5940,5761,5580,5640,5731,5605,5528,5530,5545,5578,5769,5777,5749,6066,5969,5995,6186,6401,6397,6616,6930,6616,7095,7099,7285,6937,7306,7164,7017
"95","87","          Fats and oils","DFATRX0",11814,11656,11634,11535,11584,11613,11447,11453,11452,11380,11337,11464,11358,11376,11364,11436,11366,11310,11377,11300,11260,11350,11309,11286,11263,11216,11185,11116,11038,11031,11203,11145,11085,11141,11196,11082,11179,11046,11013,11153,11113,10979,10702,10543,10418,10176,10205,10438,10629,10656,10730,10807,10970,10855,10875,10891,10971,10860,11089,11485,10798,11046,11153,11253,11063,11138,11042,10993,11019,11037,11094,10908,10756,10759,10673,10900,10692,10437,10395,10375,10377,10338,10391,10314,10235,10264,10314,10216,10286,10309,10363,10417,10326,10437,10592,10640,10750,10642,10809,10813,10762,10992,11177,11194,11255,11163,11260,11237,11476,11365,11238,11162,11155,11004,11004,11163,11216,11346,11387,11382,11416,11515,11695,11552,11714,11974,11828,11908,11939,12158,12070,12128,12121,12265,12391,12672,12601,12661,12788,12803,12748,12947,12731,12888,12924,12857,12905,12842,12886,12904,12921,12857,13031,13115,13182,13272,13205,13183,13462,13032,13048,12952,12716,12682,12454,12378,12404,12066,12407,12567,12539,12695,12820,12728,12749,12794,12923,13027,13197
"96","88","          Fresh fruits and vegetables","DFAVRX0",42787,41665,43820,40386,41257,41234,41543,42923,42011,42676,43877,44510,45197,44474,43324,42535,44026,43652,43929,44392,45208,44997,44933,46551,47570,44746,44945,46138,46442,45739,46363,45185,45572,45865,45481,45741,44092,44924,45245,45280,44052,45412,45088,46067,47235,46151,46749,47575,47340,48354,49315,49094,48778,49235,49391,49597,49835,50146,51171,52925,50906,51587,52966,53096,52800,53885,53313,52846,52849,53274,52682,51912,54666,52603,52703,53199,54669,54316,54535,55156,54993,55183,55587,57206,54642,53411,52554,52962,55217,55479,55413,55134,55255,56471,56022,55863,56063,56669,56066,56088,54714,53872,54242,54762,55207,55467,55575,55541,57335,56901,56827,57310,57537,57824,58330,58139,58732,56069,53803,54732,59184,60464,59849,58279,57455,58826,58155,59477,59896,60250,59554,58997,58324,59240,59668,60364,60951,59808,59615,59396,57235,58865,60469,62617,62383,59579,59933,60186,60603,61641,62979,63060,62745,63110,62242,62768,62092,63248,63170,63138,62903,61346,60346,59764,60271,61532,62092,62440,64176,64148,63998,63872,64936,63880,63850,64567,66296,67337,67414
"97","89","            Fruit (fresh)","DFRURX0",18065,17033,17629,17532,17192,16560,16549,16479,16572,16716,16834,17477,17407,17054,17055,16784,16781,16184,16464,16862,16655,16449,16496,16626,17321,16808,16746,16818,16928,16890,17341,17171,17207,17148,17689,17743,17666,16996,17577,17779,17735,17578,17333,17454,17989,17853,17846,17792,17377,17485,17714,17283,17200,17308,17621,17778,18205,18404,18538,19252,18360,18323,19073,19619,20029,20842,20066,19926,19800,19742,19642,19881,20479,20442,20138,19911,20140,20058,20066,20570,20464,20457,20503,20980,20360,20559,20652,20693,20544,20903,21131,20869,20584,20908,21051,20717,20921,21092,21052,20858,20653,20442,20355,20518,20956,20957,20886,20736,21291,20828,20715,20268,20530,20690,20906,21116,21381,20428,20373,20466,20891,21450,22055,22338,22149,22136,21840,22163,22380,22280,21930,22056,21913,21750,21908,22301,22937,22151,21784,22091,21973,22469,22493,22772,22826,21872,22321,22557,22565,22825,23484,23286,23207,23399,23011,23093,22786,22986,23325,22988,23163,23156,23094,22650,22548,23167,23916,23780,24521,24110,24357,24443,24984,24684,24551,24734,25217,25155,25495
"98","90","            Vegetables (fresh)","DVEGRX0",24480,24429,26002,22640,23841,24490,24829,26365,25301,25835,26964,26899,27699,27341,26133,25611,27172,27479,27444,27474,28589,28609,28482,30077,30321,27910,28191,29381,29577,28870,29009,27965,28329,28700,27708,27916,26330,27885,27590,27417,26232,27764,27696,28573,29197,28231,28848,29759,29979,30926,31678,31956,31715,32075,31865,31899,31659,31762,32684,33715,32606,33368,33954,33476,32733,32995,33222,32897,33032,33529,33027,31998,34171,32132,32541,33279,34543,34268,34484,34586,34532,34734,35097,36243,34276,32836,31901,32264,34661,34560,34268,34252,34665,35562,34962,35146,35138,35576,35005,35229,34050,33418,33879,34238,34243,34503,34682,34798,36038,36067,36107,37057,37013,37137,37426,37020,37347,35635,33446,34268,38308,39023,37778,35950,35322,36685,36310,37308,37510,37966,37622,36935,36405,37492,37762,38064,38012,37656,37837,37299,35262,36393,37969,39857,39566,37714,37612,37627,38037,38817,39493,39777,39539,39711,39232,39680,39314,40281,39844,40162,39739,38177,37243,37102,37715,38353,38170,38648,39644,40027,39631,39420,39947,39193,39293,39825,41068,42174,41907
"99","91","          Processed fruits and vegetables","DPFVRX0",20371,20149,20131,20037,20130,20114,19972,19973,20077,20024,20080,20239,20159,19944,19984,19999,19786,19858,19658,19564,19532,19687,19645,19642,19565,19716,19615,19608,19500,19413,19697,19598,19750,19757,19649,19484,19201,19195,18923,18949,18869,18861,18841,18707,18624,18761,18688,18813,18803,18879,18823,18790,18805,18762,18684,18743,18932,18595,18644,19441,18420,18609,18776,18796,18688,18778,18740,18668,18673,18654,18669,18649,18466,18400,18333,18440,18457,18178,18098,18087,17966,17869,17599,17545,17287,17178,17329,16888,17006,17121,17026,16919,16767,16985,17195,16941,17554,17553,17558,17607,17213,17379,17645,17713,17827,17717,17807,17861,18013,17836,17943,17941,18084,18135,18073,18048,18334,18353,18418,18659,18444,18645,18821,18473,18572,18592,18515,18796,18757,18919,18719,18458,18457,18454,18310,18391,18440,18390,18405,18455,18439,18828,18446,18550,18688,18685,18681,18608,18662,18561,18686,18604,18669,18831,19132,19063,18923,18772,19014,18702,18607,18541,18441,18245,17849,17588,17499,17144,17176,17249,17071,17014,16993,16970,17115,17356,17409,17511,17887
"100","92","          Sugar and sweets","DSWERX0",32603,32259,32180,32143,32251,32179,31935,31774,31958,31804,31835,32225,31786,31783,31845,32138,31842,31939,31864,31855,31809,31972,32152,32084,32052,31965,32276,31765,31651,31538,31649,31875,31849,31888,31893,31647,31530,31505,31474,31499,31636,31563,31689,31546,31609,31647,31698,31914,32140,32296,32397,32289,32215,32206,32290,32364,32545,32176,32391,33661,31851,32270,32673,33104,32781,33048,32957,32856,32997,33240,33029,33371,33227,33125,33076,33610,33398,33271,33249,33340,33316,33272,33192,33161,32778,32804,33153,32263,32788,32576,32483,32384,32318,32427,32827,32595,33072,33089,33009,32940,32538,32841,33256,33541,33457,33240,33449,33397,33939,33603,34014,33959,34062,34185,34052,33965,34227,34523,34467,34709,34812,34585,34990,34800,34972,34644,34535,35372,35356,35428,35076,34628,34860,35569,34905,35010,35079,34957,34932,35096,35136,35628,35324,35586,35528,35669,35675,35402,35480,35364,35445,35252,35395,35713,35745,35936,35822,35756,35698,35739,35591,35741,35589,35559,34899,34571,34464,33507,33305,33395,33319,33418,33519,33410,33810,33811,33708,33740,33836
"101","93","          Food products, not elsewhere classified","DOFDRX0",76290,75616,75613,75537,76067,76318,76265,76061,76794,76506,77387,78117,77698,77724,77789,78282,78392,78669,78573,79160,79104,79277,79509,79721,80344,80044,80678,79903,80089,79776,80608,80461,80599,80354,81102,80089,80149,79858,80282,79881,80329,80444,80443,79894,80588,80749,80677,81261,81259,81798,81912,81774,82568,82036,82283,82522,83685,83013,83314,86407,81960,82757,83518,84318,83460,84016,84009,83876,84002,85029,84524,85795,85144,84886,84300,85987,85223,85336,85160,84962,85913,85193,84821,85217,84803,85400,85951,84773,85899,85585,86397,85884,85572,85901,86479,86618,87584,88215,88175,87950,87666,87777,89445,89576,89384,89403,89982,88902,91659,90705,91272,90802,91858,91679,91757,91730,93127,93125,93988,94737,94370,94995,94888,94606,95221,95171,95709,96059,97437,97635,96916,96691,97250,98109,98057,98790,99123,99159,98972,100039,100225,102043,101417,102991,102983,102893,102830,101868,102672,102488,103259,102916,103896,104378,105465,106518,106120,105930,106477,105811,105756,105713,105072,105003,104159,103159,102742,100201,100400,100321,100472,100720,101507,101322,101275,101378,102553,102228,103537
"102","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",57301,55935,55898,55465,56531,56069,55971,55797,55657,55885,55890,56832,56659,57244,57522,57522,57386,57857,58145,57601,58705,59119,59220,59188,59175,59725,59784,59075,57899,58194,58298,58095,58188,57887,58511,58145,58019,58245,58621,58628,59044,59478,59656,59889,59895,59817,59964,60511,60583,60864,60680,60760,60779,60554,60752,61018,61595,60989,61588,63290,59781,60292,60969,61322,61000,61660,61075,61217,61501,62294,61430,62680,61940,61869,61818,62602,62791,62373,62499,61945,62565,62513,61984,62845,62453,62586,62584,61871,62706,63056,63244,63105,61757,62311,63200,62798,63896,64307,64714,63900,63108,64123,65881,65398,65574,64934,66235,65347,66341,65714,66687,66485,66850,66692,66492,66846,67617,68264,68775,68553,69115,69214,68931,68677,68951,69560,69459,70489,70886,71533,70647,70466,70607,71291,70856,71577,71961,71570,72211,72541,72144,73322,72275,73405,73429,73393,72345,72793,72496,72503,72984,72108,72508,72913,73457,74380,72985,72747,73304,72614,73477,73767,73203,73471,72099,71027,70839,69371,70165,70521,69654,70271,70458,70370,70530,70783,71369,71769,72671
"103","95","          Coffee, tea, and other beverage materials","DCTMRX0",6473,6571,6687,6754,6838,6872,6882,6872,6970,7095,7164,7299,7422,7429,7484,7607,7625,7753,7858,7849,7894,8010,8096,8107,8130,8134,7884,7376,7147,6839,6710,6663,6712,6827,6990,7054,7012,7006,7034,6998,7030,7143,7143,7205,7237,7259,7302,7364,7401,7443,7441,7476,7463,7461,7463,7492,7560,7427,7537,7789,7296,7370,7471,7463,7457,7513,7505,7513,7544,7594,7579,7687,7623,7614,7573,7691,7724,7729,7671,7681,7675,7677,7633,7696,7644,7630,7674,7607,7619,7640,7632,7611,7540,7604,7664,7646,7746,7813,7830,7814,7773,7805,7975,8026,8097,8044,8092,8011,8149,8083,8177,8184,8254,8255,8236,8285,8360,8413,8502,8460,8428,8490,8528,8468,8458,8463,8506,8631,8739,8779,8690,8761,8815,8844,8798,8925,8971,9038,9116,9181,9131,9359,9196,9259,9350,9355,9356,9331,9348,9357,9430,9357,9419,9487,9617,9590,9450,9648,9521,9520,9510,9519,9471,9472,9444,9352,9436,9278,9296,9391,9352,9458,9493,9472,9477,9401,9445,9537,9656
"104","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",50781,49312,49168,48678,49673,49184,49082,48924,48689,48795,48732,49539,49244,49814,50036,49916,49761,50105,50290,49757,50805,51106,51124,51079,51041,51577,51870,51669,50725,51355,51609,51458,51498,51063,51515,51079,51000,51238,51590,51637,52023,52341,52522,52692,52665,52563,52666,53151,53184,53422,53239,53283,53315,53092,53288,53524,54034,53561,54050,55499,52484,52922,53497,53858,53543,54147,53569,53704,53957,54700,53851,54993,54317,54255,54245,54911,55067,54645,54828,54265,54889,54836,54352,55147,54808,54954,54909,54265,55084,55412,55606,55489,54215,54706,55533,55149,56147,56492,56880,56085,55334,56315,57903,57372,57477,56892,58141,57335,58192,57631,58509,58301,58596,58439,58258,58562,59258,59851,60274,60093,60687,60724,60404,60209,60493,61097,60953,61858,62147,62754,61957,61705,61792,62447,62058,62652,62990,62533,63096,63362,63015,63965,63080,64147,64080,64040,62992,63465,63151,63149,63556,62754,63092,63429,63844,64793,63537,63105,63786,63097,63970,64251,63735,64002,62658,61679,61409,60100,60873,61136,60311,60823,60976,60908,61062,61387,61928,62237,63021
"105","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",66122,65263,65322,65774,65784,66109,66262,66282,67080,66861,66711,67912,68889,67946,68609,69175,68635,69622,69620,69623,68572,68946,69326,69373,69455,70369,72033,70481,70295,71481,71772,71640,71889,72168,72779,72178,72510,73268,72852,73130,73525,73102,73721,74348,74227,74304,74866,75980,75487,75333,75602,76976,76774,76154,76658,77072,77859,78095,78030,80852,78189,79313,80576,79632,80558,81431,81503,81621,82186,82940,83264,82184,83450,82694,82196,83027,84061,83463,82733,82606,82662,82206,82364,82475,82221,82630,83251,83296,83284,83324,83422,82575,82840,82365,83165,84348,84020,84616,85054,84432,83113,83832,84972,86187,86301,86199,86169,86535,87798,87930,88555,88256,89828,89469,89642,89588,89710,91657,91630,90861,90727,92931,92779,93156,93219,94017,94723,96452,98371,99191,97939,98134,99248,101267,99741,100812,101427,101043,101662,102464,102682,103663,104071,104702,105187,105597,105836,105035,106523,105939,106580,105126,105789,105282,105936,106819,106503,106614,107331,107370,107363,108374,108122,108316,107185,106422,105880,103747,104271,104910,105278,105188,104860,103418,103193,103706,104525,104661,104223
"106","98","        Spirits","DLIQRX0",14092,13857,13832,13820,13736,13776,13703,13820,13976,13877,13814,14049,14407,14156,14228,14221,13993,14302,14281,14223,13797,13767,13730,13591,13764,13728,13940,13816,13816,14093,14079,13952,13954,14052,14102,14017,14323,14713,14700,14849,15032,14995,15261,15579,15572,15626,15755,16126,15935,15911,15848,16345,16314,16136,16298,16355,16528,16676,16655,17088,16790,17027,17309,17231,17536,17739,17878,18030,18114,18371,18534,18011,18655,18391,18385,18419,18538,18670,18580,18601,18732,18801,19138,19302,19181,19466,19475,19419,19462,19515,19514,19391,19358,19214,19394,19899,19553,19538,19717,19768,19506,19649,19932,20230,20386,20416,20228,20403,20408,20632,20732,20717,21046,20936,20940,20974,21088,21367,21231,21127,20895,21680,21347,21545,21493,21795,21863,21977,22165,22405,22584,22644,22951,23539,23138,23395,23593,23467,23640,23853,23916,24037,24208,24294,24482,24784,24869,24612,25159,25124,25143,24890,25190,24797,24956,25272,25018,25173,25439,25285,25101,25595,25653,25588,25283,25581,25407,24948,25149,25282,25165,25026,24915,24645,24745,24803,24816,24739,24898
