"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"311","303","Q1ASS1 D         Profession association expenses","Q1ASS10",3521,3675,3791,3753,3791,3831,3846,3817,3823,3845,3959,4004,4042,4098,4198,4243,4209,4238,4243,4327,4517,4626,4687,4657,4595,4555,4550,4614,4715,4772,4858,4938,4965,4955,4976,5033,5098,5238,5299,5350,5324,5337,5402,5506,5694,5765,5836,5886,5980,6057,6068,6146,6213,6328,6471,6505,6640,6666,6830,6934,7078,7128,7097
"312","304","Q1GEN1 D         Employment agency fees","Q1GEN10",2962,3016,2962,2806,2536,2343,2252,2253,2193,2197,2214,2231,2093,2068,2013,1922,1908,1831,1809,1781,1810,1744,1720,1707,1628,1620,1625,1627,1808,1902,1981,2056,2173,2230,2277,2322,2402,2430,2477,2559,2604,2672,2685,2726,2739,2714,2705,2680,2727,2847,2967,3014,2979,2949,2921,2992,3115,3161,3269,3404,3339,3322,3340
"313","305","Q1AMO1 D         Money orders","Q1AMO10",779,797,810,813,804,798,808,817,835,841,852,862,876,890,910,936,943,981,1002,1034,1094,1153,1213,1267,1329,1329,1321,1319,1328,1356,1393,1437,1479,1540,1602,1663,1744,1787,1823,1851,1889,1887,1892,1903,1810,1806,1811,1832,1856,1893,1931,1972,2016,2061,2110,2163,2227,2283,2341,2400,2448,2493,2539
"314","306","Q1CLA1 D         Classified ads","Q1CLA10",1260,1241,1199,1150,1075,1043,1018,1005,997,1000,996,991,977,977,978,987,996,1030,1040,1049,1058,1067,1076,1085,1092,1104,1118,1134,1161,1174,1187,1197,1208,1212,1216,1219,1212,1219,1227,1234,1279,1262,1221,1163,1032,1006,993,993,1033,1038,1038,1033,1017,1006,994,983,971,960,950,941,931,920,910
"315","307","Q1ACC1 D         Tax return preparation services","Q1ACC10",4161,4035,4024,4133,4335,4520,4654,4699,4601,4561,4565,4594,4944,5172,5397,5607,5744,5895,6017,6109,5546,5370,5278,5284,5640,5715,5778,5838,5700,5782,5883,6007,6183,6272,6339,6417,6639,6711,6741,6769,6744,6838,6937,7041,7210,7302,7386,7457,7473,7517,7566,7623,7671,7759,7875,8021,8254,8410,8562,8709,8872,9049,9233
"316","308","Q1THE1 D         Personal business services, n.e.c.","Q1THE10",2328,2411,2455,2479,2427,2469,2544,2638,2678,2734,2753,2772,2959,3066,3160,3233,3262,3320,3384,3457,3579,3650,3711,3768,3789,3847,3922,4009,4123,4240,4343,4426,4469,4503,4532,4554,4639,4658,4621,4526,4218,4120,4049,4004,4149,4041,3908,3763,3532,3457,3430,3439,3516,3541,3558,3568,3553,3564,3577,3591,3598,3601,3606
"317","309","Q1TED1 C     Education and research","Q1TED10",125034,125344,126118,125883,125976,126864,127514,128210,129644,130134,131248,131012,131482,131911,133259,133559,133863,134214,135093,135964,137166,138026,138712,139923,141266,142410,143712,143532,143568,144882,146400,147861,150088,151369,152158,153984,155334,156744,157939,159125,161586,163011,164573,165911,167819,169845,170430,172019,172369,172882,174618,174164,174683,173635,173371,173024,174005,172598,172860,172998,173754,174008,174863
"318","310","Q1HED1 C       Higher education (105)","Q1HED10",68915,69317,69970,70048,70397,70772,71128,71851,72545,72726,72750,73075,73251,73160,73953,73949,73799,74064,74797,75462,75806,76053,75932,76058,76640,77227,77588,77778,77371,77377,77838,78533,79605,80108,80714,81607,82340,83021,83329,84316,85405,86038,86827,87162,88806,90126,91411,92141,92008,92826,94172,93622,93679,93936,94000,94353,95166,93740,94097,94121,94455,94373,94961
"319","311","Q1PED1 D         Private higher education","Q1PED10",34503,34717,35153,35207,35359,35544,35711,36244,36683,36621,36511,36787,37423,37462,38269,38288,38164,38367,38972,39490,39848,40090,40015,40276,40860,41267,41497,41621,41043,40769,40905,41225,42019,42300,42644,43252,43678,43991,43910,44496,45047,45398,45886,45924,46367,46928,47441,47417,48049,48835,50133,49468,49214,49357,49334,49661,49809,49604,49499,49812,50084,49986,50596
"320","312","Q1GED1 D         Public higher education","Q1GED10",34696,34882,35064,35084,35289,35482,35676,35826,36066,36342,36500,36528,35971,35826,35757,35730,35713,35768,35875,36007,35979,35977,35932,35785,35769,35943,36074,36139,36323,36611,36939,37315,37587,37809,38069,38354,38662,39031,39420,39821,40358,40640,40941,41238,42440,43197,43969,44721,43961,43998,44061,44163,44466,44580,44663,44702,45335,44175,44601,44351,44426,44434,44458
"321","313","Q1EED1 C       Nursery, elementary, and secondary schools (106)","Q1EED10",28770,28942,29278,29068,28815,29040,29317,29052,29397,29552,30176,29655,29856,30050,30505,30604,30712,30822,30958,31184,31602,31786,32033,32307,32382,32484,32547,32511,32518,32600,32675,32738,32895,33084,33411,33685,33935,34068,34063,34276,34503,34556,34532,34881,34989,35014,34907,35237,35319,35483,35993,35824,36082,36360,36395,36556,36632,36813,37049,37096,37416,37528,37511
"322","314","Q1ESC1 D         Elementary and secondary schools","Q1ESC10",23057,23364,23931,23900,23800,24093,24309,24004,24187,24241,24516,24291,24196,24309,24671,24732,24727,24742,24684,24714,24999,25099,25380,25658,25718,25756,25821,25641,25463,25425,25369,25358,25607,25707,25855,26028,26026,26061,26012,26110,26148,26105,25987,26176,26183,26056,25765,25860,25957,26056,26317,26244,26414,26542,26601,26642,26730,26863,26961,26989,27260,27390,27438
"323","315","Q1NSC1 D         Nursery schools","Q1NSC10",5735,5600,5370,5191,5040,4974,5036,5075,5234,5333,5676,5385,5676,5756,5849,5887,5999,6091,6284,6476,6609,6693,6660,6656,6671,6735,6733,6875,7059,7179,7308,7381,7290,7380,7557,7658,7910,8007,8050,8166,8355,8450,8544,8705,8806,8958,9142,9379,9365,9430,9682,9585,9673,9825,9800,9923,9910,9957,10099,10117,10165,10146,10078
"324","316","Q1OED1 C       Other (107)","Q1OED10",27103,26859,26658,26581,26614,26889,26899,27171,27559,27706,28133,28125,28212,28531,28621,28826,29175,29149,29156,29131,29567,30001,30568,31396,32096,32560,33460,33119,33567,34823,35830,36548,37565,38163,38007,38672,39040,39641,40546,40530,41678,42418,43216,43868,44023,44705,44107,44636,45040,44562,44434,44704,44913,43330,42969,42110,42190,42069,41748,41818,41934,42166,42427
"325","317","Q1VED1 D         Commercial and vocational schools","Q1VED10",18142,18056,17830,17828,17611,17645,17345,17401,17736,17928,18350,18293,18046,18321,18522,18816,19187,19193,19117,18957,19530,20007,20707,21328,21659,21980,22653,22125,22559,23540,24148,24666,25475,25891,25763,26233,26514,27141,27796,27442,28534,29223,29963,30411,30162,30590,30213,30403,30603,29927,29327,29653,30275,28671,28377,28151,27982,27775,27175,27147,27368,27677,28276
"326","318","Q1RED1 D         Foundations and nonprofit research","Q1RED10",8941,8786,8809,8736,8975,9208,9502,9712,9768,9728,9740,9786,10103,10150,10047,9966,9953,9922,9999,10128,10006,9973,9860,10071,10429,10571,10803,10978,10997,11277,11673,11874,12087,12270,12241,12436,12523,12499,12750,13091,13143,13195,13253,13457,13866,14120,13896,14243,14447,14671,15187,15118,14664,14740,14679,13995,14278,14383,14729,14841,14705,14592,14152
"327","319","Q1RAW1 C     Religious and welfare activities (108)","Q1RAW10",117069,120664,123822,123364,122091,122142,122999,123822,126801,130309,133792,134454,132047,132921,134133,134600,136716,139193,142472,144433,141809,141979,142362,143559,146760,149162,151339,152380,148714,148766,149625,150559,152999,156341,160062,161685,160501,160925,162404,164529,168175,171116,173430,176415,176908,179563,182895,185543,185927,188134,190596,191190,189278,189083,188704,189383,192620,192843,195430,196812,193358,193454,193745
"328","320","Q1POL1 D       Political organizations","Q1POL10",1074,2418,3768,3750,854,457,353,864,2129,3742,4048,3742,925,444,374,373,1061,2453,3848,3911,1130,543,456,713,2527,3599,4348,4579,1074,533,458,465,1306,2967,4563,4561,1317,627,523,810,2836,4122,4959,5243,1246,625,539,548,1418,3064,4505,4648,1464,701,584,786,2710,4047,4931,5044,1188,598,517
"329","321","Q1MUS1 D       Museums and libraries","Q1MUS10",4364,4453,4394,4322,4230,4387,4463,4353,4398,4500,4668,4420,4760,4922,5110,5280,5351,5518,5651,5702,5750,5906,6087,6097,6254,6387,6564,6763,6822,6886,6923,7007,6996,6978,6966,7080,7273,7278,7255,7322,7441,7544,7522,7627,7846,8022,8180,8264,8062,8129,8216,8243,8631,8617,8623,8432,8274,8338,8448,8407,8345,8330,8301
"330","322","Q1FOU1 D       Foundations to religion and welfare","Q1FOU10",9194,8943,9004,9208,9667,9841,10000,10067,9763,9880,10004,9940,10183,10176,9940,9763,9415,9203,9096,9099,9102,8973,8763,8705,8611,8421,8266,7948,7496,7386,7438,7565,7961,8234,8394,8640,8939,9031,9204,9422,9164,9180,9314,9677,10388,10714,10954,11100,11129,11129,11065,10940,10650,10490,10379,10326,10425,10444,10463,10475,10486,10517,10552
"331","323","Q1WEL1 D       Social welfare","Q1WEL10",65853,66709,66856,66746,67350,67391,68383,68945,70468,71753,73464,74536,75188,76186,77114,77059,77547,78113,79658,81340,82134,82847,83039,83454,83466,84497,85654,86781,88202,89007,89981,90573,90794,91831,93541,94720,96625,97880,99467,101083,102882,104404,105747,107839,110993,113399,115966,117872,117762,118225,119282,119976,121588,122514,122442,123147,123386,123888,124476,125669,125985,126534,126766
"332","324","Q1CHC1 D         Child care","Q1CHC10",20986,20648,19797,18920,18540,17950,17763,17608,18160,18512,19014,19391,19585,19873,20028,20026,20118,20273,20869,21401,21631,21897,21692,21576,21577,21678,21582,22039,22436,22701,23067,23167,22867,22994,23441,23637,24212,24442,24408,24729,25138,25347,25597,25986,26435,26789,27079,27209,26983,27312,27941,27461,27811,27950,27772,27853,27708,27860,28183,28606,28806,28982,28596
"333","325","Q1SCW1 D         Social welfare","Q1SCW10",45602,46684,47511,48127,49022,49553,50661,51333,52330,53268,54488,55198,55656,56372,57135,57082,57477,57890,58859,60018,60583,61037,61413,61924,61936,62855,64080,64762,65790,66334,66950,67439,67942,68846,70109,71089,72420,73443,75058,76354,77743,79057,80150,81854,84562,86617,88905,90695,90826,90949,91354,92572,93834,94625,94745,95376,95780,96126,96375,97131,97234,97603,98268
"334","326","Q1REL1 D       Religion","Q1REL10",36794,38296,39925,39466,40227,40325,40065,39840,40217,40543,41717,41933,41177,41384,41780,42316,43526,44055,44314,44457,43817,43839,44145,44717,46003,46322,46540,46315,45183,45021,44888,45008,45994,46365,46611,46692,46386,46147,45987,45912,45853,45865,45888,46032,46452,46832,47289,47791,47578,47603,47550,47415,47008,46834,46752,46764,47884,46233,47215,47325,47417,47533,47666
"335","327","Q1FOR1 C     Net foreign travel","Q1FOR10",-12907,-13642,-14754,-20724,-19677,-22371,-24867,-27023,-28286,-28919,-28693,-27142,-29070,-30363,-28436,-25959,-24957,-25519,-25599,-28496,-26987,-28201,-34632,-35741,-32314,-36175,-27955,-40638,-33246,-32383,-30991,-28159,-23580,-22466,-16674,-19705,-21151,-19992,-19811,-20576,-19032,-17985,-13962,-13993,-16310,-6857,-9340,-10891,-8199,-9045,-14048,-15525,-8261,-9744,-8609,-13475,-10543,-8594,-9412,-13026,-14172,-15531,-14744
"336","328","Q1FTR1 C       Foreign travel by U.S. residents (110)","Q1FTR10",54894,54904,52553,51008,44649,50230,49807,50917,51188,51089,50274,53190,52654,52428,54601,57812,57702,58715,58006,56363,58017,56729,56610,58794,59867,59287,59792,60754,64003,63955,66667,67482,71314,73696,75115,74591,74185,75230,76854,78200,82353,84537,85091,85680,84891,89777,78861,65088,76250,74930,70658,76094,73540,65937,73634,75390,76861,80442,79003,76714,78600,81642,78834
"337","329","Q1AFT1 D         Passenger fares for foreign travel","Q1AFT10",20725,19993,18411,17805,15009,17523,18492,19521,18984,18887,18790,20177,19859,20005,20964,21516,22652,23282,23311,22470,22078,21721,22555,22738,22707,23182,23126,24279,24987,25288,26384,26325,26794,28818,29655,29276,29398,29599,30619,31127,31737,33830,34186,33195,33098,34909,30931,22538,28286,28229,25335,28449,28206,26156,29083,30131,31757,32547,31604,31738,33259,34171,32360
"338","330","Q1UST1 D         U.S. travel outside the U.S.","Q1UST10",33318,33915,33043,32106,28542,31617,30355,30535,31285,31277,30592,32109,31817,31455,32634,35174,34104,34465,33776,32968,34645,33831,33040,34878,35853,34883,35393,35314,37709,37352,38913,39727,42898,43269,43805,43670,43100,43842,44400,45276,48678,48718,48837,50343,49537,52538,45550,40491,45506,44155,42894,44884,42447,36815,41500,42193,42046,44729,44220,41853,42223,44214,43197
"339","331","Q1USS1 D         U.S. student expenditures","Q1USS10",758,771,772,780,766,796,796,772,750,750,751,797,853,879,927,943,948,1004,1005,977,1190,1095,1065,1127,1193,1209,1219,1223,1284,1330,1387,1413,1531,1590,1655,1634,1692,1782,1847,1808,1906,1991,2068,2171,2237,2305,2332,2344,2581,2619,2651,2871,2911,2904,2993,2980,2934,3058,3084,3021,3009,3146,3171
"340","332","Q1EXF1 C       Less: Expenditures in the United States by nonresidents (112)","Q1EXF10",67801,68546,67307,71732,64325,72602,74674,77940,79475,80008,78967,80332,81724,82791,83037,83772,82659,84234,83605,84859,85004,84930,91242,94535,92182,95462,87747,101393,97250,96339,97657,95641,94893,96162,91789,94295,95336,95221,96665,98776,101385,102521,99054,99673,101202,96634,88202,75980,84449,83975,84706,91619,81801,75682,82243,88865,87403,89036,88415,89740,92772,97173,93579
"341","333","Q1FTU1 D         Foreign travel in the U.S.","Q1FTU10",58509,59233,57866,62105,54898,62893,64842,68137,69563,70121,68991,70337,71636,72671,72799,73614,72423,73980,73184,74715,74721,74626,80763,84155,81777,84963,77165,90757,86703,85754,87017,84624,83917,85092,80600,83086,83982,83835,85158,87237,89714,90743,87151,87627,89037,84335,75692,62856,71842,71329,71991,79211,69075,62922,70038,77370,75880,77780,77354,78969,82102,87280,83654
"342","334","Q1MEF1 D         Medical expenditures of foreigners","Q1MEF10",1132,1129,1116,1091,1121,1089,1072,1050,1085,1056,1033,1013,1052,1031,1014,998,1047,1031,1016,1004,1044,1045,1053,1070,1149,1174,1195,1214,1242,1260,1278,1294,1311,1322,1339,1346,1415,1429,1437,1447,1476,1492,1509,1526,1550,1557,1574,1590,1288,1254,1245,1238,1249,1262,1262,1262,1259,1256,1257,1258,1258,1216,1214
"343","335","Q1EFS1 D         Expenditures of foreign students in the U.S.","Q1EFS10",8514,8514,8747,8830,8847,8903,9002,8868,8933,8919,9087,9094,9127,9162,9310,9217,9282,9289,9503,9187,9297,9318,9432,9275,9246,9295,9423,9370,9275,9303,9337,9720,9663,9743,9851,9862,9939,9957,10068,10090,10183,10279,10397,10533,10666,10773,10893,11315,11225,11265,11329,11175,11253,11137,10828,10419,10410,10248,10077,9891,9907,9497,9407
"344",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","336","Q1TGD1 D   Goods","Q1TGD10",1937419,1921961,1920612,1890764,1874997,1888459,1897032,1878819,1921230,1923479,1943883,1977273,1980561,2011730,2032809,2054562,2082808,2103831,2123224,2159536,2149081,2163977,2188288,2205573,2221452,2261446,2276005,2303127,2332469,2330839,2386178,2410799,2435784,2490618,2523979,2595002,2615013,2671167,2694523,2741768,2790194,2795196,2818664,2838085,2854864,2853768,2872318,2967708,2974116,2989011,3015936,3022232,3047443,3089910,3176756,3192691,3239122,3254776,3301403,3345613,3382712,3423043,3464162
"346","337","Q1CGP1 D   Control Group","Q1CGP10",1688813,1685705,1688887,1671126,1669227,1685902,1684694,1670362,1702775,1702948,1721325,1750803,1756354,1778086,1800978,1812991,1834107,1859885,1881691,1911194,1911885,1928067,1946839,1959987,1973382,2009767,2024938,2050592,2066528,2074372,2111497,2128346,2161549,2194381,2221590,2261799,2299713,2332028,2353489,2413827,2431563,2461313,2478062,2496242,2501669,2505542,2519036,2558948,2592250,2607421,2612379,2638083,2656756,2686753,2755231,2783722,2831948,2852348,2887993,2932198,2978894,3011579,3033164
"347","338","Q1PXC1 D   PCE except computers, peripherals, and software","Q1PXC10",4817579,4833112,4852596,4816708,4794144,4834183,4852663,4848177,4927988,4955239,5003179,5060158,5075424,5118744,5172576,5216298,5272809,5309299,5345790,5396408,5402836,5444951,5488941,5522084,5567547,5623253,5655861,5699382,5756160,5777921,5868645,5925892,5987290,6079421,6146845,6225853,6284372,6379515,6443324,6520523,6621091,6660527,6722729,6777833,6803343,6817806,6845391,6958345,6978767,7017735,7055364,7077258,7119440,7180637,7279463,7332760,7415383,7448660,7526797,7604599,7667872,7729471,7801448
"348","339","Q1GXC1 D     Goods except computers, peripherals, and software","Q1GXC10",1995267,1978694,1976951,1945106,1926957,1939047,1945577,1926597,1970090,1971224,1990895,2024124,2024732,2055138,2074754,2094675,2122286,2142400,2160633,2195078,2182296,2194912,2216216,2229579,2242500,2278301,2289838,2313770,2338560,2331865,2383491,2404657,2425601,2477587,2504922,2572070,2587979,2641016,2661075,2705536,2750052,2752404,2773431,2790972,2805165,2801403,2817228,2908197,2910272,2922861,2947568,2950639,2974017,3012751,3093982,3107400,3151280,3164948,3208551,3248973,3282976,3319911,3357621
"349","340","Q1DXC1 D       Durables except computers, peripherals, and software","Q1DXC10",517747,499743,494023,478542,462562,463349,468708,460604,478821,481599,491048,500333,502799,518575,523106,535104,547044,552256,556951,574906,561426,565761,579938,587059,590583,606236,608383,617881,631828,625002,650849,664542,663608,692626,706869,746778,739788,773191,787188,790031,832653,808478,818550,818287,829916,826597,830506,898516,883986,890026,913807,897893,904670,935122,975597,972188,981137,980088,1004279,1014892,1018932,1036469,1061586
"350","341","Q1FXC1 D         Furniture and household equipment except computers, peripherals, and software","Q1FXC10",155309,152236,150315,148316,147729,150342,149408,147272,151606,151870,154994,158072,161107,164242,166274,167754,170458,176124,180446,186120,185413,187197,192161,195008,194096,200903,201455,205569,206121,208712,213014,215891,220274,222661,228085,233117,238159,244238,251903,259696,266468,268476,270674,270677,274075,275568,276763,283043,291742,295655,295195,297807,296919,307053,320304,326975,334458,340245,348358,351490,359530,362132,370995
"351",NA,"         Market based PCE:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","343","Q1MBP1  Market-based PCE","Q1MBP10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4944205,4963356,5046558,5099037,5149143,5233676,5292345,5367562,5427794,5513542,5569087,5641990,5721662,5760197,5806426,5855491,5887777,5892116,5921682,6033582,6056668,6094219,6131770,6153930,6187836,6248125,6344345,6395030,6470942,6492234,6561492,6637230,6696073,6759198,6827877
"353","344","Q1MBF1   Market-based PCE food","Q1MBF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835508,832698,839573,836460,843629,853406,860227,867652,868988,879535,884964,902834,906551,915954,918068,921456,927361,928487,930785,935198,940361,944655,944462,949489,959056,960337,977521,982557,1005179,1012265,1020614,1037166,1050569,1061858,1076332
"354","345","Q1MBE1   Market-based PCE energy","Q1MBE10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308337,312816,312588,321249,318564,326559,327272,319930,327690,331577,332508,330118,325260,332036,332883,348946,345112,327258,329960,334198,335307,343529,342561,347546,346123,341902,343177,350653,350010,347935,347007,357456,362769,358376,356143
"355","346","Q1MBX1   Market-based PCE except food & energy","Q1MBX10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3780063,3817709,3907832,3961988,3993783,4058144,4105950,4177024,4232268,4303387,4352327,4409204,4489757,4512345,4555660,4584870,4614851,4636849,4661160,4764346,4781082,4806527,4844990,4857100,4882636,4946271,5024058,5062157,5116177,5132732,5195415,5242903,5282409,5340374,5398658
"356","347","Q1MBV1    Market-based PCE motor vehicles & parts","Q1MBV10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266529,256931,274144,283575,277537,299644,304230,333482,320565,342242,344574,336916,364433,340567,345946,345153,353558,347600,353516,410819,383616,386279,412972,391999,395099,411709,429858,416644,419558,409164,423544,427415,414169,426930,447271
"357","348","Q1DXM1    Durables except MV & parts","Q1DXM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330209,337094,347884,356233,365769,374332,387669,399918,412549,423954,438535,454412,469594,475134,480608,481891,487002,490616,493134,508335,526725,534921,537305,545335,548010,568856,594894,607673,620427,627846,642427,654367,673124,686651,695939
"358","349","Q1MPC1    Market-based PCE clothing & shoes","Q1MPC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242608,240514,248148,251334,257948,262897,261829,268491,278617,281981,284390,284583,290971,296075,300788,301770,300205,301425,302543,309502,315554,316658,315334,324001,322859,330499,339810,340991,352191,349336,354564,362654,367582,374086,375725
"359","350","Q1MBN1    Market-based PCE other nondurables","Q1MBN10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446252,449138,457427,463454,468168,474529,481346,489036,497658,501800,502796,521291,515391,528393,533690,541078,537556,542593,548271,554854,561003,560712,562783,568900,575743,578126,591134,599598,602310,610837,618628,622997,629104,635274,638579
"360","351","Q1MBH1    Market-based PCE housing","Q1MBH10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903984,909312,915326,921081,929187,935529,942141,947488,958919,964685,971257,977311,985098,992615,999157,1006108,1013705,1020426,1025574,1031778,1033451,1032724,1029986,1028283,1030274,1033421,1039077,1046664,1056482,1063433,1070801,1078379,1084403,1090208,1095416
"361","352","Q1MBO1    Market-based PCE other household operation","Q1MBO10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204803,208195,213735,218276,220823,222783,226813,228605,231592,237024,241461,242878,247162,251569,253784,254234,253877,256305,257161,255420,254637,255880,255218,254569,256665,258744,260244,261216,262666,264047,266859,266066,267677,269587,270873
"362","353","Q1MBT1    Market-based PCE transportation services","Q1MBT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329412,332213,335777,337331,339818,343780,346056,347066,352151,355010,358767,360449,363166,365220,365103,365508,367401,366241,360905,356772,356863,355835,353963,353777,355349,354190,354963,355638,359391,359446,359745,359821,361722,363677,365387
"363","355","Q1MBM1    Market-based PCE medical care services","Q1MBM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641026,644455,648772,652117,659911,660688,661771,662014,661896,665262,670786,676394,682106,690496,697464,706022,716703,727085,740056,752868,764840,776576,787417,799694,808647,817593,824082,834534,842085,851801,862857,873760,883504,892422,903422
"364","356","Q1MBR1    Market-based PCE recreation services","Q1MBR10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158648,159630,159184,160578,163457,164592,167292,168744,171016,173544,176139,177515,178588,180446,180982,182317,184875,184735,184671,185713,186555,186488,185719,187317,187703,188428,189863,193282,195208,195597,196899,196906,199486,200173,203031
"365","357","Q1PER1    Personal care services","Q1PER10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73587,74498,75465,76451,78162,79070,79989,80905,82194,82976,83865,84824,86665,86999,87201,87251,86845,86855,86922,87024,88016,88547,89117,89702,90085,90750,91104,92948,93727,94670,95543,96321,97032,97826,98665
"366","358","Q1MBB1    Market-based PCE personal business","Q1MBB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139897,141063,148706,149271,152171,159550,166784,170379,178299,185808,189043,201155,212404,209676,214518,215925,213726,211754,206217,210092,210318,213553,218044,216530,213295,220817,221827,225763,227102,222187,222677,225727,227323,229440,232662
"367","359","Q1GED1    Public higher education","Q1GED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36323,36611,36939,37315,37587,37809,38069,38354,38662,39031,39420,39821,40358,40640,40941,41238,42440,43197,43969,44721,43961,43998,44061,44163,44466,44580,44663,44702,45335,44175,44601,44351,44426,44434,44458
"368","360","Q1VED1    Commercial & vocational schools","Q1VED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22559,23540,24148,24666,25475,25891,25763,26233,26514,27141,27796,27442,28534,29223,29963,30411,30162,30590,30213,30403,30603,29927,29327,29653,30275,28671,28377,28151,27982,27775,27175,27147,27368,27677,28276
"369","361","Q1CHC1    Child care","Q1CHC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22436,22701,23067,23167,22867,22994,23441,23637,24212,24442,24408,24729,25138,25347,25597,25986,26435,26789,27079,27209,26983,27312,27941,27461,27811,27950,27772,27853,27708,27860,28183,28606,28806,28982,28596
"370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
