"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"153","145","Q1FLM1 D       Film and photo supplies","Q1FLM10",3754,3689,3635,3614,3578,3539,3489,3406,3405,3353,3391,3426,3268,3246,3251,3218,3173,3181,3162,3163,3083,3026,2951,2908,2866,2840,2798,2724,2664,2582,2608,2555,2657,2724,2830,2985,3014,3067,3041,3265,3152,3251,3298,3531,3361,3288,3271,3301,3403,3523,3566,3567,3563,3655,3811,3883,3897,3978,3969,3999,4058,4152,4153,4184,4420,4415,4493,4644,4714,4602,4672,4731,4844
"154","146","Q1STY1 C     Stationery and writing supplies (35)","Q1STY10",17456,16977,17042,17186,17585,17564,17583,17283,17451,17620,17858,18322,18029,18109,18113,17957,18055,18271,18708,18414,17824,17896,17747,17888,16919,17296,17498,17478,17339,16764,16713,16798,17117,17162,17329,17427,18013,18052,18014,18673,18780,18963,19071,19113,18572,18538,18113,17988,18421,18295,18354,18031,18127,18509,19052,19330,19675,19766,19728,19826,20210,20481,20803,20888,21163,21427,21878,22390,22661,22661,22827,22601,22897
"155","147","Q1STS1 D       Stationery and school supplies","Q1STS10",7560,7288,7157,7135,7131,7152,7098,6868,6823,6782,6824,6897,6905,6982,6968,7092,7053,7112,7191,7105,6919,6876,6821,6733,6471,6488,6463,6450,6344,6171,6124,6151,6333,6446,6586,6743,6960,7086,7131,7370,7601,7798,7853,7836,7540,7508,7446,7435,7602,7607,7625,7622,7588,7747,8052,8200,8491,8593,8664,8737,8882,9025,9102,9244,9362,9407,9590,9712,9782,9790,9955,9866,9835
"156","148","Q1GRE1 D       Greeting cards","Q1GRE10",9890,9684,9880,10048,10452,10409,10483,10414,10627,10838,11035,11427,11125,11127,11145,10864,11001,11159,11517,11309,10905,11019,10926,11155,10448,10808,11035,11028,10995,10593,10589,10647,10783,10715,10742,10684,11053,10965,10882,11302,11179,11165,11218,11276,11032,11030,10667,10552,10819,10687,10728,10409,10539,10761,10999,11129,11184,11173,11063,11089,11328,11456,11701,11644,11801,12020,12287,12677,12879,12870,12871,12735,13062
"157","149","Q1NFR1 C     Net foreign remittances (111 less 113)","Q1NFR10",2926,2841,1920,1808,2646,2042,1684,1759,972,713,114,161,726,749,833,667,1084,931,876,870,1172,894,757,810,1079,1112,1255,1110,1950,2484,2987,2887,3132,2695,2906,2726,2753,2480,2946,2731,2977,3501,3365,3037,3229,3453,3475,3544,3992,3944,3715,3282,3859,3748,3430,3064,3207,3438,3284,2911,2652,2792,3069,3117,3369,2350,3108,2189,1505,2531,1504,2185,1488
"158","150","Q1ABD1 C       Expenditures abroad by U S  residents","Q1ABD10",4154,3882,3198,3042,3848,3268,2956,3080,2634,2435,1939,2063,2492,2472,2480,2407,2818,2522,2522,2132,2512,2253,2219,2299,2430,2391,2403,2226,3169,3603,4197,4027,4197,3923,4054,4047,4003,4100,4210,4049,4371,4705,4850,4414,4736,5108,4966,4917,5531,5307,5179,4964,5310,5450,5417,4914,5088,5313,5107,4890,4728,4906,5111,5271,5415,5045,5142,5130,5162,5077,4927,4906,4837
"159","151","Q1ART1 D         Government expenditures abroad","Q1ART10",4018,3748,3082,2926,3696,3131,2826,2938,2505,2312,1840,1957,2371,2354,2364,2295,2689,2408,2409,2037,2402,2156,2124,2202,2328,2292,2305,2136,3042,3460,4032,3869,4032,3769,3894,3887,3845,3938,4044,3889,4198,4519,4658,4240,4549,4907,4769,4723,5313,5097,4974,4767,5100,5235,5203,4719,4887,5103,4905,4697,4542,4712,4909,5062,5201,4846,4939,4928,4958,4877,4732,4712,4646
"160","152","Q1ARS1 D         Other private services","Q1ARS10",136,134,116,116,152,136,130,142,129,122,99,105,121,118,117,111,129,114,113,94,110,97,95,97,102,99,98,90,127,143,165,158,165,155,160,160,158,162,166,160,173,186,192,174,187,202,196,194,219,210,205,196,210,215,214,194,201,210,202,193,187,194,202,208,214,199,203,203,204,201,195,194,191
"161","153","Q1REM1 C       Less: Personal remittances in kind to nonresidents","Q1REM10",1228,1042,1278,1234,1203,1225,1272,1321,1662,1722,1824,1901,1765,1723,1647,1739,1734,1591,1646,1262,1340,1359,1462,1488,1351,1278,1148,1116,1218,1119,1210,1140,1065,1229,1148,1321,1251,1620,1265,1318,1394,1204,1485,1377,1506,1655,1490,1373,1540,1363,1464,1681,1451,1702,1988,1850,1880,1875,1823,1979,2076,2114,2042,2154,2046,2695,2034,2942,3656,2546,3423,2721,3349
"162","154","Q1MAG1 C     Magazines, newspapers, and sheet music (88)","Q1MAG10",28519,29024,29543,29936,28902,28516,28162,27313,27271,26692,27239,26992,27601,27789,28023,28526,28965,29450,30024,30331,30757,31113,30325,30971,30697,31654,31941,32427,32920,32850,33078,33759,33220,33227,33671,33424,33548,34170,33842,34708,34465,35255,35031,35441,34891,34860,34012,33378,33716,33906,33772,33890,34123,33842,34535,34627,35703,36056,36288,36411,36832,36941,38258,38730,38884,39788,40106,39876,40848,41411,41836,42361,42798
"163","155","Q1MGZ1 D       Magazines and sheet music","Q1MGZ10",13749,13981,14271,14585,14252,14186,14060,13772,13864,13576,13890,13802,14003,14176,14294,14553,14780,15053,15343,15608,15856,16157,15754,16130,15983,16434,16494,16736,16973,16951,16969,17313,17052,17058,17289,17164,17224,17544,17376,17820,17695,18101,17986,18197,17914,17898,17463,17137,17311,17409,17340,17400,17520,17375,17732,17779,18331,18513,18631,18694,18911,18967,19643,19885,19965,20429,20591,20474,20972,21261,21480,21749,21973
"164","156","Q1NWP1 D       Newspapers","Q1NWP10",14871,15148,15372,15433,14706,14370,14137,13561,13416,13126,13357,13194,13610,13619,13736,13980,14191,14402,14687,14724,14903,14957,14572,14843,14716,15220,15448,15692,15948,15899,16109,16446,16168,16168,16381,16260,16323,16626,16466,16888,16769,17154,17045,17244,16977,16962,16549,16240,16405,16498,16432,16490,16603,16466,16804,16849,17372,17544,17656,17716,17921,17974,18615,18845,18920,19359,19514,19402,19876,20149,20356,20612,20824
"165","157","Q1FLO1 C     Flowers, seeds, and potted plants (95)","Q1FLO10",11311,11710,11571,11368,11435,10952,10976,11137,11085,10930,11465,13269,12496,12286,12765,12857,13157,13503,13342,13304,13271,13658,13539,13696,14446,14752,15048,15701,15735,15677,16696,16878,16127,16374,16939,17434,17535,17451,18235,18380,18263,17319,18024,18288,17515,17570,17466,17272,17540,17505,17371,17108,17300,17236,17471,17545,16994,17164,17514,17430,17754,18125,17949,18492,18674,18602,18603,18661,18683,18477,18668,18558,18346
"166","158","Q1TSS1 A Services","Q1TSS10",2813518,2849506,2872372,2871272,2868325,2896809,2908832,2925804,2960574,2987880,3016089,3038680,3053884,3065435,3099930,3123464,3151948,3167860,3185815,3200901,3221331,3251190,3273624,3293425,3326231,3345365,3366541,3385871,3417773,3446886,3485545,3521612,3562001,3601957,3642070,3653739,3696367,3738484,3782251,3815018,3871082,3908170,3949305,3986786,3997905,4015978,4027843,4051180,4069449,4095694,4108973,4127439,4143272,4161305,4190654,4220120,4262866,4294571,4325177,4361126,4381281,4401318,4449053,4477459,4500992,4531559,4553953,4595520,4630723,4656731,4689459,4722382,4762221
"167","159","Q1HOS1 B   Housing","Q1HOS10",796036,800062,804370,808224,811576,817876,823663,827116,829702,831393,833658,836194,836979,837925,843108,849046,859825,865462,873171,878858,882783,885862,888972,892545,895162,898574,902791,907894,913902,919337,925426,931223,939366,945767,952419,957814,969368,975165,981788,987887,995747,1003306,1009898,1016883,1024441,1031235,1036479,1042789,1044399,1043695,1040977,1039287,1042034,1046322,1054655,1064599,1073275,1079666,1087134,1095054,1104394,1113915,1123336,1131569,1139671,1146031,1151043,1156629,1163715,1171575,1178882,1188302,1194764
"168","160","Q1OWN1 C     Owner-occupied nonfarm dwellings--space rent (24)","Q1OWN10",547047,549768,553179,556427,561171,565359,570216,572716,573208,574304,576163,578150,579212,581028,585173,590201,597993,602502,607530,611042,612409,614937,616910,619211,621981,624816,628107,631981,635948,640329,644502,648847,654994,660884,666717,672102,680385,685577,690912,696033,703141,708661,715042,722100,730370,737492,743703,749073,748752,748873,748660,749457,753460,759486,768033,778510,785034,790326,796515,803609,811693,819677,826878,833537,839833,845267,849633,853038,858672,865452,872218,878835,885324
"169","161","Q1OMH1 D       Owner occupied mobile homes","Q1OMH10",23416,23442,23516,23670,24401,24992,25447,25621,25699,25743,25740,25690,25448,25310,25247,25231,25443,25462,25529,25555,25490,25533,25582,25684,25903,26089,26264,26441,26559,26749,26926,27090,27163,27175,27201,27242,27151,27191,27273,27398,27387,27814,28542,29524,31127,32119,32896,33400,32832,31706,30599,29567,29338,29488,29644,29792,29673,29407,29111,28785,28458,28238,28149,28228,28408,28532,28584,28558,28438,28297,28160,28009,27859
"170","162","Q1OST1 D       Owner occupied stationary homes","Q1OST10",523631,526326,529666,532755,536772,540364,544771,547098,547507,548563,550423,552461,553764,555721,559927,564970,572549,577042,581999,585486,586920,589405,591330,593524,596080,598726,601844,605538,609391,613578,617577,621757,627834,633706,639517,644858,653231,658386,663638,668638,675753,680845,686501,692577,699238,705372,710807,715670,715919,717163,718057,719892,724123,729997,738389,748717,755355,760919,767402,774824,783229,791438,798729,805309,811421,816734,821048,824475,830231,837153,844054,850821,857459
"171","163","Q1TEN1 C     Tenant-occupied nonfarm dwellings--rent (25)","Q1TEN10",198029,199465,200723,201344,200983,201497,202043,202325,203165,203436,203802,204642,204043,204387,205006,206091,207554,208860,210801,212476,214799,216213,217211,217603,217009,216886,216995,217346,217801,218304,219011,219978,221508,222516,223364,223963,225549,226580,227103,227374,226807,227212,227745,228432,228559,229752,231315,233276,232466,229945,227681,225069,222752,220691,219369,218595,219207,220331,221194,221787,222256,222921,223726,224746,225995,227158,228134,228955,230177,231572,232953,234291,235586
"172","164","Q1TMH1 D       Tenant occupied mobile homes","Q1TMH10",4785,4979,5105,5153,5317,5409,5476,5493,5497,5488,5480,5503,5497,5538,5598,5685,5836,5947,6069,6169,6248,6307,6338,6339,6307,6262,6202,6135,5987,5979,5991,6031,5804,5692,5578,5466,5233,5172,5107,5047,4978,4959,4953,4962,4862,4935,5086,5311,5359,5292,5262,5251,5266,5294,5326,5360,5420,5473,5495,5486,5456,5435,5432,5454,5489,5512,5521,5516,5515,5520,5527,5530,5533
"173","165","Q1TSP1 D       Tenant occupied stationary homes","Q1TSP10",189322,190590,191752,192321,191750,192178,192577,192833,193626,193914,194198,195023,194426,194704,195270,196235,197580,198743,200523,202038,204147,205423,206318,206644,206029,205891,205998,206351,206882,207332,207972,208847,210525,211612,212532,213194,214931,215962,216487,216750,216150,216512,216984,217592,217743,218788,220134,221806,220947,218465,216200,213567,211203,209075,207665,206791,207270,208274,209053,209601,210049,210674,211417,212343,213480,214551,215465,216254,217427,218757,220075,221350,222586
"174","166","Q1TLD1 D       Tenant landlord durables","Q1TLD10",4054,4041,4022,4029,4065,4061,4129,4137,4175,4169,4243,4240,4242,4262,4259,4291,4272,4303,4344,4400,4517,4588,4651,4707,4748,4798,4851,4906,4969,5023,5074,5123,5197,5230,5269,5315,5393,5452,5513,5580,5679,5739,5807,5879,5958,6032,6100,6164,6166,6202,6241,6283,6327,6378,6449,6534,6616,6693,6764,6827,6888,6956,7031,7114,7203,7279,7337,7378,7432,7496,7560,7622,7683
"175","167","Q1FAR1 C     Rental value of farm dwellings (26)","Q1FAR10",9610,9619,9621,9614,9581,9619,9648,9629,9607,9609,9607,9601,9582,9565,9570,9572,9598,9595,9624,9644,9625,9625,9624,9629,9616,9643,9685,9750,9869,9968,10045,10094,10132,10178,10229,10279,10392,10430,10479,10526,10593,10638,10679,10714,10686,10751,10843,10947,10883,10904,10925,10947,10960,10992,11003,10992,10967,10966,10964,10962,10964,10961,10963,10968,10973,10965,10949,10922,10898,10879,10865,10852,10834
"176","168","Q1OHO1 C     Other (27)","Q1OHO10",41269,41083,40658,40646,39564,41224,41587,42307,43660,43994,44029,43714,44090,42809,43238,43048,44624,44418,45161,45648,45914,44989,45139,46054,46527,47231,48018,48850,50342,50792,51937,52379,52798,52227,52135,51480,53066,52582,53295,53953,55200,56796,56429,55638,54842,53236,50553,49363,52256,54001,53726,53832,54965,55278,56449,56708,58342,58305,58733,58984,59815,60712,62184,62754,63318,63090,62782,64199,64468,64190,63402,64893,63623
"177","169","Q1HOT1 D       Hotels and motels","Q1HOT10",32046,31870,31435,31398,30246,31811,32137,32831,34223,34573,34643,34348,34399,33030,33385,33191,34835,34652,35406,35896,36144,35181,35280,36120,36441,37072,37836,38665,40228,40663,41774,42151,42541,41949,41821,41124,42646,42100,42735,43312,44403,45975,45622,44883,43839,42141,39366,38107,40835,42506,42139,42189,43189,43305,44356,44516,46135,46015,46365,46521,47280,48097,49501,49954,50399,50041,49621,51033,51233,50845,49921,51372,49943
"178","170","Q1HFR1 D       Clubs and fraternity housing","Q1HFR10",397,398,402,409,422,430,436,438,433,432,429,431,437,439,441,442,443,443,445,447,446,451,459,469,492,500,503,502,480,480,487,500,516,524,536,549,568,583,600,619,657,667,672,672,674,670,664,656,636,627,622,621,629,634,635,630,619,609,600,593,586,581,579,578,579,581,582,584,585,586,588,589,590
"179","171","Q1HHE1 D       Higher education housing","Q1HHE10",8205,8212,8239,8256,8321,8369,8412,8444,8460,8473,8467,8456,8742,8826,8890,8895,8838,8819,8802,8794,8799,8824,8858,8913,9037,9097,9113,9115,9071,9085,9113,9166,9187,9196,9214,9233,9251,9290,9346,9403,9524,9538,9519,9465,9714,9803,9881,9940,10160,10265,10347,10399,10536,10707,10845,10945,11023,11108,11201,11299,11395,11499,11611,11729,11844,11941,12018,12073,12138,12213,12295,12379,12458
"180","172","Q1HES1 D       Elementary and secondary education housing","Q1HES10",156,155,159,159,156,155,154,152,155,158,157,155,156,156,157,157,157,158,159,159,160,161,163,164,166,167,167,166,165,164,164,164,165,165,165,165,165,165,165,166,165,166,166,166,165,164,164,164,162,161,160,159,159,159,159,159,158,157,156,156,155,155,155,155,154,154,155,155,155,155,155,155,155
"181","173","Q1TGR1 D       Tenant group room and board","Q1TGR10",431,415,406,409,425,435,429,415,351,320,296,291,328,337,343,342,324,319,319,320,332,339,346,352,356,359,361,361,353,352,351,348,338,341,347,357,381,389,394,397,392,392,394,396,396,395,392,388,375,369,366,366,370,374,374,371,365,359,354,349,345,342,341,341,341,342,343,344,345,345,346,347,348
"182","174","Q1TGL1 D       Tenant group employee lodging","Q1TGL10",37,42,36,35,35,40,35,34,37,39,38,37,38,39,40,40,40,40,41,41,42,42,43,43,43,44,45,46,48,48,49,49,51,51,52,53,54,54,55,55,56,57,58,58,58,58,59,60,60,61,62,63,63,63,64,64,64,65,65,65,65,65,65,66,66,66,66,66,66,67,67,67,67
"183","175","Q1HOP1 B   Household operation","Q1HOP10",258725,267670,271029,268048,263593,273389,272562,269866,269941,276686,279104,283895,285416,286169,295590,297100,300541,305499,303818,303408,302628,310945,319348,318607,326971,328051,323616,330447,331160,336372,341120,352792,350229,358538,363489,356089,362787,371092,379932,373702,376339,388561,392540,402995,397596,389462,390250,386564,387968,395123,392408,397315,397471,397444,397963,402285,405480,407107,408757,412822,413829,413341,422239,416392,406261,410930,415366,419091,420094,421561,427939,434220,441620
"184","176","Q1GEL1 B     Electricity and gas","Q1GEL10",111294,118519,120481,119310,117267,125481,122610,118981,116742,120554,120285,124112,125052,123171,129512,129398,129880,132591,127745,124870,123602,129801,135201,132009,138593,136480,129820,134057,130912,132808,132014,139184,133822,140242,141100,131549,135476,138515,143167,135416,133910,141959,143767,153563,148508,138841,138937,137287,139759,145825,144059,149809,148596,146670,145902,148824,149849,148598,147234,150863,151614,150654,157772,152903,143687,146963,150935,152497,153120,153592,158530,163136,168641
"185","177","Q1ELC1 C       Electricity (37)","Q1ELC10",77499,81568,83227,82213,81237,87485,83182,81967,80784,81120,81248,84949,85125,85613,89333,87340,88317,92395,87613,86914,85988,89711,94183,90770,93429,93116,89104,91521,90613,88944,90485,96647,94778,100608,101828,94613,96776,98531,102813,97066,97361,103683,102362,105984,104673,100362,96987,98132,101516,106050,105091,105840,107273,105377,104916,105350,108370,108441,104527,110744,111258,109499,117569,113627,108096,110714,108904,114535,113515,114459,116443,118661,121067
"186","178","Q1NGS1 C       Gas (38)","Q1NGS10",34010,37414,37641,37530,36346,38177,40255,37452,36266,40435,39944,39806,40702,37883,40678,42963,42326,40546,40745,38254,37921,40561,41264,41850,46373,44203,41359,43324,40841,45032,42233,43045,39208,39579,39102,36823,38638,40019,40294,38398,36633,38352,41492,47334,43681,38738,41869,39018,38173,39764,38972,44093,41431,41310,40993,43274,41582,40407,42478,40573,40830,41396,41097,40007,36629,37309,42272,38848,40267,39901,42610,44873,47792
"187","179","Q1HLU1 B     Other household operation","Q1HLU10",147910,149574,150966,149152,146750,148300,150361,151306,153629,156578,159273,160233,160811,163474,166537,168181,171167,173433,176555,178971,179420,181612,184670,187039,188910,192045,194167,196788,200614,203931,209435,213986,216683,218722,222770,224512,227343,232622,236929,238232,242440,246750,248855,249191,248793,251002,251558,249435,248297,249233,248255,247288,248663,250694,252061,253332,255516,258594,261847,262022,262279,262849,263849,263471,264125,264935,264678,266766,267072,268089,268812,269878,271021
"188","180","Q1WAT1 C       Water and other sanitary services (39)","Q1WAT10",41192,41173,41064,40957,40738,40563,40412,40300,39782,39653,39627,39905,40848,41380,41930,42427,42723,43213,43763,44403,44714,45027,45301,45579,45975,46473,46815,47232,47385,47524,47723,47975,48041,48270,48488,48741,49524,49903,50193,50450,50699,50804,50870,50891,51049,51209,51394,51582,51626,51774,51950,52135,52557,52656,52499,52222,52023,51824,51830,51626,51532,51402,51362,51422,51486,51590,51404,51181,51235,51465,51863,51721,51679
"189","181","Q1WSM1 D         Water and sewerage maintenance","Q1WSM10",34542,34453,34335,34260,34196,34143,34036,33905,33440,33314,33245,33405,34035,34403,34778,35125,35315,35675,36101,36604,36862,37045,37167,37267,37473,37800,37971,38211,38262,38252,38274,38322,38216,38315,38436,38624,39075,39280,39417,39543,39642,39703,39744,39762,40008,40228,40487,40758,40959,41159,41335,41470,41557,41564,41487,41314,40935,40572,40315,40156,40060,39992,39939,39889,39837,39815,39840,39904,39934,39934,39951,39974,39981
"190","182","Q1REF1 D         Refuse collection","Q1REF10",6698,6769,6778,6744,6590,6468,6424,6443,6389,6385,6427,6542,6850,7012,7184,7331,7435,7565,7688,7823,7878,8004,8152,8325,8511,8681,8852,9025,9127,9273,9449,9653,9826,9955,10053,10116,10449,10623,10776,10907,11056,11100,11126,11130,11041,10980,10906,10821,10662,10608,10607,10657,10998,11090,11008,10904,11089,11262,11539,11494,11499,11434,11450,11567,11689,11823,11600,11297,11321,11564,11968,11791,11741
