"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"169","161","      Household utilities","DUTLRX0",269706,274951,281858,270727,268448,279992,282428,296264,289975,275886,276527,273714,275575,284459,286269,294103,292075,291511,285566,289234,290959,291296,286213,291769,291026,294520,299946,294021,279683,292559,298218,287060,295034,295732,297049,285673,292731,291625,280619,290717,289612,289898,287703,290476,294423,291277,296404,299872,292365,289252,295829,285954,274112,287344,291937,277915,296125,290730,279175,285107,308277,288466,276344
"170","162","        Water supply and sanitation (25)","DWRSRX0",75197,75811,76255,76487,76574,76588,76714,76933,77104,77320,77530,77720,77777,77996,78296,78680,79004,78633,77958,77121,76580,76693,76606,76373,75988,75582,75610,76349,77130,77594,77426,77080,76692,76485,76350,76101,76216,76504,76314,76007,75304,74519,73761,73572,73285,73346,73382,73432,73132,72543,72233,71638,71135,70574,70081,69721,69554,69544,69592,69733,69709,69734,69714
"171","163","          Water supply and sewage maintenance","DWSMRX0",60547,60937,61220,61358,61354,61391,61523,61731,61982,62258,62570,62903,63234,63536,63815,64066,63821,63295,62780,62193,61526,60951,60504,60175,59931,59813,59840,59990,60212,60326,60311,60146,59846,59584,59428,59359,59336,59265,59148,58964,58703,58417,58135,57848,57411,57029,56826,56802,56539,56089,55622,55126,54603,54182,53907,53770,53731,53735,53782,53859,53849,53800,53766
"172","164","          Garbage and trash collection","DREFRX0",14755,14969,15123,15212,15295,15275,15273,15288,15219,15170,15081,14956,14707,14637,14661,14791,15317,15451,15292,15046,15151,15792,16130,16220,16084,15805,15808,16379,16920,17259,17111,16935,16847,16898,16918,16741,16875,17223,17152,17032,16599,16105,15628,15723,15872,16327,16576,16655,16622,16484,16662,16567,16602,16462,16231,15989,15848,15831,15831,15899,15884,15968,15985
"173","165","        Electricity and gas","DELGRX0",194587,199232,205736,194361,192039,203596,205856,219249,212828,198874,199229,196226,197993,206610,208100,215534,213192,212985,207762,212191,214429,214655,209686,215428,215064,218902,224184,217683,203099,215112,220748,210167,218352,219241,220660,209722,216524,215170,204687,214757,214326,215367,213928,216912,221186,217937,223118,226625,219275,216733,223826,214286,202532,217017,222441,208075,227530,221860,209614,215721,240184,219340,206597
"174","166","          Electricity (27)","DELCRX0",139696,142316,148449,140114,140504,149600,147580,152491,151594,145170,140452,141960,145245,152081,154204,154474,154910,154540,151270,155445,158096,157607,152336,160106,158859,160937,172090,164756,153360,163288,165519,158863,161785,161756,166647,160173,161542,161012,156851,161296,157704,155035,154622,160671,165320,163360,168744,168591,165387,164448,166240,158744,155156,162181,163389,160834,165508,157465,157668,168001,175517,156834,156018
"175","167","          Natural gas (28)","DGHERX0",54149,56272,56539,53726,51063,53553,57712,65478,60341,53477,57864,53483,52128,54033,53438,60498,57722,57745,55846,56237,56031,56650,56640,55416,56039,57607,53685,53701,50380,52769,55794,52099,56760,57520,54776,50539,55255,54498,49200,54066,56757,60336,59292,56115,55773,54516,54299,58077,53788,52118,57620,55598,46718,54917,59686,46408,62807,65704,51957,46789,65318,63425,50657
"176","168","    Health care","DHLCRX0",1167289,1171920,1181428,1192613,1199568,1215413,1223682,1236585,1254419,1268636,1287347,1307909,1333862,1353259,1363879,1371309,1379637,1386684,1397204,1406561,1416198,1432786,1453037,1467043,1473802,1483295,1501563,1503115,1511958,1519805,1527960,1541257,1549487,1556273,1570401,1576769,1593680,1596752,1600080,1604790,1616025,1628555,1634899,1630042,1626026,1640900,1657072,1672761,1680036,1688193,1687178,1705950,1732440,1737527,1752665,1757463,1759087,1774558,1785988,1804666,1798407,1815914,1836574
"177","169","      Outpatient services","DOUTRX0",510234,513509,518313,523966,530262,537826,543862,551576,558608,566701,575757,584955,595818,605964,614836,622769,627780,634979,642749,650101,657262,664964,672869,677908,683902,689101,694022,698219,701819,706505,710198,713772,714072,717888,723484,729823,735857,741464,744831,746705,743962,744388,744928,745691,748156,749268,752004,756242,763573,768260,771541,776821,786822,795036,798797,807427,807601,814585,822320,826685,830680,832810,840424
"178","170","        Physician services (44)","DPHYRX0",250450,252129,255006,258971,263707,268197,272261,275806,278893,282653,287389,293031,299498,306065,311917,317658,321554,326604,331444,336552,340442,345507,350282,354770,358467,361966,364756,366841,370828,374936,377495,378509,376223,376110,378431,383133,387883,392361,395273,396438,394108,392592,392361,392289,393036,392114,392789,394782,398939,401721,403074,405158,410606,415113,416395,423462,425568,430584,436341,438641,439148,438482,442317
"179","171","        Dental services (45)","DDENRX0",90890,91355,92041,92898,93866,94876,95934,97013,98085,99263,100594,102057,103535,104480,104837,104558,103554,102906,102939,103532,104371,105178,105700,105905,105766,105485,105115,104656,104269,104052,104062,104343,104689,104914,105108,105368,105474,105268,104892,104391,103075,102047,101556,101644,101664,101461,101795,101852,102260,101807,101190,100911,101190,101453,101881,101014,99073,98418,97870,97925,98336,98293,98785
"180","172","        Paramedical services (46)","DPMSRX0",171514,172633,173836,174597,175105,177109,177996,181087,183983,187144,190113,192168,195015,197516,199999,202219,204065,206600,209334,210900,213309,215086,217612,217881,220203,222080,224485,226973,226909,227655,228750,231011,233270,236984,240045,241386,242537,243858,244687,245890,246780,249745,251011,251760,253463,255709,257445,259643,262413,264790,267366,270885,275193,278664,280729,283206,283286,285987,288598,290644,293745,296630,299959
"181","173","          Home health care","DHHCRX0",52078,51858,51684,50792,49436,49713,48913,49183,50062,51077,51699,51148,51266,51339,51424,52501,53372,54740,55967,56046,56546,57123,58121,58331,58680,59513,60988,62107,62175,62083,62250,63129,64401,66111,67547,68076,68620,69534,70610,71382,71740,73264,74364,74816,74989,75653,76526,77386,78379,79199,79700,80757,81961,83612,84776,86000,86155,87566,88708,88780,89878,90804,91350
"182","174","          Medical laboratories","DMLBRX0",16634,17008,17479,18034,18661,19325,20023,20747,21465,22049,22469,22717,22832,23012,23318,23742,24262,24783,25322,25845,26226,26644,26961,27264,27379,27574,27818,28180,28605,28992,29197,29228,28884,28827,29121,29736,30336,30944,31480,31876,31934,32168,32412,32453,32520,32546,32560,32927,33643,33817,33889,33946,33883,33546,33349,33188,33442,33874,34333,34921,34839,34896,35142
"183","175","          Other professional medical services","DOMDRX0",102700,103689,104609,105773,107128,108174,109225,111351,112597,114120,116063,118549,121266,123595,125753,126400,126788,127353,128264,129229,130767,131530,132718,132444,134331,135160,135803,136784,136199,136649,137376,138730,140069,142135,143453,143621,143605,143386,142598,142631,143106,144313,144234,144493,145953,147506,148355,149331,150407,151787,153777,156169,159315,161456,162550,163954,163638,164523,165557,166942,168998,170880,173381
"184","176","            Specialty outpatient care facilities and health and allied services","DOMSRX0",67782,68206,68455,68852,69379,69669,70066,71659,72461,73334,74329,75533,76683,77611,78661,78558,79194,79916,80785,81576,82843,83242,83990,83230,84753,85353,85981,87200,87393,88598,89618,90832,91913,93679,94761,94855,95403,95826,95605,96023,96248,97325,97173,97372,98671,99772,100451,100755,101583,102585,103755,105115,107004,108217,108749,109538,109212,109633,110390,111519,113123,114553,116246
"185","177","            All other professional medical services","DOMORX0",34919,35484,36155,36921,37749,38506,39160,39693,40137,40787,41735,43016,44584,45985,47093,47843,47595,47438,47479,47654,47925,48288,48729,49214,49579,49808,49822,49584,48806,48051,47758,47898,48156,48456,48693,48766,48202,47560,46993,46608,46858,46988,47061,47121,47282,47734,47904,48576,48823,49203,50022,51054,52311,53239,53801,54416,54426,54890,55167,55422,55875,56326,57134
"186","178","      Hospital and nursing home services","DHPNRX0",660405,661590,666227,671679,671879,680114,682035,686985,697945,703848,713431,724814,740020,749109,750404,749439,752645,752181,754722,756530,758857,767761,780193,789230,789852,794103,807592,804825,810084,813226,817692,827450,835442,838399,846947,846931,857817,855247,855189,858023,872049,884169,889973,884362,877910,891631,905037,916472,916438,919913,915666,929101,945550,942541,953840,950193,951633,960124,963908,978067,968084,983223,996192
"187","179","        Hospitals (51)","DHSPRX0",534596,536711,541054,546466,547035,553978,556689,561776,572130,578139,588284,598806,613184,622354,623195,620694,621809,619645,621778,624059,626687,634410,644682,653390,655006,657159,668514,664776,669181,673773,678410,688485,693295,695877,702143,701548,711177,708866,710344,713711,728156,738092,743237,736849,730653,743170,755388,764443,765585,768234,762361,777827,792683,790185,800392,798187,798955,808482,811665,824163,814330,828483,839188
"188","180","          Nonprofit hospitals' services to households","DNPHRX0",360317,362565,366159,370026,369223,373461,373750,375692,381086,383303,390036,397664,408290,415421,415540,413208,413964,411734,413089,414672,417237,424454,434390,443678,445412,446018,455256,451010,452355,455158,459186,465591,471318,474663,476236,474002,479412,476234,476491,475670,486750,493130,496641,492556,487718,496991,507157,514174,513561,514761,508033,521176,533216,528299,537429,531696,532551,540536,541535,552363,542581,551033,558554
"189","181","          Proprietary hospitals","DFPHRX0",61039,60587,60576,60975,60852,61653,61718,62062,63985,65228,66719,68372,71540,73706,75000,76054,77170,77320,77702,77683,76908,76997,77466,77606,78672,80759,82516,81796,82970,83119,82491,85377,84080,82892,86945,87775,91051,90760,90532,93023,94659,97267,98873,97499,95270,96638,97007,97567,99343,101128,101807,103465,105290,106881,107352,110536,110394,111867,113879,115309,114785,119883,122417
"190","182","          Government hospitals","DGVHRX0",113243,113562,114322,115468,116963,118867,121223,124024,127061,129610,131530,132772,133356,133228,132656,131434,130676,130592,130988,131705,132542,132959,132827,132106,130923,130382,130741,131969,133856,135497,136734,137519,137898,138323,138962,139772,140714,141872,143322,145018,146747,147695,147724,146794,147665,149541,151224,152702,152680,152344,152521,153186,154177,155004,155611,155955,156011,156078,156250,156492,156964,157567,158219
"191","183","        Nursing homes (52)","DNRSRX0",125910,124924,125194,125200,124823,126113,125304,125159,125767,125669,125149,126032,126903,126861,127301,128808,130888,132587,132994,132517,132216,133395,135556,135872,134865,136974,139110,140105,140966,139477,139289,138927,142153,142527,144819,145403,146653,146392,144848,144311,143893,146074,146735,147517,147272,148467,149644,152028,150850,151677,153317,151239,152821,152313,153393,151936,152621,151511,152112,153753,153657,154585,156854
"192","184","          Nonprofit nursing homes' services to households","DNPNRX0",44226,43972,44200,44348,43971,44504,44300,44374,44909,45011,44933,45325,45584,45587,45752,46315,47116,47692,47747,47507,47222,47550,48198,48810,48578,49880,50552,50254,50671,49583,50144,50337,51015,50873,51064,51267,50819,50671,49976,49542,49127,51322,51547,51489,51209,50805,50702,51585,51027,51083,50626,50722,50867,50300,51778,49302,50247,49812,50237,50978,49431,50498,50553
"193","185","          Proprietary and government nursing homes","DFPNRX0",81684,80953,80995,80853,80853,81609,81004,80785,80859,80658,80216,80707,81319,81274,81549,82493,83773,84895,85248,85010,84994,85845,87358,87063,86288,87095,88558,89851,90296,89894,89146,88591,91138,91654,93756,94136,95833,95721,94872,94769,94766,94753,95188,96028,96063,97661,98942,100443,99823,100594,102691,100516,101953,102013,101616,102633,102374,101699,101875,102774,104226,104087,106300
"194","186","    Transportation services","DTRSRX0",310529,314364,320654,324309,328635,332272,334500,335721,336180,334717,328462,322770,323324,320300,319786,319871,321660,320561,323811,325761,329028,331804,331776,333485,333905,334982,335934,333987,333245,335219,335063,338587,340306,340336,338947,336445,332118,326510,319565,306938,296540,291074,286952,284213,284593,286171,288039,289634,290180,293497,295983,296857,297293,298640,300950,301459,305363,307117,307894,310027,311439,314282,316324
"195","187","      Motor vehicle services","DMVSRX0",235151,239027,242890,245108,247548,249130,249941,250698,250516,250055,247741,245213,241278,238640,236851,236084,236861,237133,238616,239549,240056,241542,243101,244809,246547,247353,247903,248573,248941,248416,248954,250383,251242,252193,252103,249434,246500,242789,236958,227952,217551,210946,207497,205691,207148,209699,211630,213846,215987,217611,219783,220528,220043,221075,223653,223887,225960,227662,228073,229554,230304,233078,234871
"196","188","        Motor vehicle maintenance and repair (60)","DVMRRX0",167615,169002,170431,171802,173038,174228,175423,176572,177509,177886,177660,176772,175414,174582,174614,175471,176899,178093,179112,179725,179673,180025,180693,181536,182447,182810,182594,181628,179198,177238,176567,177108,178111,178303,177327,175075,171486,167478,163431,159210,154096,150165,147258,145365,146989,148735,150222,152040,153212,155126,156685,156885,155551,156018,157592,156494,158070,157567,156394,156723,156738,157138,156407
"197","189","        Other motor vehicle services (61)","DOVSRX0",66784,69050,71281,72093,73224,73622,73319,73006,72033,71292,69399,67882,65492,63812,62132,60639,60053,59201,59654,59965,60496,61593,62463,63314,64132,64569,65321,66926,69695,71128,72341,73234,73085,73854,74769,74362,75064,75411,73629,68765,63447,60781,60239,60333,60158,60966,61407,61792,62784,62443,63052,63620,64549,65133,66156,67611,68093,70477,72231,73469,74265,76830,79629
"198","190","          Motor vehicle leasing","DMVLRX0",38739,40434,42136,42634,43472,43685,43288,42906,41981,41327,40083,38652,36989,35632,34184,32840,31966,30753,30654,30379,30304,30836,31286,31868,32604,32945,33493,35013,37545,38712,39536,40281,40083,40782,41342,41047,41914,42464,40950,37415,33623,31662,31256,31329,30869,31386,31787,31898,31920,31305,31668,32507,33503,34904,36312,37869,39214,41411,43094,44280,45896,48095,50150
"199","191","            Auto leasing","DALERX0",21937,22703,23298,23187,23184,23118,23045,23449,23688,23892,23342,22499,21294,20405,19700,19083,19019,18365,17952,16997,15872,15382,15021,15112,15445,15785,16498,17821,19653,20842,21670,22394,22584,23230,23794,24036,25032,25891,25315,23427,21249,20290,20379,20854,20906,21625,22182,22428,22504,22130,22445,23058,23869,24899,25886,26970,27793,29225,30232,30928,31795,33087,34230
"200","192","            Truck leasing","DTLERX0",16804,17733,18840,19450,20291,20571,20247,19460,18295,17436,16743,16154,15696,15228,14485,13758,12947,12387,12704,13384,14435,15459,16271,16762,17165,17167,17000,17197,17896,17875,17870,17891,17503,17556,17551,17013,16884,16575,15636,13988,12374,11372,10878,10475,9963,9761,9606,9470,9416,9175,9223,9449,9634,10005,10426,10899,11421,12186,12862,13352,14102,15009,15920
"201","193","          Motor vehicle rental","DMVRRX0",9361,9541,9694,9808,9884,9951,10017,10079,10132,10182,9794,10127,9846,9863,9862,9840,10001,10240,10606,11094,11669,12183,12575,12824,12902,13021,13238,13297,13486,13729,14078,14158,14148,14187,14558,14523,14489,14501,14509,13548,12472,12119,12187,12287,12602,12875,12776,12789,13527,13726,14098,14156,14603,14312,14376,14656,14094,14619,14938,15140,14549,15184,16169
"202","194","          Parking fees and tolls","DPFTRX0",17923,18134,18333,18513,18662,18783,18882,18952,18975,18913,18760,18513,18195,17964,17864,17877,18144,18443,18677,18821,18874,18899,18910,18901,18865,18828,18798,18767,18735,18725,18749,18802,18866,18890,18871,18801,18668,18457,18167,17791,17354,17008,16793,16712,16675,16707,16849,17101,17317,17364,17257,16990,16590,16233,15964,15780,15667,15594,15557,15554,15561,15566,15576
"203","195","      Public transportation","DPUBRX0",75867,75970,78275,79632,81391,83286,84602,85089,85728,84821,81047,77901,82220,81764,83002,83853,84888,83527,85296,86310,89039,90329,88758,88768,87484,87758,88157,85641,84594,86961,86312,88351,89196,88313,87059,87192,85824,83957,82771,79149,79012,80141,79448,78493,77429,76508,76470,75908,74458,76097,76452,76591,77419,77733,77565,77823,79562,79663,80012,80653,81279,81431,81718
"204","196","        Ground transportation (63)","DGRDRX0",30531,30903,31036,31588,31925,32300,32580,33038,33971,34377,34032,33864,33849,33294,32551,32091,32065,32062,32140,32348,33302,33598,33801,34401,34204,34116,34529,34923,35433,35939,36160,36628,36963,36518,36109,36329,35981,36732,36828,35395,34864,34581,34431,34276,34213,34182,33888,34211,34553,34784,34847,35347,35780,35471,35472,35359,35643,36005,36153,36313,36135,35519,35970
