"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRG3",5.156,5.289,5.419,5.486,5.549,5.581,5.71,5.931,6.093,6.254,6.641,7.216,7.571,7.958,9.053,10.91,12.15,13.215,14.002,14.465,15.754,17.661,19.67,21.853,23.671,25.695,27.663,29.723,32.129,34.85,37.542,40.443,43.573,46.727,49.837,52.728,55.989,58.748,61.766,65.721,69.674,74.235,78.774,83.875,89.001,94.324,100,105.722,111.218,117.275,122.934,127.653,132.167
"296","289","          Elementary and secondary schools","DESCRG3",4.332,4.445,4.553,4.607,4.661,4.688,4.796,4.985,5.119,5.255,5.577,6.062,6.359,6.682,7.665,9.342,10.431,11.305,11.989,12.288,13.357,14.976,16.742,18.833,20.613,22.629,24.631,26.736,29.232,31.992,34.749,37.833,40.981,44.207,47.387,50.211,53.642,56.457,59.593,63.708,67.727,72.403,77.095,82.449,87.93,93.85,100,105.801,111.641,118.096,124.253,129.246,134.13
"297","290","          Day care and nursery schools","DNSCRG3",10.798,11.019,11.326,11.544,11.653,11.735,12.034,12.378,12.782,13.093,13.994,15.143,15.929,16.779,17.857,19.894,21.826,24.185,25.514,27.517,30.283,33.932,37.032,38.433,39.424,40.563,41.607,42.879,44.234,46.214,48.237,50.032,52.832,55.454,58.141,61.211,63.743,66.234,68.767,72.12,75.823,79.975,84.008,88.296,92.306,95.785,100,105.476,109.95,114.847,119.037,122.926,126.296
"298","291","        Commercial and vocational schools (99)","DVEDRG3",11.552,11.67,11.667,11.826,11.981,12.247,12.559,13.042,13.501,13.92,14.497,15.069,15.486,16.072,16.895,19.885,21.648,22.977,24.612,26.478,29.321,33.579,36.994,38.562,39.46,40.659,41.448,42.278,43.924,46.393,48.25,49.444,51.067,52.33,53.169,54.705,56.544,59.044,61.146,63.362,68.017,71.854,75.752,79.679,85.54,92.346,100,105.685,109.786,114.801,119.804,124.075,130.284
"299","292","      Professional and other services (121)","DPRSRG3",7.723,7.919,8.076,8.218,8.391,8.693,9.011,9.242,9.62,10.001,10.659,11.498,12.252,13.108,14.074,15.345,16.463,17.475,18.596,19.875,21.631,24.547,27.657,30.894,34.559,37.373,39.557,41.962,44.873,46.751,49.242,52.421,55.295,57.908,60.21,62.478,64.84,67.428,70.251,73.522,76.957,80.661,84.576,88.671,92.398,95.985,100,104.657,109.015,113.537,116.604,120.391,123.919
"300","293","        Legal services","DGALRG3",6.093,6.273,6.401,6.494,6.627,6.976,7.377,7.597,7.992,8.3,9.009,9.979,10.821,11.878,12.982,14.044,15.015,16.031,17.146,18.337,19.899,22.548,25.568,28.978,32.992,36.047,38.41,40.954,44.208,45.925,48.576,52.062,54.909,57.683,59.971,61.816,63.78,66.016,68.7,72.121,75.836,79.986,84.019,88.315,92.31,95.804,100,104.448,108.785,113.317,116.404,120.598,124.506
"301","294","        Accounting and other business services","DPRORG3",7.765,7.966,8.032,8.138,8.241,8.349,8.513,8.747,9.057,9.474,9.955,10.533,10.974,11.276,11.989,13.295,14.455,15.37,16.441,17.599,19.129,21.573,24.242,27.024,30.126,32.533,34.516,36.545,38.603,41.016,43.409,46.496,50.227,53.091,56.113,60.65,63.915,67.184,70.318,73.925,77.312,81.153,84.722,88.84,92.358,96.08,100,105.715,109.964,115.1,117.79,121.021,124.286
"302","295","          Tax preparation and other related services","DTAPRG3",7.058,7.267,7.225,7.294,7.411,7.479,7.631,7.812,8.073,8.397,8.87,9.418,9.815,10.105,10.756,11.952,12.977,13.706,14.58,15.466,16.76,19.009,21.571,24.38,27.604,30.114,32.122,34.21,36.293,38.761,41.087,44.103,47.742,50.476,53.393,57.946,61.293,64.802,67.968,72.048,75.775,80.058,83.735,88.085,91.844,95.742,100,106.717,111.237,116.799,119.788,123.153,126.643
"303","296","          Employment agency services","DGENRG3",9.92,10.087,10.195,10.374,10.41,10.583,10.744,10.997,11.312,11.924,12.486,13.263,13.893,14.298,15.182,16.838,18.281,19.311,20.604,21.886,23.655,26.852,30.417,34.432,39.267,42.821,45.61,48.601,51.584,55.075,58.385,62.627,67.72,71.746,75.883,82.401,84.776,85.488,86.968,88.25,90.489,92.08,93.887,95.467,96.523,97.886,100,99.887,102.186,102.902,103.637,104.25,104.697
"304","297","          Other personal business services","DTHERG3",10.501,10.846,11.02,11.149,11.361,11.508,11.774,12.194,12.749,13.372,13.954,14.578,15.081,15.397,16.357,18.036,19.723,21.527,23.445,25.891,28.479,31.574,34.565,36.836,38.655,40.418,42.181,43.634,45.238,46.997,49.346,52.242,55.697,58.572,61.513,64.729,68.008,71.181,74.631,77.483,80.203,83.252,86.807,90.535,93.559,96.98,100,103.398,107.15,111.752,113.604,116.788,119.656
"305","298","        Labor organization dues","DUNSRG3",14.541,14.618,14.688,14.835,15.048,15.342,15.703,15.999,16.43,17.088,17.962,18.975,19.996,20.945,22.039,25.309,27.707,29.391,31.351,33.527,37.104,42.453,46.548,48.423,49.88,51.189,52.213,53.952,55.699,58.39,60.637,62.239,63.984,65.579,66.742,67.984,69.793,72.701,74.906,77.388,80.154,82.715,87.992,90.359,92.642,96.064,100,103.257,106.461,107.705,109.311,112.431,114.609
"306","299","        Professional association dues","DAXSRG3",6.092,6.273,6.397,6.493,6.622,6.991,7.374,7.598,7.998,8.3,9.007,9.977,10.825,11.871,12.974,14.052,15.039,16.014,17.152,18.346,19.871,22.534,25.554,28.97,32.98,36.025,38.394,40.923,44.205,45.899,48.561,52.058,54.882,57.67,59.952,61.802,63.764,65.984,68.68,72.104,75.833,79.971,84,88.292,92.295,95.768,100,104.405,108.753,113.242,116.378,120.547,124.449
"307","300","        Funeral and burial services","DFUNRG3",9.486,9.759,10.032,10.301,10.575,10.801,10.935,11.163,11.483,11.937,12.437,12.932,13.434,13.888,14.475,15.477,16.432,17.154,17.905,19.081,20.683,23.477,26.574,30.167,34.252,37.416,39.846,42.466,45.371,47.099,49.149,52.166,55.385,57.897,60.565,63.537,67.289,70.617,74.301,77.153,79.828,82.116,85.06,89.214,92.758,96.728,100,105.106,110.459,116.113,120.647,123.438,126.153
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRG3",13.771,14.317,14.432,14.643,14.993,15.343,15.787,16.573,17.398,18.23,19.194,20.153,20.798,21.178,22.232,24.483,26.493,28.237,30.091,32.726,36.226,40.31,44.225,47.132,49.232,51.646,53.94,55.938,57.989,60.449,63.385,65.906,68.339,70.141,72.16,73.947,75.599,77.247,79.634,80.912,83.045,85.8,89.307,91.394,93.603,96.323,100,103.587,107.292,112.528,116.105,118.687,121.124
"309","302","        Personal care services","DPCSRG3",13.962,14.513,14.589,14.793,15.215,15.706,16.262,17.186,18.086,19.092,20.206,21.249,21.906,22.341,23.552,25.756,27.754,29.481,31.389,33.846,37.117,40.875,44.506,47.246,49.21,51.562,53.817,55.782,57.701,60.145,62.999,65.384,67.699,69.554,71.586,73.321,75.143,76.891,79.401,80.723,82.924,85.847,89.341,91.353,93.586,96.263,100,103.569,107.281,112.411,115.869,118.308,120.624
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRG3",14.665,15.31,15.364,15.596,16.064,16.645,17.288,18.338,19.322,20.486,21.766,22.93,23.627,24.15,25.617,27.828,29.687,31.494,33.536,35.819,38.787,42.055,45.209,47.637,49.333,51.556,53.723,55.627,57.226,59.632,62.278,64.261,66.253,68.236,70.337,71.907,74.452,76.671,79.746,81.44,84.091,87.399,90.425,92.408,94.767,96.953,100,102.854,106.235,109.718,111.645,112.639,113.22
"311","304","          Miscellaneous personal care services","DMPCRG3",13.408,13.638,13.823,13.937,14.225,14.406,14.7,15.278,15.993,16.578,17.282,18.053,18.643,18.87,19.51,21.758,24.106,25.69,27.342,30.183,34.059,38.719,43.153,46.377,48.742,51.285,53.665,55.712,58.099,60.586,63.704,66.582,69.307,70.975,72.914,74.835,75.878,77.142,79.063,79.991,81.729,84.267,88.227,90.266,92.373,95.545,100,104.329,108.403,115.404,120.7,124.992,129.678
"312","305","        Clothing and footwear services","DCFSRG3",13.084,13.605,13.751,13.962,14.226,14.42,14.733,15.344,16.057,16.661,17.423,18.257,18.867,19.171,20.001,22.27,24.265,26.016,27.77,30.716,34.653,39.393,43.916,47.198,49.632,52.219,54.628,56.724,59.162,61.682,64.87,67.798,70.589,72.243,74.226,76.187,77.26,78.552,80.507,81.633,83.519,85.645,89.201,91.605,93.701,96.637,100,103.685,107.353,113.176,117.438,120.858,124.024
"313","306","          Laundry and drycleaning services","DDRYRG3",13.144,13.845,14.046,14.333,14.728,14.988,15.292,15.907,16.597,17.2,17.989,18.739,19.355,19.549,20.198,22.583,24.984,26.647,28.325,31.302,35.275,40.116,44.697,48.049,50.54,53.159,55.616,57.758,60.238,62.793,66.051,69.024,71.911,73.587,75.587,77.587,78.676,79.994,81.983,83.324,85.364,87.077,90.223,92.992,95.091,97.764,100,103.025,106.296,110.973,114.22,116.798,118.472
"314","307","          Clothing repair, rental, and alterations","DLGRRG3",12.859,13.214,13.292,13.435,13.557,13.681,14.004,14.617,15.364,15.977,16.713,17.681,18.29,18.761,19.854,22,23.522,25.379,27.215,30.139,34.042,38.682,43.151,46.363,48.743,51.296,53.659,55.711,58.108,60.59,63.713,66.592,69.307,70.939,72.906,74.829,75.884,77.152,79.072,79.991,81.728,84.26,88.222,90.265,92.359,95.545,100,104.345,108.419,115.413,120.724,125.014,129.699
"315","308","          Repair and hire of footwear","DSCLRG3",13.413,13.643,13.828,13.942,14.222,14.411,14.701,15.275,15.995,16.581,17.288,18.06,18.651,18.876,19.492,21.757,24.096,25.684,27.332,30.161,34.036,38.693,43.126,46.362,48.743,51.288,53.656,55.719,58.107,60.586,63.724,66.618,69.35,70.967,72.903,74.828,75.904,77.15,79.087,80.014,81.744,84.268,88.249,90.289,92.37,95.568,100,104.334,108.413,115.43,120.729,125,129.692
"316","309","      Social services and religious activities (120)","DSOCRG3",14.469,14.684,14.812,14.962,15.212,15.401,15.747,16.149,16.559,17.249,18.31,18.998,19.972,20.912,22.083,25.189,27.447,29.04,30.916,32.985,36.215,40.904,44.762,46.749,47.964,49.556,50.674,52.072,53.962,57.008,59.737,62.303,64.983,67.14,69.059,70.996,73.27,75.412,77.456,79.894,82.305,86.027,88.449,91.156,93.745,96.172,100,103.313,106.644,109.448,110.952,113.029,115.772
"317","310","        Child care","DCHCRG3",11.205,11.353,11.437,11.518,11.725,11.81,12.056,12.341,12.632,13.168,13.99,14.481,15.217,15.957,16.829,19.174,20.9,22.14,23.544,25.098,27.555,31.122,34.126,35.618,36.475,37.65,38.547,39.605,41.188,44.053,46.612,49.738,53.05,55.685,58.337,61.335,63.842,66.287,68.794,72.128,75.835,79.987,84.013,88.303,92.314,95.787,100,105.476,109.956,114.842,119.048,122.917,126.283
"318","311","        Social assistance","DSCWRG3",16.197,16.411,16.532,16.649,16.948,17.072,17.428,17.839,18.26,19.035,20.223,20.933,21.997,23.066,24.326,27.717,30.212,32.004,34.034,36.279,39.832,44.988,49.331,51.487,52.726,54.424,55.722,57.25,59.181,62.192,65.071,67.517,70.028,72.043,73.553,74.94,77.051,78.993,80.665,82.729,84.627,88.185,89.901,92.154,94.36,96.354,100,102.699,105.627,108.054,108.932,110.442,112.945
"319","312","          Homes for the elderly","DELDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.889,61.886,64.751,67.185,69.683,71.689,73.189,74.569,76.67,78.595,80.269,82.322,84.212,87.754,89.281,91.43,93.684,95.607,100,102.29,106.085,108.018,108.399,109.785,111.16
"320","313","          Residential mental health and substance abuse","DMENRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.485,61.461,64.306,66.723,69.205,71.196,72.687,74.058,76.145,78.061,79.739,81.81,83.674,87.191,88.705,90.859,93.566,95.561,100,102.709,105.124,108.069,109.08,110.365,109.72
"321","314","          Individual and family services","DFAMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.839,62.884,65.795,68.268,70.807,72.845,74.372,75.775,77.91,79.875,81.56,83.642,85.562,89.162,90.935,93.088,95.033,96.795,100,102.804,105.442,107.88,108.923,110.53,114.395
"322","315","          Vocational rehabilitation services","DVOCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.155,62.166,65.043,67.488,69.998,72.012,73.521,74.909,77.019,78.961,80.629,82.69,84.589,88.137,90.382,92.856,94.651,96.919,100,102.542,105.722,107.685,107.848,108.83,110.242
"323","316","          Community food and housing/emergency/other relief services","DCFORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.825,59.717,62.481,64.83,67.241,69.176,70.626,71.958,73.986,75.852,77.459,79.452,81.272,84.692,86.753,89.896,92.587,95.719,100,103.392,107.008,109.671,111.032,113.675,118.47
"324","317","          Other social assistance, not elsewere classified","DSIARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.029,63.083,66.003,68.484,71.031,73.075,74.607,76.015,78.156,80.128,81.82,83.906,85.836,89.446,90.705,92.968,95.414,97.479,100,102.561,105.339,107.839,108.79,109.777,113.586
"325","318","        Social advocacy and civic and social organizations","DSADRG3",15.56,15.888,16.057,16.308,16.589,16.996,17.44,17.968,18.494,19.275,20.399,21.288,22.408,23.392,24.569,27.815,30.17,31.882,33.865,36.098,39.784,44.718,48.965,51.016,52.213,53.871,54.924,56.341,58.257,61.166,63.793,65.831,68.103,69.95,71.767,73.267,75.478,77.462,79.132,81.386,83.419,86.522,88.909,91.296,93.468,96,100,102.834,106.076,107.885,109.088,111.053,114.429
"326","319","        Religious organizations' services to households","DRELRG3",14.587,14.733,14.869,14.998,15.2,15.328,15.659,16.044,16.449,17.092,18.149,18.867,19.854,20.703,22.055,25.55,27.844,29.283,31.526,33.993,37.015,42.06,45.212,47.56,49.539,51.768,52.731,54.365,56.736,59.868,61.841,62.438,64.062,65.221,66.394,68.268,70.585,72.894,76.334,78.357,80.6,85.437,88.407,90.399,92.609,95.812,100,103.808,107.988,109.456,109.236,112.649,115.091
"327","320","        Foundations and grantmaking and giving services to households","DGIVRG3",13.598,13.874,13.876,14.126,14.38,14.25,14.64,14.99,15.449,15.886,17.048,17.721,18.576,19.416,21.186,23.631,26.153,27.754,29.005,30.071,34.114,38.451,42.387,44.645,46.787,47.979,48.865,50.639,52.077,55.129,57.324,59.83,60.341,63.054,65.129,66.69,68.28,70.842,73.148,75.73,78.922,82.76,86.734,89.394,92.456,95.638,100,103.777,108.454,110.904,111.209,114.079,115.888
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRG3",12.31,12.944,13.115,13.43,13.668,14.066,14.65,15.379,15.954,17.302,18.511,19.928,21.085,22.067,23.421,25.703,27.782,30.722,32.93,35.387,38.745,42.017,45.717,48.644,50.128,51.887,53.824,55.277,56.476,58.319,59.815,61.389,64.715,67.024,68.993,70.29,72.613,74.762,76.676,78.805,81.208,84.717,88.398,91.341,93.761,96.114,100,103.647,106.45,109.926,110.547,110.774,111.824
"329","322","        Domestic services","DDMSRG3",12.016,12.741,12.896,13.237,13.495,13.936,14.585,15.391,15.951,17.516,18.752,20.273,21.463,22.514,24.091,26.484,28.519,32.283,34.824,37.312,41.016,44.354,48.233,51.022,52.119,53.546,55.212,56.475,57.681,59.624,61.359,63.059,66.522,68.627,70.411,71.786,74.18,76.221,78.174,80.254,82.53,85.907,89.128,92.361,94.637,96.809,100,103.532,107.359,111.36,112.602,113.096,114.322
"330","323","        Moving, storage, and freight services","DMSERG3",14.835,15.181,15.535,15.843,16.111,16.379,16.773,17.33,17.913,18.857,20.228,21.82,22.961,23.884,24.897,27.14,29.631,32.015,34.262,37.535,41.243,44.536,48.487,51.431,52.584,53.929,55.719,56.915,57.956,59.835,61.322,62.737,66.504,68.871,70.752,72.065,74.704,76.861,78.824,81.046,83.173,86.406,89.963,92.273,94.407,95.647,100,102.453,102.83,103.209,100.435,99.282,98.968
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERG3",14.92,15.114,15.308,15.605,15.802,16.051,16.391,16.881,17.622,18.501,19.585,20.615,21.297,22.089,23.005,24.724,26.406,27.624,28.819,30.272,32.288,34.733,37.562,40.431,42.462,44.786,46.717,48.181,49.583,51.031,51.895,53.609,55.29,58.1,61.079,62.125,63.278,65.809,67.509,69.132,72.718,75.714,80.959,84.895,88.9,94.565,100,104.97,109.346,115.319,119.4,123.295,127.946
"332","325","        Repair of household appliances","DERERG3",11.394,11.689,11.887,11.936,11.938,12.135,12.48,13.066,13.706,14.491,15.716,16.948,18.516,19.304,20.482,22.94,25.736,27.61,28.929,30.321,32.332,34.774,37.571,40.439,42.488,44.774,46.727,48.176,49.595,51.059,51.906,53.622,55.33,58.133,61.143,62.159,63.332,65.882,67.536,69.155,72.75,75.766,81.035,84.944,88.953,94.607,100,105.023,109.373,115.381,119.466,123.315,127.971
"333","326","        Other household services","DMHSRG3",11.744,11.911,12.029,12.248,12.489,12.793,13.276,13.625,14.073,14.692,15.435,16.111,17.356,18.392,19.636,22.174,23.73,25.597,27.463,29.516,32.465,36.507,40.07,43.303,45.879,48.859,51.822,54.257,55.543,57.354,58.754,60.121,63.71,66.003,67.784,69.04,71.567,73.618,75.515,78.015,80.228,84.824,88.707,91.327,93.543,95.985,100,104.844,107.959,113.25,115.356,115.352,116.531
"334","327","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","328","        Foreign travel by U.S. residents (129)","DFTRRG3",19.129,18.747,18.892,19.414,19.893,20.294,21.11,21.886,21.729,22.684,23.192,23.535,25.748,27.344,29.916,36.211,39.824,40.611,43.066,44.892,49.986,56.258,59.666,57.245,55.276,53.195,51.592,56.777,55.577,58.978,59.603,63.246,67.254,70.417,70.808,72.935,75.101,77.054,77.981,76.182,78.318,78.896,79.809,82.522,87.676,93.653,100,104.244,111.365,120.878,112.187,118.771,124.66
"336","329","          Passenger fares for foreign travel","DAFTRG3",19.692,18.685,18.59,19.116,19.417,19.643,20.298,20.744,20.356,21.312,21.658,21.697,23.476,24.813,24.719,30.034,32.483,33.96,36.274,34.506,36.98,42.83,46.528,48.064,48.262,47.169,45.585,47.27,48.735,51.178,51.791,56.593,62.489,63.913,64.05,65.003,68.363,69.786,72.581,73.052,75.576,78.78,84.017,87.392,91.52,93.572,100,105.458,111.085,122.377,108.588,120.866,129.593
"337","330","          U.S. travel outside the United States","DUSTRG3",18.931,18.93,19.229,19.753,20.351,20.871,21.799,22.805,22.805,23.767,24.39,24.951,27.486,29.276,33.96,41.009,45.573,45.758,48.306,53.201,60.567,66.985,69.903,63.668,59.636,56.826,55.211,62.619,59.751,63.728,64.362,67.331,70.289,74.478,75.025,77.894,79.29,81.573,81.301,78.047,79.927,78.782,76.943,79.242,85.031,93.712,100,103.297,111.641,119.746,114.922,117.186,120.772
"338","331","          U.S. student expenditures","DUSSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.812,63.39,59.537,56.745,55.184,62.54,59.68,63.653,64.269,67.273,70.201,74.397,74.917,77.816,79.124,81.46,81.178,77.947,79.815,78.723,76.967,79.323,85.016,93.735,100,103.293,111.414,119.462,114.71,116.946,120.523
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRG3",14.574,14.75,14.933,15.088,15.256,15.495,15.725,16.185,16.656,17.344,18.265,19.372,20.113,20.799,21.977,23.882,25.723,27.632,29.528,32.094,35.188,39.491,43.65,47.17,49.552,52.346,54.859,56.682,59.46,61.807,63.893,67.446,71.754,73.593,74.632,75.348,76.523,78.534,80.462,81.511,83.689,87.668,88.455,88.578,91.274,95.305,100,104.743,108.989,114.267,111.285,115.147,121.155
"340","333","          Foreign travel in the United States","DFTURG3",16.194,16.389,16.593,16.765,16.951,17.217,17.472,17.984,18.506,19.271,20.295,21.524,22.348,23.111,24.419,26.536,28.582,30.703,32.809,35.661,39.098,43.879,48.5,52.226,54.599,57.456,60.017,61.747,64.658,66.954,68.868,72.544,77.045,78.558,79.19,79.546,80.493,82.396,84.196,85.006,87.13,91.317,91.555,90.606,92.45,95.69,100,104.398,108.212,113.19,108.459,111.774,117.613
"341","334","          Medical expenditures of foreigners","DMEFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.026,20.605,22.975,24.995,26.616,28.232,30.184,32.953,36.698,40.688,44.765,48.811,52.864,55.924,58.659,61.281,63.304,65.355,68.078,72.135,76.885,83.563,89.741,94.993,100,106.321,113.256,121.075,128.77,137.792,145.387
"342","335","          Expenditures of foreign students in the United States","DEFSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.858,24.996,26.641,28.582,30.484,32.24,34.143,36.271,38.691,41.368,44.532,47.942,51.11,53.769,56.232,58.996,61.93,64.526,67.077,69.864,73.437,78.419,84.93,93.017,100,106.73,113.472,120.484,127.679,134.333,141.111
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRG3",49.469,46.3,46.765,47.428,48.189,48.409,49.76,51.587,53.261,55.299,58.741,61.288,64.65,67.295,71.619,81.958,89.546,94.29,100.753,107.406,117.967,129.175,136.036,129.745,120.737,115.96,113.669,110.277,108.474,107.58,101.124,93.224,86.71,79.295,75.345,75.277,75.342,76.694,79.886,85.133,88.159,93.017,97.315,98.099,96.591,96.201,100,102.059,103.546,104.295,101.149,100.071,102.391
"344","337","    Gross output of nonprofit institutions (133)","DNPERG3",10.811,11.082,11.288,11.501,11.778,12.063,12.414,12.845,13.433,14.14,15.062,16.045,16.815,17.608,18.735,20.988,23.099,24.893,26.752,28.785,31.674,35.46,39.333,42.395,44.679,46.837,48.715,50.416,52.627,55.728,58.789,61.572,64.43,66.768,68.823,70.802,72.81,74.808,76.723,79.02,81.18,84.378,87.612,90.204,93.109,96.179,100,103.621,106.839,109.591,111.072,113.103,115.617
"345","338","      Health, gross output","DHLGRG3",8.739,9.092,9.343,9.557,9.869,10.222,10.538,10.93,11.651,12.43,13.305,14.352,14.952,15.662,16.562,18.184,20.21,22.072,23.908,25.978,28.614,31.927,35.839,39.322,41.893,44.186,46.402,48.124,50.405,53.648,57.048,60.286,63.635,66.333,68.713,70.82,72.723,74.469,76.054,78.328,80.314,83.015,86.754,89.84,93.004,96.278,100,103.522,106.556,109.577,111.716,113.654,115.83
"346","339","        Outpatient services, gross output","DOUGRG3",9.75,9.996,10.237,10.546,10.793,11.046,11.417,12.129,12.947,13.693,14.633,15.742,16.778,17.302,17.911,19.547,21.975,24.451,26.72,28.808,30.928,34.367,37.705,40.426,43.033,45.166,48.208,50.996,53.019,56.213,59.435,62.774,66.054,68.917,71.325,74.227,75.744,76.982,79.918,81.897,83.302,85.4,87.796,89.713,92.437,95.421,100,103.354,106.473,109.64,111.677,113.584,116.694
"347","340","        Nonprofit hospitals, gross output","DHSORG3",8.543,8.898,9.149,9.353,9.662,10.019,10.328,10.684,11.39,12.153,13.017,14.04,14.599,15.311,16.221,17.797,19.787,21.619,23.439,25.475,28.124,31.427,35.395,38.954,41.525,43.83,46.006,47.654,49.96,53.257,56.684,59.849,63.21,65.911,68.287,70.264,72.151,73.959,75.349,77.654,79.717,82.49,86.452,89.724,92.97,96.336,100,103.59,106.617,109.608,111.8,113.792,115.906
"348","341","        Nonprofit nursing homes, gross output","DNXORG3",9.988,10.469,10.719,10.918,11.38,11.843,12.175,12.568,13.363,14.352,15.277,16.537,17.265,18.064,19.052,21.161,23.223,24.874,26.465,28.848,31.619,34.797,38.238,41.153,43.542,45.718,47.506,48.963,51.151,53.775,57.003,60.815,64.053,66.47,68.815,71.161,73.732,75.617,77.108,79.485,81.553,84.394,87.974,91.05,94.133,97.011,100,103.147,106.123,109.22,110.981,112.436,113.846
"349","342","      Recreation services, gross output","DRCGRG3",14.541,15.007,15.34,15.753,16.13,16.817,17.508,18.262,19.077,20.196,21.468,22.922,24.153,25.017,26.216,28.82,31.221,32.926,34.612,36.71,40.008,43.661,46.764,48.99,50.747,52.532,53.941,55.658,57.493,59.553,62.524,64.964,67.461,68.916,70.643,72.406,74.788,77.126,79.103,81.287,84.549,88.346,89.94,91.037,93.717,95.798,100,104.1,106.753,109.29,110.386,111.122,112.893
"350","343","      Education services, gross output","DEDGRG3",10.945,11.207,11.448,11.746,12.039,12.317,12.74,13.311,13.853,14.489,15.383,16.469,17.361,18.251,19.776,22.511,24.561,26.407,28.104,29.702,32.771,36.524,40.374,42.944,45.071,47.253,49.116,50.885,53.144,56.013,58.772,61.554,64.086,66.138,67.901,70.02,72.079,74.549,76.84,79.405,81.818,85.442,88.122,89.908,93.039,96.159,100,104.426,107.727,110.917,111.69,113.498,116.927
"351","344","      Social services, gross output","DSSGRG3",15.721,15.928,16.045,16.159,16.449,16.569,16.915,17.314,17.723,18.474,19.627,20.317,21.35,22.387,23.61,26.901,29.323,31.062,33.032,35.212,38.659,43.664,47.878,49.972,51.174,52.822,54.082,55.565,57.469,60.488,63.352,65.903,68.512,70.594,72.219,73.773,75.931,77.931,79.684,81.87,83.948,87.581,89.54,91.922,94.124,96.391,100,102.852,105.91,108.263,109.062,111.009,114.146
"352","345","      Religious organizations, gross output","DREORG3",14.587,14.734,14.87,14.999,15.2,15.328,15.659,16.045,16.45,17.093,18.149,18.867,19.854,20.703,22.056,25.55,27.845,29.284,31.527,33.994,37.015,42.061,45.213,47.561,49.533,51.765,52.727,54.362,56.737,59.872,61.844,62.441,64.065,65.223,66.398,68.272,70.588,72.892,76.341,78.364,80.611,85.461,88.419,90.409,92.611,95.82,100,103.804,107.984,109.452,109.232,112.645,115.087
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORG3",13.595,13.872,13.874,14.123,14.378,14.248,14.638,14.987,15.447,15.883,17.045,17.717,18.573,19.412,21.182,23.626,26.148,27.749,28.999,30.066,34.107,38.445,42.38,44.637,46.779,47.971,48.856,50.63,52.067,55.12,57.314,59.821,60.33,63.043,65.118,66.678,68.273,70.798,73.121,75.796,78.985,82.858,86.807,89.42,92.426,95.618,100,103.752,108.476,110.907,111.197,114.059,115.881
