"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"209","193","      By banks, credit agencies, and investment companies for depositor services and by property and casualty insurance carriers (146+159)","W560RC1",2.1,1.8,1.5,1.3,1,1,1.2,1.3,1.4,1.3,1.4,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.4,2.5,2.6,2.7,2.9,3.2,3.8,4.1,4.6,5.1,5.3,5.3,5.9,6.6,6.8,7,7,8,8.2,8.9,10.1,11,14.7,18.6,21.4,23.1,23.1,27.7,42.7,38.3,41.2,45,43.2,42.8,41.8,63.3,97.5,89.5,108.1,120.7,120.4,115.7,104.2,120.4,145.4,161.1,156.5,158.6,153.2,170.1,188.5,200.8,218.3,225,234.1,246.4,231.3,249.9,239.3,223.9,275,320.8
"210","194","      By private enterprises for borrower services (-154)","W561RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.5,-0.7,-0.8,-0.9,-1,-1.3,-1.4,-1.5,-1.5,-1.6,-1.9,-2,-2.1,-2.3,-2.5,-2.5,-2.7,-2.9,-3,-3.4,-4.1,-4.3,-5.1,-5.4,-5.1,-4.2,-4.7,-8.3,-10.1,-2.7,-8,-10.3,-15.7,-24.2,-30.8,-38.4,-28.1,-11.8,-24.1,-17.6,-21.7,-33.6,-43.4,-52.2,-45.5,-35.5,-34.8,-45.2,-54,-61.9,-58.3,-61.2,-64.8,-66.9,-83.4,-79.8,-82.3,-102.4,-107.5,-132.2,-164.1,-151.8,-126.9
"211","195","    Less:  Imputed interest received","W563RC1",0.9,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.1,-0.1,-0.1,-0.3,-0.5,-0.4,-0.5,-0.5,-0.5,-0.7,-0.8,-0.9,-0.8,-0.9,-0.9,-1.1,-1.3,-1.4,-1.9,-2.5,-2.3,-3,-2.5,-0.4,2.3,1.9,-3.6,-4.6,11.6,1.6,-1.1,-8.1,-20.8,-28.4,-37.1,-9,19.2,-1.4,6.6,-0.9,-15.2,-29.6,-45.7,-29.3,-8.1,-8.1,-26.5,-35.3,-46.8,-35.9,-32.6,-34.5,-31.1,-51.3,-36.5,-33.3,-64,-66.8,-110.5,-157.5,-119.8,-68.3
"212","196","      By banks for borrower services (-151)","W358RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8,-7.1,-5.5,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.4,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-26.1,-38.6,-49,-61.1,-70.5,-60.3,-47,-46.9,-61.3,-72,-83,-78.2,-80.7,-84.3,-86.1,-105.3,-99.2,-103.7,-129.1,-135.8,-164.1,-200.3,-184.1,-154.3
"213","197","      By other private enterprises (149+162)","W565RC1",1,0.8,0.7,0.6,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.9,1,1,1,1.1,1.1,1.3,1.4,1.5,1.6,1.8,1.9,1.9,2.2,2.5,2.5,2.6,2.6,2.8,2.9,3.1,3.6,4,5.3,6.7,7.8,8.2,7.6,9,15.2,12.8,13.5,14.3,13.8,15.2,16.5,28.4,34.8,30.2,32.6,37.7,33.8,31.5,24.7,31,38.9,38.8,34.8,36.7,36.2,42.3,48.1,49.8,54.9,53.9,62.7,70.5,65.1,69,53.6,42.9,64.3,85.9
"214","198","  Personal interest payments","A2109C1",-1,-1,-1,-1,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.8,-0.8,-0.9,-0.9,-0.9,-1,-1.3,-1.5,-1.7,-1.9,-2.3,-2.6,-3,-3.4,-3.9,-4.6,-5.3,-5.9,-6.7,-7.5,-8.2,-9.2,-9.9,-11,-12.1,-13.2,-14,-15.3,-16.9,-18.3,-20.3,-23.4,-27.7,-31.8,-34.4,-40.4,-47.9,-58,-71.1,-84.8,-98.9,-112.3,-122.3,-140.3,-155.4,-172.2,-184.3,-197.6,-214.3,-227.2,-232.3,-234,-229.5,-231.4,-252,-262.2,-277.6,-288.8,-306.7,-336,-356.7,-372.5,-381.7,-406.3,-459.5,-529.3,-577.9,-590.5
"215","199","    Owner-occupied housing (-186+156)","A2020C1",-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.8,-0.8,-0.9,-1.1,-1.3,-1.4,-1.6,-1.9,-2.2,-2.5,-2.9,-3.3,-3.9,-4.6,-5.3,-5.9,-6.6,-7.3,-8.2,-8.9,-9.8,-10.7,-11.5,-12.2,-13.2,-14.6,-16,-18.3,-21.1,-24.1,-27.6,-32.2,-36.2,-42.8,-50.5,-60.4,-71.8,-83.5,-99.6,-113.1,-126,-142.7,-157.1,-166.5,-176.8,-190.8,-205.7,-212.7,-214.4,-205.6,-205.9,-222.9,-232.3,-247.3,-258.8,-277.2,-304.4,-326.1,-342.4,-349.5,-373.2,-425.2,-492.5,-543.1,-559.3
"216","200","    Interest paid by nonprofit institutions serving households (-143)","A2021C1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.8,-0.9,-1.1,-1.4,-1.4,-1.5,-1.9,-2.3,-3,-3.7,-4.8,-5.9,-7.7,-7.5,-8.6,-8.7,-9.7,-10.4,-10.8,-11.4,-11.9,-13.8,-12.7,-13.4,-14.5,-15.2,-15.6,-15.9,-15.8,-15.8,-15.2,-14.2,-13.4,-12.3,-11.2,-11.4,-11.8
"217","201","    Borrower services paid by persons (-152)","W308RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.8,-0.9,-0.9,-1,-1.2,-1.4,-1.4,-1.7,-1.7,-1.6,-1.3,-1.5,-2.6,-3,-0.8,-2.7,-3.6,-5.6,-8.3,-10.1,-11.6,-7.9,-3.3,-6.7,-5.2,-6.5,-9.1,-11.1,-13.1,-10.7,-8.2,-7.7,-10.1,-12.9,-15.8,-15.4,-15.2,-14.4,-13.6,-15.8,-14.8,-14.8,-18,-19.7,-22,-25.6,-23.4,-19.4
"218","202","  Personal interest income (147+160-164)","W520RC1",0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.1,1.1,1.2,1.3,1.4,1.8,2,2.4,2.6,2.7,2.7,2.9,3.2,3.4,3.5,3.4,4,4.2,4.6,5.2,5.6,7.6,9.5,10.7,11.8,12.5,15.2,22.5,21,23,26.7,26.4,25.2,23.7,30.8,55.4,52.9,65.7,73,78.2,76.8,73.2,81.6,96.2,110.9,111,111.4,107.5,117.5,129.3,140.7,152.4,160.8,163.4,167.9,159.8,174.6,178,175.2,202.3,220.4
"219","203","    Net interest, domestic (183)","A2104C1",2.1,2,1.8,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.8,2,2.2,2.4,2.6,2.7,3.1,3.3,3.6,4.1,4.6,5.4,6,6.9,7.9,8.7,9.4,10.4,11.6,12.6,13.7,14.4,16.3,17.6,19.1,20.7,22.5,26.8,30.5,33.9,38.4,43.4,50.8,61.9,66.2,76.1,89.6,102.4,114.9,127.6,148.3,185.1,200.1,233.7,265,276.7,287.8,298.3,320.1,341.3,360,356.3,357.4,373.4,393.5,421.3,443.8,474.5,512,531.5,553.8,555.3,594.5,653.8,719.5,796.3,831.9
"220","204","    Net interest, rest of the world (-150-158-165+166)","W528RC1",0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.6,-0.6,-0.7,-0.9,-1.4,-1.7,-1.7,-1.9,-2.3,-3.1,-3.5,-4.1,-2.9,-4,-4.1,-5,-4.6,-4.2,-3.8,-3.1,-3.9,-5,-6.2,-6.2,-6.1,-5.3,-5.8,-6.2,-5.4,-5,-4.6,-2.9,-2.4,-1.6,-1.2,-3.2,-2,-2.6,-6.9
"221","205","    Net imputed interest paid by government (-148-153-161)","A2022C1",-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.2,-0.3,-0.4,-0.6,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.6,-0.6,-0.6,-0.7,-0.7,-0.8,-0.9,-0.9,-0.9,-1,-1.1,-1.9,-2.2,-2.3,-2.5,-2.3,-2.5,-3.3,-3.1,-3.3,-2.6,-1.8,-1.3,-0.9,-2.4,-3.4,-2.8,-7.6,-15.2,-9.9,-9.6,-7.7,-7.5,-7.9,-8.8,-9.6,-8.5,-8.5,-8,-8.1,-8.9,-10.4,-10.6,-8.5,-11.1,-12.3,-12.5,-13.1,-12.9,-13.4,-14.1
"222","206","    Personal interest payments (198)","A2109C1",-1,-1,-1,-1,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.8,-0.8,-0.9,-0.9,-0.9,-1,-1.3,-1.5,-1.7,-1.9,-2.3,-2.6,-3,-3.4,-3.9,-4.6,-5.3,-5.9,-6.7,-7.5,-8.2,-9.2,-9.9,-11,-12.1,-13.2,-14,-15.3,-16.9,-18.3,-20.3,-23.4,-27.7,-31.8,-34.4,-40.4,-47.9,-58,-71.1,-84.8,-98.9,-112.3,-122.3,-140.3,-155.4,-172.2,-184.3,-197.6,-214.3,-227.2,-232.3,-234,-229.5,-231.4,-252,-262.2,-277.6,-288.8,-306.7,-336,-356.7,-372.5,-381.7,-406.3,-459.5,-529.3,-577.9,-590.5
"223",NA,"          Selected aggregates"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","207","Gross domestic product","A191RC1",103.6,91.2,76.5,58.7,56.4,66,73.3,83.8,91.9,86.1,92.2,101.4,126.7,161.9,198.6,219.8,223,222.2,244.1,269.1,267.2,293.7,339.3,358.3,379.3,380.4,414.7,437.4,461.1,467.2,506.6,526.4,544.8,585.7,617.8,663.6,719.1,787.7,832.4,909.8,984.4,1038.3,1126.8,1237.9,1382.3,1499.5,1637.7,1824.6,2030.1,2293.8,2562.2,2788.1,3126.8,3253.2,3534.6,3930.9,4217.5,4460.1,4736.4,5100.4,5482.1,5800.5,5992.1,6342.3,6667.4,7085.2,7414.7,7838.5,8332.4,8793.5,9353.5,9951.5,10286.2,10642.3,11142.1,11867.8,12638.4,13398.9,14077.6,14441.4
"225","208","  Imputations","A2023C1",9.6,9.1,8.1,7,6.4,6.4,6.8,7.1,7.5,7.5,7.6,7.8,9,11.9,16.4,20.4,22.7,24.1,23.6,24.1,24,24.5,27.9,31,34.3,37,39.6,43,46.3,49.1,52.7,56.4,59.9,64,67.6,71.9,76.6,82,88.1,95.3,105.7,116.2,126.6,137.5,149.7,168.7,192.9,211.1,234.1,265.1,295.6,333.7,375.7,418,471.9,506.1,558.7,608.3,647.1,697,742.7,804.5,864.5,934.2,988.4,1041,1073.3,1119.4,1172.9,1242.2,1342.6,1445.9,1530.3,1598,1656.1,1764.8,1887.7,1980.3,2096.5,2224.8
"226","209","    Owner-occupied housing (133-134)","A2024C1",5.7,5.5,5,4.3,3.8,3.6,3.6,3.6,3.8,4,4.1,4.1,4.5,5,5.5,6,6.4,6.7,7.4,8.3,9.2,10.4,12,13.8,15.6,17.4,19,20.6,22.4,24.3,26.5,28.8,30.8,33.2,35.3,37.3,39.7,42.2,44.9,47.5,51.5,55.3,61,66.2,71.7,78.4,86.1,93.2,102,114.8,129.6,150.4,171.7,190.4,206.2,223.7,243,260.2,280.3,304.7,328.3,353.9,374.5,395.1,417.4,450.1,480.2,507.6,538.7,569.7,615.5,659.7,706.5,733.2,748.5,790.9,849.1,908.3,955.7,1029.7
"227","210","    Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households (142+143+144)","A2050C1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.8,3.2,3.5,4,4.5,5,5.6,6.3,7.3,8.6,9.3,10.1,11.4,12.9,14.9,17.1,19.3,21.3,24.1,24.8,27,28.5,31,33.6,36,38.7,41.1,44.6,45,47.1,49.2,51.7,54.9,58.4,62,65.5,68.5,71.3,75,79,83.4,88.4,93.2
"228","211","    Financial services furnished without payment (147+148+150+152+153+158)","A2025C1",1.1,1,0.8,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.1,1.3,1.5,1.6,1.6,1.7,1.7,1.9,2,2.2,2.7,3,3.4,3.8,3.9,3.9,4.3,4.7,5,5.3,5.2,6,6.4,7,7.7,8.4,11.3,13.3,14.3,15.8,17.6,21.3,27.4,27.4,30.3,35.4,37.5,37.7,37.5,40.8,62.3,61.9,77.8,92.5,93.5,92.7,88.1,93.9,107.3,123.6,126,128.1,126.8,136.1,148.2,159,171.8,181.6,180.1,188,183.7,200.6,207.1,208.5,235.9,254
"229","212","    Premium supplements for property and casualty insurance (160+161+165-166)","W569RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.3,1.7,2,2.3,2.6,3,3.5,4.1,4.9,6.1,7.4,8.5,9.2,9.7,10.3,10.6,10.9,11.8,11.8,11.2,11.6,11.7,11.4,10.8,11.4,10.6,9.5,9.2,8.6,10.6,8.7,7.1,8.2
"230","213","    Employment-related imputations (170)","A2099C1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,1.1,1.9,2.7,3.1,3.1,2.1,2.4,2.5,2.4,3.3,3.6,3.7,3.8,3.9,4.3,4.8,5.3,5.8,6.2,6.8,7.3,7.8,8.6,9.5,10.6,11.6,13.6,15.2,17.6,19.3,21.9,24.1,27.8,33.5,40.7,47.6,55.6,63.2,72.7,84.3,95.8,105,113.8,124.2,132,141,158,175.1,194.6,210.9,235.7,255.1,266.9,264,267.3,271.5,292.5,324.4,361.6,392.2,418.6,457.5,492.5,529.1,543.1,563.9,577.3
"231","214","    Farm products consumed on farms (167)","A2051C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.7,1.4,1.2,1.4,1.3,1.2,1,0.9,0.9,0.8,0.8,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
"232","215","    Margins on owner-built housing (179)","B1173C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.6,2.3,2.6,2.7,1.9,1.5,1.5,2.5,2.6,2.7,3.2,3,2.8,2.6,2.7,2.2,3,2.8,3.2,2.6,2.8,2.9,2.7,3.1,2.7,2.7,2.9,3,3.6,4.1,3.5,3,2.7
"233","216","    Consumption of general government fixed capital (181)","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,5.9,8.6,9.8,10.4,10.2,9.1,8.2,7.4,8,8.9,9.7,10.4,11,11.9,12.7,12.9,13.4,13.9,14.4,15.2,16.1,16.7,17.4,18.3,19.6,21,22.5,24.1,25.5,26.3,27.8,31.6,34.9,37.1,39.6,42.8,46.9,53,60.1,66.2,70.1,74.7,79.7,85.6,92,98.3,105.1,112.9,120.1,124.7,130.5,135.8,141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,242.4,259.5
"234","217","  Excluding imputations (207-208)","A2026C1",94,82.2,68.3,51.8,50,59.6,66.5,76.7,84.4,78.6,84.5,93.6,117.7,150,182.2,199.4,200.3,198.1,220.5,245,243.3,269.3,311.4,327.3,345,343.3,375.1,394.4,414.7,418.1,454,470.1,484.9,521.7,550.2,591.7,642.6,705.7,744.3,814.5,878.7,922.1,1000.2,1100.4,1232.6,1330.8,1444.8,1613.5,1796,2028.7,2266.7,2454.4,2751.2,2835.2,3062.7,3424.8,3658.8,3851.8,4089.3,4403.4,4739.4,4996,5127.6,5408.1,5678.9,6044.2,6341.3,6719.1,7159.4,7551.3,8010.9,8505.6,8755.9,9044.3,9486.1,10103,10750.6,11418.6,11981.1,12216.6
"235","218","Personal income","A065RC1",84.9,76.1,65.2,49.9,46.8,53.7,60.3,68.6,74.1,68.4,72.9,78.4,96,123.4,152.1,166,171.6,178.6,190.9,209.7,207,228.9,257.9,275.2,291.7,294.3,316,339.5,358.5,368.9,392.3,411.3,428.8,456.4,479.5,514.3,555.5,603.8,648.1,711.7,778.3,838.6,903.1,992.6,1110.5,1222.7,1334.9,1474.7,1632.5,1836.7,2059.5,2301.5,2582.3,2766.8,2952.2,3268.9,3496.7,3696,3924.4,4231.2,4557.5,4846.7,5031.5,5347.3,5568.1,5874.8,6200.9,6591.6,7000.7,7525.4,7910.8,8559.4,8883.3,9060.1,9378.1,9937.2,10485.9,11268.1,11894.1,12238.8
"236","219","  Imputations","A2106C1",5.3,4.8,4,3.2,2.8,2.6,2.9,3,3.3,3.3,3.3,3.4,4,5.1,6.6,7.6,8.3,7.4,7.1,8.2,8.4,9.4,11.1,12.4,13.9,14.9,15.7,16.4,17.4,18.3,20,21.6,23,24.5,25.3,26.8,28.3,30.3,32.2,34.1,38,42.1,45.8,49.4,52.3,59,70.7,75.6,81.9,94.7,102.3,112.4,123.9,139.8,172.7,178.2,199,210,225.8,248.7,264.4,295.3,331.8,386.4,429.4,466.4,466.8,493.8,512.8,560,620.6,672.6,718.3,741.4,761.1,804.4,820.5,798.3,827.5,915.6
"237","220","    Food furnished to employees, including military and domestic service (171)","B1160C1",0.5,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.7,1.2,1.9,2.6,3,1.6,1.3,1.4,1.3,1.4,2,2.2,2,1.9,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.3,2.4,2.4,2.5,2.5,2.4,2.4,2.7,3.2,3.7,4.1,4.3,4.9,5.6,6.2,6.9,7.3,7.2,7.2,7,6.8,6.6,7,7.4,7.7,7.9,8.1,8.4,8.7,9,9.3,9.5,9.9,10.2,10.6,10.8,11.3,12.2,NA,NA,NA,NA,NA
"238","221","    Standard clothing issued to military personnel (172)","BMICRC1",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,1,1,1.1,0.4,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,NA,NA,NA,NA,NA
"239","222","    Employees' lodging (173)","A2641C1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.6,0.8,0.7,0.6,0.6,0.5,0.6,0.5,0.4,0.4
"240","223","    Employer contributions for health and life insurance (174)","B4922C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,1,1.3,1.5,1.7,1.9,2.3,2.7,3.2,3.6,4,4.5,4.9,5.4,5.9,6.7,7.5,8.2,8.9,10.8,12.3,14.5,16.1,18.7,20.8,23.8,28.6,35.1,42.1,49.7,56.4,65.1,76,87.3,96.3,105.2,115.6,123.5,132.3,148.7,165.3,184.1,199.8,223.7,242.9,255.1,252.3,255.4,259.5,280.3,311.8,348.4,378.5,404.4,442.1,476.5,511.7,523.8,544,557.6
"241","224","    Farm products consumed on farms (167)","A2051C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.7,1.4,1.2,1.4,1.3,1.2,1,0.9,0.9,0.8,0.8,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
"242","225","    Margins on owner-built housing (179)","B1173C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.6,2.3,2.6,2.7,1.9,1.5,1.5,2.5,2.6,2.7,3.2,3,2.8,2.6,2.7,2.2,3,2.8,3.2,2.6,2.8,2.9,2.7,3.1,2.7,2.7,2.9,3,3.6,4.1,3.5,3,2.7
"243","226","    Owner-occupied housing (139-136)","A2028C1",2.9,2.5,2.2,1.8,1.4,1.1,1.2,1.2,1.4,1.5,1.6,1.6,1.8,2.1,2.5,2.8,3,3,3,3.2,3.6,4.3,4.9,5.9,7,8,8.4,8.6,9.1,9.6,10.5,11.5,12.2,13,13.5,13.6,13.9,14.4,14.9,14.5,14.9,14.8,15.8,15.7,15.1,15.5,14.6,13.3,9.8,10.4,10.9,13.6,15.5,12.7,11.1,10.3,7.9,3.6,5.5,13.2,15.8,19.2,25.7,40.6,64.5,88.3,95.6,109,111.8,126.9,143.5,150.5,163.4,155.7,144.9,138.1,113.8,81.3,63.2,120.3
"244","227","    Depositor financial services furnished without payment and premium supplements (147+160-164)","W570RC1",0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.1,1.1,1.2,1.3,1.4,1.8,2,2.4,2.6,2.7,2.7,2.9,3.2,3.4,3.5,3.4,4,4.2,4.7,5.2,5.6,7.6,9.5,10.7,11.8,12.5,15.2,22.5,21,23,26.7,26.3,25.3,23.7,30.8,55.4,52.9,65.7,73,78.2,76.8,73.2,81.6,96.2,110.9,111,111.4,107.5,117.5,129.3,140.7,152.4,160.8,163.4,167.9,159.8,174.6,178,175.2,202.3,220.4
"245","228","  Excluding imputations (218-219)","A2107C1",79.6,71.4,61.2,46.6,44,51.1,57.4,65.6,70.7,65.1,69.6,75.1,92.1,118.3,145.6,158.4,163.4,171.2,183.8,201.5,198.5,219.4,246.8,262.9,277.8,279.4,300.3,323,341.2,350.6,372.4,389.7,405.8,432,454.2,487.5,527.2,573.5,615.9,677.6,740.3,796.5,857.3,943.2,1058.3,1163.8,1264.1,1399.1,1550.6,1742.1,1957.2,2189.1,2458.3,2627.1,2779.5,3090.7,3297.7,3486,3698.6,3982.6,4293.1,4551.4,4699.7,4960.9,5138.7,5408.4,5734.1,6097.7,6487.9,6965.3,7290.3,7886.9,8165,8318.7,8617,9132.8,9665.4,10469.8,11066.6,11323.2
"246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","1. Residential dwellings owned and used by nonprofit institutions serving households are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
