"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"321","314","P1ESCG D         Elementary and secondary schools","P1ESCG3",12.412,12.735,13.044,13.2,13.355,13.431,13.742,14.281,14.665,15.056,15.981,17.369,18.218,19.147,21.959,26.77,29.888,32.388,34.341,35.304,39.6,44.33,49.083,51.551,54.02,56.889,58.653,60.204,63.28,67.08,70.467,73.1,75.018,77.239,79.417,81.914,84.251,87.244,89.948,92.93,95.927,100,104.394,108.338,111.931,115.231,118.917
"322","315","P1NSCG D         Nursery schools","P1NSCG3",15.751,16.072,16.52,16.838,16.998,17.118,17.554,18.055,18.645,19.098,20.411,22.088,23.234,24.474,26.047,29.018,31.836,35.277,37.215,40.137,44.172,49.494,54.016,56.06,57.505,59.167,60.69,62.545,64.522,67.393,70.351,72.963,76.581,79.279,81.04,83.207,85.544,88.213,90.724,93.528,96.224,100,103.914,106.123,108.817,111.02,114.07
"323","316","P1OEDG C       Other (107)","P1OEDG3",16.226,16.389,16.385,16.611,16.833,17.209,17.654,18.335,18.942,19.588,20.376,21.138,21.785,22.556,23.769,27.692,30.246,32.167,34.41,36.998,40.925,46.604,51.44,53.727,55.153,56.969,58.154,59.518,61.876,65.278,67.84,69.792,72.394,74.312,75.605,77.557,80.456,83.671,86.489,89.422,94.618,100,104.603,108.787,115.424,122.756,130.993
"324","317","P1VEDG D         Commercial and vocational schools","P1VEDG3",16.087,16.252,16.249,16.47,16.687,17.057,17.495,18.163,18.803,19.386,20.191,20.987,21.57,22.386,23.531,27.705,30.151,31.995,34.268,36.867,40.834,46.771,51.513,53.696,54.947,56.616,57.715,58.871,61.163,64.6,67.186,68.848,71.109,72.867,74.036,76.176,78.735,82.224,85.142,88.192,94.658,100,105.972,111.517,119.676,129.21,140.01
"325","318","P1REDG D         Foundations and nonprofit research","P1REDG3",16.556,16.717,16.711,16.947,17.179,17.571,18.035,18.745,19.268,20.058,20.817,21.51,22.289,22.983,24.318,27.857,30.612,32.696,34.887,37.463,41.334,46.582,51.604,54.069,55.789,57.868,59.216,60.96,63.451,66.796,69.314,71.856,75.132,77.359,78.887,80.495,84.073,86.728,89.344,92.034,94.53,100,101.599,102.94,106.51,109.532,112.947
"326","319","P1RAWG C     Religious and welfare activities (108)","P1RAWG3",17.087,17.295,17.429,17.581,17.842,17.974,18.361,18.808,19.279,20.044,21.295,22.097,23.24,24.294,25.809,29.599,32.305,34.108,36.415,38.949,42.748,48.393,52.666,55.213,57.022,59.053,60.312,62.053,64.339,67.821,70.8,73.126,75.689,77.877,79.795,81.91,84.503,87.028,89.839,92.514,95.303,100,102.893,105.888,109.32,112.626,116.239
"327","320","P1POLG D       Political organizations","P1POLG3",16.625,18.076,18.104,18.236,18.474,18.633,18.954,19.596,20.318,20.889,22.03,22.905,24.504,25.416,26.532,30.48,33.167,34.848,37.466,39.719,45.116,50.287,55.113,58.766,60.569,61.392,63.799,64.648,66.656,70.426,74.825,75.24,78.48,80.729,82.281,84.228,86.603,89.372,91.623,93.702,96.243,100,103.891,106.357,108.556,111.636,115.276
"328","321","P1MUSG D       Museums and libraries","P1MUSG3",18.748,19.026,18.527,18.845,19.234,19.236,19.639,20.108,20.589,21.459,22.896,23.592,24.786,26.062,28.369,31.526,34.985,37.243,38.799,41.188,46.701,52.935,58.06,61.596,63.665,64.588,65.294,66.664,67.863,68.632,72.743,75.523,77.662,79.157,81.343,82.836,85.611,87.392,89.791,92.687,95.701,100,103.019,104.143,104.541,107.746,112.026
"329","322","P1FOUG D       Foundations to religion and welfare","P1FOUG3",16.424,16.747,16.749,17.05,17.357,17.201,17.672,18.093,18.648,19.175,20.578,21.39,22.422,23.435,25.572,28.523,31.568,33.5,35.01,36.297,41.177,46.413,51.163,53.888,56.474,57.913,58.982,61.124,62.859,66.545,69.193,72.219,72.834,76.109,78.614,80.497,82.423,85.471,88.283,91.488,95.335,100,103.803,106.974,111.979,115.389,118.456
"330","323","P1WELG D       Social welfare","P1WELG3",17.195,17.421,17.55,17.674,17.992,18.123,18.501,18.938,19.384,20.207,21.468,22.222,23.351,24.486,25.824,29.423,32.072,33.974,36.13,38.513,42.284,47.758,52.368,54.657,55.972,57.774,59.152,60.775,62.9,66.411,69.696,72.865,76.093,78.647,80.778,82.92,85.511,87.938,90.151,92.929,95.688,100,102.433,105.358,108.736,111.819,115.296
"331","324","P1CHCG D         Child care","P1CHCG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.578,55.166,58.371,62.286,66.433,69.737,73.067,76.818,79.956,83.021,86.161,90.246,94.817,100,105.058,110.415,115.393,119.763,125.032
"332","325","P1SCWG D         Social welfare","P1SCWG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.116,70.531,73.796,76.57,79.418,81.703,83.412,84.986,87.381,89.583,91.478,93.813,95.97,100,101.61,103.798,106.698,109.401,112.34
"333","326","P1RELG D       Religion","P1RELG3",17.072,17.244,17.403,17.554,17.791,17.94,18.329,18.778,19.253,20.006,21.242,22.081,23.236,24.23,25.813,29.908,32.591,34.27,36.892,39.78,43.318,49.222,52.911,55.66,57.967,60.579,61.705,63.618,66.397,70.066,72.374,73.073,74.973,76.327,77.7,79.893,82.604,85.297,89.335,91.703,94.33,100,103.707,107.178,110.977,114.874,118.84
"334","327","P1FORG C     Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","328","P1FTRG C       Foreign travel by U.S. residents (110)","P1FTRG3",24.268,23.783,23.967,24.629,25.237,25.746,26.78,27.766,27.566,28.778,29.422,29.858,32.665,34.69,37.953,45.939,50.523,51.521,54.636,56.952,63.414,71.372,75.648,72.579,70.082,67.445,65.412,71.986,70.496,74.848,75.604,80.057,85.229,89.323,89.781,92.446,95.087,97.533,98.729,96.498,99.242,100,101.35,105.047,111.62,117.101,122.196
"336","329","P1AFTG D         Passenger fares for foreign travel","P1AFTG3",25.019,23.739,23.619,24.287,24.669,24.956,25.788,26.355,25.863,27.077,27.517,27.565,29.827,31.525,31.406,38.159,41.27,43.146,46.087,43.839,46.983,54.415,59.114,61.066,61.317,59.929,57.916,60.056,62.002,65.212,65.897,71.545,79.279,81.315,81.393,82.522,86.513,88.249,91.846,92.574,95.872,100,107.176,112.151,117.471,118.493,123.304
"337","330","P1USTG D         U.S. travel outside the U.S.","P1USTG3",24.028,24.027,24.406,25.071,25.831,26.491,27.668,28.945,28.945,30.166,30.956,31.669,34.886,37.158,43.103,52.05,57.843,58.078,61.312,67.525,76.874,85.021,88.724,80.811,75.692,72.126,70.076,79.478,75.839,80.887,81.69,85.459,89.214,94.533,95.224,98.867,100.639,103.537,103.191,99.059,101.447,100,97.659,100.578,107.924,116.401,121.758
"338","331","P1USSG D         U.S. student expenditures","P1USSG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.68,80.522,75.629,72.082,70.098,79.442,75.81,80.856,81.639,85.455,89.174,94.481,95.167,98.84,100.511,103.476,103.12,99.014,101.384,100,97.768,100.763,108.047,116.559,121.859
"339","332","P1EXFG C       Less: Expenditures in the United States by nonresidents (112)","P1EXFG3",16.76,16.963,17.174,17.352,17.544,17.819,18.083,18.613,19.154,19.946,21.005,22.277,23.129,23.919,25.274,27.464,29.582,31.777,33.957,36.908,40.466,45.415,49.791,53.806,56.523,59.711,62.577,64.657,67.826,70.503,72.882,76.936,81.849,83.947,85.133,85.951,87.291,89.585,91.787,92.981,95.465,100,101.108,101.425,104.494,108.982,113.954
"340","333","P1FTUG D         Foreign travel in U.S.","P1FTUG3",17.734,17.948,18.171,18.359,18.563,18.854,19.133,19.694,20.266,21.104,22.225,23.571,24.473,25.308,26.741,29.059,31.3,33.622,35.929,39.052,42.816,48.052,53.113,57.192,59.791,62.92,65.725,67.619,70.807,73.321,75.417,79.442,84.372,86.029,86.72,87.11,88.148,90.232,92.204,93.09,95.417,100,100.482,99.638,101.654,105.072,109.355
"341","334","P1MEFG D         Medical expenditures of foreigners","P1MEFG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.983,28.557,31.842,34.641,36.888,39.128,41.833,45.67,50.861,56.391,62.042,67.65,73.265,77.506,81.299,84.932,87.735,90.594,94.378,100,106.901,116.208,124.818,132.112,139.075
"342","335","P1EFSG D         Expenditures of foreign students in the U.S.","P1EFSG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.741,35.803,38.159,40.939,43.663,46.179,48.905,51.953,55.418,59.253,63.785,68.669,73.207,77.015,80.543,84.502,88.704,92.396,96.03,100,105.162,112.267,121.555,133.147,143.157
"343",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","336","P1TGDG D   Goods","P1TGDG3",27.512,27.787,27.932,28.133,28.406,28.716,29.046,29.734,30.379,31.502,32.811,34.206,35.313,36.283,38.508,43.238,46.759,48.76,51.448,54.76,59.966,66.462,71.448,73.636,75.179,76.779,78.237,78.275,80.835,83.092,86.32,89.904,92.247,93.439,94.367,95.374,96.322,97.466,97.74,96.911,97.83,100,100.472,100.108,100.396,102.158,104.653
"345","337","P1CGPG D   Control Group","P1CGPG3",27.728,28.076,28.198,28.359,28.64,28.958,29.356,30.145,30.82,31.959,33.352,34.805,35.856,36.926,39.341,44.411,47.94,49.825,52.527,55.804,61.218,68.087,73.173,75.266,76.676,78.121,79.505,79.111,81.461,83.843,87.182,91.176,93.484,94.595,95.134,95.668,96.195,97.197,97.438,96.615,97.577,100,100.506,100.156,100.815,102.942,105.494
"346","338","P1PXCG D   PCE except computers, peripherals, and software","P1PXCG3",20.076,20.406,20.62,20.862,21.105,21.407,21.719,22.268,22.833,23.731,24.816,25.988,27.094,28.031,29.557,32.613,35.33,37.288,39.707,42.496,46.241,51.175,55.739,58.831,61.389,63.721,65.835,67.472,69.83,72.615,75.804,79.316,82.242,84.69,86.723,88.603,90.608,92.752,94.544,95.624,97.427,100,102.288,103.894,106.022,108.86,112.067
"347","339","P1GXCG D     Goods except computers, peripherals, and software","P1GXCG3",26.442,26.706,26.845,27.038,27.301,27.599,27.915,28.577,29.197,30.277,31.534,32.875,33.939,34.871,37.01,41.556,44.94,46.863,49.446,52.629,57.634,63.883,68.681,70.8,72.341,73.908,75.33,75.434,77.944,80.166,83.329,86.886,89.263,90.595,91.682,92.784,93.953,95.533,96.342,96.061,97.476,100,100.912,100.891,101.495,103.496,106.303
"348","340","P1DXCG D       Durables except computers, peripherals, and software","P1DXCG3",40.07,39.879,39.973,40.152,40.293,40.491,40.122,39.943,40.566,41.902,43.058,44.007,45.61,46.098,46.774,49.735,54.271,57.284,59.786,63.217,67.424,73.109,78.052,81.19,83.055,84.383,85.396,86.617,89.244,90.694,92.447,93.517,95.306,96.631,98.364,100.828,102.398,102.958,102.509,101.529,100.607,100,99.45,98.094,95.421,94.135,94.386
"349","341","P1FXCG D         Furniture and household equipment except computers, peripherals, and software","P1FXCG3",59.267,59.599,59.473,59.003,58.817,58.697,58.004,57.826,58.682,60.459,62.163,63.307,64.403,65.23,66.41,70.672,76.547,79.312,81.504,85.084,89.702,95.764,101.701,105.673,106.99,107.01,106.469,106.142,106.749,107.081,106.973,107.34,107.499,108.072,108.008,108.565,107.57,106.754,105.576,104.466,102.004,100,97.391,94.374,90.722,88.196,86.472
"350",NA,"         Market based PCE:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","343","P1MBPG  Market-based PCE","P1MBPG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.81,96.363,97.675,100,101.941,103.082,105.009,107.422,110.336
"352","344","P1MBFG   Market-based PCE food","P1MBFG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.187,95.864,97.705,100,102.963,104.97,106.981,110.253,112.701
"353","345","P1MBEG   Market-based PCE energy","P1MBEG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.952,81.608,84.854,100,102.876,96.789,108.906,121.462,142.577
"354","346","P1MBXG   Market-based PCE except food & energy","P1MBXG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.633,97.579,98.632,100,101.668,103.153,104.348,105.898,107.678
"355","347","P1MBVG    Market-based PCE motor vehicles & parts","P1MBVG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.116,99.38,99.437,100,100.426,98.722,96.756,95.302,96.633
"356","348","P1DXMG    Durables except MV & parts","P1DXMG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.033,108.424,103.349,100,96.166,92.278,88.124,85.817,83.621
"357","349","P1MPCG    Market-based PCE clothing & shoes","P1MPCG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.933,102.96,101.29,100,98.009,95.362,93.021,92.655,91.724
"358","350","P1MBNG    Market-based PCE other nondurables","P1MBNG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.172,93.203,97.346,100,102.784,104.984,104.965,105.873,107.481
"359","351","P1MBHG    Market-based PCE housing","P1MBHG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.284,94.26,96.913,100,103.854,107.783,110.449,113.192,116.062
"360","352","P1MBOG    Market-based PCE other household operation","P1MBOG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.437,100.088,100.179,100,100.77,102.58,103.98,104.94,106.706
"361","353","P1MBTG    Market-based PCE transportation services","P1MBTG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.275,96.509,97.566,100,102.558,106.176,110.606,112.616,115.683
"362","355","P1MBMG    Market-based PCE medical care services","P1MBMG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.24,95.35,97.459,100,103.234,105.321,108.393,111.898,114.578
"363","356","P1MBRG    Market-based PCE recreation services","P1MBRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.435,93.06,96.215,100,103.553,107.196,110.784,113.637,116.501
"364","357","P1PERG    Personal care services","P1PERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.866,94.317,96.741,100,104.046,106.465,109.049,112.188,116.478
"365","358","P1MBBG    Market-based PCE personal business","P1MBBG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.201,106.072,102.85,100,98.306,100.261,104.354,108.438,111.474
"366","359","P1GEDG    Public higher education","P1GEDG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.72,92.4,96.04,100,105.164,112.278,121.674,133.196,143.188
"367","360","P1VEDG    Commercial & vocational schools","P1VEDG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.142,88.192,94.658,100,105.972,111.517,119.676,129.21,140.01
"368","361","P1CHCG    Child care","P1CHCG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.161,90.246,94.817,100,105.058,110.415,115.393,119.763,125.032
"369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","  the Survey of Current Business monthly (none shown monthly)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","  of Current Business monthly (NIPA table 2.3.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","  Business annually (NIPA table 2.4.4; B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5 and table B.4,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","published in the Survey of Current Business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
