"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"338","330","          U.S. travel outside the United States","DUSTRX0",61833,63274,64212,65680,69953,70732,70973,73323,71995,76472,66340,58929,66155,64247,62565,66193,62876,52336,59376,62343,63515,63645,62979,62728,63953,61675,59925,62065,62926,62122,60981,62164,61707,59428,59160,59075,59989,56684,57049,59739,59303,54659,56302,56260,56297,55201,57630,57639,55467,56560,57183,58538,61250,61920,60689,59882,60662,61379,61472
"339","331","          U.S. student expenditures","DUSSRX0",2413,2520,2596,2598,2692,2839,2936,3073,3167,3265,3304,3624,3668,3729,3785,4143,4305,4040,4080,4216,4324,4351,4401,4385,4522,4440,4443,5029,5004,5043,5065,4736,4874,4904,4925,4715,4783,4765,4952,5249,5267,5156,5110,5042,5187,5350,5421,5494,5533,5458,5475,5575,5672,5786,5847,5848,5853,5873,5924
"340","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",121819,121890,123868,126600,129726,131026,126935,128351,130137,124770,114069,98321,109646,109177,110209,119066,106123,98171,106815,115647,113538,116315,115675,117257,118715,123463,119029,118017,118446,119130,119829,123592,120649,123559,131899,136708,137236,139212,140282,134857,127118,125227,125068,124475,129410,130162,132611,134972,134555,138676,141022,139447,141295,145508,148243,149429,151880,154528,155172
"341","333","          Foreign travel in the United States","DFTURX0",100605,100645,102332,104824,107729,108802,104764,105674,107598,102439,92215,76759,87715,87220,88100,96762,84272,76801,85495,94430,92568,95418,95026,96838,98344,102866,98561,97762,98290,99003,99740,103199,100382,103193,111125,115176,115754,117547,118400,112453,104778,102783,102468,102342,107083,107754,109982,112039,111392,115449,117744,115851,117582,121650,124095,125290,128118,130661,131389
"342","334","          Medical expenditures of foreigners","DMEFRX0",2531,2555,2567,2596,2652,2676,2690,2724,2501,2486,2478,2469,2310,2254,2234,2221,2242,2268,2264,2261,2293,2295,2293,2300,2359,2671,2670,2690,2695,2698,2692,2691,2695,2694,2691,2688,2694,2695,2690,2687,2691,2693,2691,2688,2687,2692,2687,2686,2681,2684,2685,2686,2681,2685,2684,2683,2651,2688,2641
"343","335","          Expenditures of foreign students in the United States","DEFSRX0",18159,18175,18410,18476,18438,18640,18968,19606,19500,19707,19913,20696,20510,20586,20714,20426,20556,20323,19846,19332,19083,18889,18615,18278,18114,17927,17910,17669,17534,17477,17419,17676,17590,17641,17928,18688,18623,18792,19020,19676,19650,19752,19909,19445,19646,19723,19955,20266,20495,20568,20627,20928,21056,21217,21517,21520,21221,21313,21290
"344","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRX0",148074,149323,150508,152488,157693,158515,164661,169704,170717,174463,177611,181491,184956,190398,198151,203161,203454,206507,207471,207840,211235,210489,209865,209692,202655,207893,209119,220116,228893,236928,241110,239499,240483,237440,241137,252577,259544,269493,277776,287578,278930,272876,273229,279032,279239,281713,277411,274772,273458,275058,286560,280519,282994,293354,295840,302316,287569,284762,286220
"345","337","    Gross output of nonprofit institutions (133)","DNPERX0",769722,773811,779606,787812,794532,802124,811035,821326,830445,839256,850709,863001,878016,892713,904394,909035,910288,912809,915929,918660,925592,932328,943171,952419,947525,956196,966965,975954,986711,996051,1004068,1009483,1016761,1017190,1022755,1032084,1043394,1050419,1059353,1067657,1068984,1071230,1074769,1075272,1072550,1084003,1090565,1096962,1094803,1098656,1098439,1107967,1122727,1126215,1138067,1141373,1132738,1142186,1144376
"346","338","      Health, gross output","DHLGRX0",440395,442279,445464,448447,449552,451464,454317,456430,460514,462958,468620,476309,485523,492605,497005,499382,505831,509260,511754,513325,515933,521343,528990,536288,534710,542318,552547,557643,562742,567162,569778,569057,578239,575557,578094,583703,588266,590990,594151,599436,606624,611611,618036,622611,616483,623851,627090,632749,636524,642607,641704,649288,655900,657069,666522,665432,666118,674627,676695
"347","339","        Outpatient services, gross output","DOUGRX0",51264,51809,52349,52723,52894,53448,53550,54134,54745,55650,57027,58603,60470,62185,63421,64153,63809,63496,63679,64008,64369,64568,64648,64504,64379,64451,64736,65456,65577,65399,65452,65407,64658,64396,64163,63984,63321,63124,63861,64941,65749,65718,65263,64985,65786,66383,66402,67170,67959,68174,69087,69004,70238,71030,72142,73184,74159,74862,75368
"348","340","        Nonprofit hospitals, gross output","DHSORX0",347030,348276,350723,353148,354047,355250,357804,358836,361579,362261,366508,372064,379152,384651,387587,388943,394754,397658,399781,400880,403441,408337,415415,422373,421404,426361,435296,439297,443648,447952,450804,450098,459399,456951,458940,464231,469301,472970,474982,478506,485540,488681,495337,500448,493688,500052,503821,508255,511542,516976,515292,522505,527855,528985,535139,534555,533153,541676,543241
"349","341","        Nonprofit nursing homes, gross output","DNXORX0",42179,42259,42452,42639,42675,42819,43026,43504,44220,45049,45084,45638,45904,45785,46017,46306,47280,48107,48297,48441,48135,48451,48939,49417,48937,51501,52510,52883,53512,53809,53523,53552,54180,54208,54987,55483,55640,54898,55306,55987,55338,57211,57436,57177,57010,57416,56865,57320,57013,57447,57309,57766,57784,57020,59227,57663,58803,58058,58051
"350","342","      Recreation services, gross output","DRCGRX0",26038,26342,26537,27372,27365,27940,28232,28679,29419,30074,30056,30195,30616,31169,31602,32245,32531,32869,33087,33387,33668,34066,34539,34617,34914,35549,35804,36734,36973,37128,37467,37918,38303,38842,39470,39921,40240,40733,40920,40523,40229,39729,39504,39188,39028,38957,38195,37963,37943,37943,38308,38345,39033,39716,40123,40811,41002,40840,40401
"351","343","      Education services, gross output","DEDGRX0",107093,107778,108117,109562,110634,111973,113773,115632,117896,120312,122170,123770,125075,127189,130121,128692,127793,127784,127554,127624,128458,128398,128024,128071,129479,129252,130389,130706,132320,133916,134120,137017,138506,140125,141194,142357,142539,143329,145486,145951,147218,147278,147921,147209,147773,148593,149586,150153,151264,152050,153562,155551,157117,158777,159512,159780,159060,159905,160504
"352","344","      Social services, gross output","DSSGRX0",68807,70028,71405,73131,74860,76768,78447,80980,84107,86055,88110,89516,90401,91739,92760,94178,94566,95313,96189,95990,95826,95336,96008,95786,96396,98049,97986,99663,100149,99277,100075,100198,100306,101720,102777,103497,104218,105246,106680,108345,109916,110090,108360,107086,109881,111999,112759,113778,112631,111244,110495,110366,110751,109777,108986,108215,108909,109856,110131
"353","345","      Religious organizations, gross output","DREORX0",66394,66340,66392,66511,66688,67033,67588,68337,69230,70156,71109,72075,72983,73537,73715,73485,72960,72719,72964,73608,74520,75287,75815,76083,76075,75990,75876,75704,75516,75616,76102,76958,78028,78647,78711,78180,77159,76357,75956,75933,76170,76217,76002,75504,74021,72433,71257,70491,70052,69673,69313,68964,68618,68370,68255,68264,68312,68357,68417
"354","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",13997,14568,15068,15480,15828,16321,17017,17927,18998,19917,20587,20987,21129,21182,21181,21112,20954,20780,20768,20842,20927,21027,21062,21054,20949,21106,21580,22318,23133,23903,24480,24879,24703,24913,25432,26323,27246,27876,28083,27781,27115,26627,26134,25649,25586,25507,26044,25776,26004,26427,26765,26642,26650,26117,25842,26694,26809,27400,27615
"355","347","      Social advocacy establishments, gross output","DSAORX0",7923,8062,8313,8604,8647,8736,8918,8988,9182,9408,9692,10160,10871,11330,11803,12298,12058,11945,11918,11892,11834,11945,12157,12091,12242,12535,12552,12986,13458,13973,14562,15003,15298,15650,16001,16439,16928,17199,17560,17481,17217,17232,17488,17498,17541,17579,17730,17548,17587,17798,17899,17856,17883,17807,18068,18572,18373,18758,19151
"356","348","      Civic and social organizations, gross output","DCIORX0",8720,8749,8971,9066,9180,9375,9530,9668,9850,9986,10169,10305,10541,10741,10909,11114,11122,11135,11139,11098,11007,10848,10772,10434,10134,10128,9909,9948,9990,9913,9830,9682,9490,9375,9341,9356,9425,9571,9670,9800,9559,9396,9212,9044,9168,9189,9317,9179,9123,9143,9156,9059,9080,8909,8867,9141,9123,9354,9287
"357","349","      Professional advocacy, gross output","DSNGRX0",30815,30101,29757,29960,31989,32591,33207,34514,30995,30047,29847,29377,30598,32907,34953,36130,32185,30741,30296,30638,33130,33821,35560,37781,32458,31142,30283,30224,32392,35116,37560,38639,33877,32313,31694,32286,37298,39039,40769,42363,34916,33049,32120,31495,33086,35926,38603,39348,33753,31891,31388,32077,37803,39789,42021,44551,35222,33308,32383
"358","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",632620,635346,640009,646218,646452,653584,654839,659105,667630,672010,680101,688097,699619,708125,710334,708775,709818,708709,710872,713351,716588,724516,736549,746344,749354,752293,762058,758797,760000,760621,764240,771585,777965,781732,783359,780478,784481,780983,781272,779441,789855,798344,801594,796395,793481,802431,813042,821899,821009,823279,812154,827197,839389,833223,842538,839864,844802,856596,857394
"359","351","      Health services to households","DHLRRX0",445664,448068,452486,457093,456564,462195,462501,464882,471009,474039,481808,491232,504195,513062,514576,513529,514685,513079,514895,516658,519749,528004,539323,549386,551238,553395,563634,559377,560154,560840,564783,571302,576956,579826,581226,578552,583407,579952,579443,578281,589572,598884,602910,598710,593857,603150,613623,622166,621637,623566,613250,628321,639430,633816,641994,638811,644469,654077,654732
"360","352","        Outpatient services to households","DOUSRX0",41657,42027,42599,43168,43730,44556,44751,45101,45346,46008,47097,48454,50464,52117,53227,53859,53506,53539,53932,54336,55115,55831,56585,56788,57122,57376,57733,58002,57063,56041,55423,55345,54613,54281,53923,53289,53178,53049,52976,53065,53695,54429,54721,54669,54947,55357,55750,56392,57418,58160,58499,58828,58797,59037,59618,60264,60802,61571,62147
"361","353","        Nonprofit hospitals' services to households","DNPHRX0",360317,362565,366159,370026,369223,373461,373750,375692,381086,383303,390036,397664,408290,415421,415540,413208,413964,411734,413089,414672,417237,424454,434390,443678,445412,446018,455256,451010,452355,455158,459186,465591,471318,474663,476236,474002,479412,476234,476491,475670,486750,493130,496641,492556,487718,496991,507157,514174,513156,514375,504179,518522,529687,524637,530689,528252,532729,542166,542371
"362","354","        Nonprofit nursing homes' services to households","DNPNRX0",44226,43972,44200,44348,43971,44504,44300,44374,44909,45011,44933,45325,45584,45587,45752,46315,47116,47692,47747,47507,47222,47550,48198,48810,48578,49880,50552,50254,50671,49583,50144,50337,51015,50873,51064,51267,50819,50671,49976,49542,49127,51322,51547,51489,51209,50805,50702,51585,51060,51036,50608,50969,50901,50118,51674,50297,50945,50299,50191
"363","355","      Recreation services to households","DRCRRX0",13929,14030,14116,14374,14133,14257,14176,14317,14618,14795,14500,14217,14240,14189,14274,14349,14547,14663,14880,15206,15443,15897,16486,16798,17594,18167,18414,18663,18748,18882,19014,19067,19199,19140,19212,19055,18784,18664,18504,18151,17795,17591,17380,17314,17899,17665,17486,17334,17247,17248,17266,17086,16964,17231,17679,18040,17672,17689,17552
"364","356","      Education services to households","DEDRRX0",93938,93893,93517,94315,94809,95470,96383,97311,98379,99041,98565,97032,94866,93733,94096,92605,92100,92014,91252,90990,90707,89738,88548,88550,89017,88512,88624,88302,88443,88635,87735,88645,88594,88702,88705,88891,88614,88550,89157,88495,88134,87366,87262,86705,86773,86826,86997,86954,87195,87321,87458,87999,88062,88344,88392,88353,87799,88367,88629
"365","357","      Social services to households","DSSRRX0",36082,36472,37018,37814,38647,39545,40284,41416,42778,43645,44671,45350,45913,46533,46857,47213,47088,47303,47744,48083,48486,48701,49277,49028,49238,49664,49246,49727,49584,48980,49046,48867,49053,49611,49847,49890,49791,49891,50109,50309,50528,50648,50510,50800,51719,52052,52202,52696,52457,52335,52008,52038,52414,51813,51570,50912,51003,51350,51395
"366","358","      Religious organizations' services to households","DRELRX0",6438,6399,6355,6304,6244,6191,6151,6121,6096,6065,6026,5978,5923,5876,5844,5826,5820,5826,5850,5884,5922,5950,5962,5958,5937,5916,5899,5885,5874,5886,5926,5994,6076,6124,6129,6087,6008,5946,5914,5913,5931,5935,5918,5879,5764,5640,5549,5489,5455,5425,5397,5370,5343,5324,5315,5315,5319,5323,5327
"367","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1144,1111,1077,1043,1006,962,911,852,790,729,672,619,570,537,518,512,547,582,620,658,695,727,752,768,775,794,829,880,937,1006,1085,1175,1267,1328,1341,1308,1230,1172,1134,1112,1076,1058,1056,1067,1107,1099,1122,1133,1137,1159,1130,1097,1115,1074,1109,1165,1187,1244,1261
"368","360","      Services of social advocacy establishments to households","DSASRX0",2034,2059,2098,2135,2099,2076,2080,2061,2068,2058,2029,2006,2009,1995,2029,2115,2191,2263,2312,2320,2283,2276,2290,2251,2254,2290,2283,2359,2432,2498,2571,2611,2623,2647,2670,2707,2759,2774,2809,2779,2741,2747,2788,2784,2871,2854,2888,2946,2988,3071,2994,2917,2961,2893,3056,3194,3205,3353,3444
"369","361","      Civic and social organizations' services to households","DCISRX0",7006,6948,7045,7041,7052,7113,7129,7115,7120,7084,7076,7030,7056,7097,7165,7307,7277,7268,7265,7246,7202,7121,7094,6895,6727,6729,6569,6562,6557,6513,6494,6461,6482,6471,6431,6341,6213,6180,6161,6209,6066,5984,5898,5824,6043,5959,5992,5993,5911,5957,5788,5659,5875,5750,6026,6354,6432,6759,6750
"370","362","      Professional advocacy services to households","DSNRRX0",29819,29700,29395,29184,29052,28873,28453,28271,27966,27744,27707,27224,26902,26841,26717,26765,26899,27010,27157,27288,26979,26747,27144,26972,26836,26982,26698,27126,27352,27483,27594,27506,27715,27862,27770,27645,27673,27859,28059,28198,28020,28132,27870,27306,27468,27199,27199,27220,27006,27223,26849,26714,27272,26977,27459,27779,27824,28579,28425
"371",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","363","  Control Group","DCGPRX0",1767256,1795838,1824747,1876199,1887839,1925530,1944769,1966374,1960953,1977375,1987889,2023858,2049023,2058350,2066898,2100882,2116417,2160380,2226679,2258017,2286676,2302539,2335550,2365289,2408888,2442196,2459581,2506137,2555452,2566822,2585993,2626898,2649432,2659787,2682036,2689032,2664602,2696587,2659620,2577089,2561903,2551516,2576261,2607777,2642509,2670171,2695275,2743097,2764362,2787636,2800893,2826747,2856938,2875617,2908424,2932943,2962521,2991694,3026819
"373","364","  PCE food and energy","DPFERX0",1148138,1164671,1174534,1176665,1158059,1184098,1188302,1206612,1199129,1187078,1189412,1188435,1186236,1197926,1203448,1217548,1218844,1216951,1226372,1232282,1241125,1242447,1241936,1255729,1272346,1271480,1278250,1287768,1273407,1290167,1299684,1307651,1315224,1307668,1307137,1296381,1296562,1292797,1260231,1259910,1267184,1267691,1268483,1275006,1285847,1280836,1290822,1303641,1296955,1289074,1291510,1280513,1272557,1297756,1301531,1285465,1312479,1308535,1301524
"374","365","  PCE energy goods and services \1\","DNRGRX0",492733,503763,507616,495851,482636,499687,502916,514866,508911,489687,494545,491204,491649,503709,506308,514807,509400,508381,505760,513887,515319,516071,509129,515189,520392,516576,516902,517736,501336,510253,517433,515142,521075,517576,516418,503781,506808,500780,481079,496603,505833,500319,496476,495903,500047,500453,506971,508565,500259,490759,494363,485158,473367,492104,492752,476961,497719,496057,484856
"375","366","  PCE excluding food","DPXFRX0",6971247,7082645,7169251,7267797,7394569,7459477,7538885,7604948,7636412,7654263,7684149,7805676,7835113,7878779,7936594,7966800,8004409,8102857,8220199,8287353,8372348,8427645,8508820,8596257,8660100,8755377,8819988,8847255,8951465,8995764,9053035,9138100,9194453,9231435,9270356,9281540,9264766,9280346,9211451,9112937,9082203,9034294,9090748,9084676,9129430,9214703,9279832,9373627,9423488,9458199,9513092,9574982,9643965,9688391,9729238,9771268,9826421,9876641,9907676
"376","367","  PCE excluding energy","DPXERX0",7147940,7256724,7345114,7460488,7589576,7650925,7728343,7790981,7824656,7862272,7885933,8009795,8036260,8072234,8130017,8159159,8205600,8302903,8431321,8490184,8580160,8635137,8727336,8816695,8886720,8988136,9058885,9093990,9219669,9261698,9313133,9411688,9463611,9500772,9541884,9570751,9546162,9572741,9518478,9380256,9338091,9301151,9366033,9367949,9415417,9495237,9556910,9660813,9722940,9772445,9821423,9894702,9984948,10011505,10055325,10119176,10153386,10203820,10254468
"377","368","  PCE excluding food and energy \2\","DPCCRX0",6494559,6596374,6678671,6783451,6917702,6969088,7044884,7100619,7136092,7168875,7194342,7316148,7344703,7379127,7433909,7457217,7498214,7595960,7713578,7773420,7856313,7910499,7996912,8078502,8137414,8235732,8299988,8326408,8448415,8483187,8532773,8620545,8670902,8711774,8752113,8777719,8756855,8780027,8736211,8617080,8576683,8533920,8594099,8588688,8629378,8714651,8773044,8865443,8925131,8971716,9022662,9096800,9181342,9203219,9243745,9305863,9336008,9388818,9433694
"378",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","369","    Market-based PCE","DPCMRX0",6768094,6870236,6950401,7048180,7138732,7209761,7272757,7341874,7375107,7385168,7417386,7536978,7560537,7604569,7663169,7689316,7719602,7819354,7936199,7998722,8074296,8119953,8197409,8283138,8350308,8441897,8509687,8527307,8612445,8657512,8711870,8800560,8852881,8881847,8922286,8934403,8907622,8926023,8843643,8715434,8694425,8669093,8729982,8728510,8774784,8839356,8901542,9004582,9052166,9089562,9129504,9192132,9257918,9309445,9356861,9402602,9465606,9508541,9537402
"380",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","370","  Market-based PCE motor vehicles and parts","DMOMRX0",288567,308138,309262,301786,326614,303604,308063,307981,316874,309193,314996,368708,340010,344147,371412,346357,343269,361428,371527,365906,371405,366208,371240,374567,361980,379247,384490,334132,347618,347622,352950,351748,357428,361264,356448,355477,335822,320989,304777,269265,277015,278975,313739,281084,277368,290902,296182,312185,315288,300219,301587,320145,327535,325133,331242,342084,347708,348835,352688
"382","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",354799,365979,380255,396013,410380,418220,425108,429239,433201,437513,442432,459215,473770,479727,482707,491895,494817,518314,545627,562567,576126,585614,599283,610156,628800,644895,654478,672258,700574,699611,708055,722857,732743,743210,758565,765157,751245,764078,747339,707382,700711,693391,708270,722671,740152,757434,768750,785380,797089,812112,825712,841668,860336,874627,892375,911176,924886,947170,967417
"383",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",656906,663706,669720,680418,674014,684372,685646,692678,690579,695547,693510,695036,692675,694095,696964,703031,708607,707634,718459,717176,724194,724811,730493,738279,749635,752457,758949,767942,771210,778623,780338,791262,792773,788780,789458,792711,788883,792310,781889,762879,761054,766788,771485,778928,785755,780210,783490,795044,797536,800448,798543,797767,803421,808001,811296,813137,817252,815026,820809
"385","373","  Market-based PCE clothing and footwear","DCLMRX0",240368,242447,244059,244684,248664,254047,256817,258985,254820,256481,256177,260597,263544,263605,262022,270185,269214,276427,282522,283196,290386,287022,290014,295850,299841,306133,305292,314361,316239,314026,317298,320601,322651,322460,324999,323751,321185,330691,323818,311835,308045,302269,305478,308399,315435,320635,321407,331572,333613,337623,331817,335337,339322,335932,340210,338693,340157,345080,341863
"386","374","  Market-based PCE gasoline and other energy goods","DGOERX0",299488,305757,301565,302474,290983,295950,296593,294216,294966,290628,295398,295615,293942,296397,297524,297910,294844,293973,297378,300837,299788,300271,298364,298738,304202,296762,292330,298692,296252,294056,296101,303307,301631,297659,295463,292599,290164,285759,275861,281827,291862,284742,282297,279098,279326,282543,284191,282822,280419,273845,273574,273046,269920,274726,272466,268760,271725,271130,270605
"387","375","  Market-based PCE other nondurable goods","DNDXRX0",589995,593432,595536,619885,612439,626880,633667,643942,639511,644308,651603,659901,665789,663840,667012,675630,685992,693258,709188,721111,721773,730775,739663,744172,750602,756907,760783,771752,787247,793901,796905,812971,816180,819196,822583,821867,818595,828874,829845,815712,812536,802594,805329,810142,815494,822698,831019,839796,845686,852755,857107,863198,871217,873992,879001,888865,895109,903484,916022
"388",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","376","  Market-based PCE services","DSEMRX0",4439565,4485008,4536786,4586169,4643054,4700105,4737239,4785398,4814537,4819307,4829004,4842744,4876517,4907969,4925471,4944527,4962230,4995623,5029308,5063319,5101986,5136776,5176735,5228085,5260297,5305488,5353154,5368681,5389249,5427975,5457337,5493523,5524238,5543629,5568963,5577705,5599037,5602666,5584161,5567687,5543989,5539842,5542764,5548513,5562719,5586516,5618305,5660678,5686815,5721586,5751640,5773025,5802030,5832943,5849621,5863564,5893207,5906362,5900325
"390",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","377","    Market-based PCE housing services","DHSMRX0",1245532,1255384,1264815,1273837,1282923,1293347,1304941,1318118,1332243,1343679,1349559,1350559,1348626,1347678,1348758,1351875,1356931,1362220,1369714,1378445,1387514,1399267,1413453,1430131,1449080,1466975,1481468,1493265,1503250,1510934,1516663,1520177,1521419,1523405,1527428,1533306,1540824,1547571,1553720,1559250,1563683,1567348,1573001,1579397,1582051,1584624,1589440,1596335,1604983,1613610,1620697,1626797,1632558,1637989,1640460,1641353,1642759,1644423,1646129
"392","378","    Market-based PCE household utilities","DUTLRX0",269706,274951,281858,270727,268448,279992,282428,296264,289975,275886,276527,273714,275575,284459,286269,294103,292075,291511,285566,289234,290959,291296,286213,291769,291026,294520,299946,294021,279683,292559,298218,287060,295034,295732,297049,285673,292731,291625,280619,290717,289612,289898,287703,290476,294423,291277,296404,299872,293393,291084,296207,285326,275080,291083,294885,280284,301523,300201,287494
"393","379","    Market-based PCE health care","DHLCRX0",1167289,1171920,1181428,1192613,1199568,1215413,1223682,1236585,1254419,1268636,1287347,1307909,1333862,1353259,1363879,1371309,1379637,1386684,1397204,1406561,1416198,1432786,1453037,1467043,1473802,1483295,1501563,1503115,1511958,1519805,1527960,1541257,1549487,1556273,1570401,1576769,1593680,1596752,1600080,1604790,1616025,1628555,1634899,1630042,1626026,1640900,1657072,1672761,1681699,1692690,1689212,1709559,1730073,1731353,1741108,1750936,1756469,1771922,1775866
"394","380","    Market-based PCE transportation services","DTRSRX0",310529,314364,320654,324309,328635,332272,334500,335721,336180,334717,328462,322770,323324,320300,319786,319871,321660,320561,323811,325761,329028,331804,331776,333485,333905,334982,335934,333987,333245,335219,335063,338587,340306,340336,338947,336445,332118,326510,319565,306938,296540,291074,286952,284213,284593,286171,288039,289634,290431,293785,296062,296965,296549,298046,298774,298590,300760,300824,301780
"395","381","    Market-based PCE recreation services","DRCMRX0",233036,235200,238781,239908,240097,242512,242171,242789,243844,240972,239280,238639,239328,238661,237889,240041,239997,241604,244504,248264,250038,253360,254636,255599,257387,256930,258861,261266,261380,264909,266421,271124,275138,277331,280244,280200,281220,281190,278893,275349,272268,269898,269172,272623,274732,273974,277831,281939,279502,284495,288456,287272,289510,289404,288707,289673,289705,289473,289188
"396","382","    Market-based PCE food services and accommodations","DFSMRX0",493502,496500,498509,510485,518968,523582,525400,523579,527473,522119,519103,518253,526037,530031,530947,531673,535410,545503,554865,560535,566676,567390,572535,578383,581476,589733,593549,599349,607960,604152,607461,616728,613809,615262,615906,621563,613280,616827,610669,601090,590092,584149,582595,582102,588107,592927,596522,601255,608697,615822,620923,627484,634429,638491,640620,651015,655089,656346,656264
"397","383","    Market-based PCE financial services and insurance","DFIMRX0",79750,85096,89112,98510,110852,109483,111357,116408,112323,110660,106005,110633,111422,113960,116707,114205,109469,114200,116367,115598,118513,114840,113625,117197,115216,119436,122183,122419,125174,125550,124681,125122,127658,129160,130085,130004,128723,125450,126824,124182,123737,126165,127652,124880,121932,121599,114006,115077,117308,114699,119149,117142,116301,115464,107689,109421,112665,110978,109181
"398","384","    Market-based PCE other services","DOTMRX0",651607,660972,670246,679172,691891,704257,713425,716845,719208,723222,724217,720731,719031,721231,722703,724169,730190,735716,738760,740748,744630,747984,752959,755831,759797,760610,760403,761746,767098,775015,781087,793809,801731,806458,809125,813919,816557,816975,814473,805410,792074,782756,780736,784792,790970,795066,799074,803821,810723,815346,820861,822217,826947,830810,837319,841523,833805,831818,834054
"399",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","385","      Market-based PCE communication services","DCOMRX0",122566,127991,132989,136454,141265,148039,152132,153980,154507,157141,158130,157374,157905,159909,159460,159833,161492,163299,164771,164978,167389,171153,174014,175206,176463,178651,179843,180652,184449,188493,192240,200171,204931,209078,211974,216604,220291,221997,223278,220652,217774,216331,217102,220212,223482,225719,228332,230582,235977,239609,244474,244623,248595,250873,255568,261250,259854,259628,261276
"401","386","      Market-based PCE education","DTEDRX0",212244,213080,213995,215914,218168,220183,222549,224282,225629,226494,225392,224020,221463,220093,220705,218968,219037,219531,218854,217883,216575,214551,212992,213213,213973,213824,214188,214823,215511,216138,216004,217820,218460,219316,219753,220321,220086,220346,221228,220190,219513,218736,219581,221606,223581,224590,225390,226240,227608,228419,228856,229933,230452,230802,231612,231269,230146,231507,232511
"402","387","      Market-based PCE professional services","DPRMRX0",147397,147587,147585,147904,148318,148352,150034,150098,152037,153124,154597,154237,153490,153356,154333,156273,158964,160732,160509,160550,160452,158696,159967,160607,162039,160429,158773,158472,158460,160613,161533,162578,164132,163401,162273,161276,160979,160795,158975,156753,152566,149602,148004,145979,146257,146351,146467,145829,145365,144896,144082,143547,143601,143621,144619,144792,142471,142513,143131
