"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"372","364","  PCE food and energy","DPFERC0",84567,86734,88338,90452,92710,97604,104503,112820,116688,125065,134356,145011,151469,162309,181097,210501,233233,252934,275371,299818,345726,397569,432428,448321,464384,484193,502493,494984,509665,536883,574698,614144,629015,635833,655410,678490,695422,731567,749006,744882,787889,862723,891593,888591,956359,1033437,1141853,1220621,1293058,1385547,1269591,1343671,1460735,1488371,1517944
"373","365","  PCE energy goods and services \1\","DNRGRC0",22971,24178,24591,25796,26840,28114,30061,32210,34129,36233,38985,41505,44344,47837,54383,67463,76667,85637,95601,103706,127356,158402,177089,181181,187348,193090,199540,178570,185353,194076,209310,222968,226062,231368,241939,246381,251675,269688,274230,257446,272359,322145,327589,313539,356780,400833,473638,520361,555726,612663,499633,554771,627749,625107,633947
"374","366","  PCE excluding food","DPXFRC0",255910,269020,278220,298451,316609,341700,369137,399985,424852,468620,509116,544184,593865,654960,724424,788959,876187,982876,1096904,1230060,1371124,1515450,1682169,1806771,2009483,2207053,2419724,2581992,2767737,3004084,3227427,3434451,3557202,3811191,4057527,4308908,4540429,4806191,5085942,5415592,5801366,6261046,6542864,6810243,7164775,7625150,8122124,8597202,9007114,9232617,9072980,9412985,9878806,10286338,10617538
"375","367","  PCE excluding energy","DPXERC0",294536,307399,317375,337312,355639,383076,413518,448385,473281,521219,565502,606185,656646,721595,796755,864534,956086,1064536,1181074,1322466,1462138,1596215,1760418,1892731,2099172,2305064,2523137,2719837,2906697,3152814,3383505,3602658,3734093,3984287,4229061,4494636,4732502,4998381,5286490,5645584,6044537,6479480,6779277,7071757,7407576,7856923,8316703,8777102,9188720,9392839,9343306,9647114,10084044,10524495,10867588
"376","368","  PCE excluding food and energy \2\","DPCCRC0",232940,244844,253628,272656,289772,313588,339079,367777,390724,432385,470130,502677,549521,607122,670045,721498,799522,897238,1001302,1126355,1243770,1357047,1505084,1625591,1822135,2013963,2220181,2403426,2582385,2810006,3018116,3211486,3331136,3579821,3815591,4062528,4288756,4536504,4811714,5158150,5529006,5938906,6215272,6496706,6807995,7224320,7648489,8076838,8451387,8619954,8573347,8858210,9251058,9661231,9983591
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2783238,3012242,3237584,3453841,3572086,3793960,4004335,4233716,4449832,4697714,4951672,5234606,5594970,6003347,6276582,6518598,6853181,7281961,7747822,8181197,8576655,8815402,8705503,9012969,9483575,9884134,10212755
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172322,186459,189410,188372,169259,189148,205732,225463,227992,242195,258573,286109,314466,326252,344073,361644,364268,368455,367965,353678,358667,307454,287703,307482,333633,363720,387948
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253841,272839,286559,291961,291435,303283,326817,357328,380029,402810,422447,459089,504838,549344,558226,584022,616009,670510,717277,761166,784060,762652,706260,728738,761167,800954,838513
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323569,342074,364716,390536,402346,403889,412929,431598,443269,461432,474363,487055,515180,540261,563717,574771,599306,632264,667832,699795,736929,772464,769564,788505,832614,862713,883570
"384","373","  Market-based PCE clothing and footwear","DCLMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167572,178053,190226,195094,198923,210966,218767,227149,230958,239255,247181,257498,270806,280509,277526,278455,284876,297151,310307,319820,323265,319081,306048,320154,337934,354280,362286
"385","374","  Market-based PCE gasoline and other energy goods","DGOERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96369,99850,110439,124199,121129,125007,126882,129231,133405,144745,147662,132355,146545,184516,177985,167900,196412,232733,283770,319650,345546,389148,284500,333415,408945,417031,408733
"386","375","  Market-based PCE other nondurable goods","DNDXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222792,238887,260551,281010,294722,313521,330291,349273,369843,393506,418343,448586,494898,531136,560463,587391,618059,652894,685877,734992,765338,786535,807650,843907,885695,925867,962168
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1546772,1694078,1835683,1982669,2094273,2248146,2382917,2513675,2664336,2813770,2983103,3163915,3348236,3591329,3794591,3964415,4174251,4427954,4714794,4992096,5262851,5478068,5543777,5690767,5923588,6159570,6369537
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456460,491856,525130,564281,594722,627250,658318,700439,746669,785668,829560,884144,937988,997741,1072367,1119696,1162858,1225454,1313659,1396633,1459433,1523166,1570857,1588450,1637539,1695791,1743628
"391","378","    Market-based PCE household utilities","DUTLRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110058,117107,124131,125918,133752,136655,148555,153883,157607,167012,170626,171305,174554,188069,201983,200248,216976,226835,251134,266202,278183,295381,289422,299317,300886,294003,313997
"392","379","    Market-based PCE health care","DHLCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366011,410051,451209,506202,555759,612785,648809,680461,719886,752067,790949,832046,863590,918425,996564,1082873,1154646,1240115,1322285,1394226,1481787,1556486,1627380,1690701,1767774,1847646,1918601
"393","380","    Market-based PCE transportation services","DTRSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103098,114150,121848,126372,123674,133622,146099,161896,177946,194955,214308,227631,244091,263548,264704,258159,265464,276562,289385,302056,312216,311715,289694,292922,308232,318105,324349
"394","381","    Market-based PCE recreation services","DRCMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70339,79548,89410,98107,102518,111720,120098,125052,135674,145292,153804,164324,175715,186834,192301,197346,207928,221995,232422,247288,265878,274338,270990,279493,290767,304068,310803
"395","382","    Market-based PCE food services and accommodations","DFSMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198637,219774,236141,255965,266466,279226,291096,300779,308358,318572,335217,353413,371626,399854,410528,426841,451672,485548,518507,552330,580906,597455,584734,602406,641908,684591,718815
"396","383","    Market-based PCE financial services and insurance","DFIMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32869,31924,36057,37014,41544,45832,52347,52665,58916,65988,73294,81416,95851,110165,101807,105497,108726,113345,118185,123992,131451,131472,125608,121628,123283,123517,127284
"397","384","    Market-based PCE other services","DOTMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209301,229668,251758,268811,275838,301055,317595,338499,359280,384216,415347,449637,484822,526694,554336,573756,605981,638102,669218,709368,752997,788055,785090,815850,853200,891852,912062
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58679,61703,65651,68311,71996,79093,83465,90587,95932,104928,116370,125317,137493,152741,159088,162686,166848,172477,177797,189973,203303,217288,217855,226844,238088,251735,260051
"400","386","      Market-based PCE education","DTEDRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44543,49791,55648,60660,65157,70801,75032,79880,85502,92619,99785,107390,115367,125248,134385,139825,149662,159120,170733,183406,196576,208923,219859,235502,250882,264876,276124
"401","387","      Market-based PCE professional services","DPRMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44225,49955,54440,59464,61452,66157,69074,71412,73077,77508,82216,89708,96866,102782,110721,116615,126687,132231,137455,143892,151745,154982,149038,150956,153574,156964,159698
"402","388","      Market-based PCE personal care and clothing services","DPERRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32685,37743,41271,44450,42494,47452,49723,52866,57106,60233,64274,69050,74196,80392,83198,86467,91149,97740,103315,108066,111547,114269,109887,114931,119594,124789,121611
"403","389","      Market-based PCE child care","DCHCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9076,9337,11569,11465,10948,12013,12896,13603,14364,14412,15119,15774,17161,18363,19924,21047,22142,23138,23888,25567,28224,29348,30183,30828,31542,32532,32192
"404","390","      Market-based PCE household maintenance","DHMMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20093,21140,23179,24462,23790,25538,27405,30151,33300,34516,37584,42399,43739,47169,47019,47117,49494,53396,56029,58462,61602,63244,58268,56789,59520,60956,62387
"405","391","Market-based PCE food and energy","DPMFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508922,536151,574026,613505,628407,635258,654867,677979,694944,731121,748592,744500,787539,862405,891307,888309,956085,1033096,1141470,1220155,1292655,1385127,1269197,1343276,1460362,1487820,1517517
"406","392","Market-based PCE excluding food","DMXFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2459668,2670167,2872868,3063305,3169740,3390071,3591406,3802118,4006563,4236281,4477309,4747551,5079789,5463087,5712864,5943827,6253875,6649697,7079990,7481402,7839727,8042938,7935939,8224465,8650961,9021421,9329185
"407","393","Market-based PCE excluding energy","DPMERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2597885,2818165,3028274,3230872,3346024,3562591,3762397,3987335,4198157,4428025,4677443,4977161,5322611,5681203,5948991,6205060,6496402,6881129,7274185,7660837,8020929,8202740,8205870,8458198,8855827,9259028,9578808
"408","394","Market-based PCE excluding food and energy","DPCXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274315,2476091,2663558,2840337,2943678,3158702,3349467,3555737,3754888,3966593,4203080,4490106,4807431,5140943,5385274,5630289,5897096,6248865,6606353,6961042,7284000,7430276,7436306,7669693,8023213,8396315,8695238
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
