"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"302","295","          Tax preparation and other related services","DTAPRA3",5.063,4.972,5.663,6.366,5.811,8.824,11.794,14.273,18.538,20.285,24.222,25.512,23.87,26.122,27.745,29.415,32.402,32.473,35.325,33.691,31.894,27.494,25.53,25.944,28.146,26.755,29.074,31.184,32.434,38.624,45.764,49.977,55.65,59.455,64.499,67.78,62.614,62.311,61.892,68.072,73.797,78.451,84.548,89.284,92.459,97.58,100,98.212,104.724,110.04,99.974,93.381
"303","296","          Employment agency services","DGENRA3",96.019,107.596,99.087,104.382,110.526,111.796,121.321,132.204,129.41,153.041,183.08,167.831,175.373,194.95,190.202,170.899,145.343,166.151,186.861,230.89,217.868,228.516,230.743,192.769,187.401,194.046,210.03,201.982,190.68,210.286,222.048,238.011,185.665,170.634,143.984,119.152,102.764,85.75,90.34,91.307,90.636,89.405,76.643,67.017,65.711,71.994,100,121.838,146.356,121.586,79.496,78.129
"304","297","          Other personal business services","DTHERA3",16.245,17.285,17.353,19.173,20.632,21.461,23.271,24.224,22.345,23.915,26.012,23.889,24.467,26.147,27.572,25.125,23.937,27.707,27.539,32.835,34.889,33.3,32.878,27.746,32.406,35.078,33.183,31.319,31.654,34.088,33.753,31.2,26.956,26.089,31.361,42.694,55.553,68.874,80.575,89.578,95.229,99.913,95.897,93.445,96.317,99.132,100,100.364,99.138,90.991,81.125,82.592
"305","298","        Labor organization dues","DUNSRA3",41.808,44.502,45.238,46.352,47.048,49.348,50.751,53.347,56.289,58.188,61.292,63.148,62.844,66.014,70.894,72.058,74.05,78.448,82.286,86.278,88.486,88.301,88.101,93.83,94.492,99.664,107.581,113.75,116.277,118.178,119.813,124.427,127.743,130.31,130.366,130.239,130.701,130.302,131.761,125.063,120.477,115.724,108.37,103.588,104.65,102.984,100,100.252,100.435,104.524,102.901,98.805
"306","299","        Professional association dues","DAXSRA3",9.256,10.433,10.504,11.52,12.228,13.714,17.155,19.769,23.741,27.742,30.228,32.12,34.718,37.937,39.453,41.761,48.221,52.908,56.788,62.862,65.087,64.447,62.84,62.652,59.563,58.929,60.834,62.585,63.6,67.96,70.437,71.131,69.611,68.324,70.246,70.828,74.949,73.781,75.59,78.24,82.219,85.617,90.021,93.316,96.492,96.914,100,104.132,107.208,101.442,101.505,99.808
"307","300","        Funeral and burial services","DFUNRA3",78.887,81.298,80.775,83.305,85.761,85.486,87.734,90.367,90.8,95.478,95.558,96.085,96.882,98.906,98.777,96.737,94.5,100.758,103.786,106.452,102.462,102.672,96.512,89.123,84.08,85.671,90.065,88.557,87.502,93.915,94.605,96.843,96.846,100.481,100.464,96.991,97.549,95.54,92.801,98.466,100.636,101.856,106.82,102.837,106.268,99.69,100,93.751,89.556,87.064,82.34,81.84
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRA3",43.937,43.882,45.61,47.065,47.079,48.904,50.609,52.442,53.371,54.067,52.368,51.269,48.485,49.551,49.568,46.495,45.286,45.299,47.414,47.81,45.8,43.443,41.15,38.998,44.94,45.571,48.295,51.356,54.997,61.06,63.838,66.439,61.131,66.012,67.005,69.251,72.985,75.087,78.754,83.19,87.013,91.172,90.568,92.314,94.091,98.02,100,101.156,101.07,98.729,93.472,92.283
"309","302","        Personal care services","DPCSRA3",24.559,24.873,27.023,28.59,28.681,29.886,31.096,33.15,34.507,35.07,33.385,33.235,31.709,32.538,33.8,32.446,32.268,32.961,35.551,36.678,35.695,34.341,33.028,31.666,38.201,38.355,41.43,44.706,48.277,53.708,56.06,58.763,53.87,59.407,60.946,63.573,67.3,69.729,72.609,77.185,81.184,85.952,86.145,88.953,92.472,97.374,100,101.302,101.383,99.767,94.663,93.891
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRA3",38.344,38.31,41.798,44.789,44.496,45.825,46.724,49.637,51.055,51.104,47.775,47.679,44.934,45.24,45.362,43.613,42.727,42.649,46.817,47.552,45.527,42.975,40.177,37.636,45.266,46.364,48.974,52.001,56.974,60.339,61.948,62.522,61.895,66.45,64.519,64.994,67.44,68.396,73.383,77.069,79.63,83.491,84.301,87.268,89.963,96.427,100,102.511,104.466,104.638,102.857,105.116
"311","304","          Miscellaneous personal care services","DMPCRA3",8.385,9.102,9.683,9.581,10.123,11.198,12.821,13.885,15.23,16.484,16.837,16.602,16.581,18.176,21.103,20.166,20.908,22.642,23.37,25.059,25.304,25.306,25.633,25.54,30.957,30.112,33.691,37.243,39.366,46.942,50.061,54.937,45.745,52.264,57.312,62.115,67.147,71.103,71.767,77.288,82.833,88.582,88.107,90.742,95.149,98.376,100,100.041,98.188,94.761,86.395,82.72
"312","305","        Clothing and footwear services","DCFSRA3",153.131,150.979,150.285,151.09,150.668,155.97,160.425,160.729,158.969,160.36,158.901,152.158,142.166,144.474,136.709,123.612,116.316,112.193,111.086,107.072,99.331,91.509,83.946,77.589,80.324,83.47,84.346,86.281,90.296,99.686,104.697,106.801,99.281,100.88,99.083,99.399,103.21,103.633,111.446,115.164,118.061,118.986,114.117,110.208,102.708,101.459,100,100.379,99.403,93.207,87.146,83.768
"313","306","          Laundry and drycleaning services","DDRYRA3",157.521,150.985,146.968,145.413,144.311,154.716,167.717,177.158,180.772,181.034,177.261,168.231,154.495,154.556,131.178,116,105.503,100.323,100.327,101.191,95.03,88.666,79.439,68.91,71.735,72.709,69.789,69.318,73.591,78.804,79.959,73.969,76.006,92.988,92.556,95.412,99.136,101.201,110.199,114.508,117.743,119.229,114.887,110.64,100.942,100.085,100,102.45,101.38,95.307,90.018,85.272
"314","307","          Clothing repair, rental, and alterations","DLGRRA3",135.815,137.004,138.237,141.634,145.105,146.402,140.382,131.159,123.766,126.031,127.286,122.642,116.133,116.614,125.88,116.676,114.069,111.563,110.803,103.05,94.531,85.932,80.747,79.94,82.654,88.616,94.046,98.984,102.738,116.562,125.679,136.099,118.332,103.439,100.875,100.026,104.703,104.037,111.619,114.869,117.432,118.233,112.991,109.31,104.209,102.758,100,98.484,97.633,91.292,84.223,82.222
"315","308","          Repair and hire of footwear","DSCLRA3",395.394,415.952,443.943,445.032,391.702,368.392,386.747,373.641,364.686,372.87,368.994,368.961,368.982,445.595,431.512,388.594,359.945,347.897,319.727,289.008,265.092,243.355,225.429,200.27,201.691,196.368,188.925,183.5,187.235,197.605,203.303,212.179,204.135,204.717,190.58,163.355,153.581,142.138,131.559,132.282,134.632,127.084,118.926,117.378,108.98,103.943,100,96.164,94.691,88.935,87.233,83.189
"316","309","      Social services and religious activities (120)","DSOCRA3",8.966,9.1,9.391,9.256,9.757,11.266,12.333,13.74,15.212,15.776,16.259,16.839,18.142,19.97,20.43,19.208,19.57,21.327,22.985,25.106,27.115,28.274,29.797,31.723,33.804,36.413,40.873,44.495,48.146,49.108,53.377,54.624,55.384,58.483,61.184,63.307,65.568,66.975,68.959,72.758,77.019,81.617,87.771,91.41,94.569,97.862,100,102.804,106.768,108.752,109.922,112.699
"317","310","        Child care","DCHCRA3",10.824,11.253,11.523,10.982,11.793,15.089,17.294,20.454,23.564,25.239,27.147,29.057,32.729,37.902,39.099,36.78,38.112,42.75,47.063,52.072,56.018,58.092,59.886,62.338,66.227,70.899,78.078,84.221,92.066,88.555,103.704,96.311,86.223,90.136,92.364,92.661,94.006,90.842,91.822,91.373,94.546,95.917,99.086,99.588,100.257,101.041,100,101.374,107.458,106.851,105.104,103.023
"318","311","        Social assistance","DSCWRA3",3.427,3.563,3.648,3.477,3.734,4.777,5.475,6.476,7.46,7.991,8.595,9.2,10.362,12,12.379,11.645,12.067,13.535,14.901,16.486,17.736,18.392,18.96,19.737,21.008,22.569,24.941,26.997,29.342,30.791,32.461,34.936,37.287,40.022,42.552,44.918,47.376,49.751,52.501,57.708,64.012,71.52,80.965,87.361,91.303,95.866,100,103.454,107.156,110.75,113.553,118.507
"319","312","          Homes for the elderly","DELDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.719,36.433,38.409,41.338,44.119,47.356,49.876,52.131,53.916,55.496,55.835,61.848,68.402,75.623,85.511,90.997,92.902,95.589,100,105.761,105.831,108.124,110.546,114.349
"320","313","          Residential mental health and substance abuse","DMENRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.163,11.714,12.35,13.292,14.186,15.227,16.139,16.978,17.785,18.546,19.251,29.564,40.716,53.837,69.184,83.759,89.753,95.244,100,100.855,106.398,111.995,114.621,123.227
"321","314","          Individual and family services","DFAMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.021,35.7,37.637,40.507,43.232,46.404,49.498,52.423,55.647,58.81,62.964,65.697,70.101,75.287,82.747,86.199,90.482,96.156,100,107.293,114.764,118.394,122.838,127.826
"322","315","          Vocational rehabilitation services","DVOCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.172,40.056,42.229,45.449,48.507,52.066,55.449,58.637,62.069,65.419,69.615,74.576,79.125,86.308,91.143,92.868,96.308,98.519,100,91.872,84.623,86.796,91.037,92.698
"323","316","          Community food and housing/emergency/other relief services","DCFORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.801,18.68,19.693,21.195,22.621,24.28,25.897,27.433,29.135,30.81,33.037,39.363,47.066,55.465,65.124,73.028,79.018,88.123,100,102.941,108.5,117.474,118.495,125.578
"324","317","          Other social assistance, not elsewere classified","DSIARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.863,35.534,37.462,40.319,43.031,46.188,49.26,52.171,55.387,58.549,62.733,66.919,72.598,79.945,91.129,101.259,101.814,100.866,100,98.158,97.2,95.058,89.955,90.509
"325","318","        Social advocacy and civic and social organizations","DSADRA3",22.178,22.238,23.073,23.346,24.234,25.386,26.027,27.971,29.16,28.879,26.758,24.857,22.63,21.9,21.757,19.456,18.439,17.891,17.839,19.448,23.284,27.243,32.582,39.703,43.279,47.888,59.28,67.217,72.964,75.778,80.495,84.728,89.542,93.915,98.153,100.753,103.865,104.951,103.73,107.969,105.376,102.534,99.565,96.46,101.019,102.122,100,102.453,104.18,104.07,103.233,103.578
"326","319","        Religious organizations' services to households","DRELRA3",46.733,45.554,47.06,47.59,49.094,52.042,53.968,53.202,56.88,56.631,56.548,58.223,60.413,61.065,62.334,59.144,59.042,60.484,60.546,62.635,62.21,59.596,63.678,65.318,67.666,72.237,78.005,83.005,84.164,85.562,87.227,91.342,93.468,94.98,97.036,102.768,103.754,110.509,110.483,110.982,109.374,105.994,103.667,100.684,100.146,101.393,100,99.848,102.843,100.46,98.309,99.437
"327","320","        Foundations and grantmaking and giving services to households","DGIVRA3",13.047,17.254,21.957,25.2,29.9,27.543,46.049,49.057,47.107,42.704,52.658,60.51,89.904,78.022,71.341,90.843,89.453,95.791,108.051,96.034,116.983,120.845,122.568,136.852,149.81,157.168,168.84,180.453,196.411,214.627,246.857,242.756,262.762,262.016,265.192,243.76,235.401,220.026,249.489,225.755,197.946,168.814,127.156,96.665,94.984,101.215,100,113.11,124.557,113.352,103.05,109.245
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRA3",69.174,69.815,68.015,67.663,66.913,67.604,67.678,67.486,68.717,67.524,66.151,63.276,61.512,62.393,62.83,58.216,54.699,57.34,60.154,61.95,61.399,59.285,57.802,55.414,57.047,63.803,64.944,67.221,67.116,68.362,73.046,74.817,69.14,71.732,74.588,80.635,86.076,86.671,91.816,100.055,99.272,101.83,96.602,92.897,94.767,99.487,100,100.637,104.033,103.696,94.313,90.177
"329","322","        Domestic services","DDMSRA3",129.763,130.089,126.144,124.871,122.929,121.992,118.237,113.913,114.775,109.079,103.157,96.462,91.923,88.978,86.619,75.195,70.495,73.023,75.167,75.962,67.52,59.862,55.59,55.923,55.87,63.186,61.599,64.746,64.247,67.798,72.172,75.382,70.573,75.922,79.657,83.149,87.473,86.758,90.55,101.771,95.271,99.381,94.151,91.281,96.756,100.773,100,102.228,107.389,108.571,98.006,88.692
"330","323","        Moving, storage, and freight services","DMSERA3",14.944,15.387,15.479,16.393,16.962,16.848,19.088,21.644,22.51,26.035,29.338,31.156,34.129,38.391,41.727,44.694,41.818,45.462,50.046,52.392,57.653,61.045,60.767,55.635,59.905,71.228,73.7,75.694,71.029,64.575,69.176,66.859,59.836,60.881,64.017,72.989,80.617,84.073,94.277,99.854,104.267,107.867,98.84,89.599,88.561,97.217,100,100.58,102.403,100.767,88.031,88.778
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERA3",194.618,191.124,177.407,172.102,166.15,174.819,181.289,182.713,178.443,194.359,206.652,214.933,222.18,280.28,277.251,261.406,234.004,225.257,213.684,203.755,210.217,199.698,189.671,171.922,169.796,168.652,181.871,186.329,223.028,225.617,247.91,266.738,260.233,239.551,213.013,204.66,199.911,185.597,177.091,183.905,174.338,159.307,134.403,118.271,111.515,103.009,100,95.604,88.294,80.066,65.589,63.353
"332","325","        Repair of household appliances","DERERA3",51.614,58.135,60.598,61.057,61.637,63.883,68.206,76.128,84.895,78.35,72.336,60.188,46.807,37.098,40.528,42.073,41.494,44.996,49.995,55.699,70.77,73.609,76.412,61.074,61.052,60.807,61.276,55.324,52.623,54.928,54.656,52.406,54.749,54.83,61.228,77.873,99.107,109.814,123.146,125.886,124.075,120.242,112.253,106.98,108.233,108.316,100,98.085,94.534,89.205,84.838,82.641
"333","326","        Other household services","DMHSRA3",4.642,4.851,5.186,5.253,5.363,9.342,12.217,14.171,15.167,16.225,17.784,17.936,17.82,18.496,20.634,19.813,20.092,22.654,25.491,29.138,33.396,35.837,38.988,39.971,42.582,44.414,48.723,51.771,55.746,62.062,67.182,70.853,62.84,64.667,67.189,72.96,74.001,71.96,71.972,79.195,84.831,86.493,89.292,93.031,92.298,96.351,100,98.885,104.286,105.083,100.869,100.807
"334","327","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","328","        Foreign travel by U.S. residents (129)","DFTRRA3",11.29,12.623,12.672,13.612,14.606,15.063,16.216,16.856,20.006,18.942,20.808,23.534,23.256,25.561,25.046,22.961,22.501,23.629,24.432,25.312,24.689,24.193,25.202,28.931,33.356,49.199,54.215,49.072,61.2,63.457,64.637,67.679,62.119,65.467,69.109,73.306,73.023,76.032,83.01,93.385,96.516,107.051,101.269,94.863,91.989,98.805,100,104.358,102.516,99.352,94.77,97.369
"336","329","          Passenger fares for foreign travel","DAFTRA3",9.562,11.046,11.227,12.048,13.045,13.569,14.71,15.501,18.613,17.583,19.424,22.258,22.242,24.562,26.43,24.134,24.051,24.639,25.294,27.398,27.869,28.156,30.383,33.605,40.063,42.03,48.15,45.56,52.561,54.961,56.88,56.454,51.948,56.741,60.737,67.582,65.442,68.477,75.642,84.252,88.904,97.919,89.912,82.12,84.914,95.614,100,107.599,106.311,100.967,93.153,98.859
"337","330","          U.S. travel outside the United States","DUSTRA3",13.031,14.275,14.221,15.284,16.308,16.729,17.932,18.481,21.776,20.647,22.602,25.356,24.882,27.269,25.201,23.16,22.46,23.953,24.878,25.093,23.887,22.975,23.37,27.486,30.865,57.4,62.025,54.808,71.288,73.483,74.178,79.712,72.887,75.424,78.927,81.476,82.127,85.167,92.276,104.247,106.034,118.023,112.937,106.528,97.836,101.725,100,101.38,99.102,97.373,94.351,94.291
"338","331","          U.S. student expenditures","DUSSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.872,13.555,15.399,16.819,18.339,17.344,18.972,21.369,22.84,24.502,24.907,25.825,28.656,31.29,35.617,38.501,43.078,51.002,56.713,64.659,74.824,85.297,92.756,94.658,100,108.331,106.236,107.844,116.985,121.603
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRA3",8.153,8.508,8.699,8.587,8.923,10.237,11.216,12.329,12.49,13.116,14.404,15.542,16.532,17.911,20.341,21.905,23.611,26.628,26.734,28.517,30.209,33.09,36.389,33.754,30.181,40.792,40.59,46.281,49.685,57.237,66.987,74.977,78.831,86.791,90.309,91.446,96.974,102.921,105.652,103.018,105.337,109.778,98.695,94.072,89.686,96.887,100,100.314,107.87,119.075,108.859,114.58
"340","333","          Foreign travel in the United States","DFTURA3",7.312,7.631,7.802,7.701,8.003,9.181,10.06,11.058,11.202,11.763,12.918,13.939,14.827,16.063,18.243,19.646,21.176,23.882,23.976,25.575,27.093,29.677,32.636,29.6,25.603,36.99,36.741,42.861,46.36,54.472,64.895,73.323,77.35,86.062,89.79,90.932,97.075,103.604,106.492,103,105.217,109.753,96.583,91.014,86.355,95.868,100,100.626,109.198,121.465,108.293,114.936
"341","334","          Medical expenditures of foreigners","DMEFRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.447,95.65,92.21,89.65,89.547,88.931,87.061,83.609,81.599,78.854,76.449,73.869,72.06,72.487,74.403,83.519,89.62,93.897,101.086,105.963,97.992,88.967,89.123,89.022,100,103.759,103.692,106.449,106.407,106.295
"342","335","          Expenditures of foreign students in the United States","DEFSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.767,73.301,76.058,76.407,76.811,77.294,79.837,81.446,84.316,88.376,90.97,92.012,94.025,95.16,95.316,95.348,96.105,99.877,102.244,105.639,111.454,114.832,111.79,104.54,100,97.878,100.29,106.293,111.429,113.04
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRA3",4.831,5.382,5.519,5.684,5.881,6.532,6.827,7.097,7.469,7.983,8.108,8.546,9.008,9.557,9.648,9.471,9.521,10.054,10.216,10.763,11.131,11.661,12.592,14.595,16.787,19.386,20.921,23.716,25.488,29.313,33.498,40.339,45.892,55.008,59.319,64.235,67.19,71.267,66.37,72.682,77.908,83.975,90.38,98.71,103.311,102.804,100,111.066,115.829,128.888,130.876,132.264
"344","337","    Gross output of nonprofit institutions (133)","DNPERA3",14.921,15.534,16.213,17.066,18.034,19.448,20.555,21.937,23.287,24.995,26.311,27.593,29.518,31.28,32.176,32.556,33.785,35.563,36.905,38.986,40.095,41.272,42.971,44.767,46.43,48.021,49.709,52.192,54.269,57.26,59.323,62.823,65.152,68.659,70.349,71.837,72.794,74.736,75.923,79.689,82.462,85.667,89.82,95.059,96.546,98.417,100,103.223,105.918,109.222,111.024,113.146
"345","338","      Health, gross output","DHLGRA3",11.171,11.811,12.525,13.629,14.831,15.834,16.715,18.15,19.394,21.371,23.382,24.853,27.471,29.384,30.809,32.438,34.711,37.002,38.995,41.346,42.552,44.265,46.339,47.838,49.797,50.672,51.806,53.98,56.587,59.589,61.62,65.159,67.958,71.599,73.613,74.306,75.108,76.297,78.465,81.647,83.831,85.53,88.224,93.138,95.247,97.202,100,102.72,104.933,107.395,111.072,113.151
"346","339","        Outpatient services, gross output","DOUGRA3",6.698,7.34,7.972,9.222,10.334,11.915,12.953,13.164,11.224,11.746,11.482,11.611,11.62,12.419,14.087,14.633,15.636,16.751,17.696,18.199,19.02,19.265,20.899,20.62,23.647,26.531,29.077,31.723,35.039,38.068,40.653,46.324,49.37,52.99,59.458,64.467,69.825,72.368,72.997,74.726,76.504,78.666,83.075,91.852,95.261,98.399,100,102.533,103.917,102.282,104.745,103
"347","340","        Nonprofit hospitals, gross output","DHSORA3",13.02,13.516,14.2,15.295,16.476,17.201,18.153,19.749,21.488,23.682,25.984,27.685,30.729,32.868,34.215,36.133,38.743,41.361,43.586,46.295,47.632,49.661,51.983,54.04,55.658,56.046,56.878,58.947,61.158,63.572,65.728,68.782,71.897,75.391,76.651,76.457,76.143,76.795,78.539,81.972,84.194,85.854,88.079,92.679,94.755,96.992,100,102.978,105.681,108.911,112.93,115.808
"348","341","        Nonprofit nursing homes, gross output","DNXORA3",2.294,3.97,4.963,5.84,7.215,9.454,9.497,11.287,13.129,15.318,18.112,19.573,22.37,23.949,25.509,26.309,27.585,28.821,30.333,32.346,32.978,34.153,34.745,34.083,37.408,39.562,41.236,43.595,48.555,56.661,56.73,61.33,60.96,65.926,67.908,69.912,73.653,77.535,85.708,88.873,91.328,92.672,96.964,99.057,99.594,97.347,100,100.676,99.69,101.243,103.617,104.1
"349","342","      Recreation services, gross output","DRCGRA3",12.812,13.204,13.553,14.047,14.516,14.955,14.748,15.613,16.025,16.324,16.544,16.753,16.542,17.004,18.158,19.024,19.757,21.111,22.453,23.774,25.762,28.436,32.218,35.154,36.834,38.252,42.734,45.376,46.545,50.028,53.709,58.034,60.621,65.792,68.535,69.406,69.975,69.456,70.662,72.807,76.975,81.267,86.719,90.718,93.964,96.985,100,103.75,108.468,112.692,109.931,109.151
"350","343","      Education services, gross output","DEDGRA3",21.901,23.186,24.646,26.028,27.289,29.164,31.529,33.768,35.399,38.35,40.116,41.055,42.032,44.202,44.505,42.769,42.877,42.713,42.438,44.534,44.973,45.6,46.466,48.078,49.722,51.406,53.61,55.632,57.773,59.75,62.053,63.704,64.835,66.379,68.418,69.98,72.187,74.806,75.506,79.093,81.908,85.252,90.809,95.448,96.675,98.214,100,104.24,110.784,114.058,117.947,122.393
"351","344","      Social services, gross output","DSSGRA3",4.163,4.328,4.432,4.223,4.535,5.807,6.658,7.877,9.077,9.724,10.461,11.199,12.618,14.617,15.079,14.184,14.698,16.489,18.154,20.089,21.61,22.408,23.097,24.037,25.582,27.476,30.353,32.846,35.719,37.233,39.695,42.22,44.48,47.684,50.144,51.954,54.69,56.673,60.702,66.285,73.015,81.015,91.428,97.412,100.161,98.925,100,101.041,102.448,105.881,108.643,109.411
"352","345","      Religious organizations, gross output","DREORA3",36.387,35.469,36.641,37.054,38.225,40.521,42.02,41.423,44.288,44.092,44.026,45.327,47.03,47.536,48.521,46.032,45.948,47.064,47.109,48.734,48.401,46.365,49.539,50.814,51.699,53.424,55.932,57.734,57.605,59.022,61.063,64.905,67.416,69.076,71.411,77.037,78.585,83.987,83.189,87.506,88.658,89.996,94.309,98.031,97.421,100.06,100,99.852,102.847,100.464,98.313,99.441
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORA3",3.583,4.738,6.03,6.92,8.211,7.564,12.646,13.472,12.937,11.727,14.461,16.617,24.689,21.427,19.592,24.947,24.566,26.306,29.673,26.373,32.126,33.187,33.66,37.582,41.141,43.162,46.367,49.556,53.939,59.126,68.396,67.646,73.649,73.67,74.554,68.507,66.145,61.871,55.589,61.429,71.638,80.717,95.839,100.707,98.132,98.476,100,112.097,118.008,129.013,122.746,115.009
"354","347","      Social advocacy establishments, gross output","DSAORA3",4.265,4.434,4.541,4.328,4.647,5.946,6.815,8.06,9.286,9.945,10.697,11.45,12.897,14.936,15.407,14.493,15.018,16.846,18.546,20.52,22.074,22.891,23.599,24.565,26.132,28.044,30.959,33.477,36.364,38.129,40.139,43.137,45.972,49.307,52.09,53.924,56.696,58.476,60.677,62.082,66.376,71.194,77.553,93.41,99.964,97.949,100,110.554,119.991,130.689,131.927,131.939
"355","348","      Civic and social organizations, gross output","DCIORA3",12.749,12.925,13.425,13.589,14.156,15.435,16.153,17.714,18.874,19.484,19.498,19.77,19.845,20.402,21.014,20.125,20.706,22.034,23.093,24.042,26.593,28.602,31.385,36.06,37.843,39.329,44.984,48.1,51.002,53.809,58.423,63.229,68.715,73.436,75.523,75.621,76.246,75.149,73.924,79.787,84.073,89.392,95.447,102.54,107.269,105.587,100,100.251,97.586,99.805,98.025,96.077
"356","349","      Professional advocacy, gross output","DSNGRA3",26.264,29.834,28.213,30.164,29.756,34.662,32.456,35.969,36.365,42.368,39.317,42.274,40.224,45.325,44.537,46.302,46.715,51.664,51.465,55.946,55.503,58.936,56.703,63.666,61.996,71.895,67.241,76.963,72.252,86.802,79.351,94.324,89.828,105.298,94.382,104.392,96.851,108.409,95.858,103.51,98.747,108.298,98.447,110.039,100.827,113.631,100,113.72,104.979,127.31,106.143,117.754
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRA3",21.021,21.091,22.22,23.65,25.25,26.848,28.528,30.821,32.847,35.321,37.746,39.503,42.51,45.027,46.657,47.756,50.144,52.722,55.109,58.27,59.817,61.215,62.976,63.411,63.683,63.63,65.008,66.635,68.579,70.456,70.816,72.114,72.733,73.783,74.477,74.755,75.033,76.272,79.504,82.402,84.309,86.488,89.825,93.954,94.364,97.015,100,100.744,102.797,103.147,104.889,107.201
"358","351","      Health services to households","DHLRRA3",17.987,17.553,18.611,20.244,22.003,23.301,24.602,26.84,28.875,31.759,34.815,36.983,40.976,43.77,45.808,48.197,51.631,54.865,57.878,61.195,62.615,64.101,66.074,65.946,65.881,65.07,65.498,66.688,68.487,70.448,70.009,70.913,71.435,72.494,72.942,72.857,72.55,73.445,76.952,79.946,81.801,83.744,87.008,92.754,92.989,96.262,100,100.786,103.217,103.765,106.29,108.963
"359","352","        Outpatient services to households","DOUSRA3",6.419,6.978,7.52,8.633,9.611,11.076,11.969,12.148,10.534,11.009,10.845,11.01,11.047,11.788,13.297,13.776,14.669,15.598,16.472,16.73,17.266,17.309,18.518,18.051,20.255,22.105,23.631,25.24,27.471,30.065,33.188,39.103,43.098,47.501,52.181,56.132,60.532,63.136,65.767,68.133,69.363,72.918,76.507,85.817,89.348,95.906,100,97.847,97.691,100.477,101.949,103.999
"360","353","        Nonprofit hospitals' services to households","DNPHRA3",21.957,20.901,21.989,23.722,25.562,26.506,28.008,30.612,33.4,36.719,40.316,42.893,47.691,50.936,52.983,55.898,60.015,63.864,67.38,71.367,73.007,74.76,76.978,77.023,75.959,74.21,74.218,75.105,76.312,77.279,76.149,75.724,75.77,75.859,75.416,74.578,73.357,73.915,77.378,80.388,82.502,84.372,87.762,93.411,92.961,96.168,100,101.357,104.333,104.783,107.589,110.605
"361","354","        Nonprofit nursing homes' services to households","DNPNRA3",2.656,4.596,5.745,6.761,8.353,10.944,10.994,13.067,15.199,17.733,20.968,22.659,25.897,27.726,29.531,30.458,31.935,33.365,35.116,37.447,38.179,39.538,40.224,39.457,43.307,45.8,47.738,50.469,56.209,65.509,65.435,70.574,69.982,75.585,78.622,80.059,81.955,83.687,88.984,92.76,93.017,93.23,94.825,96.379,98.292,97.638,100,99.341,100.052,98.583,99.856,100.126
