"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"73","51","Less: Federal employee retirement plans (3-21)","M318531","4,115.0","4,215.0","4,640.0","4,673.0","5,055.0","5,600.0","5,654.0","5,827.0","6,045.0","6,393.0","6,164.0","6,293.0","6,520.0","6,619.0","6,455.0","6,398.0","6,709.0","6,803.0","6,572.0","6,483.0","6,622.0","6,834.0","6,568.0","6,384.0","6,330.0","6,518.0","6,471.0","6,251.0","6,517.0","6,325.0","6,495.0","6,442.0","6,709.0","6,739.0","7,062.0","7,235.0","7,715.0","8,074.0","8,413.0","8,183.0","8,227.0","8,121.0","8,436.0","8,038.0","8,265.0","7,895.0","8,310.0","7,730.0","8,038.0","7,621.0","8,341.0","8,568.0","8,811.0","7,998.0","8,335.0","8,320.0","8,694.0","8,359.0","8,581.0","8,919.0","9,083.0","9,515.0","9,737.0","15,656.0","14,212.0","14,628.0","14,915.0","15,198.0","15,149.0","15,394.0","15,546.0","15,704.0","14,865.0","14,977.0","14,865.0","15,604.0","14,857.0","15,375.0","15,757.0","15,799.0","15,551.0","15,940.0","16,184.0","16,201.0","15,340.0","16,400.0","16,136.0","16,816.0","15,598.0","16,829.0","16,892.0","17,144.0","17,079.0","17,244.0","17,162.0","17,148.0","16,698.0","16,810.0","17,006.0","16,175.0","16,570.0","16,647.0","16,906.0","16,408.0","16,511.0","16,664.0","16,716.0","16,420.0","16,389.0","16,386.0","16,693.0","16,198.0","16,395.0","16,614.0","16,995.0","16,821.0","16,769.0","17,214.0","17,350.0","17,232.0","17,397.0","17,639.0","17,716.0","17,618.0","17,656.0","17,894.0","18,202.0","17,737.0","18,102.0","18,205.0","18,431.0","18,210.0","17,908.0","18,443.0","18,506.0","19,307.0","19,789.0","20,690.0","21,300.0","20,233.0","20,849.0","21,180.0","21,488.0","22,137.0","22,021.0","22,032.0","21,205.0","30,012.0","18,130.0","19,673.0","19,419.0","29,115.0","18,214.0","20,214.0","19,438.0","30,838.0","19,177.0","21,363.0","20,929.0","27,427.0","13,280.0","20,165.0","18,750.0","30,475.0","18,177.0","21,575.0","19,657.0","33,714.0","20,790.0","25,033.0","21,118.0","33,175.0","19,423.0","24,138.0","20,601.0","39,734.0"
"74","52","Less: Other coverage differences (5+6-26-27-30-35-36)","M318541","-696.0","1,676.0","-65.0","-1,186.0","-105.0","514.0","921.0","650.0","131.0","469.0","452.0","-759.0","314.0","750.0","2,676.0","1,078.0","1,336.0","2,669.0","1,381.0","2,438.0","2,260.0","4,542.0","-313.0","1,278.0","3,086.0","2,089.0","-961.0","-574.0","3,086.0","5,033.0","932.0","-880.0","3,377.0","1,336.0","2,413.0","-3,082.0","46.0","3,472.0","-668.0","-2,853.0","-505.0","2,762.0","4,082.0","-946.0","376.0","-347.0","3,833.0","1,879.0","-824.0","3,484.0","7,251.0","-1,299.0","-608.0","3,690.0","5,109.0","-2,665.0","-934.0","9,712.0","12,868.0","-480.0","5,933.0","3,809.0","5,631.0","-12,852.0","-4,004.0","-2,250.0","-155.0","-9,856.0","-3,463.0","5,161.0","-963.0","-2,618.0","-2,338.0","3,501.0","2,341.0","1,688.0","-3,028.0","-5,232.0","-4,675.0","-6,951.0","-531.0","-4,875.0","-10,320.0","-7,339.0","-5,232.0","-28,133.0","-14,184.0","-18,104.0","-4,449.0","-16,009.0","-41,468.0","2,530.0","-13,591.0","-4,678.0","7,793.0","1,917.0","-619.0","7,549.0","11,806.0","-6,706.0","9,785.0","-2,532.0","5,867.0","-5,418.0","5,885.0","7,546.0","11,830.0","851.0","4,113.0","5,862.0","2,452.0","2,534.0","4,034.0","13,148.0","5,342.0","-3,473.0","3,197.0","7,592.0","2,837.0","-7,979.0","-609.0","8,405.0","10,218.0","-12,099.0","3,812.0","4,954.0","10,685.0","-6,243.0","705.0","7,856.0","14,736.0","-10,888.0","-1,962.0","1,241.0","17,649.0","-8,216.0","-11,372.0","6,364.0","9,472.0","-10,616.0","-556.0","-4,449.0","13,039.0","-10,001.0","-6,954.0","-3,133.0","17,493.0","-15,534.0","1,346.0","-14,575.0","9,195.0","2,827.0","-1,659.0","9,260.0","13,618.0","-8,224.0","1,285.0","-1,691.0","-5,225.0","-201,913.0","-59,073.0","150,520.0","20,048.0","-21,217.0","113,652.0","-21,696.0","49,385.0","3,339.0","-12,419.0","59,454.0","34,470.0","-13,785.0","-3,403.0","13,807.0","48,728.0","-5,012.0"
"75","53","Less: Timing differences (42-12)","M318551","-3,606.0","5,672.0","-943.0","-679.0","-2,398.0","6,737.0","-1,776.0","1,158.0","-3,219.0","3,970.0","-732.0","988.0","-5,832.0","4,721.0","650.0","1,121.0","-7,503.0","6,202.0","-786.0","-1,676.0","-4,046.0","4,950.0","-907.0","-348.0","-2,568.0","6,830.0","-2,501.0","-2,220.0","-5,332.0","4,862.0","-1,192.0","721.0","-5,454.0","8,945.0","-2,793.0","-2,108.0","-8,005.0","7,819.0","426.0","-2,487.0","-8,955.0","10,815.0","-145.0","-4,391.0","-7,642.0","14,873.0","243.0","-4,610.0","-6,885.0","13,168.0","4,058.0","-14,302.0","11,040.0","11,933.0","-2,214.0","-1,383.0","-9,280.0","4,282.0","-1,322.0","-1,650.0","-15,708.0","7,425.0","5,833.0","1,121.0","-8,026.0","8,906.0","-1,308.0","-182.0","-9,949.0","5,709.0","456.0","1,762.0","-6,157.0","6,450.0","8,466.0","-18,760.0","5,190.0","14,110.0","-138.0","-1,230.0","-20,682.0","17,859.0","-1,797.0","2,929.0","-17,698.0","18,457.0","2,796.0","904.0","-7,619.0","8,813.0","-2,907.0","272.0","-17,045.0","13,215.0","2,120.0","-26,590.0","8,954.0","22,708.0","-4,015.0","-3,474.0","-17,429.0","25,503.0","-10,965.0","1,411.0","-23,716.0","34,304.0","-7,998.0","9,856.0","-21,628.0","27,765.0","-4,970.0","-5,503.0","-22,955.0","32,174.0","-13,231.0","5,733.0","-22,531.0","30,673.0","-15,297.0","-17,853.0","5,283.0","22,744.0","-5,333.0","-3,794.0","-29,085.0","34,902.0","174.0","11,806.0","-21,272.0","28,883.0","-17,408.0","21,501.0","-12,404.0","12,697.0","-9,992.0","2,723.0","-31,558.0","23,245.0","-15,205.0","3,301.0","-33,270.0","29,119.0","-13,718.0","-11,958.0","-42,405.0","31,454.0","-743.0","-14,699.0","-64,170.0","43,794.0","15,372.0","1,136.0","-48,598.0","47,580.0","28,364.0","15,956.0","-19,932.0","67,059.0","11,682.0","15,291.0","-22,089.0","18,968.0","-16,759.0","-3,280.0","-12,995.0","40,077.0","-7,069.0","-36,163.0","-36,845.0","44,273.0","-50,906.0","16,058.0","-73,707.0","42,519.0","38,987.0","-17,392.0"
"76","54","Equals: Federal government saving, national income and product accounts (18-47)","M318561","488.0","5,188.0","-3,990.0","-6,794.0","-4,759.0","-3,453.0","-11,398.0","-15,151.0","-11,141.0","-9,233.0","-12,995.0","-17,454.0","-12,430.0","-6,197.0","-11,491.0","-18,768.0","-9,774.0","-7,344.0","-8,358.0","-12,213.0","-11,525.0","-5,357.0","-6,120.0","-17,644.0","-23,675.0","-26,621.0","-19,357.0","-27,323.0","-25,120.0","-12,142.0","-16,313.0","-26,279.0","-22,721.0","-5,691.0","-15,479.0","-28,016.0","-23,433.0","-2,250.0","-12,228.0","-21,914.0","-15,568.0","3,721.0","-11,077.0","-21,595.0","-22,841.0","-9,096.0","-22,406.0","-31,908.0","-27,233.0","-2,052.0","-21,976.0","-34,555.0","-38,457.0","-19,900.0","-41,012.0","-65,258.0","-52,583.0","-44,092.0","-47,862.0","-60,472.0","-46,199.0","-36,770.0","-44,619.0","-64,750.0","-46,998.0","-36,533.0","-45,634.0","-66,450.0","-50,670.0","-44,146.0","-52,822.0","-65,023.0","-51,566.0","-8,480.0","-38,675.0","-64,446.0","-44,185.0","-12,817.0","-36,237.0","-64,104.0","-46,273.0","2,729.0","-40,820.0","-72,279.0","-64,379.0","-11,216.0","-51,536.0","-73,789.0","-61,745.0","-27,569.0","-59,528.0","-97,365.0","-95,206.0","-49,397.0","-81,899.0","-106,153.0","-84,227.0","-61,334.0","-73,036.0","-93,213.0","-70,350.0","-38,534.0","-59,165.0","-85,635.0","-67,032.0","-32,679.0","-59,245.0","-81,885.0","-68,742.0","4,593.0","-43,326.0","-71,031.0","-51,581.0","37,005.0","-18,305.0","-58,284.0","-29,651.0","78,856.0","-687.0","-45,800.0","-19,176.0","94,402.0","11,230.0","-19,928.0","-7,623.0","152,916.0","33,939.0","-23,340.0","-19,015.0","141,195.0","-50,312.0","-57,882.0","-95,094.0","-8,903.0","-55,569.0","-111,378.0","-114,575.0","-52,957.0","-106,344.0","-129,662.0","-148,515.0","-59,541.0","-88,989.0","-102,721.0","-138,464.0","9,117.0","-72,055.0","-104,023.0","-126,606.0","62,405.0","-67,163.0","-96,735.0","-133,432.0","75,633.0","-79,224.0","-129,681.0","-193,060.0","-43,838.0","-169,318.0","-228,896.0","-331,621.0","-263,684.0","-308,992.0","-345,504.0","-410,636.0","-277,279.0","-309,705.0","-331,910.0","-403,104.0","-238,557.0","-290,958.0","-315,635.0","-377,314.0","-184,449.0","-265,834.0","-282,073.0"
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","1. In the NIPAs, pension plans are treated as ""pass-through"" institutions that hold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","financial assets on behalf of households, which are the effective owners. Pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","plans are classified as financial corporations that receive contributions and property",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","income on behalf of plan participants but do not have saving or net worth of their own.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Table 7.22 shows transactions of the federal government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Contributions for publicly administered insurance funds are transactions with the household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","sector and include the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","largely of U.S. Treasury receipts from sales of foreign currencies to government agencies. Includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","certain revenues collected from and repaid to U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","4. Includes proprietary receipts that are netted against outlays in the budget and that are classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","as receipts in the NIPAs.  Also includes some transactions that are not reflected in the budget data but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
