"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"378","369","    Market-based PCE","DPCMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2783488,3012341,3238216,3454082,3572698,3794036,4003927,4236824,4449953,4696572,4952890,5237523,5602979,6013418,6291231,6539813,6862616,7261339,7736030,8156142,8560088,8792811,8666808,8969934,9454788,9813071
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172322,186459,189410,188372,169259,189148,205732,225463,227992,242195,258573,286109,314466,326253,344074,361644,363405,362172,364927,351814,355628,302921,282782,302875,331597,365861
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253841,272839,286559,291961,291435,303283,326817,357328,380029,402810,422447,459801,506626,552552,563057,590756,618894,668992,715160,760161,788526,769586,713567,736689,772827,811926
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323569,342074,364716,390536,402346,403889,412929,431598,443269,461432,474363,486124,513219,537139,559421,569326,587253,612662,644150,673778,710853,746022,741970,760282,809843,828731
"384","373","  Market-based PCE clothing and footwear","DCLMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167572,178053,190226,195094,198923,210966,218767,227149,230958,239255,247181,257498,270806,280509,277526,278456,285637,298332,313638,326896,335015,330510,316548,331242,348822,365522
"385","374","  Market-based PCE gasoline and other energy goods","DGOERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96369,99850,110439,124199,121129,125007,126882,129231,133405,144745,147662,133359,148811,188836,183583,174562,209475,249423,303787,335246,364765,410459,299335,352383,428303,440256
"386","375","  Market-based PCE other nondurable goods","DNDXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222792,238887,260551,281010,294722,313521,330291,349273,369843,393506,418343,449103,496032,533011,563099,590816,620177,653125,686054,727727,758039,778598,798359,834281,882652,921231
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1547022,1694178,1836315,1982911,2094885,2248221,2382509,2516783,2664456,2812628,2984321,3165528,3353020,3595119,3800471,3974253,4177774,4416633,4708313,4980521,5247261,5454715,5514245,5652183,5880744,6079545
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456710,491871,525563,564097,595014,627325,657881,703562,746768,784475,829646,883910,939899,997740,1072617,1120877,1161830,1217097,1310068,1395358,1453360,1510456,1556531,1566441,1601573,1642397
"391","378","    Market-based PCE household utilities","DUTLRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110058,117107,124131,125918,133752,136655,148555,153883,157607,167012,170626,171305,174554,188069,201983,200248,217770,228489,253680,269903,283296,301127,295381,305339,306658,300968
"392","379","    Market-based PCE health care","DHLCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366011,410051,451209,506202,555759,612785,648809,680461,719886,752067,790949,832046,863590,918425,996565,1082873,1148152,1228489,1308890,1373655,1457692,1532617,1601588,1663026,1751620,1818098
"393","380","    Market-based PCE transportation services","DTRSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103098,114150,121848,126372,123674,133622,146099,161896,177946,194955,214308,227160,243284,262252,262724,256730,263207,273708,285961,297494,307022,305911,284482,287631,302022,312755
"394","381","    Market-based PCE recreation services","DRCMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70339,79548,89410,98107,102518,111720,120098,125052,135674,145292,153804,164706,176447,187919,193562,198775,209420,224246,235300,250395,269649,278075,272873,280429,293018,306703
"395","382","    Market-based PCE food services and accommodations","DFSMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198637,219774,236141,255965,266466,279226,291296,301149,308938,319412,336349,354586,372876,401199,412093,428714,454048,488424,522120,556766,586419,603920,592343,616424,655131,696978
"396","383","    Market-based PCE financial services and insurance","DFIMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32869,31924,36057,37014,41544,45832,52347,52665,58916,65988,73294,81416,95851,110165,101807,105497,112412,114440,119817,126702,136264,136318,128189,123855,123995,123245
"397","384","    Market-based PCE other services","DOTMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209301,229753,251957,269237,276158,301055,317426,338115,358721,383428,415347,450400,486518,529351,559119,580539,610935,641740,672476,710250,753558,786290,782859,809039,846728,878404
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58679,61703,65651,68311,71996,79093,83465,90587,95932,104928,116370,126417,139921,156553,165481,171226,175327,180424,184398,195215,207094,216620,215690,223585,232811,235188
"400","386","      Market-based PCE education","DTEDRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44543,49791,55648,60660,65157,70801,75032,79880,85502,92620,99785,107390,115367,125247,134385,139825,149525,158898,170343,182386,195685,209258,221200,236961,252194,265377
"401","387","      Market-based PCE professional services","DPRMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44225,49955,54440,59464,61452,66157,69074,71412,73077,77508,82216,89708,96866,102782,110722,116615,126271,131463,137889,143998,152328,156465,151135,152732,154980,164360
"402","388","      Market-based PCE personal care and clothing services","DPERRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32685,37827,41469,44875,42814,47452,49553,52482,56547,59444,64274,68984,74055,80170,82893,86467,90261,96762,102485,107388,111136,113859,109234,110915,117188,119923
"403","389","      Market-based PCE child care","DCHCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9076,9337,11569,11465,10948,12013,12896,13603,14364,14412,15119,15774,17161,18363,19924,21047,22151,23164,23934,25592,28280,29370,30225,30673,31604,32197
"404","390","      Market-based PCE household maintenance","DHMMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20093,21140,23179,24462,23790,25538,27405,30151,33300,34516,37584,42129,43148,46237,45715,45360,47401,51028,53427,55670,59035,60719,55375,54173,57950,61358
"405","391","Market-based PCE food and energy","DPMFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508922,536151,574026,613505,628407,635258,654867,677979,694944,731121,748592,744574,787843,863603,892609,889527,957124,1030241,1137893,1209880,1285995,1380192,1256669,1334343,1457584,1478656
"406","392","Market-based PCE excluding food","DMXFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2459918,2670267,2873499,3063546,3170352,3390146,3590998,3805226,4006684,4235139,4478527,4751398,5089760,5476279,5731810,5970486,6275363,6648677,7091879,7482365,7849235,8046788,7924838,8209652,8644944,8984340
"407","393","Market-based PCE excluding energy","DPMERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2598135,2818265,3028906,3231114,3346636,3562667,3761989,3990443,4198278,4426883,4678661,4979073,5328354,5686954,5958044,6219612,6492745,6843759,7242287,7620040,7984946,8158640,8152110,8395874,8807046,9163146
"408","394","Market-based PCE excluding food and energy","DPCXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274565,2476190,2664190,2840578,2944291,3158778,3349060,3558845,3755009,3965451,4204298,4492949,4815136,5149815,5398623,5650286,5905492,6231097,6598137,6946263,7274093,7412618,7410139,7635592,7997203,8334415
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
