"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"391","378","    Market-based PCE household utilities","DUTLRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110058,117107,124131,125918,133752,136655,148555,153883,157607,167012,170626,171305,174554,188069,201983,200248,217704,228350,253945,269678,282924,299975,294685,310495
"392","379","    Market-based PCE health care","DHLCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366011,410051,451209,506202,555759,612785,648809,680461,719886,752067,790949,832046,863590,918425,996565,1082873,1149269,1229730,1315952,1380732,1465418,1547210,1623224,1686497
"393","380","    Market-based PCE transportation services","DTRSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103098,114150,121848,126372,123674,133622,146099,161896,177946,194955,214308,227160,243284,262252,262724,256730,263091,273199,285900,296998,307109,306942,290120,299909
"394","381","    Market-based PCE recreation services","DRCMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70339,79548,89410,98107,102518,111720,120098,125052,135674,145292,153804,164706,176447,187919,193562,198775,208541,222171,231150,244959,262299,271538,269439,272421
"395","382","    Market-based PCE food services and accommodations","DFSMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198637,219774,236141,255965,266466,279226,291296,301149,308938,319412,336349,354586,372876,401199,412093,428714,452710,482267,513520,546310,577879,596977,588707,611705
"396","383","    Market-based PCE financial services and insurance","DFIMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32869,31924,36057,37014,41544,45832,52347,52665,58916,65988,73294,81416,95851,110165,101807,105497,111521,115858,120948,127682,137365,137739,130934,127126
"397","384","    Market-based PCE other services","DOTMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209301,229753,251957,269237,276158,301055,317426,338115,358721,383428,415347,450400,486518,529351,559119,580539,612901,647374,679522,724403,772115,809407,817179,828775
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58679,61703,65651,68311,71996,79093,83465,90587,95932,104928,116370,126417,139921,156553,165481,171226,175351,180771,185216,199588,212388,221644,224984,223174
"400","386","      Market-based PCE education","DTEDRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44543,49791,55648,60660,65157,70801,75032,79880,85502,92620,99785,107390,115367,125247,134385,139825,149536,159045,170422,182436,195756,210183,222759,235163
"401","387","      Market-based PCE professional services","DPRMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44225,49955,54440,59464,61452,66157,69074,71412,73077,77508,82216,89708,96866,102782,110722,116615,126735,132617,138744,145888,154787,159417,155629,158546
"402","388","      Market-based PCE personal care and clothing services","DPERRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32685,37827,41469,44875,42814,47452,49553,52482,56547,59444,64274,68984,74055,80170,82893,86467,91393,100068,105925,112394,118456,123558,123080,121966
"403","389","      Market-based PCE child care","DCHCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9076,9337,11569,11465,10948,12013,12896,13603,14364,14412,15119,15774,17161,18363,19924,21047,22185,23232,24050,25809,28562,30490,32026,31967
"404","390","      Market-based PCE household maintenance","DHMMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20093,21140,23179,24462,23790,25538,27405,30151,33300,34516,37584,42129,43148,46237,45715,45360,47700,51641,55166,58286,62167,64114,58701,57961
"405","391","Market-based PCE food and energy","DPMFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508922,536151,574026,613505,628407,635258,654867,677979,694944,731121,748592,744574,787843,863603,892609,889527,962851,1045940,1159862,1235361,1314024,1409617,1295872,1384795
"406","392","Market-based PCE excluding food","DMXFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2459918,2670267,2873499,3063546,3170352,3390146,3590998,3805226,4006684,4235139,4478527,4751398,5089760,5476279,5731810,5970486,6268918,6633035,7071239,7461175,7827965,8040775,7981071,8281836
"407","393","Market-based PCE excluding energy","DPMERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2598135,2818265,3028906,3231114,3346636,3562667,3761989,3990443,4198278,4426883,4678661,4979073,5328354,5686954,5958044,6219612,6491771,6842795,7240721,7620933,7988073,8180724,8240123,8499886
"408","394","Market-based PCE excluding food and energy","DPCXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274565,2476190,2664190,2840578,2944291,3158778,3349060,3558845,3755009,3965451,4204298,4492949,4815136,5149815,5398623,5650286,5898919,6214945,6576049,6923374,7251007,7405941,7462661,7698463
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
