"","Table 7#11# Chain-Type Quantity and Price Indexes for Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"82","71","    Services","B988RG",7.77,7.87,8.02,8.27,8.57,8.76,9.14,9.34,9.28,9.16,9.21,9.18,9.19,9.3,9.51,9.7,9.95,10.08,10.3,10.47,10.57,10.71,10.94,11.04,11.16,11.19,11.15,11.27,11.36,11.61,11.78,11.85,11.85,11.9,11.98,12.12,12.39,12.49,12.69,12.84,12.99,13.18,13.29,13.37,13.48,13.61,13.66,13.74,14.02,14.12,14.18,14.25,14.49,14.58,14.67,14.75,14.86,15.06,15.21,15.39,15.64,15.71,15.74,15.85,16.03,16.13,16.17,16.33,16.42,16.53,16.63,16.71,16.9,16.96,17.13,17.27,17.58,17.86,18.16,18.43,18.83,19.11,19.4,19.66,19.92,20.21,20.5,20.89,21.17,21.59,22.05,22.46,23.02,23.51,23.92,24.3,24.86,25.28,25.63,25.79,26.37,26.77,27.22,27.66,28.34,28.88,29.25,29.71,30.27,30.94,31.68,32.45,33.11,33.97,34.57,35.25,35.95,36.56,36.96,37.49,38.19,38.94,39.7,40.48,41.13,41.84,42.45,42.91,43.93,44.77,46.2,46.88,48.02,49.36,50.7,51.95,53.41,54.44,55.1,55.93,57.12,58.19,59.2,60.22,61,61.87,62.59,63.4,64.6,65.49,66.32,67.14,68.11,68.84,69.62,70.29,71.04,71.68,72.52,73.66,74.32,75.12,75.91,76.45,76.91,77.6,78.28,78.85,79.61,80.19,80.84,81.74,83.09,84.12,84.88,85.68,86.75,87.38,88.03,88.55,89.12,89.69,89.95,90.76,91.64,92.3,92.82,93.54,94.4,95.08,95.69,96.19,97.05,97.53,98,98.41,99.7,99.32,100.29,100.69,102.24,102.93,103.58,104.47,105.19,105.77,106.49,107.21,108.07,109,109.79,110.79,111.73,112.88,113.78,114.87,116.44,117.11,117.28,117.89,118.31,118.94,119.36,119.88,120.83,121.48
"83","72","      Compensation of general government employees, except own-account investment \3\","B987RG",6.1,6.17,6.27,6.49,6.74,6.93,7.22,7.43,7.35,7.28,7.33,7.31,7.39,7.52,7.7,7.82,7.97,8.06,8.26,8.41,8.5,8.6,8.77,8.91,9.01,9.05,9.03,9.18,9.32,9.52,9.72,9.77,9.82,9.86,9.86,9.97,10.18,10.24,10.39,10.52,10.66,10.84,10.95,11.05,11.21,11.31,11.33,11.4,11.56,11.65,11.71,11.79,12.05,12.17,12.28,12.37,12.48,12.68,12.84,13.01,13.26,13.32,13.35,13.47,13.65,13.75,13.8,13.97,14.06,14.17,14.28,14.34,14.54,14.59,14.74,14.86,15.18,15.42,15.71,15.97,16.38,16.69,16.98,17.23,17.46,17.75,18.04,18.37,18.61,18.98,19.41,19.77,20.3,20.74,21.09,21.37,21.9,22.27,22.58,22.71,23.29,23.68,24.15,24.55,25.18,25.7,26.08,26.37,26.71,27.12,27.61,28.14,28.72,29.64,30.37,30.99,31.68,32.33,32.76,33.2,33.85,34.58,35.29,35.98,36.57,37.19,37.72,38.09,39.07,39.75,41.04,41.51,42.43,43.54,44.72,45.88,47.18,47.97,48.46,49.28,50.4,51.36,52.46,53.6,54.55,55.54,56.36,57.24,58.5,59.43,60.33,61.31,62.34,63.15,63.94,64.67,65.48,66.16,67.05,68.29,68.99,69.91,70.73,71.28,71.9,72.74,73.52,74.26,75.16,75.93,76.85,77.95,79.49,80.63,81.66,82.59,83.87,84.63,85.51,86.4,87.23,88.07,88.52,89.6,90.71,91.42,92.1,92.99,94.01,94.76,95.42,95.92,96.82,97.23,97.73,98.28,99.78,99.22,100.27,100.73,102.31,103.03,103.78,104.58,105.54,106.25,106.94,107.8,108.89,109.94,110.81,111.88,112.81,113.92,114.92,115.97,117.36,118.41,119.24,120.18,120.79,121.53,122.33,123.16,123.94,124.79
"84","73","      Consumption of general government fixed capital \4\","B986RG",15.81,16.41,16.97,17.5,18.1,18.53,18.97,19.02,18.85,18.29,17.98,17.73,16.86,16.7,17.3,18.35,19.53,20.18,20.55,20.72,20.33,20.76,21.31,20.61,20.99,20.55,20.39,19.81,19.27,20.04,19.77,19.93,19.35,19.46,20.36,20.69,21.31,21.78,22.18,22.4,22.41,22.67,22.59,22.27,21.68,21.93,22.14,22.2,22.35,22.23,22.07,21.94,21.89,21.85,21.84,21.86,21.86,21.89,21.9,21.94,22.13,22.28,22.31,22.42,22.47,22.57,22.66,22.73,22.81,22.8,22.83,22.9,23.13,23.36,23.48,23.65,23.78,24.25,24.48,24.77,24.86,24.85,25.17,25.45,25.98,26.13,26.09,26.68,27.08,27.75,27.96,28.6,29.16,29.86,30.52,31.38,31.82,32.27,32.49,32.94,33.28,33.52,33.96,34.58,35.23,35.94,36.62,37.69,39.71,42.49,45.16,47.06,47.8,47.83,47.81,48,48.31,48.52,48.48,48.62,49.28,49.7,50.17,50.72,51.3,52.1,52.94,53.8,55,56.45,57.96,59.61,61.41,63.4,65.52,67.58,69.68,71.48,72.97,74.64,76.04,77.24,78.04,78.23,78.36,78.09,77.93,77.9,77.95,78.15,78.34,78.45,78.91,79.3,79.77,80.33,80.82,81.65,82.54,83.64,84.23,85,85.6,86.07,86.68,86.91,87.31,87.68,88.16,88.62,89.04,89.62,90.22,90.82,91.66,92.1,92.42,92.8,92.78,92.73,92.48,92.76,92.72,92.99,93.56,93.98,94.27,94.5,95.11,95.51,96.35,96.94,97.85,98.48,98.9,99.35,99.83,99.8,100.1,100.27,100.65,101.07,101.04,101.57,101.29,101.09,101.53,101.84,102.11,102.82,103.17,103.89,104.57,105.61,106.35,106.83,107.46,107.64,107.56,107.92,107.94,108.04,107.99,107.94,108.59,108.54
"85","74","      Other services","B575RG",72.15,71.08,72.19,72.65,75.06,72.51,78.14,78.69,80.5,80.18,81.39,82.4,81.47,81.27,81.37,82.12,83.99,83.74,84.27,85.87,89.37,89.76,92.82,93.8,94.19,95.85,95.41,96.72,96.56,96.89,96.34,97.6,96.47,96.61,97.72,99.56,101.2,102.7,104.64,105.93,107.47,107.2,107.95,108.64,108.77,109.63,111.35,111.78,124.44,127.81,129.29,128.55,127.91,125.51,123.98,122.34,122.67,123.42,123.49,123.18,123.67,122.58,122.12,120.92,120.48,119.59,117.92,116.28,116.12,116.19,115.7,116.61,114.7,114.64,115.66,116.78,116.25,117.04,118.25,117.02,116.6,115.7,114.24,113.75,113.47,113.78,113.9,117.27,118.89,120.81,123.15,124.61,126.49,127.89,129.92,133.83,136.09,138.88,142.09,142.57,142.49,143.5,142.21,143.24,145.8,145.08,141.09,149.57,156.35,161.26,167.06,175.47,179.33,179.24,173.83,180.58,182.18,181.47,181.2,189.22,192.03,194.77,198.6,205.47,209.49,214.39,218.01,221.06,221.13,227.44,235.94,245.28,257.06,268.98,272.63,270.34,274.51,288.51,296.49,285.54,286.47,291.51,280.43,272.89,260.33,257.22,253.7,252.54,253.72,253.91,251.84,245.43,243.91,240.43,240.99,238.15,236.19,233.63,231.39,227.38,226.37,221.9,221.58,222.02,214.51,209.82,207.79,201.44,196.73,189.99,180.09,174.36,171.04,169.2,159.39,156.45,153.15,150.08,145.83,136.22,131.54,125.01,120.29,114.89,110.26,110.23,106.62,104.32,101.87,101.4,100.36,100.57,100.29,102.01,101.89,98.72,97.55,100.08,101.18,101.2,105.19,106,106.51,109.95,108.72,108.94,110.74,110.01,108.75,108.33,108.86,109.55,111.07,112.98,113.03,115.54,120.53,117.72,111.1,108.42,107.45,107.86,104.98,103.16,106.42,106
"86","75","  Gross investment","B799RG",14.84,15.1,15.62,16.11,16.64,17.05,17.54,17.61,17.39,17.02,16.75,16.56,15.94,15.88,16.46,17.24,18.21,18.75,19.09,19.22,18.98,19.26,19.73,19.3,19.52,19.25,19.26,18.77,18.33,18.9,18.69,18.82,18.3,18.36,19.1,19.38,19.93,20.44,20.9,21.07,21.17,21.52,21.5,21.22,20.73,20.96,21.16,21.14,21.26,21.04,20.9,20.78,20.72,20.72,20.72,20.72,20.73,20.75,20.77,20.83,20.99,21.13,21.17,21.29,21.33,21.42,21.46,21.58,21.61,21.66,21.7,21.77,21.98,22.19,22.32,22.48,22.62,23.08,23.27,23.52,23.63,23.65,23.94,24.14,24.64,24.84,24.85,25.43,25.89,26.46,26.75,27.36,27.87,28.58,29.14,29.88,30.39,30.91,31.26,31.82,32.22,32.47,32.9,33.53,34.2,34.92,35.6,36.54,38.22,40.65,43.22,45.04,46.03,46.29,46.46,46.76,47.02,47.41,47.5,47.8,48.41,48.87,49.54,50.06,50.51,51.52,52.5,53.41,54.53,55.99,57.62,59.28,60.87,62.62,64.66,66.53,68.43,70.04,71.5,72.79,73.8,75.06,76,76.16,76.26,76.15,76.21,76.18,76.26,76.51,76.77,76.92,77.36,77.62,77.93,78.42,78.92,79.74,80.5,81.38,81.87,82.56,83.25,83.68,84.3,84.76,85.31,85.72,86.11,86.75,87.37,87.84,88.43,89.19,90.03,90.23,90.39,90.86,91.04,90.81,90.57,91.02,91.22,91.63,92.31,92.86,93.03,93.5,94.25,94.71,95.63,96.42,97.4,98.01,98.53,99.05,99.58,99.69,100.2,100.53,101.08,101.63,101.75,102.44,102.45,102.34,102.93,103.49,103.92,104.66,105.1,105.94,106.86,108.15,108.98,109.67,110.5,110.88,111.01,111.6,111.62,111.97,112.02,112.17,113.13,113.18
"87","76","    Structures","B842RG",13.29,13.52,14.02,14.49,14.99,15.38,15.78,15.81,15.59,15.3,15.06,14.87,14.26,14.19,14.68,15.36,16.27,16.78,17.13,17.24,16.99,17.28,17.74,17.33,17.51,17.26,17.29,16.81,16.39,16.9,16.68,16.79,16.25,16.28,16.94,17.17,17.67,18.2,18.65,18.8,18.92,19.29,19.29,19.02,18.56,18.79,18.97,18.91,19.12,18.9,18.76,18.65,18.59,18.59,18.59,18.59,18.6,18.62,18.63,18.69,18.86,18.99,19.03,19.15,19.19,19.28,19.32,19.43,19.46,19.5,19.55,19.61,19.81,20.01,20.15,20.3,20.43,20.87,21.05,21.28,21.38,21.39,21.67,21.84,22.32,22.5,22.51,23.06,23.5,24.06,24.33,24.89,25.39,26.09,26.64,27.31,27.81,28.33,28.67,29.23,29.62,29.86,30.3,30.95,31.61,32.32,32.97,33.92,35.59,38.04,40.54,42.18,43.06,43.21,43.29,43.51,43.71,44.03,44.03,44.26,44.85,45.24,45.86,46.28,46.64,47.58,48.51,49.4,50.37,51.79,53.47,55.14,56.67,58.37,60.39,62.27,64.13,65.65,67.14,68.35,69.38,70.66,71.57,71.69,71.78,71.64,71.66,71.62,71.63,71.94,72.22,72.47,72.85,73.13,73.49,74.01,74.66,75.52,76.34,77.11,77.76,78.58,79.4,79.91,80.56,81.01,81.53,81.94,82.27,83.02,83.7,84.19,84.96,85.8,86.65,86.75,86.74,87.36,87.61,87.24,87.05,87.62,87.97,88.48,89.22,89.89,90.1,90.81,91.66,92.21,93.4,94.64,95.86,96.64,97.42,98.17,99.07,99.5,100.38,101.05,102.08,103.09,103.63,104.87,105.33,105.53,106.61,107.68,108.5,109.74,110.52,111.74,113.06,114.88,115.99,117.1,118.59,119.21,119.49,120.67,120.81,121.47,121.74,122.04,123.48,123.77
"88","77","    Equipment and software","B881RG",27.03,27.52,27.87,28.34,28.78,29.21,30.77,31.54,31.7,29.95,29.59,29.59,29.61,30.08,31.56,33.5,34.48,34.67,34.24,34.69,34.85,34.7,34.68,34.45,35.12,34.71,34.5,34.46,34.34,35.29,35.6,36.14,37.21,37.79,39.37,40.53,41.22,40.31,40.11,40.41,39.87,39.26,38.93,38.68,38.38,38.38,38.68,39.68,37.28,37.38,37.45,37.28,37.46,37.43,37.4,37.42,37.46,37.47,37.47,37.48,37.4,37.39,37.36,37.33,37.32,37.39,37.42,37.56,37.54,37.61,37.58,37.63,37.76,37.86,37.77,37.94,38.12,38.32,38.45,38.9,39.09,39.2,39.33,39.99,40.4,40.58,40.72,41.22,41.49,41.72,42.04,42.82,43.2,43.45,43.69,44.81,45.24,45.42,45.59,45.79,46.11,46.33,46.47,46.62,46.93,47.54,48.25,48.62,49.74,51.15,53.49,56.32,58.06,59.27,60.18,61.25,61.99,62.89,63.77,64.6,65.27,66.2,67.2,68.38,69.55,70.77,71.99,72.75,74.83,76.26,76.88,77.9,79.45,81.18,82.85,84.21,85.9,87.86,88.79,90.37,91.02,91.97,92.93,93.4,93.51,93.6,93.86,93.9,94.32,94.24,94.37,94.02,94.69,94.88,94.87,95.15,94.84,95.43,95.84,97.22,96.87,96.88,96.83,96.9,97.31,97.81,98.43,98.81,99.48,99.64,100,100.32,100.19,100.6,101.4,101.98,102.88,102.69,102.54,102.93,102.51,102.4,102.02,102.05,102.46,102.56,102.57,102.11,102.52,102.67,102.68,101.97,102.15,102.24,101.91,101.72,101.09,100.26,99.66,98.99,98.14,97.29,96.17,95.29,94.08,93.19,92.5,91.79,91.2,90.72,90.32,90.26,90.18,90.17,90.36,90.08,89.37,89.19,88.99,88.28,88.02,87.62,87.14,86.93,86.68,86.2
"89",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","78","  Compensation of general government employees \3\","B194RG",7.2,7.25,6.66,6.71,6.84,6.94,7.04,7.16,7.37,7.39,7.41,7.55,7.52,7.39,7.52,7.36,7.79,7.6,7.62,7.72,7.9,8.01,8.1,8.22,8.24,8.32,8.26,8.38,8.44,8.61,8.67,8.73,8.84,9.15,9.18,9.23,9.37,9.53,9.63,9.67,9.81,9.94,10.04,10.16,10.47,10.65,10.77,10.82,10.99,11.05,11.09,11.13,11.29,11.32,11.57,11.66,11.71,11.83,11.9,11.99,12.16,12.2,12.24,12.46,12.63,12.69,12.71,13.04,13.22,13.31,13.47,13.55,13.69,13.74,13.94,14.22,14.44,14.58,14.82,14.93,15.1,15.35,15.55,16.01,16.21,16.44,16.89,17.15,17.27,17.48,18.18,18.43,19.28,19.65,19.94,20.19,21.02,21.45,21.77,22.12,23.04,23.35,23.66,24.25,24.78,25.21,25.62,26.14,26.4,26.77,27.26,28.1,28.73,29.46,30.08,30.92,31.41,31.94,32.33,33.08,33.78,34.4,34.92,35.95,36.32,36.78,37.22,38,38.78,39.38,40.35,41.41,42.2,43.09,44.04,46.11,47.11,47.79,48.16,49.69,50.61,51.43,52.22,53.46,54.13,55.02,55.57,56.2,58.89,59.67,60.49,61.19,62.64,63.22,63.53,64.44,65.11,65.69,66.38,67.36,68.22,68.93,69.48,69.89,70.93,71.89,72.57,73.04,74.43,75.02,75.68,76.21,77.77,78.88,79.56,80.7,82.35,83.05,83.97,84.79,86.31,87.24,87.66,88.09,89.65,90.26,91.06,91.86,93.01,93.89,94.1,94.65,95.73,96.01,96.67,98.19,99.94,99.23,100.15,100.68,102.58,103.17,103.72,104.5,105.45,106.12,106.85,107.73,109.22,110.21,111.01,111.82,113.67,114.44,115.22,115.89,117.71,118.66,119.34,120.04,122.1,122.88,123.56,124.05,126.31,127.04
"91","79","    Federal","B568RG",7.62,7.65,6.53,6.44,6.48,6.5,6.44,6.47,6.9,7.01,6.98,7.26,7.13,6.79,6.87,6.52,7.1,6.76,6.68,6.76,6.96,7.07,7.12,7.21,7.19,7.28,7.21,7.3,7.32,7.45,7.42,7.48,7.62,8.09,8.13,8.14,8.23,8.45,8.5,8.48,8.6,8.69,8.77,8.9,9.33,9.56,9.77,9.8,9.97,10.01,10.02,10.02,10.07,10.03,10.4,10.48,10.48,10.51,10.5,10.5,10.6,10.61,10.65,10.96,11.12,11.13,11.13,11.61,11.87,11.94,12.15,12.26,12.32,12.38,12.61,13.08,13.18,13.2,13.39,13.31,13.23,13.41,13.5,14.17,14.32,14.49,15.09,15.27,15.25,15.27,16.26,16.38,17.6,17.88,18.09,18.3,19.5,20,20.34,21,22.4,22.58,22.66,23.53,23.9,24.17,24.63,25.5,25.63,25.95,26.43,27.76,28.47,28.88,29.29,30.52,30.65,30.98,31.27,32.59,33.37,33.78,33.96,35.57,35.54,35.73,36,37.5,37.94,38.35,38.74,40.88,41.45,41.9,42.43,46.14,46.58,47.06,47.22,50.02,50.57,51.13,51.35,52.75,52.9,53.6,53.69,53.89,59.05,59.56,60.23,60.44,62.62,62.78,62.24,63.48,63.89,64.27,64.58,65.08,66.24,66.56,66.59,66.76,68.55,69.71,70.22,70.16,72.47,72.73,72.87,72.28,73.86,74.9,74.89,76.42,78.81,79.39,80.39,81.07,84,85.1,85.47,84.5,87.03,87.41,88.46,89.06,90.51,91.66,90.87,91.49,92.98,92.93,93.99,97.95,100.35,99.23,99.85,100.57,103.29,103.54,103.57,104.29,105.19,105.75,106.61,107.53,110.18,110.99,111.56,111.64,116.12,115.92,116.07,115.62,118.69,119.33,119.59,119.58,125.98,126.91,127.19,126.68,133.29,133.69
"92","80","    State and local \5\","B251RG",6.11,6.18,6.28,6.5,6.74,6.93,7.23,7.43,7.36,7.28,7.34,7.31,7.4,7.52,7.7,7.82,7.98,8.07,8.26,8.41,8.51,8.61,8.78,8.92,9.01,9.06,9.04,9.18,9.33,9.52,9.72,9.77,9.82,9.87,9.87,9.98,10.19,10.25,10.4,10.53,10.67,10.85,10.96,11.06,11.22,11.32,11.34,11.41,11.56,11.65,11.71,11.79,12.05,12.17,12.27,12.37,12.47,12.68,12.83,13.01,13.25,13.32,13.35,13.46,13.65,13.75,13.79,13.96,14.05,14.16,14.27,14.33,14.53,14.58,14.73,14.85,15.17,15.41,15.69,15.96,16.37,16.68,16.96,17.21,17.45,17.74,18.03,18.36,18.6,18.97,19.4,19.76,20.29,20.72,21.08,21.35,21.88,22.26,22.56,22.69,23.28,23.66,24.13,24.53,25.16,25.68,26.07,26.36,26.69,27.11,27.59,28.13,28.71,29.63,30.36,30.97,31.67,32.31,32.75,33.18,33.84,34.57,35.28,35.97,36.56,37.18,37.71,38.08,39.05,39.74,41.03,41.49,42.41,43.52,44.71,45.86,47.17,47.95,48.44,49.26,50.38,51.34,52.44,53.58,54.54,55.53,56.35,57.23,58.48,59.41,60.32,61.3,62.33,63.14,63.93,64.65,65.46,66.15,67.03,68.28,68.97,69.89,70.71,71.26,71.89,72.73,73.51,74.25,75.15,75.92,76.84,77.94,79.47,80.62,81.65,82.58,83.86,84.62,85.5,86.39,87.22,88.06,88.51,89.59,90.7,91.41,92.09,92.98,94,94.76,95.41,95.92,96.82,97.23,97.73,98.28,99.77,99.22,100.27,100.73,102.31,103.03,103.78,104.58,105.54,106.25,106.94,107.8,108.89,109.94,110.81,111.88,112.82,113.92,114.93,115.98,117.37,118.42,119.25,120.19,120.8,121.53,122.34,123.16,123.94,124.79
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94"," 1. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96"," 2. Consumption expenditures for durable goods excludes expenditures classified as investment, except for goods transferred to ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
