"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"164","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX0",744782,749895,754242,758886,763971,768761,773697,778914,785429,792683,799892,807161,814214,821625,829712,838219,847072,855561,863406,870603,877549,885549,894583,904946,916130,925208,930094,931234,930180,930721,933804,939449,947037,953642,959653,964689,968985,976776,988676,1004674,1023870,1040535,1052788,1060794,1068575,1074565,1076723,1075077,1069370,1065223,1064798,1067921,1072021,1074627,1076393,1077318,1077813,1078348,1078937,1079583,1080187,1080814,1081713,1082684,1083684,1084762,1085056,1084995,1084739,1084396,1084101,1083922
"165","157","          Owner-occupied mobile homes","DOMHRX0",29275,29303,29342,29446,29689,29896,30091,30293,30500,30690,30818,30882,30906,30942,30988,31049,31135,31208,31264,31310,31423,31873,32783,34153,35865,37195,37914,37964,37434,36895,36481,36157,35903,35646,35387,35106,34818,34564,34341,34150,33954,33547,32878,32021,30973,29884,28768,27646,26638,25883,25410,25196,24533,23783,23298,23069,23053,23036,22980,22885,22762,22657,22576,22513,22467,22410,22335,22249,22164,22079,21990,21902
"166","158","          Owner-occupied stationary homes","DOSTRX0",715508,720594,724901,729441,734284,738866,743607,748622,754930,761994,769075,776281,783310,790684,798725,807171,815938,824354,832143,839295,846128,853677,861801,870794,880266,888013,892180,893271,892746,893826,897324,903293,911135,917997,924266,929583,934167,942212,954336,970524,989916,1006989,1019910,1028774,1037601,1044680,1047954,1047429,1042731,1039340,1039387,1042724,1047487,1050844,1053095,1054248,1054760,1055312,1055956,1056698,1057425,1058156,1059137,1060171,1061217,1062353,1062722,1062746,1062575,1062318,1062111,1062020
"167","159","        Rental value of farm dwellings (22)","DFARRX0",11505,11505,11503,11510,11495,11526,11577,11654,11772,11816,11937,12117,12234,12303,12319,12276,12212,12332,12688,13295,14100,14741,15092,15119,14873,14668,14564,14550,14607,14640,14640,14603,14556,14672,15007,15555,16259,16940,17523,17992,18346,18676,18996,19298,19126,18826,18663,18631,17976,17234,16832,16763,16710,16602,16542,16525,16552,16576,16583,16573,16540,16502,16467,16434,16399,16377,16375,16391,16391,16381,16376,16371
"168","160","        Group housing (23)","DGRHRX0",967,981,1000,1020,1048,1069,1076,1068,1049,1039,1041,1054,1077,1096,1107,1111,1108,1105,1103,1102,1102,1100,1096,1091,1082,1067,1044,1014,980,955,943,943,951,955,955,948,935,922,911,901,892,885,881,879,880,883,889,899,909,918,924,928,929,930,932,934,941,947,950,951,950,953,964,981,1003,1021,1034,1041,1049,1058,1068,1078
"169","161","      Household utilities","DUTLRX0",209923,218038,225028,221246,229894,227675,219747,225465,221562,224084,223236,232397,225973,234157,235558,224280,229711,234178,240060,230580,228639,238471,240546,252330,246974,234974,235520,233123,234716,242274,243823,250494,249070,249089,244365,247755,249177,249725,245702,250759,250039,253895,258468,252317,239691,251846,258091,250233,252105,254464,257176,250671,256213,251727,242021,251640,252815,250053,249142,250848,253217,254115,258702,256254,250646,253771,258506,243846,234240,254771,258833,242236
"170","162","        Water supply and sanitation (25)","DWRSRX0",54886,55270,55607,55948,56452,57020,57511,57938,58142,58364,58610,58853,59021,59230,59542,59933,60724,61219,61578,61766,61835,61847,61949,62126,62263,62438,62607,62761,62814,62984,63231,63539,64118,64228,64012,63586,63256,63515,63635,63606,63493,63369,63622,64410,65245,65868,66031,66066,66075,66161,66195,66044,66100,66403,66416,66400,65723,64843,64036,63741,63554,63604,63516,63309,63032,62844,62960,62856,62807,62554,62232,62118
"171","163","          Water supply and sewage maintenance","DWSMRX0",45894,46123,46275,46399,46675,47038,47322,47535,47629,47671,47684,47645,47551,47563,47731,48036,48420,48731,48958,49068,49065,49095,49200,49366,49567,49788,50037,50304,50576,50813,51039,51238,51358,51350,51269,51048,50621,50329,50147,50068,50063,50167,50394,50727,51100,51442,51716,51908,52004,52039,52045,52001,51987,52013,52068,52136,51827,51360,50947,50581,50237,49909,49613,49341,49087,48908,48826,48833,48779,48676,48585,48497
"172","164","          Garbage and trash collection","DREFRX0",9167,9313,9486,9687,9903,10101,10299,10501,10606,10776,10994,11261,11508,11695,11833,11920,12310,12489,12617,12692,12761,12744,12742,12755,12697,12656,12582,12478,12270,12209,12231,12338,12782,12896,12764,12562,12650,13186,13482,13534,13429,13202,13229,13684,14144,14426,14314,14157,14070,14122,14149,14042,14112,14390,14348,14265,13894,13474,13069,13144,13308,13714,13943,14020,14004,14001,14223,14099,14107,13942,13682,13656
"173","165","        Electricity and gas","DELGRX0",155008,162682,169301,165208,173343,170568,162172,167440,163350,165636,164549,173485,166872,174943,176039,164121,168796,172825,178467,168600,166585,176611,178572,190189,184619,172515,172823,170218,171751,179225,180518,186967,184906,184805,180280,184132,185914,186197,182000,187145,186536,190541,194836,187911,174670,186010,192020,184176,186065,188345,191020,184668,190124,185359,175789,185284,187131,185253,185197,187271,189909,190777,195637,193335,187813,191318,196153,180861,170751,193014,197808,180046
"174","166","          Electricity (27)","DELCRX0",97198,101363,106368,102461,105409,105014,100463,103174,102061,100104,101830,108831,106863,113541,114980,106848,109327,111378,116177,109655,109959,117078,115498,119341,118639,113611,109918,111099,113670,119020,120681,120892,121245,121034,118470,121709,123773,123414,119369,125533,124585,126440,135214,128641,119171,127209,130252,126370,124531,125980,130942,128135,130046,125903,121089,124948,125174,120052,120859,125449,128574,129201,133126,130420,128215,131398,132199,123430,119761,130950,130495,123476
"175","167","          Natural gas (28)","DGHERX0",60496,64612,65624,66445,73510,69975,65428,68513,64527,71083,66606,67815,61699,62226,61406,57762,60254,62616,62913,59783,56819,59591,64219,72860,67144,59506,64387,59513,58005,60125,59462,67319,64177,64198,62099,62580,62186,62945,62965,61682,62031,64245,59546,59123,55401,58740,61867,57701,61835,62657,59966,56164,59995,59423,54652,60443,62311,67022,65793,61820,60800,61057,61715,62680,58611,58518,63785,56452,48080,61878,69754,55677
"176","168","    Health care","DHLCRX0",940372,944718,950403,954888,955314,964714,968297,980432,985708,991032,1001313,1010819,1023439,1028306,1033019,1033692,1035916,1040026,1048463,1058390,1064562,1078623,1085962,1097414,1113241,1125858,1142462,1160708,1183589,1200448,1209719,1216036,1220887,1223646,1230887,1237906,1246884,1260332,1276382,1286159,1302458,1306263,1312837,1314004,1327991,1332289,1329842,1341707,1356339,1360860,1364949,1373991,1385725,1395698,1401943,1402525,1410397,1420998,1427229,1424576,1418254,1429058,1445126,1463685,1478811,1489298,1486233,1499725,1513294,1508356,1518386,1527012
"177","169","      Outpatient services","DOUTRX0",418822,421652,424779,427022,430989,433762,435974,438138,439597,442332,446435,451603,455894,458635,460909,461651,462480,465449,469803,474927,480634,487490,492961,499953,506326,513662,521871,530207,540027,548844,556929,563919,568504,574092,581006,587549,594906,601778,609035,613692,619381,624011,628389,631971,635405,639676,642988,645869,646418,650063,655523,661860,668083,673774,677216,678775,675587,675954,676662,677698,677864,679203,683553,690378,699910,704886,705951,706553,709120,711324,712387,714960
"178","170","        Physician services (44)","DPHYRX0",208160,208750,209463,210209,213259,213977,214534,214942,216401,218743,221124,223505,225562,227336,228819,229906,230686,232232,234882,238534,242896,247031,250775,254040,256883,260346,264709,269906,275837,281513,286945,292034,295780,299488,303638,307847,311661,315706,319732,323642,326994,329831,331998,333372,336798,340213,342212,342624,340815,340632,342661,346964,351294,355299,357919,358894,356719,355378,355372,355685,355588,354755,355934,358763,363455,365652,365352,364552,365777,366370,365675,366108
"179","171","        Dental services (45)","DDENRX0",71070,71256,71078,70762,70942,71396,71706,72016,72220,72520,72969,73589,74160,74720,75211,75600,75883,76271,76844,77560,78367,79211,80094,80995,81890,82874,83985,85206,86441,87230,87527,87295,86646,86266,86430,87038,87825,88595,89133,89413,89410,89282,89083,88777,88519,88477,88638,88973,89368,89678,89929,90097,90201,90020,89677,89149,88002,87160,86731,86755,86301,86142,86885,87851,89612,90403,90643,90705,90919,90679,90520,90639
"180","172","        Paramedical services (46)","DPMSRX0",140832,142900,145437,147166,147750,149407,150784,152265,152006,152029,153257,155409,157069,157484,157790,157060,156827,157850,158950,159646,160111,161943,162754,165581,168229,171119,173833,175712,178316,180602,182873,184901,186296,188481,191032,192736,195484,197531,200207,200658,202980,204894,207304,209827,210115,211042,212206,214328,216270,219810,223018,224922,226761,228710,229952,231129,231321,233944,235139,235850,236616,238982,241398,244429,247454,249432,250552,251910,253057,254987,256965,259033
"181","173","          Home health care","DHHCRX0",50240,51323,52965,53721,54019,54499,54959,55074,53996,53117,53143,53540,53386,52146,51093,49876,49239,49031,48866,48023,46741,47002,46246,46502,47333,48293,48880,48360,48471,48540,48621,49639,50030,51080,52203,52478,53385,54235,55336,55527,55693,56475,58032,59438,60015,60300,60702,61659,62809,64387,65704,66149,66626,67453,68429,69101,69371,70905,72171,72959,72623,73199,74293,75546,77213,77861,77576,77496,77557,78702,79949,81458
"182","174","          Medical laboratories","DMLBRX0",11210,11004,10752,10924,11055,11501,11878,11979,12317,12744,13228,13763,14325,14835,15277,15642,15944,16304,16754,17287,17888,18524,19193,19888,20576,21135,21537,21776,21885,22059,22351,22758,23364,23964,24571,25152,25649,26116,26513,26831,27073,27345,27674,28049,28585,29052,29345,29447,29223,29251,29588,30208,30749,31329,31828,32171,32166,32370,32611,32673,32695,32749,32791,33114,33622,33515,33339,33262,33381,33256,33220,33271
"183","175","          Other professional medical services","DOMDRX0",79112,80323,81496,82283,82425,83119,83628,84906,85393,85872,86576,87780,89037,90228,91183,91335,91450,92331,93150,94186,95393,96325,97260,99154,100263,101619,103350,105563,107983,110057,111979,112554,112939,113456,114266,115115,116458,117186,118359,118301,120215,121071,121597,122342,121532,121716,122191,123259,124278,126217,127780,128621,129450,130019,129840,130032,129968,130887,130635,130530,131570,133276,134560,136035,136952,138357,139858,141308,142247,143165,143953,144511
"184","176","            Specialty outpatient care facilities and health and allied services","DOMSRX0",58938,59783,60645,61273,61429,61922,61322,59489,58723,58740,58926,59519,60118,60683,61057,60693,60357,60735,60957,61310,61779,62037,62391,63810,64524,65301,66187,67259,68283,69109,70045,69953,70552,71216,72003,72717,73847,74233,74951,74347,75786,76400,77015,78183,78381,79425,80246,81182,81911,83334,84235,84350,84854,85397,85407,85940,86006,86970,86736,86627,87580,88813,89906,90833,91284,92223,93199,94199,94931,95496,95900,96311
"185","177","            All other professional medical services","DOMORX0",20178,20543,20855,21014,20999,21200,22309,25420,26672,27133,27651,28261,28919,29545,30127,30642,31093,31596,32194,32876,33614,34288,34870,35344,35740,36318,37163,38304,39700,40947,41934,42601,42387,42240,42262,42398,42611,42952,43408,43954,44429,44671,44582,44159,43150,42291,41945,42077,42366,42883,43544,44271,44595,44622,44433,44091,43962,43917,43899,43903,43990,44463,44654,45202,45668,46134,46659,47109,47316,47669,48052,48199
"186","178","      Hospital and nursing home services","DHPNRX0",523471,524915,527430,529660,525812,532566,533900,544153,548060,550635,556880,561148,569632,571709,574139,574025,575442,576474,580514,585265,585440,592615,594289,598602,608152,613295,621646,631564,644688,652649,653568,652647,652790,649793,650007,650402,651974,658559,667364,672481,683092,682245,684436,682037,692555,692628,686973,695888,709835,710739,709442,712200,717732,722044,724858,723914,734752,744822,750258,746663,740315,749607,761177,772823,778517,784023,780022,792603,803396,796514,805249,811202
"187","179","        Hospitals (51)","DHSPRX0",424008,424464,425846,426974,423016,429230,429816,439791,442527,443883,448984,452078,460091,461179,463958,464098,466612,468457,472248,476972,477469,483529,485894,490335,499372,504617,513471,522656,535079,543250,543725,541443,540519,536668,536820,537723,539396,545357,553169,559429,568480,567535,569241,566442,576400,576709,572152,581345,593293,593233,591015,593115,597531,601944,605779,605243,616568,624919,629845,625601,619495,627823,638548,647759,654513,659178,653851,666498,677107,671182,681544,687875
"188","180","          Nonprofit hospitals' services to households","DNPHRX0",283221,282685,283059,283343,280424,284194,284571,291730,294135,296327,300913,302998,308904,308930,311175,311814,314482,316444,319581,322956,322255,325954,326207,327901,332609,334544,340421,347078,356269,362604,362535,360433,360136,357482,358053,359231,361624,367370,374670,380734,387450,386289,386713,383098,390563,392043,388206,393681,404528,406377,400179,399351,401632,404424,406795,404522,413064,418143,420929,417424,413671,420492,429940,436456,438649,439220,431950,442123,452160,445121,455375,460632
"189","181","          Proprietary hospitals","DFPHRX0",46185,46738,47479,48363,49030,50464,50964,52168,52287,52328,52955,53357,54349,54450,54312,53477,53277,52883,52873,53221,53114,53813,53870,54170,55849,56933,58235,59678,62428,64338,65437,66344,67291,67398,67686,67660,67000,67057,67396,67432,69673,69736,70763,71261,73462,71896,70695,73870,74370,71632,74455,75940,77633,79041,79798,80357,81954,84349,85821,84647,82083,83259,83964,85867,89511,92816,94129,96155,96207,96690,96130,96528
"190","182","          Government hospitals","DGVHRX0",94606,95045,95312,95272,93566,94576,94284,95897,96108,95231,95119,95726,96842,97802,98475,98810,98856,99134,99797,100798,102103,103765,105821,108267,110918,113143,114819,115903,116386,116310,115756,114668,113093,111790,111082,110834,110772,110930,111103,111263,111357,111510,111766,112083,112376,112769,113251,113795,114394,115223,116381,117828,118266,118477,119188,120365,121550,122428,123096,123530,123741,124073,124644,125437,126353,127143,127774,128221,128741,129372,130039,130716
"191","183","        Nursing homes (52)","DNRSRX0",99241,100350,101583,102780,103001,103431,104238,104322,105551,106850,107991,109191,109576,110596,110199,109932,108779,107927,108160,108165,107840,108954,108256,108130,108656,108571,108121,108884,109635,109479,109906,111227,112275,113114,113176,112671,112576,113201,114195,113053,114612,114709,115194,115598,116151,115915,114820,114521,116524,117494,118418,119073,120185,120080,119072,118664,118205,119920,120436,121074,120832,121799,122644,125076,124033,124872,126184,126117,126296,125339,123693,123308
"192","184","          Nonprofit nursing homes' services to households","DNPNRX0",33354,33457,33694,34027,33974,34215,34573,34614,35519,36280,36884,37390,37481,38268,38294,38226,38207,37988,38185,38312,37987,38448,38272,38336,38797,38886,38818,39157,39380,39340,39499,39992,40337,40531,40399,40084,39822,39939,40213,40304,40609,41057,41465,41023,41026,40725,40576,40746,40911,41262,40840,41226,40898,40779,40224,39927,39570,41340,41526,41487,41192,40861,40881,41744,41378,41310,41038,41287,41011,40096,41221,41485
"193","185","          Proprietary and government nursing homes","DFPNRX0",65887,66892,67889,68753,69027,69216,69666,69708,70033,70570,71108,71801,72095,72328,71905,71706,70571,69940,69976,69853,69853,70506,69984,69795,69858,69685,69303,69727,70255,70139,70407,71235,71938,72582,72777,72587,72754,73263,73982,72749,74003,73651,73729,74574,75124,75190,74244,73775,75612,76232,77578,77847,79287,79301,78848,78737,78634,78580,78909,79587,79641,80938,81763,83331,82654,83562,85146,84829,85285,85243,82472,81823
"194","186","    Transportation services","DTRSRX0",208708,211043,215529,220166,225642,229181,233028,237699,244466,247441,251212,252250,254539,257684,260611,263964,267645,270883,276239,279297,282932,285929,287667,288480,288562,287143,281765,276990,277758,275372,275081,275267,276231,274925,277455,278930,281672,284108,283925,285348,285595,286384,286883,284982,283681,285234,284941,287968,289227,288997,287760,285608,281617,276552,270120,259709,251478,247070,243677,241601,241042,242546,244542,245862,246872,248590,250371,249662,250638,252442,253397,254199
"195","187","      Motor vehicle services","DMVSRX0",155801,158492,163084,166118,169826,172732,175708,179551,184866,188298,191764,193027,193220,194394,195957,198042,201227,204544,207850,209748,211836,213189,213884,214531,214375,213981,212001,209840,206477,204221,202684,202024,202274,202081,203044,203663,204001,205166,206356,207719,209093,209578,209722,210070,210115,209315,209473,210630,211376,212068,211620,209007,206132,202910,198117,191345,182856,177155,174167,172541,173290,175401,177299,179119,180261,181112,182865,183869,184809,186785,188818,190111
"196","188","        Motor vehicle maintenance and repair (60)","DVMRRX0",122492,123695,125277,126983,128646,129605,130678,131666,132858,134060,135294,136590,137705,138849,140080,141338,142547,143727,144942,146108,147159,148171,149187,150164,150961,151282,151089,150334,149180,148472,148500,149228,150441,151450,152307,152812,152754,153055,153621,154419,155239,155567,155310,154395,152212,150496,149955,150525,151572,151866,151099,149180,146058,142643,139255,135773,131579,128335,125911,124304,125078,126426,127778,129395,130100,131104,132011,132465,132541,133696,134260,134552
