"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"64","56","          Pleasure aircraft","DAIRRX0",956,909,940,892,913,922,903,985,1069,1050,842,1008,985,943,872,900,896,946,885,959,938,974,1031,1045,997,991,1026,996,947,953,979,1031,991,943,995,960,968,984,1002,981,1153,1119,1089,1101,1132,1066,1125,1085,1074,1024,1143,1092,1030,1027,1078,946,994,1077,1221,1026,1117,1180,1180,1083,1033,1087,1022,1088,1171,1179,1111,1245,1357,989,867,1110,1102,1053,1006,995,894,905,961,905,828,966,898,975,939,911,1030,971,1182,914,1000,999,966,911,907,943,1009,1034,1004,1118,1081,1070,1105,1055,1316,1064,1119,1057,1029,1015,1149,1135,1149,1231,1182,1244,1195,1306,1266,1238,1295,1317,1210,1225,1118,1184,1067,1206,1133,1259,1382,1333,1140,1117,1169,1124,1191,1201,1638,1278,1465,1088,1271,1391,1446,1266,1301,1373,1452,1544,1323,1447,1377,1206,1197,1028,1347,1347,1366,1382,1079,1022,1109,1029,1160,1141,1107,940,1153,1213,1303,1199,1423,1346,1523,1500,1449,1387,1395,1614,1462,1431,1480,1632,1649
"65","57","          Other recreational vehicles","DREVRX0",8815,8075,8937,8857,9400,9758,9235,9446,9455,9102,7665,8846,9124,8649,8353,8686,8897,9021,9055,10254,9450,9112,9730,9872,9620,9798,9715,9700,9411,9610,9466,10207,9964,9806,10339,10478,10192,10674,10674,10376,11057,10488,11291,11179,11619,12006,11365,11783,10253,12464,11814,11961,12204,11908,11706,11504,12094,12853,12692,13067,14201,13547,13250,12428,12021,12378,12110,11688,11929,11834,11251,11303,11465,10844,11472,11912,11486,11238,11584,12081,10954,10806,12351,11785,11831,12445,11682,12331,11855,12228,12155,12710,12837,11878,12959,12770,14305,12428,12785,13055,14294,13484,14617,14272,13659,14588,13380,14471,14396,14657,14713,13803,13772,13905,14183,15460,15231,16213,15976,16399,15285,15189,15621,14287,15615,15646,16446,15298,15358,14252,15604,14437,15495,15715,14393,15188,14561,14382,13349,12984,13081,14432,14388,14453,14514,14310,15125,15223,14994,14364,14947,14403,15128,14071,12338,13965,12703,12630,12733,11190,11346,10818,10207,10460,10376,8845,8969,8523,9528,9159,8872,9187,9444,9921,10269,10930,9507,10536,9995,10099,9397,9320,11288,11072,11066,10976,10852,10566,10679
"66","58","      Recreational books (part of 90)","DRBKRX0",18083,17429,17064,17474,17791,17862,18812,18069,18316,17616,18116,18177,18275,17742,18409,18873,19259,19062,19141,19290,18742,19940,19739,20271,20937,20092,20240,20096,20252,20451,20738,19787,20341,20634,21269,20923,20894,21286,20860,20839,20673,20804,20924,21013,21246,21349,21678,22076,21887,22630,23062,22954,22657,23430,24213,23103,23660,24132,24072,24752,23555,24749,25054,25488,25458,25187,25646,24863,25643,25756,25611,25326,24288,25772,25951,25249,25181,24897,24966,25671,24839,25233,25377,25446,26250,24915,25412,25951,25712,25211,25445,25439,25976,25624,25866,25990,26753,26081,25867,26362,26489,27756,27449,28134,27782,27491,27805,27237,28114,28472,28238,28019,28235,28230,28564,28839,28737,28678,28620,29093,29051,29405,29420,29726,29362,29263,29765,30064,29741,30543,30530,31268,31707,31343,31996,31698,31635,31939,31240,30860,31852,31666,31761,31939,32280,32143,32715,32357,32876,32948,33739,33334,34150,33869,34194,34181,33623,32955,33157,33734,33965,33191,33592,34046,32637,32182,31968,31961,32140,32320,32088,32812,32476,33039,32438,34005,33231,33188,33086,33824,34252,34464,34771,34153,35176,35140,35229,35764,36057
"67","59","      Musical instruments (part of 80)","DMSCRX0",2808,2686,2691,2697,2686,2749,2834,2940,2834,2871,3142,3002,2908,2927,2996,2987,2985,2992,2953,2846,2777,2729,2877,3492,2951,2987,3031,3075,3159,3034,2882,3118,3242,3378,3157,3247,3441,3349,3305,3351,3348,3387,3324,3352,3425,3679,3217,3382,3542,3715,3732,3659,3716,3739,3887,3827,4034,3993,4351,4178,4153,4307,4800,4765,4652,4715,4611,4934,4958,4910,4679,4678,4479,4814,4722,4901,4909,4783,4934,4817,4618,4762,4845,5204,5106,4978,4967,5003,5164,5145,5196,5080,5015,5041,5156,4901,5008,4844,4918,4804,4807,4850,4882,5249,5329,5336,5605,5687,5469,5527,5493,5526,5577,5643,5726,5672,5679,5471,5636,5694,5586,5796,5503,5701,5679,5825,5808,5873,5640,6263,5777,6092,6896,6483,6595,6352,6265,5928,5947,6092,6426,6251,6313,6218,6039,6369,6665,6769,6740,6758,6747,6702,6684,7102,6914,6784,6913,6505,6572,6479,6531,6667,6585,6399,6231,5879,5856,5616,5465,5677,5586,5555,5371,5890,5681,5374,5633,5583,5577,5951,5861,5901,5983,6002,6132,6167,6093,6088,6078
"68","60","    Other durable goods","DODGRX0",70188,68956,69025,69321,71219,69610,70368,69814,70759,70147,71630,71614,70779,72504,74317,73912,75693,74897,74496,75583,75928,76330,76152,78047,76445,77563,77543,77614,75589,78308,78594,78232,80319,80231,81583,81602,82445,82953,83303,85100,84998,87237,87623,87976,86720,87742,88931,91292,92127,93006,94060,92999,94198,95748,97279,96469,97692,100071,101090,105251,101175,103647,103152,104048,106772,107005,106318,105703,107618,105901,104974,106743,103573,105803,103916,103169,102446,100153,100946,102970,99782,101590,104474,107098,106526,107833,107415,108942,109465,109507,108926,111190,110150,111474,112088,114122,112969,110053,110523,112056,113479,115511,116335,117923,117464,118509,120459,120908,119793,121331,121653,120918,121199,119830,120406,121040,122464,123774,123670,124388,125741,127109,124820,129886,127881,129503,128176,130440,126315,130837,129896,132611,134300,136179,136099,133604,134093,133767,132215,130370,133258,131487,132441,132682,131782,131025,134823,134618,135644,134319,136059,135590,136244,136123,137110,135477,135524,130768,133755,132151,132862,132640,132899,131927,126769,125797,124654,119542,125437,125933,124022,126055,125989,127603,126435,129627,128159,127464,128196,127752,132764,132948,134569,133100,132321,132663,134966,133846,133372
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",28297,28518,29122,28926,30858,29507,30176,29705,30469,30641,31460,30652,30705,31713,32993,32484,33012,32426,32604,33237,33183,33217,32753,33445,33060,33269,33097,33677,32939,33358,33603,33962,34978,34756,35691,35410,36346,35845,36111,36630,36978,38284,37683,38209,37620,38528,38949,40270,40370,40207,41458,40447,41036,41736,42256,42264,42415,43650,43848,46029,44111,44380,44046,44488,46122,46404,46600,46816,47672,46558,45501,46165,44748,45126,44586,44899,44818,42803,43485,44428,43397,44012,45014,44231,44952,46943,46972,46539,47001,46744,46067,47879,46354,47373,47769,49289,49044,48172,48270,48710,49467,50434,50732,50889,51056,51537,52944,53481,52743,53731,53699,52877,52529,51895,52590,52724,53911,54790,54487,53999,55090,56236,54971,57450,55065,57630,55848,56316,53548,57253,56718,58202,58178,60590,60888,58208,58130,57530,57336,57108,58100,57510,57631,57338,56446,55499,57905,58192,58824,56939,57917,57611,57686,57348,57627,56274,56803,53244,55692,53706,54065,54134,54195,53221,49950,49555,48288,45131,48914,49235,48259,50092,49942,50392,49872,51467,50526,50356,50805,49784,53092,52895,53568,52346,52418,52170,53697,52545,51790
"70","62","        Jewelry","DJLYRX0",25026,25233,25778,25614,27336,26150,26754,26347,27037,27200,27939,27233,27291,28199,29349,28908,29390,28881,29051,29627,29591,29633,29231,29861,29529,29714,29559,30075,29415,29788,30006,30326,31233,31033,31868,31617,32382,31949,32173,32602,32879,33969,33496,33890,33428,34158,34507,35620,35814,35685,36792,35787,36246,36854,37192,37230,37405,38506,38676,40502,38907,39219,38977,39379,40753,41020,41172,41439,42137,41113,40246,40832,39450,39731,39166,39617,39588,37749,38305,39154,38438,38773,39618,38892,39434,41263,41036,40706,41091,41026,40569,41964,40595,41434,41717,43014,42927,42212,42467,42791,43539,44229,44415,44430,44741,45084,46390,46962,46372,47205,47089,46261,45995,45439,46099,46400,47474,48310,47976,47344,48491,49410,48395,50559,48694,51023,49453,49650,47245,50515,50103,51312,51390,53344,53808,51425,51125,50661,50563,50293,51114,50689,50663,50467,49806,48824,51027,51246,51701,49825,50759,50696,50608,50260,50440,49218,49629,46494,48376,46852,47139,47143,47142,46323,43658,43365,42430,39747,42911,43197,42270,43687,43720,44023,43495,44893,44003,43833,44144,43353,46364,46241,46571,45493,45535,45410,46820,45791,45029
"71","63","        Watches","DWTCRX0",3264,3279,3337,3304,3513,3348,3412,3348,3422,3430,3509,3407,3401,3501,3629,3561,3606,3530,3537,3593,3575,3566,3504,3565,3512,3536,3519,3582,3505,3551,3578,3617,3726,3702,3803,3773,3947,3878,3921,4012,4083,4302,4172,4307,4177,4358,4431,4640,4543,4508,4652,4650,4783,4876,5064,5032,5006,5139,5168,5526,5199,5154,5060,5101,5361,5376,5419,5369,5526,5437,5246,5325,5292,5392,5420,5276,5222,5049,5175,5269,4950,5235,5393,5337,5520,5678,5945,5840,5920,5720,5495,5917,5764,5946,6064,6289,6124,5964,5801,5918,5926,6208,6323,6473,6319,6461,6559,6522,6373,6529,6613,6623,6540,6461,6494,6323,6435,6478,6510,6658,6598,6826,6575,6890,6371,6608,6396,6666,6302,6738,6615,6890,6788,7245,7081,6783,7006,6869,6772,6815,6987,6821,6971,6871,6637,6675,6875,6943,7123,7129,7168,6915,7086,7102,7206,7079,7203,6780,7384,6890,6967,7042,7113,6952,6315,6204,5850,5363,6003,6038,5998,6440,6233,6394,6414,6610,6570,6575,6730,6477,6754,6672,7063,6921,6956,6813,6915,6795,6825
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",24341,23733,23939,24137,23955,23992,23474,24200,24052,23972,23798,24559,23887,24531,25230,25407,25776,25844,26231,26293,26283,26592,27001,27496,26665,27506,28172,27744,26143,28543,28398,28472,28510,28533,28650,28936,28634,29206,29120,30227,29631,29852,30616,31407,30800,31187,31492,32027,31305,31755,31129,31129,31280,31677,32176,31891,32135,32774,33092,34908,33247,34307,34377,34655,34698,34488,33402,33469,34030,33287,33588,35065,33105,33807,33434,33043,32788,32193,32193,32669,32321,32544,33065,35449,33476,33913,33319,34600,35150,35715,35833,36256,36035,36408,36072,36451,35397,34911,35480,35756,35738,35971,36528,37117,36427,36682,37185,36590,36217,36784,36981,37239,37360,36402,36668,37109,37259,37254,37511,37466,37439,37933,37147,38135,37795,37943,38178,38910,38616,39073,38566,39099,39910,39926,39669,39214,39293,39353,38767,38602,39246,38710,39111,39791,39871,40219,41111,41060,41401,41732,41953,42196,42417,42272,42471,42513,42117,41757,41998,42248,42598,42829,42880,42549,42438,41757,41707,41078,41418,41443,41413,41134,40946,41149,41230,41258,41463,41513,41659,42326,43038,43213,43743,44045,43134,43760,44540,44600,44449
"73","65","        Therapeutic medical equipment","DTMERX0",7601,7394,7430,7465,7414,7460,7361,7569,7490,7414,7331,7542,7316,7501,7708,7734,7815,7811,7937,7900,7890,8000,8143,8300,8005,8274,8478,8244,7815,8578,8523,8494,8500,8459,8502,8608,8745,8940,9071,9316,9551,9714,10034,10136,10180,10292,10298,10636,10470,10607,10586,10719,10942,10929,10900,11019,11134,11290,11626,12406,11660,11836,12052,12075,12187,12422,12470,12500,12986,12947,12900,13134,12838,13029,13069,13173,13244,13032,13195,13323,12962,13040,13188,14382,13337,13679,13760,14044,13979,14044,14133,14157,14256,14398,14149,14312,13915,14231,14116,14244,14271,14588,14894,15011,14635,14799,15084,15108,14991,14984,15312,15343,15494,15486,15458,15698,15621,15564,15636,15793,16024,15921,15740,16114,15929,15834,16132,16141,16366,16819,16731,16743,17111,17122,17109,16800,17052,17046,16921,17187,17660,17485,17672,17794,17779,17991,18175,18177,18243,18216,18346,18433,18476,18413,18523,18629,18597,18507,18663,18886,19129,19239,19202,19085,18900,18723,18610,18396,18480,18572,18585,18493,18439,18616,18659,18641,18827,18869,18974,19335,19427,19870,19701,20004,19703,20097,20344,20471,20413
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",16921,16518,16692,16860,16727,16714,16285,16811,16744,16744,16654,17214,16764,17229,17729,17884,18178,18253,18517,18624,18623,18823,19092,19433,18894,19471,19938,19752,18560,20214,20124,20234,20266,20336,20409,20590,20124,20502,20268,21147,20272,20323,20766,21474,20798,21076,21387,21570,21003,21322,20692,20545,20458,20885,21433,21007,21133,21625,21587,22617,21709,22613,22451,22712,22635,22164,20995,21032,21090,20369,20728,21995,20301,20818,20396,19889,19554,19171,19002,19354,19374,19520,19897,21079,20158,20248,19564,20569,21192,21697,21726,22129,21804,22035,21951,22168,21509,20690,21385,21532,21487,21397,21646,22120,21811,21899,22114,21486,21230,21810,21673,21902,21870,20912,21210,21410,21639,21693,21878,21672,21412,22013,21405,22020,21866,22109,22046,22768,22249,22255,21839,22356,22798,22803,22560,22413,22242,22307,21847,21421,21595,21236,21453,22009,22101,22240,22942,22891,23164,23518,23611,23765,23943,23860,23950,23889,23527,23259,23346,23377,23489,23609,23695,23481,23552,23051,23111,22698,22953,22888,22846,22660,22526,22555,22593,22638,22661,22670,22713,23022,23631,23382,24060,24068,23463,23702,24229,24169,24076
"75","67","      Educational books (96)","DEBKRX0",12081,11518,11190,11383,11480,11397,11973,11544,11517,10987,11366,11297,11274,10859,11069,11257,11385,11232,11227,11243,10774,11400,11157,11371,11644,11143,11208,11033,11034,11078,11115,10748,11102,11178,11474,11253,11088,11529,11322,11336,11171,11334,11104,11610,11757,11485,11493,11838,11601,12071,12096,12043,11898,11971,12382,10902,11393,12017,12563,12654,11031,12048,12044,12338,12392,12259,12326,11345,11688,11650,11554,11089,10266,11994,12073,11454,11466,11140,11150,11710,11165,11163,11357,11912,12415,11046,11232,11422,11309,10737,10845,10651,11450,11023,11131,10837,11459,10632,10399,10914,10963,11658,11234,11698,11369,10870,10983,10552,11132,11086,11068,10842,10803,10819,10738,10806,10744,10579,10457,10526,10376,10588,10626,10289,10238,10072,10407,10296,9856,10046,9904,10128,10026,9978,9933,9844,9860,10090,9469,9023,9413,9341,9279,9092,9190,9003,9028,8775,9045,9035,9439,9011,9119,9254,9323,9143,8846,8759,8673,8659,8641,8268,8300,8710,7835,7888,7942,7730,7894,7746,7723,7926,7628,7711,7339,8393,7740,7457,7236,7310,7379,7264,7289,7136,7294,7155,7095,7285,7257
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",7417,6909,6500,6639,6491,6429,6477,6232,6365,6071,6388,6600,6437,6616,6430,6344,6862,6781,6169,6424,6844,6662,6724,7169,6720,7014,6702,6670,6731,6913,6976,6588,7097,7167,7229,7387,7481,7635,7765,7995,8002,8361,8719,7710,7621,7520,7810,7952,9103,9273,9335,9308,9585,9832,9972,10210,10549,10555,10679,10730,11037,11402,11178,11060,11913,12044,12004,11666,11892,11956,11849,11790,12302,12363,11419,11129,10774,11083,10998,11066,9931,10623,11409,11960,12117,12075,12058,12467,12097,12318,12234,12442,12321,12499,12810,13011,12756,12012,11939,12220,12590,12631,12832,13056,13313,13869,13710,14288,13840,13879,13877,13827,14154,14128,13871,13780,13875,14411,14559,15534,15811,15190,14875,16739,17354,16286,16137,17240,16509,16499,16773,17300,17646,17367,17128,17766,18058,17813,17682,16558,17160,16667,17004,16901,16744,16851,17175,16923,16602,16770,16723,16672,16889,16939,17064,16999,17192,16906,17183,17226,17084,17032,17105,17047,16361,16399,16348,15760,16271,16434,16087,16149,16759,17325,16923,16901,16946,16896,16979,16790,17277,17225,17697,17532,17439,17493,17612,17422,17655
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1511,1501,1495,1532,1557,1561,1586,1587,1597,1590,1609,1620,1551,1597,1613,1638,1681,1674,1692,1664,1687,1708,1732,1727,1705,1748,1770,1742,1719,1742,1757,1747,1769,1762,1768,1767,1811,1853,1898,1900,1965,2022,2034,2140,2079,2107,2155,2214,2220,2287,2395,2422,2535,2600,2658,2745,2806,2864,2871,2984,3059,3117,3155,3233,3193,3241,3304,3448,3457,3488,3537,3644,3706,3594,3624,3689,3695,3818,3954,4037,4012,4116,4343,4451,4404,4427,4404,4525,4563,4568,4564,4545,4665,4750,4819,4956,4815,4803,4906,4951,5131,5282,5407,5572,5601,5738,5859,6083,6024,6033,6198,6289,6471,6666,6643,6744,6793,6807,6712,6897,7035,7195,7226,7258,7435,7568,7583,7666,7796,7956,7929,7870,8545,8324,8502,8601,8805,9043,9058,9203,9464,9402,9579,9774,9764,9715,9847,9951,10057,10191,10354,10510,10529,10739,11124,11099,11124,10686,10701,10978,11191,11118,11157,11115,11252,11245,11572,11100,12312,12511,11839,11922,11938,12342,12564,12911,13015,12764,13192,13352,13729,14345,14196,14061,13906,14115,13949,13954,14389
"78","70","  Nondurable goods","DNDGRX0",1435387,1420548,1428498,1425709,1436364,1443423,1440404,1433781,1446599,1434204,1449700,1459167,1448951,1456743,1465496,1472253,1471532,1483575,1483783,1488605,1486469,1497264,1496180,1501523,1496354,1508074,1517868,1504642,1502761,1517379,1529235,1532939,1535446,1536358,1549246,1544343,1550718,1553340,1560099,1570980,1569163,1581630,1585154,1581666,1589768,1595175,1608055,1618419,1627677,1638463,1644577,1646568,1656088,1654165,1648213,1661251,1670938,1672911,1681553,1727943,1662559,1675144,1700836,1708530,1715887,1714785,1713556,1723666,1736934,1737755,1734830,1752124,1742050,1731281,1720912,1739229,1748999,1730823,1750848,1755335,1738139,1758844,1762905,1767948,1769563,1771091,1770532,1765074,1767942,1784999,1781071,1775920,1776098,1791277,1802849,1806536,1816213,1815686,1826664,1820955,1818356,1844567,1850701,1872252,1868497,1862306,1879850,1871737,1890297,1872932,1903576,1889445,1901285,1891132,1897267,1907808,1918364,1926281,1924537,1931917,1947623,1959940,1941325,1960305,1957404,1966871,1965248,1980747,1969534,1997972,1986013,1988114,2000813,2009542,2000800,2013811,2012788,2008077,2022663,2020541,2030411,2049899,2044889,2069323,2063172,2056650,2060832,2058526,2058767,2059657,2073469,2061631,2068143,2065988,2068373,2076675,2060010,2037168,2066301,2064257,2063871,2065729,2051186,2044025,2011665,2019977,2018743,1991621,2011443,2017348,2007276,2006142,2011604,2007123,2005723,2019122,2025720,2029816,2036901,2030317,2038693,2057733,2064032,2063367,2062320,2064394,2060544,2076594,2072832
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",554628,546804,548279,544334,548759,548551,546976,547206,547657,546491,548112,554390,552492,551310,552672,554983,554291,554987,554630,553401,553097,554694,555081,556653,558263,558194,561711,558354,555237,555806,560323,558978,560009,559928,561542,557860,557591,559371,560809,561839,563223,566302,567069,566351,569384,568226,570274,576132,575736,578808,580289,583535,585206,583381,585748,588499,592967,588567,591697,614174,584861,591908,599753,600374,597926,604505,601231,600695,603231,607472,606621,608680,609332,604609,602314,609447,611423,607362,606071,606412,609377,607169,606359,611432,605104,605318,606970,602487,608344,609504,611428,609006,607042,611179,615893,616022,621988,622692,623198,620183,613710,617623,625020,627597,626848,623297,625283,621440,634993,631601,636951,634842,636690,635428,635488,637367,644499,646443,647732,648708,653438,657947,658482,657620,656598,661678,662337,670290,677182,681093,672625,670887,672757,680419,676816,682589,686370,683523,685516,688902,685405,696681,693887,702069,700712,696832,694289,692953,693722,693722,697944,694090,697105,699539,701191,707498,702083,696918,701784,698773,698689,701804,696689,692838,684169,679707,679025,666705,676001,673872,675678,678581,682348,682559,683642,686140,693611,694797,698632,695590,698059,707045,703107,698596,696468,697645,696526,707197,708159
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",488163,481204,482605,478167,482595,482079,480351,480567,480203,479254,481027,486110,483194,482978,483667,485401,485269,484969,484628,483402,484185,485414,485422,486954,488479,487479,489312,487538,484608,483977,488214,487005,487793,487421,488424,485351,484732,485739,487593,488335,489332,492843,492971,491623,494771,493542,495020,499729,499865,503098,504311,506170,508055,506865,508724,511081,514767,510125,513336,532991,506316,512245,518824,520432,517022,522733,519378,518714,520687,524176,522998,526178,525538,521585,519810,526121,527058,523606,523053,523525,526436,524670,523685,528646,522572,522372,523392,518838,524709,525827,527664,526094,523846,528492,532409,531333,537664,537765,537820,535441,530303,533495,539756,541117,540261,536822,538842,534610,546886,543357,548103,546296,546575,545670,545546,547472,554484,554465,555784,557531,562401,564688,565379,564137,563041,567310,567257,573476,578457,581550,574330,572398,573142,578770,576666,581342,584496,582047,583421,586008,582302,592590,589397,596951,595603,591544,589070,588275,587784,587816,591678,589328,591765,594612,596071,601594,596773,592517,596626,593733,593690,595271,590097,586827,579235,575018,574866,564911,572685,570907,572438,575401,579222,580101,581596,583342,589999,591124,594940,591549,593099,600039,595799,591513,590480,591580,591632,600060,600731
