"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"329","321","Q1MUS1 D       Museums and libraries","Q1MUS10",4364,4453,4394,4322,4230,4387,4463,4353,4398,4500,4668,4420,4760,4922,5110,5280,5351,5518,5651,5702,5750,5906,6087,6097,6254,6387,6564,6763,6822,6886,6923,7007,6996,6978,6966,7080,7273,7278,7255,7322,7441,7544,7522,7627,7846,8022,8180,8264,8021,8095,8232,8342,8682,8805,9032,9094,9040,9128,9333
"330","322","Q1FOU1 D       Foundations to religion and welfare","Q1FOU10",9194,8943,9004,9208,9667,9841,10000,10067,9763,9880,10004,9940,10183,10176,9940,9763,9415,9203,9096,9099,9102,8973,8763,8705,8611,8421,8266,7948,7496,7386,7438,7565,7961,8234,8394,8640,8939,9031,9204,9422,9164,9180,9314,9677,10388,10714,10954,11100,11065,11080,11073,11052,11024,10987,10955,10931,10907,10876,10849
"331","323","Q1WEL1 D       Social welfare","Q1WEL10",65853,66709,66856,66746,67350,67391,68383,68945,70468,71753,73464,74536,75188,76186,77114,77059,77547,78113,79658,81340,82134,82847,83039,83454,83466,84497,85654,86781,88202,89007,89981,90573,90794,91831,93541,94720,96625,97880,99467,101083,102882,104404,105747,107839,110993,113399,115966,117872,118328,118818,119857,120442,121843,122854,123011,124362,125269,125825,126270
"332","324","Q1CHC1 D         Child care","Q1CHC10",20986,20648,19797,18920,18540,17950,17763,17608,18160,18512,19014,19391,19585,19873,20028,20026,20118,20273,20869,21401,21631,21897,21692,21576,21577,21678,21582,22039,22436,22701,23067,23167,22867,22994,23441,23637,24212,24442,24408,24729,25138,25347,25597,25986,26435,26789,27079,27209,27088,27392,28032,27328,27500,27599,27619,27883,27909,28223,28635
"333","325","Q1SCW1 D         Social welfare","Q1SCW10",45602,46684,47511,48127,49022,49553,50661,51333,52330,53268,54488,55198,55656,56372,57135,57082,57477,57890,58859,60018,60583,61037,61413,61924,61936,62855,64080,64762,65790,66334,66950,67439,67942,68846,70109,71089,72420,73443,75058,76354,77743,79057,80150,81854,84562,86617,88905,90695,91287,91464,91838,93186,94426,95347,95487,96578,97477,97699,97701
"334","326","Q1REL1 D       Religion","Q1REL10",36794,38296,39925,39466,40227,40325,40065,39840,40217,40543,41717,41933,41177,41384,41780,42316,43526,44055,44314,44457,43817,43839,44145,44717,46003,46322,46540,46315,45183,45021,44888,45008,45994,46365,46611,46692,46386,46147,45987,45912,45853,45865,45888,46032,46452,46832,47289,47791,48389,48832,49209,49500,49572,49711,49840,49958,50057,50157,50270
"335","327","Q1FOR1 C     Net foreign travel","Q1FOR10",-12907,-13642,-14754,-20724,-19677,-22371,-24867,-27023,-28286,-28919,-28693,-27142,-29070,-30363,-28436,-25959,-24957,-25519,-25599,-28496,-26987,-28201,-34632,-35741,-32314,-36175,-27955,-40638,-33246,-32383,-30991,-28159,-23580,-22466,-16674,-19705,-21151,-19992,-19811,-20576,-19032,-17985,-13962,-13993,-16310,-6857,-9340,-10891,-8779,-9505,-15317,-17889,-10695,-10528,-10969,-15770,-14566,-12980,-14170
"336","328","Q1FTR1 C       Foreign travel by U.S. residents (110)","Q1FTR10",54894,54904,52553,51008,44649,50230,49807,50917,51188,51089,50274,53190,52654,52428,54601,57812,57702,58715,58006,56363,58017,56729,56610,58794,59867,59287,59792,60754,64003,63955,66667,67482,71314,73696,75115,74591,74185,75230,76854,78200,82353,84537,85091,85680,84891,89777,78861,65088,75678,74519,69941,74758,73298,66641,72165,71848,72236,76797,76805
"337","329","Q1AFT1 D         Passenger fares for foreign travel","Q1AFT10",20725,19993,18411,17805,15009,17523,18492,19521,18984,18887,18790,20177,19859,20005,20964,21516,22652,23282,23311,22470,22078,21721,22555,22738,22707,23182,23126,24279,24987,25288,26384,26325,26794,28818,29655,29276,29398,29599,30619,31127,31737,33830,34186,33195,33098,34909,30931,22538,28307,28802,25303,27746,28204,27340,28738,28663,30393,32205,31797
"338","330","Q1UST1 D         U.S. travel outside the U.S.","Q1UST10",33318,33915,33043,32106,28542,31617,30355,30535,31285,31277,30592,32109,31817,31455,32634,35174,34104,34465,33776,32968,34645,33831,33040,34878,35853,34883,35393,35314,37709,37352,38913,39727,42898,43269,43805,43670,43100,43842,44400,45276,48678,48718,48837,50343,49537,52538,45550,40491,45049,43288,42431,44662,42610,36679,40820,40612,39269,41909,42331
"339","331","Q1USS1 D         U.S. student expenditures","Q1USS10",758,771,772,780,766,796,796,772,750,750,751,797,853,879,927,943,948,1004,1005,977,1190,1095,1065,1127,1193,1209,1219,1223,1284,1330,1387,1413,1531,1590,1655,1634,1692,1782,1847,1808,1906,1991,2068,2171,2237,2305,2332,2344,2420,2422,2404,2483,2503,2475,2526,2488,2428,2531,2537
"340","332","Q1EXF1 C       Less: Expenditures in the United States by nonresidents (112)","Q1EXF10",67801,68546,67307,71732,64325,72602,74674,77940,79475,80008,78967,80332,81724,82791,83037,83772,82659,84234,83605,84859,85004,84930,91242,94535,92182,95462,87747,101393,97250,96339,97657,95641,94893,96162,91789,94295,95336,95221,96665,98776,101385,102521,99054,99673,101202,96634,88202,75980,84457,84024,85258,92647,83992,77168,83133,87618,86801,89778,90975
"341","333","Q1FTU1 D         Foreign travel in the U.S.","Q1FTU10",58509,59233,57866,62105,54898,62893,64842,68137,69563,70121,68991,70337,71636,72671,72799,73614,72423,73980,73184,74715,74721,74626,80763,84155,81777,84963,77165,90757,86703,85754,87017,84624,83917,85092,80600,83086,83982,83835,85158,87237,89714,90743,87151,87627,89037,84335,75692,62856,71481,70969,72113,79791,70876,63956,70233,75158,74360,77394,78773
"342","334","Q1MEF1 D         Medical expenditures of foreigners","Q1MEF10",1132,1129,1116,1091,1121,1089,1072,1050,1085,1056,1033,1013,1052,1031,1014,998,1047,1031,1016,1004,1044,1045,1053,1070,1149,1174,1195,1214,1242,1260,1278,1294,1311,1322,1339,1346,1415,1429,1437,1447,1476,1492,1509,1526,1550,1557,1574,1590,1621,1630,1638,1652,1695,1707,1726,1740,1747,1764,1762
"343","335","Q1EFS1 D         Expenditures of foreign students in the U.S.","Q1EFS10",8514,8514,8747,8830,8847,8903,9002,8868,8933,8919,9087,9094,9127,9162,9310,9217,9282,9289,9503,9187,9297,9318,9432,9275,9246,9295,9423,9370,9275,9303,9337,9720,9663,9743,9851,9862,9939,9957,10068,10090,10183,10279,10397,10533,10666,10773,10893,11315,11217,11252,11327,11183,11205,11127,10992,10735,10690,10714,10607
"344",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","336","Q1TGD1 D   Goods","Q1TGD10",1937419,1921961,1920612,1890764,1874997,1888459,1897032,1878819,1921230,1923479,1943883,1977273,1980561,2011730,2032809,2054562,2082808,2103831,2123224,2159536,2149081,2163977,2188288,2205573,2221452,2261446,2276005,2303127,2332469,2330839,2386178,2410799,2435784,2490618,2523979,2595002,2615013,2671167,2694523,2741768,2790194,2795196,2818664,2838085,2854864,2853768,2872318,2967708,2966471,2980074,3006999,3028724,3054666,3106464,3179454,3216497,3258683,3258739,3324309
"346","337","Q1CGP1 D   Control Group","Q1CGP10",1688813,1685705,1688887,1671126,1669227,1685902,1684694,1670362,1702775,1702948,1721325,1750803,1756354,1778086,1800978,1812991,1834107,1859885,1881691,1911194,1911885,1928067,1946839,1959987,1973382,2009767,2024938,2050592,2066528,2074372,2111497,2128346,2161549,2194381,2221590,2261799,2299713,2332028,2353489,2413827,2431563,2461313,2478062,2496242,2501669,2505542,2519036,2558948,2591461,2601870,2601476,2636603,2668326,2699037,2759942,2800151,2850375,2856246,2894604
"347","338","Q1PXC1 D   PCE except computers, peripherals, and software","Q1PXC10",4817579,4833112,4852596,4816708,4794144,4834183,4852663,4848177,4927988,4955239,5003179,5060158,5075424,5118744,5172576,5216298,5272809,5309299,5345790,5396408,5402836,5444951,5488941,5522084,5567547,5623253,5655861,5699382,5756160,5777921,5868645,5925892,5987290,6079421,6146845,6225853,6284372,6379515,6443324,6520523,6621091,6660527,6722729,6777833,6803343,6817806,6845391,6958345,6986399,7033871,7082614,7124194,7169723,7235340,7320842,7383579,7457766,7485485,7577080
"348","339","Q1GXC1 D     Goods except computers, peripherals, and software","Q1GXC10",1995267,1978694,1976951,1945106,1926957,1939047,1945577,1926597,1970090,1971224,1990895,2024124,2024732,2055138,2074754,2094675,2122286,2142400,2160633,2195078,2182296,2194912,2216216,2229579,2242500,2278301,2289838,2313770,2338560,2331865,2383491,2404657,2425601,2477587,2504922,2572070,2587979,2641016,2661075,2705536,2750052,2752404,2773431,2790972,2805165,2801403,2817228,2908197,2902885,2914367,2939240,2957777,2981626,3029462,3097081,3131609,3171533,3170039,3232428
"349","340","Q1DXC1 D       Durables except computers, peripherals, and software","Q1DXC10",517747,499743,494023,478542,462562,463349,468708,460604,478821,481599,491048,500333,502799,518575,523106,535104,547044,552256,556951,574906,561426,565761,579938,587059,590583,606236,608383,617881,631828,625002,650849,664542,663608,692626,706869,746778,739788,773191,787188,790031,832653,808478,818550,818287,829916,826597,830506,898516,873792,881528,910341,901515,899425,941170,974646,982145,985849,983390,1022742
"350","341","Q1FXC1 D         Furniture and household equipment except computers, peripherals, and software","Q1FXC10",155309,152236,150315,148316,147729,150342,149408,147272,151606,151870,154994,158072,161107,164242,166274,167754,170458,176124,180446,186120,185413,187197,192161,195008,194096,200903,201455,205569,206121,208712,213014,215891,220274,222661,228085,233117,238159,244238,251903,259696,266468,268476,270674,270677,274075,275568,276763,283043,289625,292881,291909,294366,294379,305250,318383,324782,332841,338015,346141
"351",NA,"         Market based PCE:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","343","Q1MBP1  Market-based PCE","Q1MBP10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4944205,4963356,5046558,5099037,5149143,5233676,5292345,5367562,5427794,5513542,5569087,5641990,5721662,5760197,5806426,5855491,5887777,5892116,5921682,6033582,6061586,6104634,6151905,6191307,6224808,6290189,6371713,6432060,6497962,6512369,6593488
"353","344","Q1MBF1   Market-based PCE food","Q1MBF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835508,832698,839573,836460,843629,853406,860227,867652,868988,879535,884964,902834,906551,915954,918068,921456,927361,928487,930785,935198,941579,948573,948033,955769,971287,977860,992050,998386,1018133,1023992,1034722
"354","345","Q1MBE1   Market-based PCE energy","Q1MBE10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308337,312816,312588,321249,318564,326559,327272,319930,327690,331577,332508,330118,325260,332036,332883,348946,345112,327258,329960,334198,336863,338129,338725,349361,348718,336743,339277,353910,354128,343894,344516
"355","346","Q1MBX1   Market-based PCE except food & energy","Q1MBX10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3780063,3817709,3907832,3961988,3993783,4058144,4105950,4177024,4232268,4303387,4352327,4409204,4489757,4512345,4555660,4584870,4614851,4636849,4661160,4764346,4783532,4818139,4865174,4886400,4904498,4975934,5040658,5079574,5125384,5145296,5215780
"356","347","Q1MBV1    Market-based PCE motor vehicles & parts","Q1MBV10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266529,256931,274144,283575,277537,299644,304230,333482,320565,342242,344574,336916,364433,340567,345946,345153,353558,347600,353516,410819,377079,381965,413813,398753,390565,415415,426909,423596,418808,406557,434144
"357","348","Q1DXM1    Durables except MV & parts","Q1DXM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330209,337094,347884,356233,365769,374332,387669,399918,412549,423954,438535,454412,469594,475134,480608,481891,487002,490616,493134,508335,523182,529777,531517,539737,545998,569147,594770,607649,621324,628357,641631
"358","349","Q1MPC1    Market-based PCE clothing & shoes","Q1MPC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242608,240514,248148,251334,257948,262897,261829,268491,278617,281981,284390,284583,290971,296075,300788,301770,300205,301425,302543,309502,316122,315899,312580,320789,320066,326537,334386,337660,350707,346059,351355
"359","350","Q1MBN1    Market-based PCE other nondurables","Q1MBN10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446252,449138,457427,463454,468168,474529,481346,489036,497658,501800,502796,521291,515391,528393,533690,541078,537556,542593,548271,554854,560399,560791,561745,567422,576034,579085,590229,599185,604031,610636,618548
"360","351","Q1MBH1    Market-based PCE housing","Q1MBH10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903984,909312,915326,921081,929187,935529,942141,947488,958919,964685,971257,977311,985098,992615,999157,1006108,1013705,1020426,1025574,1031778,1041676,1049582,1054222,1057378,1060216,1062915,1066709,1068899,1074684,1080161,1086663
"361","352","Q1MBO1    Market-based PCE other household operation","Q1MBO10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204803,208195,213735,218276,220823,222783,226813,228605,231592,237024,241461,242878,247162,251569,253784,254234,253877,256305,257161,255420,255357,256962,256451,256094,257602,259884,261951,263192,265308,268049,269539
"362","353","Q1MBT1    Market-based PCE transportation services","Q1MBT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329412,332213,335777,337331,339818,343780,346056,347066,352151,355010,358767,360449,363166,365220,365103,365508,367401,366241,360905,356772,357086,355907,353300,352723,353077,351253,350823,350936,352555,354500,355514
"363","355","Q1MBM1    Market-based PCE medical care services","Q1MBM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641026,644455,648772,652117,659911,660688,661771,662014,661896,665262,670786,676394,682106,690496,697464,706022,716703,727085,740056,752868,766957,778290,789512,800929,809001,817655,825935,833513,841779,851364,861774
"364","356","Q1MBR1    Market-based PCE recreation services","Q1MBR10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158648,159630,159184,160578,163457,164592,167292,168744,171016,173544,176139,177515,178588,180446,180982,182317,184875,184735,184671,185713,187160,187187,186466,188464,189067,190082,191835,194065,195161,197130,197673
"365","357","Q1PER1    Personal care services","Q1PER10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73587,74498,75465,76451,78162,79070,79989,80905,82194,82976,83865,84824,86665,86999,87201,87251,86845,86855,86922,87024,87195,87244,87282,87297,87271,87209,87147,87069,86982,86930,86912
"366","358","Q1MBB1    Market-based PCE personal business","Q1MBB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139897,141063,148706,149271,152171,159550,166784,170379,178299,185808,189043,201155,212404,209676,214518,215925,213726,211754,206217,210092,209853,212803,216703,215401,212807,219668,217660,222999,225693,224632,224970
"367","359","Q1GED1    Public higher education","Q1GED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36323,36611,36939,37315,37587,37809,38069,38354,38662,39031,39420,39821,40358,40640,40941,41238,42440,43197,43969,44721,45387,46017,46592,47092,47439,47772,48064,48313,48555,48833,49126
"368","360","Q1VED1    Commercial & vocational schools","Q1VED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22559,23540,24148,24666,25475,25891,25763,26233,26514,27141,27796,27442,28534,29223,29963,30411,30162,30590,30213,30403,30273,29908,29529,29681,29872,28744,28539,28054,27803,28056,28135
"369","361","Q1CHC1    Child care","Q1CHC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22436,22701,23067,23167,22867,22994,23441,23637,24212,24442,24408,24729,25138,25347,25597,25986,26435,26789,27079,27209,27088,27392,28032,27328,27500,27599,27619,27883,27909,28223,28635
"370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","  the Survey of Current Business monthly (NIPA table 2.8.5; B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","  Business annually (NIPA table 2.5.6; B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5 and table B.4,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","published in the Survey of Current Business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
