"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"237",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","209","  Owner-occupied residential structures \7\","B1166C1","28,985.0","27,539.0","37,517.0","46,517.0","52,280.0","47,131.0","49,329.0","66,765.0","89,495.0","104,460.0","106,677.0","92,705.0","91,443.0","81,614.0","119,321.0","141,807.0","146,534.0","171,686.0","186,194.0","196,337.0","194,815.0","180,780.0","171,206.0","201,509.0","226,408.0","259,747.0","249,780.0","280,437.0","291,023.0","328,962.0","359,343.0","378,316.0","431,170.0","469,102.0","536,367.0","638,010.0","732,759.0","716,155.0","575,174.0","417,940.0","315,750.0","314,180.0","316,431.0","362,208.0","426,175.0"
"239","210","  Nonresidential fixed investment by nonprofit institutions serving households \8\","B1167C1","7,405.0","7,818.0","8,637.0","10,744.0","11,281.0","11,248.0","11,004.0","12,063.0","14,229.0","15,617.0","16,726.0","17,919.0","19,823.0","23,426.0","25,524.0","27,452.0","28,205.0","30,649.0","35,313.0","38,194.0","41,906.0","45,188.0","47,320.0","49,428.0","48,078.0","49,022.0","51,640.0","54,826.0","68,075.0","80,273.0","85,757.0","94,941.0","99,134.0","106,233.0","111,990.0","122,087.0","126,087.0","137,363.0","153,868.0","155,149.0","147,096.0","134,088.0","130,760.0","134,853.0","136,019.0"
"240",NA,"    Imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","211","  Margins on owner-built housing","B1173C1","415.0","407.0","524.0","595.0","790.0","807.0","937.0","1,599.0","2,293.0","2,562.0","2,674.0","1,881.0","1,541.0","1,455.0","2,493.0","2,563.0","2,657.0","3,187.0","2,999.0","2,810.0","2,597.0","2,653.0","2,155.0","3,000.0","2,800.0","3,163.0","2,581.0","2,795.0","2,896.0","2,703.0","3,101.0","2,662.0","2,713.0","2,921.0","2,980.0","3,557.0","4,144.0","3,485.0","2,107.0","499.0","7.0","639.0","625.0","1,059.0","1,103.0"
"242",NA,"Government investment-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","212","  General government consumption of fixed capital \9\","A265RC1","33,230.0","36,056.0","38,443.0","40,290.0","43,084.0","48,748.0","53,680.0","57,177.0","61,206.0","66,294.0","72,827.0","82,256.0","93,147.0","103,065.0","110,262.0","118,656.0","127,317.0","136,826.0","147,032.0","158,468.0","169,307.0","179,979.0","189,940.0","195,785.0","202,513.0","208,861.0","216,586.0","220,350.0","224,569.0","228,944.0","236,929.0","247,702.0","254,866.0","261,194.0","270,276.0","284,900.0","305,618.0","326,577.0","351,424.0","375,548.0","390,254.0","403,754.0","422,126.0","435,864.0","444,389.0"
"244",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","213","  Gross government investment \10\","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","619,424.0","596,318.0"
"246",NA,"Net interest-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","214","  Net interest, domestic (215-220+224)","A2104C1","33,031.0","37,948.0","42,015.0","47,598.0","54,010.0","63,398.0","76,026.0","83,918.0","95,789.0","113,093.0","133,589.0","156,667.0","182,067.0","215,168.0","259,520.0","293,336.0","338,282.0","372,409.0","399,069.0","425,001.0","451,114.0","478,185.0","488,892.0","502,631.0","510,015.0","533,244.0","563,842.0","583,073.0","615,915.0","639,917.0","668,647.0","719,634.0","733,640.0","743,025.0","718,756.0","734,642.0","798,540.0","859,708.0","932,741.0","978,535.0","889,819.0","853,062.0","837,431.0","797,640.0","768,628.0"
"248",NA,"      Imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","215","    Imputed interest paid by private enterprises","W566RC1","29,068.0","39,183.0","45,984.0","50,415.0","49,930.0","57,396.0","86,535.0","80,506.0","86,301.0","92,769.0","88,742.0","94,886.0","101,004.0","149,455.0","212,702.0","211,602.0","245,289.0","274,103.0","294,544.0","307,103.0","310,501.0","324,359.0","326,535.0","347,446.0","355,976.0","372,447.0","377,564.0","373,162.0","376,454.0","369,604.0","364,062.0","375,879.0","401,740.0","445,982.0","443,816.0","453,267.0","449,605.0","432,301.0","440,107.0","530,200.0","543,150.0","538,645.0","556,310.0","549,435.0","517,896.0"
"250","216","      By banks, credit agencies, and investment companies for depositor services and by property and casualty insurance carriers (169+180)","W560RC1","14,682.0","18,605.0","21,380.0","23,018.0","22,996.0","27,608.0","42,538.0","38,103.0","40,873.0","44,992.0","43,177.0","42,795.0","41,817.0","63,348.0","97,463.0","89,457.0","119,235.0","127,602.0","129,203.0","131,360.0","129,713.0","126,331.0","127,873.0","142,894.0","157,921.0","169,097.0","172,148.0","178,194.0","189,206.0","198,533.0","207,457.0","220,722.0","215,088.0","223,081.0","231,506.0","245,875.0","258,585.0","260,927.0","272,870.0","275,018.0","249,338.0","255,212.0","261,149.0","258,519.0","266,470.0"
"251","217","      By private enterprises for borrower services (-177)","W561RC1","-5,425.0","-5,137.0","-4,152.0","-4,679.0","-8,251.0","-10,115.0","-2,678.0","-7,968.0","-10,309.0","-15,710.0","-24,189.0","-30,822.0","-38,391.0","-28,083.0","-11,782.0","-24,071.0","-17,976.0","-15,104.0","-16,204.0","-19,798.0","-24,226.0","-26,638.0","-25,629.0","-25,156.0","-26,037.0","-29,402.0","-31,477.0","-36,147.0","-43,000.0","-50,715.0","-58,785.0","-69,583.0","-71,791.0","-70,300.0","-72,731.0","-76,518.0","-88,455.0","-106,559.0","-125,130.0","-121,731.0","-106,313.0","-101,579.0","-98,751.0","-108,526.0","-120,675.0"
"252","218","      By corporate business for unfunded actuarial liability of defined benefit pension plans (193)","Y245RC1","736.0","1,187.0","1,190.0","1,237.0","1,794.0","2,414.0","3,901.0","4,005.0","4,453.0","3,323.0","1,624.0","3,650.0","5,097.0","5,126.0","5,569.0","7,972.0","7.0","3,272.0","9,224.0","13,401.0","8,436.0","14,268.0","7,961.0","8,838.0","5,632.0","4,484.0","-3,216.0","-6,956.0","-13,648.0","-14,610.0","-19,137.0","-9,179.0","9,494.0","22,908.0","4,186.0","4,120.0","500.0","-7,010.0","-3,677.0","41,510.0","28,807.0","24,132.0","27,693.0","23,840.0","11,210.0"
"253","219","      By defined benefit and defined contribution pension plans (195)","Y233RC1","19,075.0","24,528.0","27,566.0","30,839.0","33,391.0","37,489.0","42,774.0","46,366.0","51,284.0","60,164.0","68,130.0","79,263.0","92,481.0","109,064.0","121,452.0","138,244.0","144,023.0","158,333.0","172,321.0","182,140.0","196,578.0","210,398.0","216,330.0","220,870.0","218,460.0","228,268.0","240,109.0","238,071.0","243,896.0","236,396.0","234,527.0","233,919.0","248,949.0","270,293.0","280,855.0","279,790.0","278,975.0","284,943.0","296,044.0","335,403.0","371,318.0","360,880.0","366,219.0","375,602.0","360,891.0"
"254","220","    Imputed interest received by private enterprises","W563RC1","12,045.0","18,712.0","23,638.0","25,474.0","22,275.0","24,283.0","44,508.0","35,615.0","36,688.0","35,097.0","22,803.0","19,316.0","13,969.0","44,065.0","74,364.0","56,270.0","60,280.0","71,270.0","76,559.0","76,607.0","70,979.0","72,490.0","70,103.0","79,829.0","80,205.0","76,617.0","72,370.0","58,712.0","45,675.0","27,542.0","12,350.0","4,058.0","36,931.0","74,939.0","90,398.0","87,906.0","69,529.0","51,433.0","33,516.0","80,390.0","135,349.0","123,971.0","121,159.0","125,604.0","94,995.0"
"255","221","      By banks for borrower services (-174)","W358RC1","-7,769.0","-7,146.0","-5,549.0","-6,368.0","-11,172.0","-13,597.0","-3,653.0","-11,202.0","-14,621.0","-22,449.0","-34,647.0","-43,613.0","-53,585.0","-37,416.0","-15,598.0","-31,648.0","-21,695.0","-18,421.0","-19,407.0","-23,468.0","-28,815.0","-31,424.0","-30,388.0","-29,776.0","-31,053.0","-35,385.0","-38,384.0","-44,471.0","-52,527.0","-61,005.0","-69,836.0","-81,833.0","-84,048.0","-82,100.0","-84,546.0","-89,155.0","-102,151.0","-122,700.0","-143,492.0","-139,107.0","-122,069.0","-123,179.0","-120,660.0","-133,797.0","-150,303.0"
"256","222","      By defined benefit pension plans for unfunded actuarial liability (192)","Y609RC1","14,555.0","19,150.0","21,363.0","23,687.0","25,975.0","29,001.0","33,111.0","34,165.0","38,115.0","43,204.0","43,630.0","47,713.0","51,079.0","53,077.0","55,162.0","57,697.0","49,619.0","53,283.0","58,666.0","62,816.0","63,641.0","67,472.0","65,455.0","73,272.0","71,423.0","70,243.0","67,652.0","57,511.0","48,732.0","37,415.0","29,183.0","30,727.0","62,106.0","92,824.0","106,979.0","107,883.0","104,609.0","102,560.0","101,526.0","146,503.0","199,066.0","194,850.0","195,175.0","210,473.0","195,902.0"
"257","223","      By other private enterprises (172+183)","W565RC1","5,259.0","6,708.0","7,824.0","8,155.0","7,472.0","8,879.0","15,050.0","12,652.0","13,194.0","14,342.0","13,820.0","15,216.0","16,475.0","28,404.0","34,800.0","30,221.0","32,356.0","36,408.0","37,300.0","37,259.0","36,153.0","36,442.0","35,036.0","36,333.0","39,835.0","41,759.0","43,102.0","45,672.0","49,470.0","51,132.0","53,003.0","55,164.0","58,873.0","64,215.0","67,965.0","69,178.0","67,071.0","71,573.0","75,482.0","72,994.0","58,352.0","52,300.0","46,644.0","48,928.0","49,396.0"
"258",NA,"      Reclassifications for owner-occupied housing and fixed assets of nonprofit institutions serving households:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","224","    Monetary interest paid by owner-occupants and nonprofit institutions","A2129C1","16,008.0","17,477.0","19,669.0","22,657.0","26,355.0","30,285.0","33,999.0","39,027.0","46,176.0","55,421.0","67,650.0","81,097.0","95,032.0","109,778.0","121,182.0","138,004.0","153,273.0","169,576.0","181,084.0","194,505.0","211,592.0","226,316.0","232,460.0","235,014.0","234,244.0","237,414.0","258,648.0","268,623.0","285,136.0","297,855.0","316,935.0","347,813.0","368,831.0","371,982.0","365,338.0","369,281.0","418,464.0","478,840.0","526,150.0","528,725.0","482,018.0","438,388.0","402,280.0","373,809.0","345,727.0"
"260","225","      Owner-occupied housing","W498RC1","15,368.0","16,727.0","18,844.0","21,747.0","25,290.0","29,035.0","32,571.0","37,470.0","44,495.0","53,276.0","64,926.0","77,652.0","90,680.0","104,541.0","115,071.0","129,848.0","145,435.0","160,479.0","171,605.0","183,778.0","199,927.0","214,446.0","220,132.0","222,199.0","219,400.0","223,561.0","243,938.0","252,927.0","268,715.0","280,916.0","299,645.0","330,242.0","351,232.0","354,777.0","348,709.0","353,267.0","402,922.0","463,502.0","510,903.0","513,820.0","467,826.0","425,006.0","389,636.0","361,853.0","333,771.0"
"261","226","      Interest paid by nonprofit institutions serving households","W319RC1","640.0","750.0","825.0","910.0","1,065.0","1,250.0","1,428.0","1,557.0","1,681.0","2,145.0","2,724.0","3,445.0","4,352.0","5,237.0","6,111.0","8,156.0","7,838.0","9,097.0","9,479.0","10,727.0","11,665.0","11,870.0","12,328.0","12,815.0","14,844.0","13,853.0","14,710.0","15,696.0","16,421.0","16,939.0","17,290.0","17,571.0","17,599.0","17,205.0","16,629.0","16,014.0","15,542.0","15,338.0","15,247.0","14,905.0","14,192.0","13,382.0","12,644.0","11,956.0","11,956.0"
"262","227","  Personal interest payments","A2109C1","-17,731.0","-19,047.0","-20,959.0","-24,166.0","-28,977.0","-33,333.0","-34,843.0","-41,766.0","-49,822.0","-61,000.0","-75,983.0","-91,179.0","-106,608.0","-117,683.0","-124,460.0","-144,668.0","-156,613.0","-172,578.0","-184,000.0","-197,874.0","-215,817.0","-230,731.0","-236,821.0","-239,184.0","-238,774.0","-242,875.0","-264,990.0","-276,200.0","-293,734.0","-306,994.0","-326,646.0","-358,521.0","-379,521.0","-382,294.0","-375,725.0","-380,506.0","-430,511.0","-492,824.0","-542,111.0","-543,515.0","-495,373.0","-457,445.0","-420,147.0","-393,844.0","-368,752.0"
"263","228","    Owner-occupied housing (-225)","A2020C1","-15,368.0","-16,727.0","-18,844.0","-21,747.0","-25,290.0","-29,035.0","-32,571.0","-37,470.0","-44,495.0","-53,276.0","-64,926.0","-77,652.0","-90,680.0","-104,541.0","-115,071.0","-129,848.0","-145,435.0","-160,479.0","-171,605.0","-183,778.0","-199,927.0","-214,446.0","-220,132.0","-222,199.0","-219,400.0","-223,561.0","-243,938.0","-252,927.0","-268,715.0","-280,916.0","-299,645.0","-330,242.0","-351,232.0","-354,777.0","-348,709.0","-353,267.0","-402,922.0","-463,502.0","-510,903.0","-513,820.0","-467,826.0","-425,006.0","-389,636.0","-361,853.0","-333,771.0"
"264","229","    Interest paid by nonprofit institutions serving households (-166)","A2021C1","-640.0","-750.0","-825.0","-910.0","-1,065.0","-1,250.0","-1,428.0","-1,557.0","-1,681.0","-2,145.0","-2,724.0","-3,445.0","-4,352.0","-5,237.0","-6,111.0","-8,156.0","-7,838.0","-9,097.0","-9,479.0","-10,727.0","-11,665.0","-11,870.0","-12,328.0","-12,815.0","-14,844.0","-13,853.0","-14,710.0","-15,696.0","-16,421.0","-16,939.0","-17,290.0","-17,571.0","-17,599.0","-17,205.0","-16,629.0","-16,014.0","-15,542.0","-15,338.0","-15,247.0","-14,905.0","-14,192.0","-13,382.0","-12,644.0","-11,956.0","-11,956.0"
"265","230","    Borrower services paid by persons (-175)","W308RC1","-1,723.0","-1,570.0","-1,290.0","-1,509.0","-2,622.0","-3,048.0","-844.0","-2,739.0","-3,646.0","-5,579.0","-8,333.0","-10,082.0","-11,576.0","-7,905.0","-3,278.0","-6,664.0","-3,340.0","-3,002.0","-2,916.0","-3,369.0","-4,225.0","-4,415.0","-4,361.0","-4,170.0","-4,530.0","-5,461.0","-6,342.0","-7,577.0","-8,598.0","-9,139.0","-9,711.0","-10,708.0","-10,690.0","-10,312.0","-10,387.0","-11,225.0","-12,047.0","-13,984.0","-15,961.0","-14,790.0","-13,355.0","-19,057.0","-17,867.0","-20,035.0","-23,025.0"
"266","231","  Personal interest income (170+181+195)","W520RC1","26,697.0","34,074.0","38,319.0","42,712.0","45,959.0","52,810.0","65,424.0","67,551.0","74,470.0","87,068.0","94,666.0","104,749.0","116,441.0","140,165.0","177,238.0","191,505.0","219,489.0","238,488.0","255,445.0","267,677.0","281,958.0","293,069.0","301,816.0","319,387.0","327,360.0","345,198.0","358,561.0","360,669.0","373,779.0","375,182.0","380,535.0","391,235.0","400,517.0","424,619.0","439,466.0","451,845.0","463,289.0","468,973.0","489,083.0","534,500.0","560,096.0","559,697.0","574,895.0","580,609.0","575,231.0"
"267","232","    Net interest, domestic (214)","A2104C1","33,031.0","37,948.0","42,015.0","47,598.0","54,010.0","63,398.0","76,026.0","83,918.0","95,789.0","113,093.0","133,589.0","156,667.0","182,067.0","215,168.0","259,520.0","293,336.0","338,282.0","372,409.0","399,069.0","425,001.0","451,114.0","478,185.0","488,892.0","502,631.0","510,015.0","533,244.0","563,842.0","583,073.0","615,915.0","639,917.0","668,647.0","719,634.0","733,640.0","743,025.0","718,756.0","734,642.0","798,540.0","859,708.0","932,741.0","978,535.0","889,819.0","853,062.0","837,431.0","797,640.0","768,628.0"
"268","233","    Net interest, rest of the world (-173-179-185+186)","W528RC1","-543.0","-622.0","-617.0","-718.0","-939.0","-1,387.0","-1,717.0","-1,696.0","-1,883.0","-2,317.0","-3,085.0","-3,485.0","-4,096.0","-2,919.0","-4,048.0","-4,068.0","-6,193.0","-5,294.0","-4,410.0","-4,475.0","-4,189.0","-3,580.0","-3,279.0","-4,286.0","-5,402.0","-6,356.0","-6,243.0","-5,662.0","-5,583.0","-4,475.0","-3,676.0","-3,479.0","-1,143.0","-659.0","-595.0","-199.0","-2,642.0","-859.0","-10.0","801.0","905.0","-653.0","-3,262.0","-3,011.0","-2,461.0"
"269","234","    Net imputed interest paid by government (-171-176-182+194)","A2022C1","11,943.0","15,800.0","17,872.0","19,993.0","21,867.0","24,136.0","25,959.0","27,091.0","30,386.0","37,291.0","40,158.0","42,743.0","45,090.0","45,598.0","46,227.0","46,905.0","44,012.0","43,951.0","44,786.0","45,024.0","50,851.0","49,196.0","53,023.0","60,227.0","61,521.0","61,186.0","65,952.0","59,458.0","57,181.0","46,734.0","42,210.0","33,601.0","47,541.0","64,547.0","97,030.0","97,908.0","97,902.0","102,948.0","98,463.0","98,679.0","164,745.0","164,733.0","160,872.0","179,824.0","177,816.0"
"270","235","    Personal interest payments (227)","A2109C1","-17,731.0","-19,047.0","-20,959.0","-24,166.0","-28,977.0","-33,333.0","-34,843.0","-41,766.0","-49,822.0","-61,000.0","-75,983.0","-91,179.0","-106,608.0","-117,683.0","-124,460.0","-144,668.0","-156,613.0","-172,578.0","-184,000.0","-197,874.0","-215,817.0","-230,731.0","-236,821.0","-239,184.0","-238,774.0","-242,875.0","-264,990.0","-276,200.0","-293,734.0","-306,994.0","-326,646.0","-358,521.0","-379,521.0","-382,294.0","-375,725.0","-380,506.0","-430,511.0","-492,824.0","-542,111.0","-543,515.0","-495,373.0","-457,445.0","-420,147.0","-393,844.0","-368,752.0"
"271",NA,"          Selected aggregates"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","236","Gross domestic product","A191RC1","1,019,878.0","1,075,884.0","1,167,770.0","1,282,449.0","1,428,549.0","1,548,825.0","1,688,923.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,956.0","3,344,991.0","3,638,137.0","4,040,693.0","4,346,734.0","4,590,155.0","4,870,217.0","5,252,629.0","5,657,693.0","5,979,589.0","6,174,043.0","6,539,299.0","6,878,718.0","7,308,755.0","7,664,060.0","8,100,201.0","8,608,515.0","9,089,168.0","9,660,624.0","10,284,779.0","10,621,824.0","10,977,514.0","11,510,670.0","12,274,928.0","13,093,726.0","13,855,888.0","14,477,635.0","14,718,582.0","14,418,739.0","14,964,372.0","15,517,926.0","16,163,158.0","16,768,053.0"
"273","237","  Imputations","A2023C1","128,058.0","140,325.0","153,344.0","166,765.0","179,834.0","200,477.0","224,364.0","241,650.0","264,290.0","300,430.0","334,590.0","373,603.0","418,682.0","461,273.0","516,218.0","548,585.0","611,299.0","655,448.0","697,848.0","761,848.0","825,818.0","883,984.0","938,032.0","1,017,228.0","1,089,293.0","1,155,375.0","1,202,039.0","1,245,731.0","1,303,177.0","1,385,383.0","1,485,362.0","1,609,758.0","1,704,925.0","1,782,591.0","1,872,319.0","2,007,088.0","2,154,618.0","2,258,110.0","2,334,350.0","2,425,206.0","2,453,876.0","2,510,504.0","2,561,266.0","2,604,461.0","2,693,486.0"
"274","238","    Owner-occupied housing (153-156)","A2024C1","54,030.0","58,053.0","63,939.0","69,574.0","75,904.0","83,548.0","90,861.0","99,175.0","108,279.0","123,568.0","140,347.0","161,272.0","182,720.0","198,826.0","212,822.0","231,704.0","250,868.0","270,519.0","292,921.0","320,022.0","345,522.0","371,752.0","391,412.0","412,453.0","442,663.0","477,749.0","512,358.0","542,141.0","575,419.0","611,734.0","659,476.0","711,515.0","765,046.0","803,169.0","842,549.0","895,490.0","965,922.0","1,029,006.0","1,060,898.0","1,110,866.0","1,130,273.0","1,132,474.0","1,148,365.0","1,167,194.0","1,211,620.0"
"275","239","    Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households (165)","A2050C1","3,848.0","4,315.0","4,801.0","5,383.0","6,186.0","7,318.0","8,558.0","9,405.0","10,382.0","11,977.0","13,902.0","16,227.0","18,694.0","20,928.0","22,814.0","25,957.0","26,665.0","29,114.0","30,982.0","34,017.0","37,062.0","39,522.0","42,193.0","44,790.0","48,877.0","49,517.0","52,257.0","54,466.0","57,215.0","60,802.0","65,192.0","70,193.0","74,422.0","78,015.0","82,188.0","87,163.0","93,058.0","99,295.0","105,970.0","112,159.0","115,272.0","116,525.0","114,962.0","118,436.0","122,306.0"
"276","240","    Financial services furnished without payment (170+171+173+175+176+179)","A2025C1","11,281.0","13,338.0","14,257.0","15,783.0","17,598.0","21,287.0","27,372.0","27,366.0","30,284.0","35,412.0","37,531.0","37,729.0","37,485.0","40,823.0","62,338.0","61,889.0","84,462.0","87,120.0","86,606.0","88,566.0","88,442.0","84,337.0","86,982.0","100,329.0","111,295.0","121,519.0","124,522.0","128,833.0","137,402.0","146,025.0","154,441.0","166,053.0","157,864.0","161,209.0","165,878.0","181,185.0","195,182.0","198,075.0","209,480.0","215,687.0","205,177.0","223,513.0","234,207.0","233,079.0","244,956.0"
"277","241","    Premium supplements for property and casualty insurance (181+182+185-186)","W569RC1","483.0","563.0","704.0","774.0","845.0","920.0","1,090.0","1,323.0","1,707.0","1,978.0","2,271.0","2,644.0","3,039.0","3,455.0","4,140.0","4,924.0","6,137.0","7,391.0","8,500.0","9,206.0","9,706.0","10,337.0","10,615.0","10,851.0","11,807.0","11,801.0","11,431.0","12,013.0","11,861.0","11,666.0","11,064.0","11,755.0","10,608.0","9,457.0","9,478.0","8,149.0","10,028.0","7,420.0","6,270.0","3,713.0","1,565.0","999.0","2,208.0","1,783.0","1,746.0"
"278","242","    Defined benefit and defined contribution pension plans (187+190)","Y684RC1","9,214.0","9,618.0","11,019.0","12,046.0","10,716.0","9,422.0","7,848.0","4,398.0","1,969.0","2,446.0","1,276.0","-1,549.0","-2,706.0","-3,644.0","-4,049.0","-11,405.0","-11,447.0","-11,199.0","-12,368.0","-9,318.0","-2,194.0","586.0","3,653.0","14,035.0","14,041.0","15,696.0","18,070.0","17,602.0","22,204.0","30,910.0","36,030.0","45,012.0","53,565.0","54,946.0","50,594.0","63,782.0","60,813.0","59,606.0","40,684.0","30,951.0","22,518.0","35,253.0","15,932.0","9,803.0","4,090.0"
"279","243","    Farm products consumed on farms (199)","A2051C1","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","399.0","386.0","313.0","292.0","289.0","277.0","246.0","254.0","214.0","219.0","174.0","194.0","166.0","146.0","125.0","118.0","106.0","103.0","111.0","155.0","159.0","175.0","152.0","162.0","145.0","155.0","160.0","156.0","187.0"
"280","244","    Employment-related imputations (202)","A2099C1","15,220.0","17,620.0","19,317.0","21,904.0","24,140.0","27,855.0","33,472.0","40,677.0","47,662.0","55,669.0","63,186.0","72,683.0","84,245.0","95,901.0","105,035.0","113,876.0","124,241.0","132,104.0","140,863.0","157,785.0","175,087.0","194,541.0","210,836.0","235,731.0","255,083.0","266,850.0","264,060.0","267,337.0","271,445.0","292,453.0","319,004.0","354,748.0","385,735.0","411,577.0","448,265.0","482,707.0","519,694.0","534,471.0","557,365.0","575,621.0","588,665.0","597,192.0","622,681.0","637,087.0","663,089.0"
"281","245","    Margins on owner-built housing (211)","B1173C1","415.0","407.0","524.0","595.0","790.0","807.0","937.0","1,599.0","2,293.0","2,562.0","2,674.0","1,881.0","1,541.0","1,455.0","2,493.0","2,563.0","2,657.0","3,187.0","2,999.0","2,810.0","2,597.0","2,653.0","2,155.0","3,000.0","2,800.0","3,163.0","2,581.0","2,795.0","2,896.0","2,703.0","3,101.0","2,662.0","2,713.0","2,921.0","2,980.0","3,557.0","4,144.0","3,485.0","2,107.0","499.0","7.0","639.0","625.0","1,059.0","1,103.0"
"282","246","    Consumption of general government fixed capital (212)","A265RC1","33,230.0","36,056.0","38,443.0","40,290.0","43,084.0","48,748.0","53,680.0","57,177.0","61,206.0","66,294.0","72,827.0","82,256.0","93,147.0","103,065.0","110,262.0","118,656.0","127,317.0","136,826.0","147,032.0","158,468.0","169,307.0","179,979.0","189,940.0","195,785.0","202,513.0","208,861.0","216,586.0","220,350.0","224,569.0","228,944.0","236,929.0","247,702.0","254,866.0","261,194.0","270,276.0","284,900.0","305,618.0","326,577.0","351,424.0","375,548.0","390,254.0","403,754.0","422,126.0","435,864.0","444,389.0"
"283","247","  Excluding imputations (236-237)","A2026C1","891,820.0","935,559.0","1,014,426.0","1,115,684.0","1,248,715.0","1,348,348.0","1,464,559.0","1,635,937.0","1,821,661.0","2,056,141.0","2,297,553.0","2,488,902.0","2,792,274.0","2,883,718.0","3,121,919.0","3,492,108.0","3,735,435.0","3,934,707.0","4,172,369.0","4,490,781.0","4,831,875.0","5,095,605.0","5,236,011.0","5,522,071.0","5,789,425.0","6,153,380.0","6,462,021.0","6,854,470.0","7,305,338.0","7,703,785.0","8,175,262.0","8,675,021.0","8,916,899.0","9,194,923.0","9,638,351.0","10,267,840.0","10,939,108.0","11,597,778.0","12,143,285.0","12,293,376.0","11,964,863.0","12,453,868.0","12,956,660.0","13,558,697.0","14,074,567.0"
"284","248","Personal income","A065RC1","800,258.0","864,598.0","932,137.0","1,023,574.0","1,138,525.0","1,249,341.0","1,366,884.0","1,498,086.0","1,654,209.0","1,859,470.0","2,077,948.0","2,316,805.0","2,595,890.0","2,778,836.0","2,969,720.0","3,281,266.0","3,515,857.0","3,725,099.0","3,955,336.0","4,275,344.0","4,618,234.0","4,904,461.0","5,071,112.0","5,410,782.0","5,646,765.0","5,934,716.0","6,276,468.0","6,661,901.0","7,075,002.0","7,587,688.0","7,983,820.0","8,632,760.0","8,987,097.0","9,149,524.0","9,486,646.0","10,048,250.0","10,609,312.0","11,388,999.0","11,994,863.0","12,429,623.0","12,087,462.0","12,429,341.0","13,201,979.0","13,887,720.0","14,166,910.0"
