"","Table 7#20# Chain-Type Quantity and Price Indexes for Personal C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"219","    Motion picture theaters (s.)","210","BMOVRG",6.79,6.69,6.41,6.03,5.53,5.46,5.56,5.68,5.87,6.03,5.94,6.06,6.38,6.72,7.32,8.46,8.9,9.19,9.6,9.69,9.91,9.88,10.04,10.13,10.61,11.3,11.87,12.15,12.72,13.23,13.64,14.53,15.27,15.94,16.52,17.87,19.27,20.76,22.31,24.47,26.46,29.05,30.76,31.58,32.83,35.14,38.02,39.58,41.24,43.65,46.85,49.25,51.31,54.1,57.51,60.99,64.02,66.44,69.61,72.73,77.83,82.63,87.03,88.06,89,92.08,95.32,100,102.79,104.99,110.78,117.88,122.23
"220","    Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics) (s.)","211","BLEGRG",7.26,7.12,6.81,6.42,5.86,5.83,5.94,6.07,6.35,6.44,6.38,6.54,6.85,7.19,7.85,9.16,9.49,9.81,10.25,10.45,10.71,10.69,10.93,11.04,11.57,12.33,12.99,13.32,13.86,14.33,14.71,15.45,16.12,16.86,17.52,18.93,20.41,21.81,23.51,25.87,27.8,30.67,32.31,33.04,34.3,36.43,39.18,40.36,41.55,43.69,46.87,49.31,51.34,54.13,57.56,61.01,64.05,66.46,69.5,72.73,77.89,82.53,87.22,88.12,89.02,92.06,95.26,100,102.82,104.99,110.64,117.81,122.14
"221","    Spectator sports (s.) \21\","212","BSPERG",15.81,16.58,16.15,17.27,17.03,17.36,17.08,16.84,16.86,17.16,17.04,17.41,17.35,17.49,16.15,18.62,19.1,19.59,20.66,20.19,20.21,20.22,20.69,21.49,21.61,21.55,22.3,22.6,22.25,22.72,23,23.68,24.12,24.57,25.24,25.69,26.13,26.36,26.94,28.28,29.39,30.21,31.32,32.37,33.47,35.48,37.79,39.34,41.02,43.67,46.87,49.29,51.33,54.16,57.55,61.01,64.02,66.44,69.52,72.74,77.83,82.55,87.17,88.11,89.03,92.03,95.3,100,102.77,104.96,110.22,116.7,124.42
"222","  Clubs and fraternal organizations (s.) \22\","213","BCLURG",8.33,8.01,7.4,6.86,6.67,7.04,7.03,7.33,7.81,7.57,7.74,7.47,7.77,8.3,9.15,9.76,10.3,11.46,12.99,13.92,13.84,14.56,15.63,15.87,16.38,16.79,17.36,18.12,18.87,19.6,20.15,20.7,20.97,21.44,21.8,22.63,23.32,24.16,24.99,26.05,27.48,28.91,30.5,31.63,33.05,37.12,39.92,42.05,44.47,47.28,52.44,58.51,63.95,66.58,68.09,70.21,71.23,72.95,75.46,79.15,82.26,84.38,87.04,89.23,92.08,94.22,97.3,100,102.19,105.49,108.47,112.06,115.51
"223","  Commercial participant amusements (s.) \23\","214","ACOMRG",6.23,6.23,6.05,5.95,5.67,5.77,5.77,5.95,6.14,6.23,6.23,6.23,6.23,6.42,7.07,8.09,9.11,10.6,11.44,12,12.37,12.65,13.3,14.23,15.07,16,16.46,16.93,17.85,18.97,19.75,20.69,21.42,22.05,22.68,23.24,23.49,24.11,24.88,25.95,27.28,29.03,30.45,31.51,32.95,35.84,38.85,41.55,44.31,47.39,50.63,55.03,59.09,62.36,64.93,67.41,69.98,72.57,75,77.17,80.44,84.34,87.78,90.3,92.79,94.98,97.39,100,102.48,104.28,107.13,111.13,114.66
"224","  Pari-mutuel net receipts (s.)","215","BPARRG",5.62,5.49,4.71,3.91,5,5.3,5.48,5.18,5.6,6.16,5.84,5.58,6.5,7.16,7.25,7.68,7.91,9.93,11.86,14.12,14.42,13.62,13.11,14.39,15.12,15.27,15.3,15.67,16.33,16.82,17.27,17.81,17.99,18.09,18.89,19.17,19.61,20.98,21.25,22.34,24.14,26.31,27.85,29.21,31.02,32.64,35.27,36.26,38.15,39.97,42.95,43.22,48.97,51.17,56.01,62.92,64.55,67.36,68.89,78.51,77.67,82.46,86.14,90.4,93.04,95.39,97.56,100,102.45,104.82,106.89,109.93,113
"225","  Other (s.) \24\","216","AREORG",11.39,11.32,11.24,11.17,10.88,10.95,11.39,11.61,12.11,12.47,12.47,12.54,12.47,13.04,13.84,14.63,15.13,16.29,17.94,19.1,19.24,19.6,20.54,21.4,22.27,22.63,23.06,23.85,24.28,24.79,25.17,25.47,25.87,26.29,26.51,27.24,28.08,28.99,30.05,32.17,33.44,34.89,36.48,37.14,38.17,40.38,43.01,44.65,46.09,48.25,50.89,54.8,58,60.61,62.64,64.89,67.54,70.27,72.71,75.12,78.56,83.03,87.7,90.52,93.62,94.9,96.8,100,103.62,106.8,109.56,113.26,116.99
"226","Education and research","217","B482RG",6.59,6.62,6.32,6.14,5.57,5.68,5.63,5.68,5.81,5.85,5.86,5.85,6.13,6.47,7.08,7.58,7.84,8.42,9.17,9.83,10,10.22,10.81,10.93,11.1,11.33,11.58,12.17,12.62,12.95,13.43,13.73,14,14.36,14.71,15.08,15.59,16.29,16.97,17.75,18.82,20.08,21.14,22.21,23.87,26.99,29.38,31.52,33.58,35.51,39.02,43.47,48.17,51.77,54.73,57.86,60.61,63.23,66.38,70.25,74.02,77.79,81.96,85.88,89.23,92.58,96.09,100,103.62,107.27,111.2,116.06,120.71
"227","  Higher education (s.) \25\","218","BHEDRG",6.12,6.12,5.88,5.59,5.17,5.29,5.23,5.29,5.41,5.47,5.47,5.41,5.59,5.89,6.36,6.78,7.13,7.61,8.08,8.5,8.62,8.8,9.21,9.27,9.33,9.57,9.81,10.16,10.4,10.52,11.06,11.34,11.62,12.07,12.51,12.98,13.54,14.22,14.95,15.85,16.92,18.11,19.24,20.3,21.42,23.27,24.98,26.71,28.47,30.23,32.8,36.07,40.1,44.16,47.5,50.85,54.22,57.42,60.57,64.22,68.24,72.84,78.05,83.11,87.72,92.02,95.85,100,103.84,107.73,110.91,115.05,119.14
"228","  Nursery, elementary, and secondary schools (s.) \26\","219","BEEDRG",5.85,5.7,5.4,5.77,4.87,4.95,4.95,4.95,5.1,5.1,5.1,5.17,5.55,5.85,6.37,6.97,7.35,7.95,8.92,9.97,10.19,10.57,11.4,11.7,12.15,12.44,12.82,13.42,14.02,14.54,14.89,15.28,15.65,15.85,16.03,16.12,16.5,17.13,17.6,18.06,19.18,20.84,21.87,22.99,26.13,31.45,35.01,38.09,40.36,41.83,46.76,52.36,57.84,60.64,63.34,66.44,68.44,70.3,73.63,77.85,81.68,84.73,87.31,89.91,91.86,93.83,96.61,100,103.41,106.65,109.59,114.03,118.7
"229","  Other (s.) \27\","220","BOEDRG",9.47,9.73,9.28,8.65,8.02,8.13,8.07,8.15,8.31,8.31,8.42,8.41,8.82,9.35,10.48,11.08,10.92,11.78,13.16,14.11,14.38,14.5,15.36,15.4,15.58,15.68,15.81,17.16,18.09,18.93,19.39,19.58,19.58,19.85,20.11,20.56,21.09,21.91,22.63,23.4,24.34,25.26,26.03,26.95,28.4,33.08,36.14,38.44,41.13,44.22,48.9,55.68,61.47,64.2,65.91,68.08,69.5,71.12,73.94,78.01,81.07,83.4,86.51,88.8,90.35,92.69,96.15,100,103.35,106.82,113.07,119.63,125.31
"230","Religious and welfare activities (s.) \28\","221","BRAWRG",9.31,8.86,8.02,7.42,7.27,7.72,7.8,8.02,8.48,8.18,8.17,8.17,8.55,9.31,9.84,10.14,10.45,11.51,13.47,14.46,14.53,15.14,16.43,16.35,16.58,16.95,17.33,18.01,18.77,19.15,19.73,19.97,20.14,20.31,20.61,20.77,21.21,21.73,22.26,23.16,24.6,25.52,26.84,28.07,29.77,34.14,37.23,39.32,42.01,44.97,49.29,55.79,60.74,63.63,65.6,67.94,69.42,71.38,74.08,78.03,81.5,84.18,87.28,89.84,92.01,93.71,97.28,100,102.7,105.53,109.73,115.28,119.95
"231","Foreign travel and other, net","222"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","  Foreign travel by U.S. residents (s.) \29\","223","BFTRRG",18.43,17.05,14.22,11.75,12.04,12.62,13.2,13.71,14.1,14.4,15.44,15.44,15.16,15.02,15.25,16.15,20.09,21.07,20.57,21.99,22.57,22.36,21.86,21.56,23.09,23.93,23.74,24.36,24.44,24.62,25.31,24.8,24.99,25.68,26.32,26.85,27.92,28.95,28.74,30.01,30.68,31.13,34.06,36.17,39.57,47.9,52.68,53.72,56.97,59.38,66.12,74.42,78.88,75.68,73.08,70.33,68.21,75.06,73.12,77.43,77.79,82.63,88.16,92.42,92.41,94.88,97.7,100,101.82,99.54,102.02,102.86,104.17
"233","  Expenditures abroad by U.S. residents (n.d.)","224","AABDRG",4.52,4,3.38,2.75,2.61,2.7,2.75,2.63,2.72,2.91,2.87,3.18,3.31,3.71,4.12,4.53,4.66,5.4,6.77,7.36,7.09,6.95,8.17,8.04,7.91,7.93,7.76,7.93,8.06,7.95,7.93,8.07,8.23,8.43,8.66,8.86,9.13,9.44,9.7,10.08,10.57,11.14,11.73,11.94,14.62,18.51,22.97,24.4,31.83,38.52,44.16,52.4,47.56,48.96,47.15,45.96,47.14,61.09,70.56,74.6,73.55,83.87,86.87,93.17,89.8,91.23,101.95,100,89.61,88.8,89.43,82.22,82.01
"234","  Less: Expenditures in the United States by nonresidents (s.) \30\","225","BEXFRG",9.74,9.72,8.95,8.27,7.76,8.5,9.17,9.62,9.78,9.03,8.7,9.18,9.2,10.02,9.21,9.43,10.12,12.13,13.99,14.99,14.97,15.17,16.32,16.74,16.96,17.04,17.09,17.36,17.97,18.51,18.7,18.93,19.16,19.36,19.57,19.88,20.18,20.77,21.37,22.25,23.44,24.86,25.81,26.69,28.2,30.64,33.01,35.45,37.89,41.18,45.15,50.67,55.55,60.04,63.06,66.61,69.81,72.13,75.68,78.67,81.32,85.85,91.34,93.7,95.04,95.96,97.47,100,102.39,103.65,106.37,111.38,112.46
"235","  Less: Personal remittances in kind to nonresidents (n.d.)","226","BREMRG",17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,20.1,22.86,24.28,23.22,23.35,25.74,26.05,25.71,25.57,25.41,25.56,26.1,26.87,27.11,27.34,27.51,27.72,27.96,28.26,28.62,29.33,29.87,30.99,32.45,33.9,35.07,36.16,38.88,43.49,47.32,49.3,52.22,55.87,61.61,68.84,74.73,77.06,78.52,80.68,81.8,79.95,82.14,84.34,87.7,91.81,93.71,94.75,95.75,96.65,98.12,100,100.74,99.93,101.23,104.58,105.65
"236","  Note.  Consumer durable goods are designated (d.), nondurable goods (n.d.), and services (s.).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","  See footnotes to table 2.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
