"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"285","278","          Land-line telephone services, long-distance charges","DLDTRA3",11.391,12.104,12.887,13.641,14.735,15.876,17.534,19.384,20.939,22.76,25,26.839,28.004,29.886,33.141,34.887,38.59,41.668,44.798,49.417,53.196,57.31,60.108,62.819,65.485,68.814,77.995,86.219,102.371,114.128,127.263,132.909,140.72,159.109,161.371,163.773,164.205,169.603,191.982,197.133,201.679,201.403,182.494,155.325,157.632,164.165,153.266,138.384,126.575,119.765,100,85.391,81.247,77.865,78.275
"286","279","          Cellular telephone services","DCELRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,0.093,0.133,0.34,0.755,1.236,1.682,2.695,3.677,4.96,6.689,9.022,10.671,14.366,20.078,30.228,42.013,50.999,57.357,64.885,74.356,84.032,91.724,97.719,100,108.639,120.257,127.831,134.117
"287","280","        Postal and delivery services (68)","DPSSRA3",56.635,58.258,60.942,65.955,65.346,68.956,72.359,76.227,80.308,78.908,82.889,86.154,83.719,87.751,89.566,83.877,84.122,78.179,81.1,83.074,87.75,93.747,91.727,94.365,99.277,107.301,108.166,114.227,122.142,119.57,118.513,118.66,108.609,106.9,109.927,115.541,114.111,117.805,119.469,120.406,117.48,116.688,109.045,101.271,99.622,101.281,102.557,108.285,107.59,110.672,100,93.424,81.505,75.737,70.268
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRA3",63.317,65.081,68.114,73.669,72.864,76.887,80.585,84.856,89.452,87.502,91.417,94.542,91.185,95.192,97.173,90.628,91.045,84.268,87.811,89.872,95.418,102.664,100.975,104.266,108.14,115.145,114.426,119.678,126.915,122.45,119.649,118.386,105.739,102.731,105.369,110.668,108.251,112.111,114.287,113.88,110.576,108.8,101.798,94.89,93.396,96.479,99.162,105.947,105.626,112.153,100,94.618,80.66,73.905,67.215
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRA3",3.358,3.724,3.714,4.273,4.928,5.213,6.048,6.585,6.631,8.863,12.422,15.805,19.693,23.232,23.636,24.721,23.712,24.613,22.399,23.536,21.083,17.152,12.902,10.224,22.856,37.481,49.885,61.256,73.052,84.394,96.259,106.478,116.701,125.117,130.678,137.937,143.96,145.927,143.612,154.071,154.053,159.917,148.637,135.816,133.276,126.22,119.623,119.652,117.025,103.503,100,87.625,84.832,83.279,83.058
"290","283","        Internet access (72)","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.022,0.047,0.098,0.213,0.352,0.522,1.163,2.443,3.944,5.072,7.358,13.755,23.216,25.296,30.143,36.264,41.208,42.213,50.001,78.644,92.638,100,111.227,127.086,143.566,148.485
"291","284","      Education services","DTEDRA3",29.029,30.786,32.428,34.739,37.316,40.351,44.562,48.539,51.989,55.942,58.982,62.739,65.577,67.935,70.132,67.827,69.678,71.591,72.247,75.692,75.981,75.986,75.402,74.261,75.65,76.078,77.141,77.685,79.145,82.334,85.906,87.577,86.843,86.991,85.819,86.157,87.328,89.838,92.335,95.041,97.248,100.653,102.513,100.204,99.53,97.486,97.427,98.412,99.82,100.275,100,102.316,104.023,105.083,105.461
"292","285","        Higher education (97)","DHEDRA3",25.801,27.351,29.258,31.148,33.256,36.736,41.795,45.589,48.117,51.463,54.663,59.462,63.523,66.31,68.861,68.123,67.845,68.842,70.262,70.866,72.978,75.122,76.742,77.892,78.014,77.269,76.775,77.007,77.441,78.502,80.541,82.15,82.432,82.051,80.532,80.526,81.092,83.308,86.171,89.109,91.881,95.712,98.363,96.597,97.317,95.921,96.525,97.665,98.525,98.978,100,102.582,105.276,107.353,107.854
"293","286","          Proprietary and public higher education","DGEDRA3",11.244,12.455,13.598,15.352,17.519,20.478,23.769,26.885,29.976,33.071,36.22,42.065,47.274,49.941,53.376,53.189,53.082,54.593,56.658,59.461,61.004,63.281,64.736,64.805,66.127,66.258,66.446,67.223,67.924,70.013,72.233,73.935,75.243,76.73,75.774,76.13,76.751,77.287,79.448,82.4,85.688,89.719,92.069,93.701,95.549,94.187,94.989,96.636,97.456,97.93,100,104.018,107.356,109.349,110.521
"294","287","          Nonprofit private higher education services to households","DPEDRA3",49.95,52.059,55.232,57.34,59.348,63.685,71.673,76.58,78.159,81.912,85.183,88.225,90.357,93.333,94.403,92.75,92.188,92.323,92.662,89.625,92.675,94.6,96.49,99.42,97.566,95.381,93.765,93.102,93.096,92.467,94.209,95.663,94.257,90.804,88.359,87.758,88.233,93.211,97.229,100.142,102.066,105.57,108.715,101.361,100.225,98.772,99.049,99.356,100.282,100.701,100,100.221,101.855,104.07,103.468
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRA3",60.572,65.88,72.709,79.777,85.865,91.498,96.589,100.58,105.293,112.323,116.355,119.116,123.651,129.702,129.494,124.954,126.343,123.697,121.02,136.916,134.533,132.737,125.79,115.824,118.349,119.394,120.394,118.205,119.612,119.978,127.385,129.395,126.341,125.8,122.318,121.058,120.664,120.497,118.146,115.222,115.175,114.527,114.922,112.845,109.699,106.78,104.266,103.446,103.916,102.734,100,97.604,99.068,97.948,97.572
"296","289","          Elementary and secondary schools","DESCRA3",98.704,106.513,116.882,127.659,136.774,145.355,152.937,158.764,166.166,176.993,181.854,183.648,188.383,197.247,192.357,180.081,176.724,173.848,170.8,193.974,189.1,187.811,177.565,162.256,160.978,158.791,155.66,149.854,151.047,150.611,152.415,154.652,151.528,147.202,141.134,138.368,136.246,136.542,131.647,127.723,126.623,125.33,124.847,122.08,117.12,112.371,108.972,106.998,105.004,103.511,100,97.443,95.988,95.009,96.282
"297","290","          Day care and nursery schools","DNSCRA3",3.781,4.91,6.056,7.197,8.338,9.254,10.246,11.133,11.691,12.723,14.588,17.309,20.096,21.413,25.837,30.785,37.114,35.418,33.861,37.51,38.424,36.627,35.149,33.74,40.224,45.174,51.596,54.921,56.47,58.076,74.141,75.604,72.868,79.378,80.97,82.666,85.672,84.587,87.457,86.669,88.828,89.559,91.835,91.289,92.209,93.474,93.033,94.937,101.269,100.839,100,98.002,106.732,105.256,100.696
"298","291","        Commercial and vocational schools (99)","DVEDRA3",15.469,15.769,14.598,15.158,16.526,17.195,18.816,22.258,25.996,28.891,30.595,32.125,31.422,30.905,33.14,29.394,34.932,40.483,41.406,43.115,41.567,38.936,37.881,37.311,40.277,42.639,46.944,49.817,53.658,63.731,68.404,69.956,68.152,70.394,72.214,75.062,79.695,85.596,91.062,98.028,100.266,105.89,106.354,101.908,98.579,95.002,94.751,96.78,101.03,102.963,100,105.568,103.667,102.71,103.295
"299","292","      Professional and other services (121)","DPRSRA3",40.236,41.166,43.218,44.89,46.98,47.842,49.7,53.331,54.364,56.37,58.142,60.359,61.075,62.465,65.108,65.765,65.049,68.074,70.764,75.028,73.607,72.773,73.21,71.572,69.825,72.106,77.009,79.503,81.951,88.167,90.823,92.909,91.262,93.479,93.586,93.067,91.842,93.441,94.938,97.841,100.14,100.733,102.787,102.949,106.7,106.499,106.357,106.983,108.286,106.519,100,97.953,96.669,96.527,95.56
"300","293","        Legal services","DGALRA3",41.608,41.492,46.056,47.918,51.28,51.565,52.987,58.06,58.163,58.946,59.901,63.886,65.152,65.332,68.867,70.385,68.413,70.498,72.766,78.004,75.872,75.192,78.191,76.503,73.828,76.663,82.376,85.888,89.978,97.266,99.802,101.253,97.801,100.093,99.094,97.866,95.63,98.601,100.838,103.257,105.42,105.131,107.275,108.053,110.396,108.3,107.008,107.366,107.361,105.394,100,97.945,96.461,95.274,94.053
"301","294","        Accounting and other business services","DPRORA3",14.004,14.89,14.958,16.329,16.716,19.242,22.491,25.182,27.522,30.556,35.688,35.127,34.524,37.748,39.118,38.531,38.958,41.323,44.441,47.372,46.095,42.983,41.55,38.162,40.9,41.002,43.119,43.749,44.148,50.657,56.732,60.236,60.513,62.366,66.048,69.95,68.123,70.172,72.924,80.018,85.876,90.639,93.977,96.766,101.814,108.96,107.388,109.505,116.153,114.326,100,96.035,96.006,95.515,95.902
"302","295","          Tax preparation and other related services","DTAPRA3",5.52,5.422,6.175,6.942,6.336,9.622,12.86,15.563,20.213,22.118,26.412,27.818,26.028,28.483,30.252,32.074,35.331,35.408,38.518,36.736,34.777,29.979,27.838,28.289,30.69,29.173,31.702,34.003,35.365,42.115,49.9,54.494,60.68,64.829,70.329,73.907,68.274,67.944,67.486,74.225,80.467,85.542,92.189,97.355,101.253,107.301,100.841,100.366,107.894,111.82,100,94.777,93.97,92.435,92.321
"303","296","          Employment agency services","DGENRA3",118.643,132.947,122.433,128.976,136.568,138.137,149.906,163.353,159.901,189.1,226.217,207.375,216.694,240.883,235.017,211.165,179.588,205.299,230.889,285.291,269.201,282.358,285.11,238.189,231.555,239.766,259.516,249.572,235.607,259.834,274.366,294.09,229.411,210.838,177.909,147.226,126.977,105.955,111.626,112.821,111.992,110.47,94.701,82.807,81.465,89.553,124.779,152.519,183.815,152.707,100,102.361,119.328,130.089,133.996
"304","297","          Other personal business services","DTHERA3",17.165,18.264,18.335,20.258,21.8,22.676,24.588,25.595,23.61,25.269,27.485,25.241,25.852,27.627,29.133,26.547,25.292,29.275,29.098,34.693,36.864,35.185,34.739,29.317,34.241,37.064,35.062,33.092,33.446,36.018,35.664,32.967,28.482,27.566,33.136,45.111,58.698,72.773,85.137,94.649,100.62,105.57,101.326,98.735,108.805,119.645,128.855,136.038,135.804,117.746,100,99.688,100.079,101.888,103.657
"305","298","        Labor organization dues","DUNSRA3",38.479,40.959,41.637,42.661,43.302,45.419,46.71,49.1,51.808,53.556,56.412,58.12,57.841,60.758,65.25,66.321,68.154,72.202,75.735,79.409,81.441,81.271,81.087,86.36,86.969,91.73,99.016,104.694,107.02,108.769,110.274,114.52,117.572,119.936,119.986,119.87,120.295,119.928,121.271,115.106,110.885,106.511,99.742,95.464,97.479,96.967,95.266,96.375,97.435,101.577,100,96.032,93.459,94.16,91.971
"306","299","        Professional association dues","DAXSRA3",9.167,10.334,10.404,11.411,12.111,13.584,16.991,19.58,23.515,27.478,29.94,31.814,34.387,37.576,39.078,41.363,47.761,52.404,56.247,62.263,64.467,63.833,62.241,62.056,58.995,58.367,60.254,61.989,62.994,67.312,69.766,70.454,68.948,67.673,69.577,70.154,74.235,73.078,74.87,77.494,81.436,84.802,89.163,92.822,95.326,94.66,97.783,102.57,105.465,99.92,100,100.066,99.913,102.328,111.694
"307","300","        Funeral and burial services","DFUNRA3",74.84,77.126,76.631,79.031,81.361,81.1,83.233,85.73,86.141,90.58,90.655,91.155,91.911,93.831,93.709,91.773,89.651,95.589,98.461,100.99,97.205,97.404,91.56,84.551,79.766,81.276,85.444,84.013,83.012,89.096,89.751,91.874,91.877,95.326,95.309,92.015,92.544,90.638,88.04,93.414,95.473,96.63,101.339,97.561,106.664,105.619,111.481,109.739,109.446,106.517,100,100.504,98.852,101.866,97.548
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRA3",47.324,47.265,49.127,50.694,50.709,52.675,54.511,56.485,57.486,58.236,56.406,55.222,52.224,53.372,53.39,50.08,48.778,48.792,51.07,51.496,49.331,46.793,44.323,42.005,48.435,49.129,52.036,55.3,59.237,65.622,68.432,70.887,65.356,71.106,72.424,75.142,79.399,81.967,84.846,89.698,93.901,98.51,97.98,99.463,102.371,106.714,108.753,109.891,109.551,107.152,100,102.422,104.563,106.802,101.559
"309","302","        Personal care services","DPCSRA3",25.853,26.184,28.447,30.097,30.192,31.461,32.735,34.897,36.325,36.918,35.145,34.986,33.38,34.253,35.581,34.156,33.969,34.698,37.425,38.611,37.576,36.15,34.768,33.335,40.214,40.377,43.613,47.062,50.821,56.538,59.014,61.86,56.709,62.538,64.157,66.924,70.847,73.404,76.436,81.252,85.463,90.482,90.685,93.623,97.767,103.542,106.619,108.319,108.659,106.95,100,103.083,105.47,107.88,103.148
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRA3",35.104,35.073,38.266,41.004,40.737,41.953,42.776,45.443,46.741,46.786,43.738,43.65,41.137,41.418,41.529,39.928,39.117,39.045,42.861,43.534,41.68,39.344,36.782,34.456,41.441,42.447,44.836,47.608,52.16,55.24,56.714,57.239,56.665,60.835,59.067,59.502,61.742,62.617,67.182,70.557,72.903,76.436,77.178,79.861,83.727,91.228,95.872,99.454,102.469,102.391,100,104.568,107.275,109.958,110.952
"311","304","          Miscellaneous personal care services","DMPCRA3",10.429,11.321,12.044,11.916,12.59,13.928,15.947,17.27,18.942,20.503,20.942,20.649,20.624,22.607,26.248,25.082,26.005,28.161,29.067,31.168,31.472,31.475,31.882,31.766,38.503,37.453,41.904,46.322,48.962,58.385,62.265,68.33,56.897,65.005,71.283,77.257,83.516,88.437,89.262,96.129,103.026,110.176,109.586,112.87,117.382,120.593,121.397,120.421,117.006,113.053,100,101.148,103.128,105.198,93.495
"312","305","        Clothing and footwear services","DCFSRA3",188.874,186.219,185.363,186.357,185.836,192.375,197.87,198.245,196.074,197.79,195.99,187.674,175.35,178.196,168.618,152.464,143.466,138.38,137.016,132.063,122.517,112.868,103.54,95.698,99.291,103.275,104.16,106.308,111.373,121.919,126.805,126.951,118.989,124.419,123.951,126.447,132.813,135.486,137.465,142.576,146.758,148.825,143.693,136.075,131.261,126.667,122.201,119.8,115.171,108.423,100,98.291,98.893,100.07,91.652
"313","306","          Laundry and drycleaning services","DDRYRA3",132.334,126.842,123.468,122.161,121.236,129.977,140.899,148.831,151.867,152.087,148.917,141.331,129.791,129.843,110.203,97.452,88.633,84.281,84.285,85.011,79.835,74.488,66.737,57.888,61.953,64.516,63.575,64.787,70.522,76.553,78.725,73.796,76.829,95.212,97.148,102.602,109.16,114.044,117.114,122.221,127.905,132.982,130.47,127.395,123.766,120.168,117.325,116.91,113.264,106.951,100,98.822,99.305,101.177,92.808
"314","307","          Clothing repair, rental, and alterations","DLGRRA3",335.543,338.48,341.526,349.92,358.496,361.699,346.826,324.041,305.776,311.37,314.472,302.998,286.917,288.106,310.998,288.258,281.819,275.625,273.749,254.594,233.547,212.302,199.494,197.507,199.799,209.459,217.256,223.357,226.331,250.84,264.035,278.995,236.528,201.474,195.341,192.576,200.401,197.981,198.207,203.787,203.308,197.123,184.337,161.866,153.966,146.394,136.968,128.8,120.925,112.912,100,96.931,97.815,96.811,86.978
"315","308","          Repair and hire of footwear","DSCLRA3",472.635,497.208,530.668,531.969,468.222,440.358,462.299,446.632,435.927,445.71,441.077,441.038,441.063,532.643,515.808,464.506,430.261,415.859,382.187,345.466,316.878,290.894,269.466,239.393,241.092,234.729,225.832,219.346,223.811,236.208,243.019,253.628,244.013,244.709,227.81,195.267,183.584,169.905,157.259,158.071,160.83,151.77,142.159,140.317,130.365,124.838,120.167,115.63,113.555,106.67,100,96.889,97.951,101.291,103.816
"316","309","      Social services and religious activities (120)","DSOCRA3",8.987,9.121,9.412,9.277,9.78,11.292,12.361,13.772,15.247,15.812,16.296,16.878,18.184,20.016,20.478,19.253,19.615,21.377,23.038,25.164,27.178,28.34,29.866,31.796,33.882,36.497,40.968,44.598,48.257,49.221,53.501,54.75,55.512,58.619,61.325,63.453,65.72,67.13,69.119,71.813,74.886,78.114,82.685,84.731,87.169,89.814,91.791,94.163,97.296,99.032,100,102.391,103.646,104.773,105.281
"317","310","        Child care","DCHCRA3",10.231,10.636,10.892,10.38,11.146,14.262,16.346,19.333,22.273,23.856,25.659,27.465,30.935,35.825,36.957,34.764,36.024,40.408,44.484,49.219,52.949,54.909,56.605,58.922,62.598,67.015,73.8,79.607,87.021,83.703,98.021,91.034,81.499,85.197,87.303,87.584,88.855,85.864,86.791,86.367,89.366,90.663,93.658,94.131,94.722,95.398,94.345,95.74,101.321,100.807,100,98.929,98.487,99.151,95.77
"318","311","        Social assistance","DSCWRA3",3.461,3.598,3.684,3.511,3.77,4.824,5.529,6.54,7.534,8.07,8.68,9.29,10.464,12.118,12.501,11.76,12.186,13.669,15.048,16.649,17.911,18.574,19.147,19.931,21.215,22.792,25.187,27.264,29.632,31.094,32.781,35.281,37.654,40.417,42.972,45.361,47.843,50.242,53.02,56.591,61.132,66.598,73.678,77.646,81.008,85.054,89.042,91.905,94.444,97.781,100,104.417,106.923,108.205,108.681
"319","312","          Homes for the elderly","DELDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.788,33.357,35.166,37.848,40.394,43.358,45.665,47.729,49.364,50.81,51.12,56.626,62.627,69.239,78.291,83.314,84.997,87.528,91.747,97.019,97.124,99.288,100,106.193,114.076,117.182,120.337
"320","313","          Residential mental health and substance abuse","DMENRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.606,24.771,26.115,28.106,29.997,32.198,34.127,35.901,37.608,39.214,40.718,45.222,49.589,54.946,61.342,66.32,72.956,79.473,85.728,85.339,91.729,97.601,100,105.249,104.821,108.162,111.016
"321","314","          Individual and family services","DFAMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.714,32.23,33.979,36.57,39.03,41.894,44.687,47.328,50.238,53.094,56.844,59.312,63.287,67.969,74.704,77.821,79.927,83.123,84.818,89.31,93.282,96.462,100,104.187,106.196,107.737,107.917
"322","315","          Vocational rehabilitation services","DVOCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.686,35.349,37.266,40.108,42.806,45.947,48.932,51.746,54.774,57.73,61.433,65.811,69.826,76.166,80.434,81.953,89.138,95.561,101.303,96.926,93.337,95.646,100,103.924,105.225,102.104,98.438
"323","316","          Community food and housing/emergency/other relief services","DCFORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.194,14.894,15.702,16.9,18.037,19.36,20.649,21.874,23.231,24.567,26.342,31.387,37.53,44.228,51.931,58.229,64.099,72.771,83.992,87.757,91.566,98.656,100,104.328,104.326,103.267,101.402
"324","317","          Other social assistance, not elsewere classified","DSIARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,40.4,42.592,45.839,48.923,52.513,56.005,59.315,62.971,66.565,71.326,72.438,75.607,80.298,88.772,95.214,98.324,99.104,102.242,101.349,104.361,105.156,100,100.504,99.97,102.116,104.215
"325","318","        Social advocacy and civic and social organizations","DSADRA3",24.181,24.246,25.157,25.454,26.422,27.679,28.378,30.497,31.793,31.487,29.175,27.102,24.673,23.878,23.721,21.213,20.104,19.507,19.45,21.204,25.386,29.703,35.524,43.288,47.187,52.212,64.633,73.287,79.552,82.621,87.764,92.379,97.628,102.395,107.017,109.851,113.244,114.429,113.097,117.719,114.891,111.793,108.555,105.222,106.497,104.08,100.562,101.392,101.326,101.313,100,100.992,100.552,103.144,112.254
"326","319","        Religious organizations' services to households","DRELRA3",46.036,44.875,46.359,46.881,48.362,51.267,53.164,52.409,56.033,55.787,55.706,57.355,59.513,60.155,61.405,58.263,58.163,59.583,59.644,61.702,61.283,58.708,62.729,64.345,66.658,71.161,76.843,81.768,82.91,84.287,85.927,89.981,92.075,93.565,95.59,101.237,102.208,108.863,108.836,109.328,107.744,104.415,102.122,99.184,98.8,100.547,99.89,100.07,103.183,100.498,100,94.837,91.48,90.001,90.021
"327","320","        Foundations and grantmaking and giving services to households","DGIVRA3",6.773,8.957,11.399,13.082,15.522,14.299,23.906,25.467,24.455,22.169,27.337,31.413,46.672,40.504,37.036,47.16,46.438,49.729,56.093,49.855,60.73,62.735,63.629,71.045,77.772,81.592,87.651,93.68,101.964,111.421,128.152,126.023,136.409,136.022,137.671,126.545,122.205,114.223,129.519,117.197,102.761,87.638,66.012,50.182,56.544,69.077,76.977,98.72,123.176,109.192,100,104.774,106.244,104.831,113.862
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRA3",70.293,70.945,69.116,68.757,67.995,68.698,68.773,68.577,69.829,68.617,67.221,64.3,62.507,63.402,63.847,59.157,55.584,58.268,61.127,62.952,62.393,60.244,58.738,56.311,57.97,64.835,65.995,68.308,68.202,69.468,74.228,76.027,70.258,72.892,75.794,81.94,87.468,88.073,93.3,102.301,102.215,105.477,100.849,97.908,100.387,105.582,106.319,107.039,110.067,109.362,100,96.929,100.63,105.309,107.297
"329","322","        Domestic services","DDMSRA3",141.788,142.144,137.834,136.443,134.321,133.297,129.194,124.469,125.412,119.188,112.716,105.401,100.441,97.223,94.646,82.164,77.028,79.79,82.133,83.002,73.777,65.41,60.741,61.105,61.048,69.041,67.307,70.746,70.201,74.081,78.86,82.368,77.113,82.958,87.039,90.855,95.579,94.798,98.941,111.202,104.1,108.591,102.876,99.698,104.303,107.092,104.843,105.565,109.299,110.489,100,91.13,94.946,108.702,114.054
"330","323","        Moving, storage, and freight services","DMSERA3",17.206,17.716,17.821,18.874,19.529,19.398,21.977,24.92,25.917,29.976,33.778,35.872,39.295,44.202,48.042,51.458,48.147,52.343,57.62,60.321,66.379,70.284,69.964,64.055,68.971,82.008,84.855,87.15,81.779,74.348,79.646,76.978,68.892,70.095,73.706,84.036,92.819,96.798,108.546,114.967,120.048,124.193,113.799,103.16,101.744,111.347,113.481,113.445,114.824,113.462,100,99.388,104.828,110.192,111.88
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERA3",277.992,273.002,253.409,245.831,237.329,249.713,258.954,260.987,254.888,277.623,295.182,307.011,317.362,400.353,396.026,373.393,334.251,321.757,305.226,291.045,300.274,285.249,270.927,245.575,242.538,240.903,259.784,266.153,318.574,322.272,354.115,381.01,371.718,342.175,304.269,292.337,285.554,265.108,252.957,262.691,249.025,227.557,191.983,168.976,161.549,151.376,148.952,144.459,134.982,123.283,100,94.921,92.994,90.518,91.746
"332","325","        Repair of household appliances","DERERA3",53.773,60.567,63.134,63.612,64.216,66.556,71.06,79.314,88.448,81.629,75.363,62.706,48.766,38.65,42.223,43.834,43.23,46.879,52.087,58.029,73.732,76.689,79.609,63.629,63.607,63.351,63.84,57.639,54.825,57.227,56.943,54.599,57.04,57.124,63.79,81.132,103.254,114.409,128.299,131.154,129.267,125.274,116.95,111.481,116.701,121.184,116.292,117.307,116.116,109.582,100,98.024,99.66,95.82,96.095
"333","326","        Other household services","DMHSRA3",3.521,3.68,3.934,3.985,4.068,7.087,9.268,10.75,11.505,12.308,13.491,13.606,13.518,14.031,15.653,15.03,15.241,17.185,19.337,22.104,25.334,27.186,29.576,30.322,32.302,33.692,36.961,39.273,42.288,47.08,50.964,53.748,47.67,49.056,50.969,55.347,56.136,54.589,54.595,62.379,69.253,72.926,77.522,83.387,86.088,92.083,97.545,99.159,104.399,103.68,100,103.145,106.34,100.542,98.53
"334","327","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","328","        Foreign travel by U.S. residents (129)","DFTRRA3",12.728,14.231,14.287,15.346,16.467,16.982,18.283,19.004,22.555,21.356,23.459,26.533,26.219,28.819,28.238,25.887,25.369,26.641,27.546,28.538,27.836,27.276,28.413,32.618,37.607,55.468,61.123,55.325,68.953,71.44,72.837,76.599,70.162,73.693,77.974,82.932,83.015,86.641,94.18,103.14,106.244,117.917,111.101,104.156,99.589,110.177,109.456,111.017,107.305,104.678,100,100.113,98.331,100.482,103.853
"336","329","          Passenger fares for foreign travel","DAFTRA3",12.423,14.352,14.588,15.654,16.95,17.63,19.112,20.14,24.184,22.845,25.238,28.919,28.899,31.913,34.34,31.357,31.249,32.014,32.865,35.599,36.21,36.583,39.477,43.663,52.053,54.609,62.562,59.196,68.155,71.097,73.79,74.226,67.874,73.787,79.164,88.322,86.322,90.525,98.073,101.09,104.978,114.926,103.278,93.544,94.905,111.513,112.421,115.191,111.531,108.307,100,99.558,94.072,89.246,95.692
"337","330","          U.S. travel outside the United States","DUSTRA3",13.597,14.895,14.838,15.948,17.017,17.456,18.711,19.284,22.722,21.544,23.584,26.457,25.963,28.454,26.296,24.166,23.436,24.994,25.959,26.183,24.924,23.973,24.385,28.68,32.206,59.893,64.719,57.189,74.385,76.675,77.401,83.174,76.054,78.481,82.324,85.219,86.115,89.533,97.411,110.103,112.57,125.806,120.842,114.407,104.594,111.629,109.312,109.566,105.671,103.063,100,100.107,100.54,107.601,108.763
"338","331","          U.S. student expenditures","DUSSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.43,11.757,13.357,14.589,15.907,15.043,16.456,18.535,19.811,21.252,21.604,22.4,24.855,27.14,30.893,33.395,37.365,44.238,49.219,56.084,64.929,74.485,80.88,84.863,89.596,96.463,94.375,95.986,100,104.256,107.12,112.521,114.707
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRA3",7.533,7.861,8.037,7.934,8.244,9.459,10.363,11.391,11.54,12.118,13.308,14.36,15.275,16.548,18.794,20.239,21.815,24.603,24.7,26.348,27.911,30.573,33.621,31.187,27.885,37.689,37.503,42.761,45.906,52.883,61.892,69.274,72.835,80.19,83.44,84.491,89.598,95.093,97.616,95.181,98.464,102.819,93.108,89.282,85.03,92.209,95.484,95.837,102.177,109.902,100,105.034,110.323,116.455,123.562
"340","333","          Foreign travel in the United States","DFTURA3",6.793,7.088,7.248,7.154,7.434,8.529,9.345,10.272,10.406,10.927,12.001,12.949,13.774,14.922,16.947,18.25,19.672,22.185,22.273,23.759,25.169,27.569,30.317,27.497,23.784,34.362,34.131,39.816,43.067,50.603,60.285,68.114,71.855,79.948,83.411,84.472,90.179,96.244,98.927,95.681,99.038,103.54,91.91,87.251,82.692,92.113,96.402,97.056,104.245,112.557,100,105.938,111.656,118.49,127.272
"341","334","          Medical expenditures of foreigners","DMEFRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.679,90.103,86.862,84.451,84.354,83.773,82.012,78.76,76.867,74.281,72.016,69.585,67.881,68.283,70.088,78.675,84.422,88.452,95.223,99.818,92.309,83.807,83.955,85.317,96.546,100.136,100.056,100.038,100,99.894,99.749,99.733,98.814
"342","335","          Expenditures of foreign students in the United States","DEFSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.44,66.653,69.161,69.478,69.845,70.284,72.597,74.059,76.669,80.361,82.72,83.668,85.498,86.53,86.672,86.701,87.39,90.819,92.972,96.059,101.346,104.418,101.651,95.06,90.94,89.018,91.229,96.642,100,101.06,104.903,108.322,108.254
